,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,,Martin Flores,88,70.64,1030,1458,-0.25
1,2,,Kyle Stanley,104,70.39,1267,1800,-0.26
2,3,,Lucas Glover,93,70.08,1110,1584,-0.27
3,4,,Jordan Spieth,85,69.97,932,1332,-0.35
4,T5,,Ryan Armour,63,69.96,743,1062,-0.23
5,T5,,Paul Casey,94,69.96,1083,1548,-0.27
6,7,,Cameron Percy,71,69.91,818,1170,-0.23
7,8,,Sergio Garcia,65,69.73,728,1044,-0.26
8,9,,Dustin Johnson,77,69.61,852,1224,-0.31
9,10,,Robert Garrigus,78,69.52,901,1296,-0.28
10,11,,J.J. Henry,92,69.44,1075,1548,-0.21
11,12,,Gary Woodland,94,69.35,1061,1530,-0.26
12,13,,Patrick Cantlay,52,69.21,598,864,-0.29
13,14,,Hideki Matsuyama,83,69.14,896,1296,-0.32
14,15,,Luke List,102,69.1,1219,1764,-0.29
15,16,,Chad Campbell,97,69.07,1206,1746,-0.24
16,17,,Tony Finau,106,68.96,1291,1872,-0.3
17,18,,Keegan Bradley,104,68.93,1216,1764,-0.28
18,19,,Jon Rahm,90,68.79,1003,1458,-0.3
19,20,,Boo Weekley,75,68.65,902,1314,-0.22
20,21,,Graham DeLaet,82,68.57,938,1368,-0.27
21,22,,Stewart Cink,93,68.54,1098,1602,-0.28
22,23,,Hudson Swafford,94,68.21,1105,1620,-0.27
23,T24,,Billy Horschel,88,68.19,1031,1512,-0.23
24,T24,,Justin Rose,66,68.19,761,1116,-0.29
25,26,,Jim Herman,77,68.07,919,1350,-0.25
26,27,,Scott Stallings,81,67.89,941,1386,-0.25
27,28,,Xander Schauffele,96,67.74,1073,1584,-0.29
28,29,,Andres Gonzales,73,67.71,841,1242,-0.26
29,30,,Harold Varner III,101,67.68,1206,1782,-0.25
30,31,,Blayne Barber,77,67.61,864,1278,-0.27
31,T32,,Shane Lowry,52,67.53,547,810,-0.28
32,T32,,C.T. Pan,88,67.53,1021,1512,-0.23
33,34,,Ryan Brehm,83,67.5,887,1314,-0.26
34,35,,Shawn Stefani,72,67.48,826,1224,-0.24
35,36,,Richy Werenski,81,67.42,898,1332,-0.25
36,T37,,Bud Cauley,92,67.38,1043,1548,-0.27
37,T37,,Marc Leishman,94,67.38,1043,1548,-0.29
38,39,,Rory Sabbatini,71,67.35,788,1170,-0.28
39,40,,Justin Thomas,86,67.33,909,1350,-0.36
40,41,,Russell Henley,99,67.32,1127,1674,-0.28
41,42,,Brendan Steele,89,67.29,969,1440,-0.27
42,43,,Bill Haas,92,67.28,981,1458,-0.24
43,44,,William McGirt,89,67.23,956,1422,-0.24
44,45,,Francesco Molinari,75,67.22,847,1260,-0.27
45,46,,Jason Dufner,89,67.15,967,1440,-0.28
46,47,,J.J. Spaun,92,67.12,1039,1548,-0.26
47,48,,Emiliano Grillo,90,67.06,1026,1530,-0.26
48,49,,Charles Howell III,86,67.01,989,1476,-0.27
49,50,,Rickie Fowler,78,66.98,868,1296,-0.32
50,51,,Jason Kokrak,95,66.97,1097,1638,-0.25
51,T52,,Daniel Berger,91,66.93,1012,1512,-0.29
52,T52,,Johnson Wagner,71,66.93,759,1134,-0.24
53,54,,Chez Reavie,98,66.91,1096,1638,-0.28
54,55,,Rick Lamb,54,66.89,602,900,-0.26
55,56,,Adam Scott,58,66.87,674,1008,-0.27
56,57,,Scott Piercy,70,66.84,782,1170,-0.29
57,58,,D.A. Points,68,66.83,818,1224,-0.24
58,59,,Julián Etulain,68,66.75,757,1134,-0.24
59,60,,Brett Stegmaier,78,66.74,913,1368,-0.24
60,61,,Chris Kirk,89,66.73,997,1494,-0.28
61,T62,,Kevin Streelman,90,66.67,1056,1584,-0.25
62,T62,,Vaughn Taylor,90,66.67,1008,1512,-0.27
63,T64,,Matt Kuchar,95,66.6,1055,1584,-0.26
64,T64,,Ben Martin,86,66.6,947,1422,-0.25
65,66,,Russell Knox,75,66.58,815,1224,-0.25
66,67,,Alex Cejka,85,66.45,921,1386,-0.22
67,T68,,Kevin Kisner,105,66.43,1124,1692,-0.25
68,T68,,Nick Watney,75,66.43,825,1242,-0.24
69,70,,Tyrone Van Aswegen,105,66.38,1159,1746,-0.24
70,71,,Trey Mullinax,88,66.24,930,1404,-0.29
71,T72,,Branden Grace,70,66.2,703,1062,-0.24
72,T72,,Chris Stroud,67,66.2,703,1062,-0.26
73,74,,Sean O'Hair,84,66.19,977,1476,-0.27
74,75,,Nick Taylor,97,66.14,1131,1710,-0.24
75,76,,Charley Hoffman,112,66.13,1238,1872,-0.3
76,77,,Danny Lee,93,66.1,1059,1602,-0.28
77,78,,James Hahn,96,66.09,1142,1728,-0.25
78,79,,Sung Kang,104,66.07,1213,1836,-0.28
79,T80,,Tom Hoge,54,66.06,547,828,-0.28
80,T80,,Brandt Snedeker,53,66.06,547,828,-0.28
81,82,,Pat Perez,93,66.04,1046,1584,-0.29
82,83,,Ollie Schniederjans,92,66.03,1034,1566,-0.28
83,84,,Kyle Reifers,96,65.97,1045,1584,-0.22
84,T85,,Jamie Lovemark,98,65.94,1092,1656,-0.28
85,T85,,Rory McIlroy,51,65.94,546,828,-0.29
86,T87,,Tag Ridings,67,65.91,700,1062,-0.29
87,T87,,Jhonattan Vegas,95,65.91,1044,1584,-0.26
88,89,,Ryan Palmer,61,65.9,605,918,-0.21
89,90,,Patrick Rodgers,76,65.84,877,1332,-0.22
90,91,,John Huh,92,65.78,1042,1584,-0.24
91,92,,Bryson DeChambeau,91,65.77,1030,1566,-0.26
92,93,,Jim Furyk,54,65.72,556,846,-0.22
93,94,,J.T. Poston,95,65.69,1005,1530,-0.3
94,T95,,Ben Crane,86,65.68,934,1422,-0.24
95,T95,,Michael Kim,94,65.68,1064,1620,-0.27
96,97,,Nicholas Lindheim,58,65.67,662,1008,-0.25
97,98,,Seamus Power,86,65.63,945,1440,-0.28
98,99,,Martin Laird,83,65.61,933,1422,-0.28
99,100,,Mark Anderson,54,65.6,614,936,-0.24
100,101,,Seung-Yul Noh,91,65.58,1027,1566,-0.27
101,102,,Spencer Levin,89,65.56,1003,1530,-0.22
102,103,,Geoff Ogilvy,80,65.51,849,1296,-0.23
103,104,,Kevin Na,86,65.46,919,1404,-0.27
104,105,,Mark Hubbard,81,65.39,871,1332,-0.23
105,106,,Ryan Blaum,100,65.28,1128,1728,-0.27
106,T107,,Smylie Kaufman,76,65.26,834,1278,-0.28
107,T107,,Webb Simpson,102,65.26,1116,1710,-0.28
108,109,,Sam Saunders,76,65.24,822,1260,-0.28
109,110,,Robert Streb,98,65.19,1103,1692,-0.26
110,111,,Steven Alker,69,65.17,739,1134,-0.24
111,112,,Louis Oosthuizen,69,65.13,680,1044,-0.25
112,T113,,Kevin Chappell,95,65.05,1007,1548,-0.28
113,T113,,Ryan Moore,82,65.05,925,1422,-0.28
114,115,,Miguel Angel Carballo,63,64.91,666,1026,-0.25
115,116,,Adam Hadwin,98,64.89,1098,1692,-0.29
116,117,,Brett Drewitt,57,64.78,618,954,-0.22
117,118,,Mackenzie Hughes,106,64.74,1212,1872,-0.26
118,T119,,David Hearn,93,64.71,990,1530,-0.24
119,T119,,Troy Merritt,82,64.71,862,1332,-0.26
120,T119,,Kevin Tway,96,64.71,1025,1584,-0.28
121,122,,Zac Blair,105,64.7,1153,1782,-0.24
122,123,,Fabián Gómez,61,64.69,687,1062,-0.25
123,124,,Hunter Mahan,73,64.55,825,1278,-0.23
124,125,,Byeong Hun An,77,64.52,813,1260,-0.25
125,126,,Brandon Hagy,85,64.5,894,1386,-0.28
126,127,,Ian Poulter,72,64.46,789,1224,-0.25
127,128,,Cameron Tringale,89,64.39,962,1494,-0.26
128,129,,Scott Brown,95,64.35,1054,1638,-0.27
129,130,,Brad Fritsch,56,64.21,601,936,-0.23
130,131,,Zach Johnson,81,64.16,843,1314,-0.27
131,132,,Rod Pampling,71,64.01,818,1278,-0.21
132,T133,,Jason Day,71,63.98,737,1152,-0.34
133,T133,,Tim Wilkinson,64,63.98,668,1044,-0.27
134,135,,Grayson Murray,94,63.95,1036,1620,-0.3
135,T136,,Roberto Castro,70,63.89,759,1188,-0.2
136,T136,,Retief Goosen,52,63.89,529,828,-0.25
137,138,,Jimmy Walker,68,63.75,677,1062,-0.27
138,139,,Harris English,84,63.73,826,1296,-0.26
139,T140,,Ken Duke,77,63.69,814,1278,-0.24
140,T140,,Michael Thompson,60,63.69,642,1008,-0.24
141,142,,Billy Hurley III,80,63.61,916,1440,-0.26
142,143,,Brian Stuard,93,63.59,973,1530,-0.26
143,144,,Morgan Hoffmann,92,63.57,1007,1584,-0.27
144,T145,,Ricky Barnes,100,63.53,1052,1656,-0.27
145,T145,,Brian Gay,82,63.53,892,1404,-0.27
146,147,,Patton Kizzire,84,63.52,869,1368,-0.27
147,148,,Anirban Lahiri,72,63.43,822,1296,-0.32
148,T149,,Brian Campbell,55,63.29,581,918,-0.28
149,T149,,Ryo Ishikawa,56,63.29,638,1008,-0.26
150,151,,Brian Harman,104,63.19,1092,1728,-0.29
151,T152,,Jason Bohn,75,63.15,807,1278,-0.21
152,T152,,Kelly Kraft,75,63.15,807,1278,-0.25
153,T152,,Sebastián Muñoz,51,63.15,557,882,-0.27
154,155,,Cameron Smith,86,63.14,932,1476,-0.31
155,156,,Matt Jones,64,63.1,636,1008,-0.26
156,157,,K.J. Choi,72,63.05,749,1188,-0.25
157,T158,,Daniel Summerhays,100,63.02,1021,1620,-0.28
158,T158,,Bubba Watson,71,63.02,692,1098,-0.27
159,160,,Phil Mickelson,85,62.85,905,1440,-0.32
160,161,,David Lingmerth,79,62.83,803,1278,-0.29
161,162,,Derek Fathauer,81,62.81,848,1350,-0.29
162,163,,Jonathan Randolph,68,62.71,666,1062,-0.26
163,164,,Cody Gribble,79,62.7,869,1386,-0.29
164,165,,Rafa Cabrera Bello,63,62.6,631,1008,-0.26
165,166,,Aaron Baddeley,61,62.57,642,1026,-0.28
166,167,,Graeme McDowell,56,62.55,608,972,-0.28
167,168,,Peter Malnati,91,62.48,956,1530,-0.27
168,169,,Brooks Koepka,88,62.28,852,1368,-0.35
169,170,,Gonzalo Fernandez-Castaño,63,62.2,627,1008,-0.26
170,171,,J.B. Holmes,83,62.19,806,1296,-0.3
171,T172,,Whee Kim,74,62.09,760,1224,-0.29
172,T172,,Patrick Reed,107,62.09,1073,1728,-0.29
173,174,,Søren Kjeldsen,58,62.02,547,882,-0.26
174,175,,Dominic Bozzelli,69,61.97,725,1170,-0.25
175,176,,Luke Donald,50,61.92,535,864,-0.27
176,177,,Camilo Villegas,76,61.88,802,1296,-0.3
177,178,,Bryce Molder,74,61.79,823,1332,-0.24
178,179,,Charl Schwartzel,63,61.69,644,1044,-0.29
179,180,,Jonas Blixt,74,61.51,775,1260,-0.29
180,181,,Steve Wheatcroft,51,60.99,516,846,-0.24
181,182,,Chad Collins,66,60.93,680,1116,-0.25
182,183,,Wesley Bryan,95,60.92,976,1602,-0.28
183,184,,Matt Every,76,60.16,758,1260,-0.3
184,185,,Greg Chalmers,75,59.86,765,1278,-0.26
