,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,,Gary Woodland,94,74.19,138,48
1,2,,Jhonattan Vegas,95,71.84,148,58
2,3,,Tony Finau,106,70.71,198,82
3,4,,Brooks Koepka,88,69.78,127,55
4,5,,Luke List,102,68.15,184,86
5,6,,Marc Leishman,94,67.74,126,60
6,7,,Hideki Matsuyama,83,67.65,115,55
7,8,,Sergio Garcia,65,66.36,73,37
8,9,,Jason Kokrak,95,66.12,160,82
9,10,,Grayson Murray,94,65.65,172,90
10,11,,Ryan Palmer,61,65.38,85,45
11,12,,Rory McIlroy,51,65.31,64,34
12,13,,Justin Rose,66,64.94,100,54
13,14,,Jon Rahm,90,64.5,129,71
14,15,,Charl Schwartzel,63,64.49,89,49
15,16,,Ryan Brehm,83,64.37,112,62
16,17,,Charley Hoffman,112,64.29,180,100
17,18,,Jason Day,71,63.75,102,58
18,19,,Jamie Lovemark,98,63.68,149,85
19,20,,Dustin Johnson,77,63.64,112,64
20,21,,Bubba Watson,71,63.52,101,58
21,T22,,Patrick Cantlay,52,62.5,95,57
22,T22,,Sung Kang,104,62.5,150,90
23,24,,Justin Thomas,86,62.36,111,67
24,25,,Anirban Lahiri,72,62.35,106,64
25,26,,Kevin Tway,96,62.27,137,83
26,27,,Patrick Reed,107,62.08,149,91
27,28,,Smylie Kaufman,76,61.73,121,75
28,29,,Jordan Spieth,85,61.67,111,69
29,30,,Brandon Hagy,85,61.65,127,79
30,31,,Xander Schauffele,96,61.17,115,73
31,32,,Trey Mullinax,88,61.11,121,77
32,33,,Rickie Fowler,78,61.05,105,67
33,34,,Robert Garrigus,78,60.87,112,72
34,35,,Kevin Chappell,95,60.85,129,83
35,36,,Shane Lowry,52,60.0,69,46
36,37,,Rory Sabbatini,71,59.33,89,61
37,38,,J.B. Holmes,83,59.3,102,70
38,39,,Dominic Bozzelli,69,58.93,99,69
39,40,,Andres Gonzales,73,58.86,103,72
40,41,,Daniel Berger,91,58.76,114,80
41,42,,Paul Casey,94,58.67,115,81
42,43,,Keegan Bradley,104,58.65,156,110
43,T44,,Louis Oosthuizen,69,58.09,79,57
44,T44,,Kyle Stanley,104,58.09,158,114
45,46,,Hunter Mahan,73,57.78,104,76
46,47,,Russell Knox,75,57.64,83,61
47,48,,Lucas Glover,93,57.63,151,111
48,49,,William McGirt,89,57.58,114,84
49,50,,Francesco Molinari,75,57.47,100,74
50,T51,,Jim Herman,77,57.14,120,90
51,T51,,Brendan Steele,89,57.14,120,90
52,53,,Hudson Swafford,94,57.08,129,97
53,54,,Boo Weekley,75,57.07,105,79
54,55,,Rod Pampling,71,57.0,114,86
55,56,,Sebastián Muñoz,51,56.78,67,51
56,57,,Rick Lamb,54,56.76,63,48
57,58,,Graham DeLaet,82,56.42,123,95
58,59,,Russell Henley,99,56.41,132,102
59,T60,,Bud Cauley,92,56.36,133,103
60,T60,,J.T. Poston,95,56.36,124,96
61,62,,Sean O'Hair,84,56.16,114,89
62,63,,Seamus Power,86,55.94,113,89
63,64,,Byeong Hun An,77,55.81,96,76
64,65,,Bryson DeChambeau,91,55.78,111,88
65,66,,Adam Scott,58,55.74,68,54
66,67,,Jimmy Walker,68,55.56,80,64
67,68,,Danny Lee,93,55.46,127,102
68,69,,Ollie Schniederjans,92,55.42,133,107
69,70,,Harold Varner III,101,55.38,144,116
70,71,,Brandt Snedeker,53,55.36,62,50
71,72,,Andrew Loupe,55,54.86,79,65
72,73,,Matt Jones,64,54.67,82,68
73,T74,,Mark Hubbard,81,54.55,96,80
74,T74,,C.T. Pan,88,54.55,120,100
75,76,,Emiliano Grillo,90,54.12,105,89
76,77,,James Hahn,96,53.13,136,120
77,78,,Cameron Percy,71,53.09,86,76
78,79,,Mackenzie Hughes,106,53.04,157,139
79,80,,Daniel Summerhays,100,53.02,123,109
80,81,,Jason Dufner,89,52.94,108,96
81,82,,Patrick Rodgers,76,52.66,99,89
82,83,,Fabián Gómez,61,52.53,83,75
83,84,,Nick Taylor,97,52.34,134,122
84,85,,Billy Horschel,88,52.31,113,103
85,86,,Scott Piercy,70,52.14,73,67
86,87,,Martin Flores,88,52.04,102,94
87,88,,Matt Every,76,51.91,95,88
88,89,,Kelly Kraft,75,51.85,98,91
89,90,,Pat Perez,93,51.82,114,106
90,91,,Jonathan Randolph,68,51.75,74,69
91,92,,Cameron Smith,86,51.69,122,114
92,93,,Tag Ridings,67,51.63,79,74
93,94,,Retief Goosen,52,51.54,67,63
94,95,,Charles Howell III,86,51.5,103,97
95,96,,Ryo Ishikawa,56,51.43,72,68
96,97,,Phil Mickelson,85,51.4,110,104
97,98,,Seung-Yul Noh,91,51.29,119,113
98,99,,Robert Streb,98,51.07,119,114
99,100,,Scott Stallings,81,51.04,98,94
100,101,,Kevin Kisner,105,50.97,105,101
101,T102,,Cody Gribble,79,50.93,110,106
102,T102,,Ben Martin,86,50.93,110,106
103,104,,John Huh,92,50.9,113,109
104,105,,Aaron Baddeley,61,50.62,82,80
105,106,,Ian Poulter,72,50.6,84,82
106,107,,Scott Brown,95,50.44,115,113
107,108,,Adam Hadwin,98,50.43,118,116
108,T109,,Julián Etulain,68,50.0,77,77
109,T109,,Michael Kim,94,50.0,124,124
