,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,,Justin Thomas,86,27.27,195,715
1,2,,Dustin Johnson,77,27.2,192,706
2,3,,Rickie Fowler,78,27.16,214,788
3,4,,Jordan Spieth,85,27.14,222,818
4,5,,Jason Day,71,26.67,168,630
5,6,,Brooks Koepka,88,26.32,194,737
6,7,,Scott Piercy,70,25.98,153,589
7,8,,Phil Mickelson,85,25.86,217,839
8,9,,Cameron Smith,86,25.74,225,874
9,10,,Russell Henley,99,25.67,277,1079
10,11,,Jon Rahm,90,25.63,205,800
11,12,,Tony Finau,106,25.33,284,1121
12,13,,Hideki Matsuyama,83,25.26,171,677
13,14,,Robert Garrigus,78,24.9,193,775
14,T15,,Tom Hoge,54,24.68,117,474
15,T15,,Francesco Molinari,75,24.68,195,790
16,17,,Daniel Berger,91,24.54,215,876
17,T18,,Charley Hoffman,112,24.5,268,1094
18,T18,,Justin Rose,66,24.5,159,649
19,20,,Smylie Kaufman,76,24.46,182,744
20,21,,Grayson Murray,94,24.45,254,1039
21,22,,Shane Lowry,52,24.35,113,464
22,23,,Camilo Villegas,76,24.25,186,767
23,24,,Stewart Cink,93,24.22,234,966
24,25,,Jimmy Walker,68,24.19,142,587
25,26,,Jason Dufner,89,24.11,230,954
26,27,,Blayne Barber,77,24.0,216,900
27,28,,Ollie Schniederjans,92,23.93,229,957
28,29,,Sam Saunders,76,23.9,195,816
29,T30,,Marc Leishman,94,23.87,201,842
30,T30,,Luke List,102,23.87,248,1039
31,32,,Patton Kizzire,84,23.83,209,877
32,33,,Gary Woodland,94,23.77,194,816
33,34,,Sebastián Muñoz,51,23.66,110,465
34,35,,Kyle Stanley,104,23.65,310,1311
35,36,,Paul Casey,94,23.59,213,903
36,37,,Keegan Bradley,104,23.58,278,1179
37,38,,J.B. Holmes,83,23.49,152,647
38,39,,Rory Sabbatini,71,23.33,164,703
39,40,,Kevin Tway,96,23.29,201,863
40,41,,Patrick Reed,107,23.21,227,978
41,42,,Xander Schauffele,96,23.18,204,880
42,43,,Graeme McDowell,56,23.15,156,674
43,44,,Rory McIlroy,51,23.1,94,407
44,45,,Brandt Snedeker,53,23.08,114,494
45,46,,Wesley Bryan,95,23.07,224,971
46,47,,Kevin Na,86,23.04,182,790
47,48,,Ryan Blaum,100,23.03,239,1038
48,49,,Brian Harman,104,23.02,244,1060
49,T50,,J.T. Poston,95,23.0,201,874
50,T50,,Brendan Steele,89,23.0,201,874
51,52,,Jhonattan Vegas,95,22.96,191,832
52,53,,Lucas Glover,93,22.95,260,1133
53,54,,Derek Fathauer,81,22.92,179,781
54,55,,Bryson DeChambeau,91,22.87,207,905
55,56,,Matt Kuchar,95,22.81,229,1004
56,57,,Kevin Chappell,95,22.79,193,847
57,58,,Dominic Bozzelli,69,22.77,153,672
58,T59,,Brian Campbell,55,22.71,119,524
59,T59,,Troy Merritt,82,22.71,201,885
60,T61,,Jonas Blixt,74,22.67,170,750
61,T61,,Graham DeLaet,82,22.67,219,966
62,63,,Brad Fritsch,56,22.61,118,522
63,64,,Seamus Power,86,22.58,184,815
64,T65,,Matt Every,76,22.52,159,706
65,T65,,David Lingmerth,79,22.52,191,848
