,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,,Dustin Johnson,77,"27' 10""",706,19644.25,-134.0
1,2,,Tom Hoge,54,"28' 3""",474,13388.667,-49.0
2,3,,Justin Thomas,86,"28' 4""",715,20230.583,-112.0
3,4,,Kevin Na,86,"28' 6""",790,22540.333,-81.0
4,5,,Scott Piercy,70,"28' 7""",589,16824.167,-61.0
5,T6,,Jordan Spieth,85,"28' 9""",818,23491.25,-139.0
6,T6,,Nick Watney,75,"28' 9""",802,23049.0,-60.0
7,8,,Hideki Matsuyama,83,"28' 10""",677,19497.0,-96.0
8,9,,Robert Garrigus,78,"28' 11""",775,22442.083,-90.0
9,10,,Ryan Palmer,61,"29' 2""",561,16351.75,-31.0
10,11,,Stewart Cink,93,"29' 3""",966,28281.583,-118.0
11,T12,,Blayne Barber,77,"29' 4""",900,26393.5,-86.0
12,T12,,Daniel Berger,91,"29' 4""",876,25679.417,-109.0
13,T12,,Ollie Schniederjans,92,"29' 4""",957,28034.917,-103.0
14,T12,,Kyle Stanley,104,"29' 4""",1311,38484.0,-149.0
15,T16,,Brad Fritsch,56,"29' 5""",522,15335.083,-25.0
16,T16,,Rick Lamb,54,"29' 5""",499,14675.167,-33.0
17,T18,,Rickie Fowler,78,"29' 6""",788,23253.0,-130.0
18,T18,,Brooks Koepka,88,"29' 6""",737,21722.5,-95.0
19,T18,,Grayson Murray,94,"29' 6""",1039,30654.75,-94.0
20,T18,,Scott Stallings,81,"29' 6""",864,25466.833,-82.0
21,22,,J.B. Holmes,83,"29' 7""",647,19163.167,-63.0
22,T23,,Wesley Bryan,95,"29' 8""",971,28837.25,-93.0
23,T23,,Chad Campbell,97,"29' 8""",1160,34375.333,-121.0
24,T23,,Tyrone Van Aswegen,105,"29' 8""",1055,31332.75,-74.0
25,T26,,Kevin Kisner,105,"29' 10""",1007,30001.917,-121.0
26,T26,,Chez Reavie,98,"29' 10""",1119,33380.833,-119.0
27,T26,,Gary Woodland,94,"29' 10""",816,24356.833,-86.0
28,T29,,Brett Drewitt,57,"29' 11""",545,16327.0,-28.0
29,T29,,Jim Furyk,54,"29' 11""",574,17174.5,-30.0
30,T29,,Russell Knox,75,"29' 11""",716,21403.25,-41.0
31,T32,,Ryan Armour,63,"30' 0""",712,21343.75,-46.0
32,T32,,Sergio Garcia,65,"30' 0""",525,15733.5,-56.0
33,T32,,Tag Ridings,67,"30' 0""",622,18682.083,-56.0
34,T32,,Hudson Swafford,94,"30' 0""",1007,30168.917,-69.0
35,T32,,Richy Werenski,81,"30' 0""",846,25368.0,-77.0
36,T37,,Steven Alker,69,"30' 1""",722,21740.667,-51.0
37,T37,,Rory Sabbatini,71,"30' 1""",703,21125.583,-69.0
38,T39,,David Hearn,93,"30' 2""",981,29605.833,-47.0
39,T39,,Smylie Kaufman,76,"30' 2""",744,22414.0,-72.0
40,T39,,Ben Martin,86,"30' 2""",957,28836.75,-67.0
41,T42,,Andres Gonzales,73,"30' 3""",695,21021.25,-58.0
42,T42,,Chris Kirk,89,"30' 3""",919,27783.167,-76.0
43,T42,,Patton Kizzire,84,"30' 3""",877,26504.25,-49.0
44,T42,,Troy Merritt,82,"30' 3""",885,26767.0,-77.0
45,T42,,Webb Simpson,102,"30' 3""",1088,32957.0,-115.0
46,T42,,Shawn Stefani,72,"30' 3""",771,23336.5,-68.0
47,T42,,Camilo Villegas,76,"30' 3""",767,23227.667,-72.0
48,T42,,Johnson Wagner,71,"30' 3""",746,22586.417,-49.0
49,T42,,Boo Weekley,75,"30' 3""",866,26186.417,-28.0
50,T51,,Retief Goosen,52,"30' 4""",510,15468.417,-32.0
51,T51,,Trey Mullinax,88,"30' 4""",783,23743.333,-57.0
52,T51,,Brett Stegmaier,78,"30' 4""",768,23286.167,-3.0
53,T51,,Brian Stuard,93,"30' 4""",957,29024.167,-53.0
54,T51,,Vaughn Taylor,90,"30' 4""",1059,32133.0,-85.0
55,T51,,Harold Varner III,101,"30' 4""",1114,33749.5,-92.0
56,T57,,Nicholas Lindheim,58,"30' 5""",552,16767.167,-29.0
57,T57,,J.T. Poston,95,"30' 5""",874,26553.75,-95.0
