,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,,Rory McIlroy,51,"35' 6""",53,1881.5,-8.00
1,2,,Dustin Johnson,77,"37' 1""",110,4075.083,-4.00
2,T3,,Fabián Gómez,61,"38' 1""",61,2324.583,+2.00
3,T3,,Jordan Spieth,85,"38' 1""",110,4187.75,-11.00
4,5,,Harris English,84,"38' 3""",166,6344.5,+17.00
5,6,,Matt Kuchar,95,"38' 4""",111,4252.917,+13.00
6,7,,Roberto Castro,70,"38' 7""",72,2777.833,+2.00
7,T8,,Ken Duke,77,"38' 8""",72,2784.75,+15.00
8,T8,,Jimmy Walker,68,"38' 8""",72,2784.25,+6.00
9,T8,,Bubba Watson,71,"38' 8""",90,3481.75,+7.00
10,11,,Geoff Ogilvy,80,"38' 9""",106,4108.583,+3.00
11,12,,David Lingmerth,79,"39' 0""",121,4716.417,+6.00
12,13,,Danny Lee,93,"39' 4""",130,5108.583,+16.00
13,14,,Nick Watney,75,"39' 6""",126,4976.833,+16.00
14,T15,,Ryan Armour,63,"39' 9""",63,2502.333,+8.00
15,T15,,Jason Bohn,75,"39' 9""",98,3893.667,+16.00
16,T15,,Brad Fritsch,56,"39' 9""",64,2542.917,+11.00
17,T15,,Luke List,102,"39' 9""",156,6198.3330000000005,-6.00
18,T15,,Scott Stallings,81,"39' 9""",149,5927.5,+28.00
19,20,,Bud Cauley,92,"39' 10""",137,5458.25,+14.00
20,T21,,Peter Malnati,91,"39' 11""",105,4195.0,+16.00
21,T21,,Sean O'Hair,84,"39' 11""",131,5225.083,+9.00
22,T21,,Kyle Stanley,104,"39' 11""",111,4429.0,+15.00
23,24,,Phil Mickelson,85,"40' 1""",171,6860.4169999999995,+11.00
24,25,,Chris Kirk,89,"40' 2""",105,4214.333,+22.00
25,26,,Tag Ridings,67,"40' 3""",108,4349.25,-4.00
26,T27,,Gonzalo Fernandez-Castaño,63,"40' 4""",95,3828.917,E
27,T27,,Robert Garrigus,78,"40' 4""",113,4553.417,+12.00
28,29,,Bryce Molder,74,"40' 5""",99,4005.0,+17.00
29,30,,Ernie Els,52,"40' 7""",53,2152.667,+11.00
30,31,,Kevin Na,86,"40' 8""",112,4557.583,-7.00
31,32,,Ian Poulter,72,"40' 10""",80,3267.0,+10.00
32,33,,Mark Anderson,54,"40' 11""",80,3273.667,+4.00
33,34,,Webb Simpson,102,"41' 0""",122,5002.583,+6.00
34,T35,,Retief Goosen,52,"41' 2""",75,3085.083,+12.00
35,T35,,Ryan Palmer,61,"41' 2""",80,3294.75,+20.00
36,T37,,Bill Haas,92,"41' 4""",129,5332.25,+11.00
37,T37,,Nicholas Lindheim,58,"41' 4""",59,2438.917,+6.00
38,39,,Shane Lowry,52,"41' 5""",46,1904.8329999999999,E
39,T40,,Graham DeLaet,82,"41' 6""",109,4523.833,+5.00
40,T40,,Jon Rahm,90,"41' 6""",112,4648.667,-4.00
41,T42,,Tom Hoge,54,"41' 8""",75,3126.75,+2.00
42,T42,,Charles Howell III,86,"41' 8""",113,4710.583,+7.00
43,T44,,Chad Collins,66,"41' 9""",109,4555.167,+10.00
44,T44,,Hideki Matsuyama,83,"41' 9""",83,3464.833,+3.00
45,T44,,Brendan Steele,89,"41' 9""",104,4338.5,+14.00
46,T44,,Boo Weekley,75,"41' 9""",89,3713.333,+7.00
47,T48,,Chad Campbell,97,"41' 10""",150,6270.6669999999995,+18.00
48,T48,,Justin Rose,66,"41' 10""",96,4015.5,-5.00
49,T50,,Anirban Lahiri,72,"41' 11""",87,3644.75,+11.00
50,T50,,Hudson Swafford,94,"41' 11""",141,5906.5,+14.00
51,52,,Billy Hurley III,80,"42' 0""",159,6679.25,+14.00
52,T53,,K.J. Choi,72,"42' 1""",84,3535.417,+8.00
53,T53,,Luke Donald,50,"42' 1""",65,2735.167,+8.00
54,T55,,Steven Alker,69,"42' 2""",66,2781.667,+4.00
55,T55,,Julián Etulain,68,"42' 2""",86,3625.333,+11.00
56,T55,,Cody Gribble,79,"42' 2""",133,5610.8330000000005,-1.00
57,T58,,Francesco Molinari,75,"42' 3""",75,3168.917,+10.00
58,T58,,Rory Sabbatini,71,"42' 3""",71,3002.5,+7.00
59,T58,,Chris Stroud,67,"42' 3""",79,3336.667,+7.00
60,T61,,Rafa Cabrera Bello,63,"42' 4""",64,2710.167,+13.00
61,T61,,Russell Henley,99,"42' 4""",134,5669.5830000000005,+22.00
62,T61,,Morgan Hoffmann,92,"42' 4""",130,5502.9169999999995,+8.00
63,T64,,Brian Gay,82,"42' 5""",111,4712.75,+18.00
64,T64,,Mark Hubbard,81,"42' 5""",111,4706.167,+15.00
65,66,,Tim Wilkinson,64,"42' 6""",82,3482.667,+13.00
66,T67,,Jason Dufner,89,"42' 7""",118,5020.333,+13.00
67,T67,,J.B. Holmes,83,"42' 7""",138,5875.4169999999995,+7.00
68,T67,,Billy Horschel,88,"42' 7""",127,5411.9169999999995,+23.00
69,T67,,Scott Piercy,70,"42' 7""",75,3196.25,+12.00
70,T71,,Scott Brown,95,"42' 8""",132,5633.0830000000005,+17.00
71,T71,,Rick Lamb,54,"42' 8""",66,2815.5,+6.00
72,T71,,Jonathan Randolph,68,"42' 8""",80,3414.75,+14.00
73,74,,Trey Mullinax,88,"42' 9""",160,6835.3330000000005,+15.00
74,75,,Miguel Angel Carballo,63,"42' 11""",74,3177.5,+25.00
75,T76,,Wesley Bryan,95,"43' 1""",145,6247.0830000000005,+22.00
76,T76,,Lucas Glover,93,"43' 1""",119,5123.75,+15.00
77,T76,,D.A. Points,68,"43' 1""",98,4225.333,+8.00
78,T76,,Brandt Snedeker,53,"43' 1""",66,2841.917,+1.00
79,80,,Aaron Baddeley,61,"43' 2""",85,3669.75,+7.00
80,T81,,Ricky Barnes,100,"43' 3""",167,7221.0830000000005,+4.00
81,T81,,Jim Herman,77,"43' 3""",112,4847.917,+4.00
82,83,,Kevin Tway,96,"43' 5""",160,6949.9169999999995,+28.00
83,T84,,Tony Finau,106,"43' 6""",166,7217.6669999999995,+12.00
84,T84,,Jason Kokrak,95,"43' 6""",144,6267.6669999999995,+12.00
85,T84,,Chez Reavie,98,"43' 6""",101,4394.667,+11.00
86,T87,,Martin Flores,88,"43' 7""",151,6576.9169999999995,+6.00
87,T87,,C.T. Pan,88,"43' 7""",146,6366.9169999999995,+14.00
88,T87,,Vaughn Taylor,90,"43' 7""",104,4528.5,+5.00
89,T87,,Johnson Wagner,71,"43' 7""",101,4404.583,+8.00
90,T91,,Byeong Hun An,77,"43' 8""",98,4282.667,+12.00
91,T91,,Marc Leishman,94,"43' 8""",94,4106.167,+14.00
92,T91,,Jhonattan Vegas,95,"43' 8""",140,6111.3330000000005,+15.00
93,94,,Ryan Brehm,83,"43' 9""",166,7260.0830000000005,+12.00
94,95,,Zac Blair,105,"43' 10""",108,4735.083,+15.00
95,T96,,James Hahn,96,"44' 0""",122,5371.6669999999995,+11.00
96,T96,,Mackenzie Hughes,106,"44' 0""",164,7219.5830000000005,+29.00
97,T98,,Patrick Reed,107,"44' 1""",166,7322.4169999999995,+8.00
98,T98,,Cameron Smith,86,"44' 1""",127,5599.5,+10.00
99,T98,,Robert Streb,98,"44' 1""",172,7577.4169999999995,+12.00
100,T101,,Patrick Rodgers,76,"44' 3""",148,6552.1669999999995,+21.00
101,T101,,Justin Thomas,86,"44' 3""",127,5620.5,-2.00
102,T103,,Patrick Cantlay,52,"44' 4""",65,2879.667,-4.00
103,T103,,Kevin Chappell,95,"44' 4""",120,5321.9169999999995,+20.00
104,T105,,Martin Laird,83,"44' 5""",93,4129.75,+10.00
105,T105,,Xander Schauffele,96,"44' 5""",114,5059.083,+11.00
106,T105,,Brian Stuard,93,"44' 5""",126,5591.25,+24.00
107,T108,,Paul Casey,94,"44' 6""",106,4713.667,-2.00
108,T108,,Matt Every,76,"44' 6""",153,6806.9169999999995,+49.00
109,T108,,Derek Fathauer,81,"44' 6""",128,5699.5,+28.00
110,T108,,Zach Johnson,81,"44' 6""",102,4538.917,+21.00
111,112,,Russell Knox,75,"44' 7""",75,3341.75,+13.00
112,T113,,Andrew Loupe,55,"44' 8""",96,4284.75,+19.00
113,T113,,Ryan Moore,82,"44' 8""",87,3888.583,+19.00
114,T115,,Steven Bowditch,59,"44' 10""",129,5782.5830000000005,+37.00
115,T115,,Stewart Cink,93,"44' 10""",161,7221.0830000000005,+14.00
116,T115,,Tyrone Van Aswegen,105,"44' 10""",132,5921.6669999999995,+16.00
117,T118,,Brian Campbell,55,"44' 11""",66,2964.083,+10.00
118,T118,,Ryo Ishikawa,56,"44' 11""",84,3773.667,+15.00
119,T120,,Bryson DeChambeau,91,"45' 1""",117,5277.0,+20.00
120,T120,,Charl Schwartzel,63,"45' 1""",106,4783.167,+2.00
121,T120,,Michael Thompson,60,"45' 1""",88,3967.25,+15.00
122,123,,Greg Chalmers,75,"45' 2""",127,5738.3330000000005,+20.00
123,T124,,Charley Hoffman,112,"45' 3""",139,6294.8330000000005,+4.00
124,T124,,Nick Taylor,97,"45' 3""",131,5924.25,+21.00
125,T126,,Grayson Murray,94,"45' 4""",158,7159.5830000000005,+23.00
126,T126,,Camilo Villegas,76,"45' 4""",139,6305.1669999999995,+9.00
127,T128,,Patton Kizzire,84,"45' 5""",150,6812.1669999999995,+22.00
128,T128,,Spencer Levin,89,"45' 5""",107,4858.667,+25.00
129,130,,Brian Harman,104,"45' 6""",129,5873.4169999999995,+26.00
130,T131,,Jason Day,71,"45' 7""",102,4651.333,+18.00
131,T131,,Matt Jones,64,"45' 7""",95,4330.167,+12.00
132,T131,,Hunter Mahan,73,"45' 7""",90,4099.667,+8.00
133,T134,,Jonas Blixt,74,"45' 8""",110,5027.0,+28.00
134,T134,,Sung Kang,104,"45' 8""",158,7218.1669999999995,+3.00
135,T134,,J.T. Poston,95,"45' 8""",122,5569.0,+7.00
136,T137,,Emiliano Grillo,90,"45' 9""",87,3977.25,+11.00
137,T137,,Troy Merritt,82,"45' 9""",98,4485.417,+15.00
138,T137,,Harold Varner III,101,"45' 9""",143,6538.4169999999995,+18.00
139,T140,,Brandon Hagy,85,"45' 10""",159,7287.0830000000005,+5.00
140,T140,,Pat Perez,93,"45' 10""",109,4998.667,+19.00
141,T142,,Branden Grace,70,"45' 11""",79,3626.583,+7.00
142,T142,,John Huh,92,"45' 11""",138,6340.5830000000005,+14.00
143,T142,,Smylie Kaufman,76,"45' 11""",137,6293.25,+10.00
144,T142,,Jamie Lovemark,98,"45' 11""",139,6387.6669999999995,+5.00
145,146,,Daniel Summerhays,100,"46' 0""",126,5790.9169999999995,+22.00
146,147,,Kevin Kisner,105,"46' 1""",109,5020.833,+3.00
147,T148,,Ryan Blaum,100,"46' 2""",157,7246.5,+19.00
148,T148,,Ben Martin,86,"46' 2""",104,4797.583,+21.00
149,T148,,Louis Oosthuizen,69,"46' 2""",75,3462.833,+12.00
150,151,,Adam Hadwin,98,"46' 3""",122,5641.1669999999995,+15.00
151,152,,Sergio Garcia,65,"46' 4""",81,3754.083,+6.00
152,153,,Daniel Berger,91,"46' 5""",84,3895.75,+1.00
153,T154,,Sam Saunders,76,"46' 6""",75,3489.75,+9.00
154,T154,,Ollie Schniederjans,92,"46' 6""",198,9215.167,+29.00
155,156,,Alex Cejka,85,"46' 7""",106,4936.167,+15.00
156,157,,William McGirt,89,"46' 8""",71,3313.167,+6.00
157,158,,J.J. Henry,92,"46' 9""",133,6212.5830000000005,+20.00
158,T159,,Blayne Barber,77,"46' 10""",115,5383.75,+22.00
159,T159,,Sebastián Muñoz,51,"46' 10""",92,4310.5,+18.00
160,161,,Rod Pampling,71,"46' 11""",81,3800.583,+4.00
161,T162,,Keegan Bradley,104,"47' 3""",128,6049.75,+28.00
162,T162,,Kyle Reifers,96,"47' 3""",115,5433.0,+22.00
163,164,,Carl Pettersson,63,"47' 9""",125,5970.4169999999995,+30.00
164,165,,Ben Crane,86,"47' 10""",95,4542.167,+16.00
165,T166,,Seung-Yul Noh,91,"48' 1""",167,8035.4169999999995,+21.00
166,T166,,J.J. Spaun,92,"48' 1""",100,4806.833,+9.00
167,168,,David Hearn,93,"48' 2""",78,3754.167,+6.00
168,169,,Brett Drewitt,57,"48' 3""",82,3954.583,+16.00
169,170,,Shawn Stefani,72,"48' 4""",112,5410.8330000000005,+19.00
170,171,,Cameron Percy,71,"48' 8""",99,4815.5,+16.00
171,172,,Richy Werenski,81,"48' 9""",105,5119.917,+30.00
172,T173,,Seamus Power,86,"49' 0""",163,7988.0,+11.00
173,T173,,Brett Stegmaier,78,"49' 0""",90,4411.333,+9.00
174,T175,,Brooks Koepka,88,"49' 5""",119,5877.25,+12.00
175,T175,,Kevin Streelman,90,"49' 5""",103,5086.667,+19.00
176,177,,Whee Kim,74,"49' 9""",125,6223.5,+20.00
177,178,,Adam Scott,58,"49' 11""",58,2897.5,+11.00
178,T179,,Kelly Kraft,75,"50' 1""",113,5657.75,+43.00
179,T179,,Gary Woodland,94,"50' 1""",122,6109.9169999999995,+15.00
180,181,,Michael Kim,94,"50' 4""",134,6743.0,+17.00
181,182,,Steve Wheatcroft,51,"50' 6""",68,3434.917,+12.00
182,183,,Andres Gonzales,73,"50' 11""",103,5248.6669999999995,+4.00
183,184,,Cameron Tringale,89,"51' 1""",138,7051.75,+13.00
184,185,,Graeme McDowell,56,"51' 4""",76,3901.083,+21.00
185,186,,Si Woo Kim,80,"51' 5""",101,5193.333,+26.00
186,187,,Dominic Bozzelli,69,"51' 11""",85,4412.417,+17.00
187,188,,Jim Furyk,54,"52' 1""",48,2499.917,+9.00
188,189,,Søren Kjeldsen,58,"53' 2""",47,2498.167,+5.00
189,190,,Rickie Fowler,78,"53' 5""",91,4861.583,+7.00
