,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,,Sam Saunders,76,31.75,67,211
1,2,,Justin Thomas,86,30.68,77,251
2,3,,Cameron Smith,86,30.29,83,274
3,4,,Francesco Molinari,75,29.95,56,187
4,5,,Tim Wilkinson,64,29.94,47,157
5,6,,Xander Schauffele,96,29.48,79,268
6,7,,Vaughn Taylor,90,29.11,85,292
7,8,,Matt Kuchar,95,28.47,80,281
8,9,,Daniel Berger,91,28.27,67,237
9,10,,Sung Kang,104,28.16,78,277
10,11,,Adam Scott,58,28.06,39,139
11,12,,Billy Hurley III,80,27.88,75,269
12,13,,Jason Day,71,27.8,57,205
13,14,,Jon Rahm,90,27.61,82,297
14,15,,Jason Dufner,89,27.54,84,305
15,16,,David Lingmerth,79,27.5,66,240
16,17,,Sebastián Muñoz,51,27.45,42,153
17,18,,Adam Hadwin,98,27.31,71,260
18,19,,Jordan Spieth,85,27.24,70,257
19,20,,Scott Piercy,70,27.08,52,192
20,21,,Graeme McDowell,56,26.97,41,152
21,22,,Gary Woodland,94,26.94,52,193
22,23,,Rickie Fowler,78,26.8,52,194
23,T24,,Søren Kjeldsen,58,26.67,28,105
24,T24,,Louis Oosthuizen,69,26.67,40,150
25,26,,Sean O'Hair,84,26.61,66,248
26,27,,Russell Henley,99,26.57,72,271
27,28,,Ryan Blaum,100,26.48,76,287
28,29,,Phil Mickelson,85,26.45,73,276
29,T30,,Ryan Moore,82,26.34,54,205
30,T30,,Camilo Villegas,76,26.34,54,205
31,32,,Ken Duke,77,26.32,60,228
32,33,,Ricky Barnes,100,26.25,68,259
33,34,,Derek Fathauer,81,26.21,65,248
34,35,,Spencer Levin,89,26.19,55,210
35,T36,,Kyle Stanley,104,26.01,77,296
36,T36,,Bubba Watson,71,26.01,58,223
37,38,,Kevin Kisner,105,25.95,68,262
38,39,,Troy Merritt,82,25.64,70,273
39,40,,Wesley Bryan,95,25.53,60,235
40,41,,Chris Kirk,89,25.42,76,299
41,42,,Paul Casey,94,25.38,50,197
42,43,,Fabián Gómez,61,25.27,46,182
43,T44,,Roberto Castro,70,25.0,56,224
44,T44,,Stewart Cink,93,25.0,75,300
45,T44,,Jamie Lovemark,98,25.0,73,292
46,T47,,Ryan Armour,63,24.86,44,177
47,T47,,Gonzalo Fernandez-Castaño,63,24.86,45,181
48,T49,,Robert Garrigus,78,24.78,56,226
49,T49,,Ben Martin,86,24.78,57,230
50,51,,Blayne Barber,77,24.74,72,291
51,52,,Johnson Wagner,71,24.62,49,199
52,53,,Harold Varner III,101,24.53,79,322
53,54,,Dustin Johnson,77,24.45,67,274
54,55,,Chad Campbell,97,24.44,65,266
55,56,,Marc Leishman,94,24.42,53,217
56,57,,Patton Kizzire,84,24.36,67,275
57,T58,,Kelly Kraft,75,24.31,53,218
58,T58,,Pat Perez,93,24.31,62,255
59,60,,J.B. Holmes,83,24.29,60,247
60,61,,Zach Johnson,81,24.28,59,243
61,T62,,Bryson DeChambeau,91,24.21,61,252
62,T62,,Brendan Steele,89,24.21,61,252
63,64,,Rod Pampling,71,24.2,53,219
64,65,,Tom Hoge,54,24.18,37,153
65,66,,Michael Kim,94,24.03,68,283
66,67,,Branden Grace,70,24.02,43,179
67,68,,Webb Simpson,102,23.9,65,272
68,T69,,Brian Campbell,55,23.67,40,169
69,T69,,Bud Cauley,92,23.67,67,283
70,71,,Mackenzie Hughes,106,23.53,88,374
71,T72,,Steven Alker,69,23.5,47,200
72,T72,,Chad Collins,66,23.5,43,183
73,74,,Patrick Reed,107,23.48,77,328
74,75,,Brett Drewitt,57,23.46,42,179
75,76,,Ryan Brehm,83,23.4,62,265
76,77,,Alex Cejka,85,23.36,50,214
77,78,,J.T. Poston,95,23.35,60,257
78,T79,,Jim Furyk,54,23.33,28,120
79,T79,,Morgan Hoffmann,92,23.33,77,330
80,81,,Grayson Murray,94,23.31,86,369
81,82,,Seamus Power,86,23.29,58,249
82,83,,Chez Reavie,98,23.27,64,275
83,84,,Smylie Kaufman,76,23.22,62,267
84,85,,Sergio Garcia,65,23.21,39,168
85,86,,Brooks Koepka,88,23.11,55,238
86,87,,Keegan Bradley,104,23.08,63,273
87,88,,Peter Malnati,91,23.05,71,308
