,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,,Ryan Armour,63,"32' 8""",28609.667,876,5
1,T2,,Dustin Johnson,77,"33' 1""",33578.333,1016,9
2,T2,,Nick Watney,75,"33' 1""",37789.083,1141,68
3,4,,Boo Weekley,75,"33' 2""",36163.25,1091,20
4,T5,,Chez Reavie,98,"33' 4""",46837.25,1406,54
5,T5,,Jordan Spieth,85,"33' 4""",38034.833,1142,4
6,T5,,Kyle Stanley,104,"33' 4""",55868.417,1676,2
7,T8,,Blayne Barber,77,"33' 7""",39877.0,1187,31
8,T8,,Scott Stallings,81,"33' 7""",40820.167,1216,27
9,10,,Webb Simpson,102,"33' 8""",47904.0,1423,107
10,11,,Kevin Na,86,"33' 10""",37292.917,1103,104
11,T12,,Steven Alker,69,"33' 11""",30770.333,907,111
12,T12,,Jim Furyk,54,"33' 11""",24201.25,713,93
13,T14,,Tom Hoge,54,"34' 0""",23582.833,693,80
14,T14,,Brian Stuard,93,"34' 0""",40615.5,1195,143
15,T16,,Chad Campbell,97,"34' 1""",51650.667,1517,16
16,T16,,Vaughn Taylor,90,"34' 1""",45895.917,1346,62
17,18,,Jason Dufner,89,"34' 2""",42811.5,1252,46
18,19,,Scott Piercy,70,"34' 3""",28607.833,836,57
19,20,,Rick Lamb,54,"34' 4""",23197.667,675,55
20,T21,,Robert Garrigus,78,"34' 5""",36647.583,1065,10
21,T21,,Ben Martin,86,"34' 5""",43021.25,1251,64
22,T21,,Johnson Wagner,71,"34' 5""",34686.0,1008,52
23,T24,,Brett Drewitt,57,"34' 6""",26419.833,765,117
24,T24,,Rory Sabbatini,71,"34' 6""",32566.167,944,39
25,T26,,Graham DeLaet,82,"34' 7""",43819.667,1266,21
26,T26,,Lucas Glover,93,"34' 7""",51609.833,1492,3
27,T26,,Russell Knox,75,"34' 7""",32029.333,927,66
28,T29,,Hideki Matsuyama,83,"34' 8""",34013.833,981,14
29,T29,,Hudson Swafford,94,"34' 8""",47038.167,1356,23
30,T31,,Ken Duke,77,"34' 9""",37005.25,1064,140
31,T31,,Emiliano Grillo,90,"34' 9""",39680.667,1142,48
32,T31,,Richy Werenski,81,"34' 9""",37952.25,1092,36
33,34,,Justin Thomas,86,"34' 10""",37766.167,1084,40
34,T35,,Wesley Bryan,95,"34' 11""",46480.5,1332,183
35,T35,,Stewart Cink,93,"34' 11""",48076.167,1377,22
36,T35,,David Hearn,93,"34' 11""",44157.0,1266,119
37,T35,,Ryan Moore,82,"34' 11""",40322.417,1155,113
38,T35,,Tyrone Van Aswegen,105,"34' 11""",49932.833,1430,70
39,T40,,Jason Bohn,75,"35' 0""",38486.5,1100,152
40,T40,,Rickie Fowler,78,"35' 0""",36567.667,1045,50
41,T40,,Brad Fritsch,56,"35' 0""",26288.0,751,130
