,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
0,1,,Luke Donald,50,92.38,97,105,-0.46
1,2,,Tim Wilkinson,64,90.91,110,121,-0.57
2,3,,Lucas Glover,93,90.36,253,280,-0.54
3,4,,Jordan Spieth,85,90.04,226,251,-0.59
4,5,,Troy Merritt,82,89.77,193,215,-0.54
5,6,,Zac Blair,105,89.15,189,212,-0.47
6,7,,Jim Furyk,54,89.01,81,91,-0.51
7,8,,Patton Kizzire,84,88.67,180,203,-0.48
8,9,,Andres Gonzales,73,88.66,172,194,-0.51
9,10,,Pat Perez,93,88.48,215,243,-0.58
10,11,,Robert Garrigus,78,88.38,175,198,-0.47
11,12,,Rickie Fowler,78,88.32,174,197,-0.62
12,T13,,Rod Pampling,71,88.21,187,212,-0.47
13,T13,,Cameron Smith,86,88.21,217,246,-0.61
14,15,,Seung-Yul Noh,91,88.19,209,237,-0.52
15,16,,Spencer Levin,89,88.05,140,159,-0.54
16,17,,Patrick Cantlay,52,88.02,147,167,-0.59
17,18,,Ben Martin,86,88.0,176,200,-0.49
18,19,,Jim Herman,77,87.93,204,232,-0.47
19,20,,Justin Rose,66,87.89,167,190,-0.57
20,21,,Kyle Stanley,104,87.85,253,288,-0.57
21,22,,Tony Finau,106,87.82,339,386,-0.6
22,23,,Gary Woodland,94,87.78,194,221,-0.64
23,24,,Vaughn Taylor,90,87.66,206,235,-0.5
24,25,,Bryce Molder,74,87.65,142,162,-0.45
25,26,,Harris English,84,87.63,163,186,-0.56
26,27,,Webb Simpson,102,87.61,198,226,-0.57
27,28,,Boo Weekley,75,87.5,168,192,-0.48
28,29,,Geoff Ogilvy,80,87.43,167,191,-0.48
29,30,,K.J. Choi,72,87.41,125,143,-0.54
30,T31,,Rory Sabbatini,71,87.36,152,174,-0.53
31,T31,,Jhonattan Vegas,95,87.36,242,277,-0.53
32,33,,David Hearn,93,87.34,138,158,-0.5
33,34,,Charles Howell III,86,87.28,199,228,-0.52
34,35,,Nicholas Lindheim,58,87.27,96,110,-0.56
35,36,,Justin Thomas,86,87.21,225,258,-0.6
36,37,,Adam Hadwin,98,87.08,209,240,-0.55
37,38,,Brandt Snedeker,53,86.96,120,138,-0.44
38,T39,,Brian Gay,82,86.89,159,183,-0.56
39,T39,,Kelly Kraft,75,86.89,179,206,-0.51
40,41,,Chris Stroud,67,86.82,112,129,-0.54
41,42,,Ricky Barnes,100,86.79,184,212,-0.59
42,43,,Alex Cejka,85,86.78,151,174,-0.46
43,44,,Ryan Moore,82,86.77,164,189,-0.64
44,45,,Miguel Angel Carballo,63,86.75,131,151,-0.51
45,46,,Aaron Baddeley,61,86.71,137,158,-0.45
46,T47,,Ryan Armour,63,86.67,91,105,-0.54
47,T47,,Kevin Na,86,86.67,156,180,-0.54
48,49,,Robert Streb,98,86.64,227,262,-0.49
49,50,,David Lingmerth,79,86.57,187,216,-0.55
50,51,,Mark Hubbard,81,86.55,148,171,-0.57
51,52,,D.A. Points,68,86.54,135,156,-0.51
52,T53,,Charley Hoffman,112,86.47,294,340,-0.57
53,T53,,Sebastián Muñoz,51,86.47,115,133,-0.53
54,T55,,Chad Collins,66,86.43,121,140,-0.57
55,T55,,Adam Scott,58,86.43,121,140,-0.46
56,57,,Dustin Johnson,77,86.42,210,243,-0.58
57,T58,,J.J. Henry,92,86.32,183,212,-0.55
58,T58,,Xander Schauffele,96,86.32,202,234,-0.57
59,60,,C.T. Pan,88,86.3,189,219,-0.47
60,61,,Bud Cauley,92,86.28,239,277,-0.55
61,62,,Louis Oosthuizen,69,86.25,138,160,-0.62
62,63,,Billy Horschel,88,86.24,188,218,-0.46
63,64,,Morgan Hoffmann,92,86.23,238,276,-0.56
64,65,,Jon Rahm,90,86.22,244,283,-0.55
65,66,,Martin Flores,88,86.21,200,232,-0.5
66,67,,Brooks Koepka,88,86.18,212,246,-0.64
67,68,,Hideki Matsuyama,83,86.16,193,224,-0.6
68,69,,J.T. Poston,95,86.15,199,231,-0.52
69,70,,Steven Alker,69,86.14,87,101,-0.53
70,T71,,Ken Duke,77,86.13,149,173,-0.47
71,T71,,Ollie Schniederjans,92,86.13,267,310,-0.5
72,73,,Charl Schwartzel,63,86.06,142,165,-0.65
73,T74,,Chad Campbell,97,86.05,185,215,-0.55
74,T74,,Rick Lamb,54,86.05,111,129,-0.52
75,T74,,Scott Stallings,81,86.05,185,215,-0.49
76,77,,J.J. Spaun,92,86.04,191,222,-0.48
77,78,,Luke List,102,86.01,295,343,-0.63
78,T79,,Jason Dufner,89,85.98,184,214,-0.56
79,T79,,Seamus Power,86,85.98,184,214,-0.56
80,81,,Scott Piercy,70,85.96,147,171,-0.46
81,82,,Cameron Tringale,89,85.8,145,169,-0.59
82,83,,Keegan Bradley,104,85.76,247,288,-0.51
83,T84,,Retief Goosen,52,85.71,102,119,-0.53
84,T84,,Jimmy Walker,68,85.71,150,175,-0.53
85,86,,Chez Reavie,98,85.65,185,216,-0.46
86,87,,Matt Every,76,85.64,173,202,-0.57
87,88,,Daniel Summerhays,100,85.59,202,236,-0.58
88,89,,Brendan Steele,89,85.55,225,263,-0.52
89,90,,Daniel Berger,91,85.53,195,228,-0.61
90,91,,Russell Knox,75,85.44,135,158,-0.56
91,T92,,Søren Kjeldsen,58,85.37,70,82,-0.56
92,T92,,Richy Werenski,81,85.37,140,164,-0.51
93,94,,Brian Harman,104,85.32,215,252,-0.58
94,95,,Peter Malnati,91,85.12,183,215,-0.48
95,96,,Hudson Swafford,94,85.08,211,248,-0.56
96,97,,Sam Saunders,76,85.06,148,174,-0.58
97,T98,,Bill Haas,92,85.05,165,194,-0.48
98,T98,,Kevin Kisner,105,85.05,182,214,-0.57
99,100,,Fabián Gómez,61,85.03,142,167,-0.53
100,101,,Mackenzie Hughes,106,84.95,271,319,-0.59
101,102,,Branden Grace,70,84.94,141,166,-0.49
102,103,,Roberto Castro,70,84.87,129,152,-0.48
103,T104,,Wesley Bryan,95,84.86,157,185,-0.6
104,T104,,Trey Mullinax,88,84.86,213,251,-0.5
105,T106,,Matt Kuchar,95,84.85,196,231,-0.56
106,T106,,Shawn Stefani,72,84.85,168,198,-0.48
107,T108,,Sung Kang,104,84.84,235,277,-0.64
108,T108,,Marc Leishman,94,84.84,207,244,-0.66
109,110,,Kyle Reifers,96,84.83,179,211,-0.51
110,111,,Bubba Watson,71,84.82,190,224,-0.53
111,T112,,Brandon Hagy,85,84.81,229,270,-0.59
112,T112,,Martin Laird,83,84.81,201,237,-0.5
113,114,,Zach Johnson,81,84.78,156,184,-0.49
114,115,,Patrick Reed,107,84.76,278,328,-0.51
115,116,,Shane Lowry,52,84.75,100,118,-0.66
116,T117,,Ryan Brehm,83,84.65,204,241,-0.55
117,T117,,Sean O'Hair,84,84.65,204,241,-0.56
118,119,,Dominic Bozzelli,69,84.62,154,182,-0.53
119,120,,Harold Varner III,101,84.59,247,292,-0.49
120,121,,Tom Hoge,54,84.55,93,110,-0.49
121,122,,Matt Jones,64,84.52,142,168,-0.54
122,123,,William McGirt,89,84.51,180,213,-0.54
123,124,,Smylie Kaufman,76,84.49,207,245,-0.55
124,125,,Ben Crane,86,84.42,168,199,-0.4
125,126,,Jason Day,71,84.4,184,218,-0.63
126,127,,Johnson Wagner,71,84.31,129,153,-0.51
127,128,,Mark Anderson,54,84.25,107,127,-0.5
128,T129,,Steven Bowditch,59,84.21,96,114,-0.41
129,T129,,Russell Henley,99,84.21,208,247,-0.59
130,T129,,Chris Kirk,89,84.21,176,209,-0.49
131,132,,Graham DeLaet,82,84.19,181,215,-0.58
132,133,,Gonzalo Fernandez-Castaño,63,84.09,111,132,-0.58
133,134,,Jason Bohn,75,84.05,137,163,-0.42
134,T135,,Kevin Chappell,95,83.77,222,265,-0.57
135,T135,,Kevin Tway,96,83.77,258,308,-0.51
136,137,,Brian Stuard,93,83.66,128,153,-0.48
137,138,,Emiliano Grillo,90,83.58,168,201,-0.46
138,T139,,Derek Fathauer,81,83.52,152,182,-0.59
139,T139,,Phil Mickelson,85,83.52,223,267,-0.62
140,141,,Paul Casey,94,83.49,177,212,-0.57
141,T142,,Anirban Lahiri,72,83.41,176,211,-0.58
142,T142,,Tyrone Van Aswegen,105,83.41,181,217,-0.56
143,T144,,Bryson DeChambeau,91,83.4,196,235,-0.49
144,T144,,Kevin Streelman,90,83.4,216,259,-0.43
145,146,,Patrick Rodgers,76,83.26,189,227,-0.43
146,T147,,John Huh,92,83.25,164,197,-0.51
147,T147,,Billy Hurley III,80,83.25,174,209,-0.52
148,149,,Jason Kokrak,95,83.22,238,286,-0.52
149,150,,Michael Kim,94,83.19,198,238,-0.57
150,T151,,Francesco Molinari,75,83.16,163,196,-0.54
151,T151,,Nick Watney,75,83.16,163,196,-0.55
152,153,,Ryo Ishikawa,56,83.08,108,130,-0.54
153,154,,Cameron Percy,71,83.05,147,177,-0.45
