,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,,Gary Woodland,94,81.95,572,698
1,2,,Kyle Stanley,104,81.71,782,957
2,3,,Hideki Matsuyama,83,81.48,475,583
3,4,,Marc Leishman,94,81.41,565,694
4,5,,Stewart Cink,93,81.1,545,672
5,6,,Jordan Spieth,85,80.91,500,618
6,7,,Sergio Garcia,65,80.85,401,496
7,8,,Martin Flores,88,80.74,482,597
8,9,,Dustin Johnson,77,80.71,435,539
9,10,,Scott Stallings,81,80.39,492,612
10,11,,Charles Howell III,86,80.35,503,626
11,12,,Kevin Tway,96,80.19,518,646
12,13,,Patrick Cantlay,52,79.76,327,410
13,14,,Jason Dufner,89,79.69,565,709
14,T15,,Paul Casey,94,79.58,608,764
15,T15,,Pat Perez,93,79.58,604,759
16,17,,Luke List,102,79.5,605,761
17,T18,,Rory McIlroy,51,79.38,281,354
18,T18,,Seung-Yul Noh,91,79.38,512,645
19,20,,Kevin Chappell,95,79.37,550,693
20,T21,,Lucas Glover,93,79.3,636,802
21,T21,,Shawn Stefani,72,79.3,456,575
22,23,,Justin Rose,66,79.29,402,507
23,24,,Adam Scott,58,79.27,348,439
24,25,,Keegan Bradley,104,79.25,718,906
25,26,,Jon Rahm,90,79.22,526,664
26,27,,Smylie Kaufman,76,79.19,430,543
27,T28,,Rickie Fowler,78,79.15,505,638
28,T28,,Harold Varner III,101,79.15,653,825
29,30,,Justin Thomas,86,79.09,450,569
30,31,,Robert Garrigus,78,79.06,472,597
31,32,,Jason Kokrak,95,78.99,594,752
32,33,,Tony Finau,106,78.85,660,837
33,T34,,Bud Cauley,92,78.83,566,718
34,T34,,J.J. Henry,92,78.83,592,751
35,T34,,Charley Hoffman,112,78.83,663,841
36,37,,Trey Mullinax,88,78.79,457,580
37,38,,Daniel Berger,91,78.78,557,707
38,39,,Ollie Schniederjans,92,78.76,497,631
39,40,,Ryan Brehm,83,78.74,411,522
40,41,,Xander Schauffele,96,78.73,559,710
41,T42,,Jason Day,71,78.67,380,483
42,T42,,Jhonattan Vegas,95,78.67,557,708
43,44,,Cameron Percy,71,78.61,430,547
44,45,,Chad Campbell,97,78.57,715,910
45,46,,Tag Ridings,67,78.54,377,480
46,47,,Billy Horschel,88,78.49,551,702
47,48,,Hudson Swafford,94,78.47,594,757
48,49,,Andres Gonzales,73,78.44,422,538
49,50,,Bill Haas,92,78.35,514,656
50,51,,Patrick Rodgers,76,78.24,428,547
