,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,T1,,Brian Campbell,55,153.2,67267800.0,122
1,T1,,Tag Ridings,67,153.2,78308200.0,142
2,3,,Gonzalo Fernandez-Castaño,63,153.8,66461800.0,120
3,4,,Dustin Johnson,77,154.0,66525300.0,120
4,5,,Mark Anderson,54,154.7,67374600.0,121
5,6,,Miguel Angel Carballo,63,154.9,80843200.0,145
6,7,,Grayson Murray,94,155.0,154524700.0,277
7,T8,,Chad Collins,66,155.1,87122200.0,156
8,T8,,Rickie Fowler,78,155.1,75377400.0,135
9,10,,Kevin Tway,96,155.9,121750900.0,217
10,11,,Ryan Brehm,83,156.1,102249000.0,182
11,12,,Andrew Loupe,55,156.2,99529100.0,177
12,13,,Peter Malnati,91,156.4,116016300.0,206
13,14,,Smylie Kaufman,76,156.5,103106200.0,183
14,T15,,Brett Drewitt,57,156.8,77317200.0,137
15,T15,,Scott Piercy,70,156.8,90341500.0,160
16,17,,Jason Bohn,75,157.2,106964900.0,189
17,18,,Brad Fritsch,56,157.5,87900800.0,155
18,19,,Boo Weekley,75,157.7,108981300.0,192
19,20,,Tyrone Van Aswegen,105,157.8,135782000.0,239
20,21,,J.B. Holmes,83,157.9,100028900.0,176
21,22,,Matt Every,76,158.0,136504800.0,240
22,T23,,Sebastián Muñoz,51,158.1,67147900.0,118
23,T23,,Sean O'Hair,84,158.1,108130500.0,190
24,25,,Rory McIlroy,51,158.3,51854300.0,91
25,T26,,Cody Gribble,79,158.5,129566500.0,227
26,T26,,Hudson Swafford,94,158.5,119264100.0,209
27,28,,Retief Goosen,52,158.6,70806500.0,124
28,T29,,Mackenzie Hughes,106,158.7,162247200.0,284
29,T29,,Geoff Ogilvy,80,158.7,105134400.0,184
30,T29,,Michael Thompson,60,158.7,81695100.0,143
31,T32,,Jason Day,71,158.8,90332800.0,158
32,T32,,Derek Fathauer,81,158.8,122302800.0,214
33,T32,,Whee Kim,74,158.8,101212300.0,177
34,T32,,Phil Mickelson,85,158.8,108585700.0,190
35,T36,,Steven Alker,69,158.9,82959000.0,145
36,T36,,Rick Lamb,54,158.9,65220000.0,114
37,T36,,Brandt Snedeker,53,158.9,55474700.0,97
38,T36,,Kevin Streelman,90,158.9,121274300.0,212
39,T40,,Blayne Barber,77,159.0,109336900.0,191
40,T40,,Trey Mullinax,88,159.0,111648400.0,195
41,42,,Harris English,84,159.1,108820300.0,190
42,T43,,Rafa Cabrera Bello,63,159.3,73388400.0,128
43,T43,,Brandon Hagy,85,159.3,117578400.0,205
44,45,,Bryson DeChambeau,91,159.4,124556900.0,217
45,T46,,Stewart Cink,93,159.5,117725000.0,205
46,T46,,Ryo Ishikawa,56,159.5,78087600.0,136
47,T48,,Matt Jones,64,159.6,85604300.0,149
48,T48,,Brooks Koepka,88,159.6,109168300.0,190
49,T48,,Nick Taylor,97,159.6,137906400.0,240
50,T51,,Steven Bowditch,59,159.7,108651500.0,189
51,T51,,Ernie Els,52,159.7,63799400.0,111
52,T51,,Martin Laird,83,159.7,102336500.0,178
53,T51,,Shane Lowry,52,159.7,54602500.0,95
54,55,,J.T. Poston,95,159.8,112775500.0,196
55,T56,,Martin Flores,88,159.9,104750700.0,182
56,T56,,Ollie Schniederjans,92,159.9,132994400.0,231
57,58,,Marc Leishman,94,160.0,97938900.0,170
58,59,,Alex Cejka,85,160.1,99140000.0,172
59,60,,Troy Merritt,82,160.2,111286500.0,193
60,T61,,Morgan Hoffmann,92,160.3,137907100.0,239
61,T61,,Seung-Yul Noh,91,160.3,126352200.0,219
62,T61,,Cameron Tringale,89,160.3,116020700.0,201
63,64,,Anirban Lahiri,72,160.4,114897700.0,199
64,T65,,Billy Horschel,88,160.5,127723500.0,221
65,T65,,Hideki Matsuyama,83,160.5,83223700.0,144
66,T65,,Rory Sabbatini,71,160.5,88405000.0,153
67,T68,,Adam Scott,58,160.7,64779200.0,112
68,T68,,Brett Stegmaier,78,160.7,119182600.0,206
69,70,,Dominic Bozzelli,69,160.8,106495700.0,184
70,71,,Kelly Kraft,75,160.9,134932200.0,233
71,T72,,Greg Chalmers,75,161.1,124131800.0,214
72,T72,,Graham DeLaet,82,161.1,111347100.0,192
73,T72,,Chris Kirk,89,161.1,118321300.0,204
74,T72,,Nicholas Lindheim,58,161.1,85809500.0,148
75,76,,Carl Pettersson,63,161.2,112011800.0,193
76,T77,,Andres Gonzales,73,161.3,90562700.0,156
77,T77,,Pat Perez,93,161.3,102225400.0,176
78,T77,,Jonathan Randolph,68,161.3,87689300.0,151
79,T77,,Charl Schwartzel,63,161.3,80692900.0,139
80,81,,Hunter Mahan,73,161.4,108066200.0,186
81,T82,,Ben Martin,86,161.5,116271900.0,200
82,T82,,Ryan Palmer,61,161.5,79062200.0,136
83,84,,Julián Etulain,68,161.6,86678200.0,149
84,85,,David Hearn,93,161.7,115808000.0,199
85,T86,,Jon Rahm,90,161.8,88540600.0,152
86,T86,,Jhonattan Vegas,95,161.8,115327900.0,198
87,T88,,Si Woo Kim,80,161.9,115395900.0,198
88,T88,,Nick Watney,75,161.9,106078100.0,182
89,90,,Jonas Blixt,74,162.0,109040700.0,187
90,T91,,J.J. Henry,92,162.1,124913400.0,214
91,T91,,C.T. Pan,88,162.1,114390100.0,196
92,T93,,Ken Duke,77,162.3,106317000.0,182
93,T93,,Luke List,102,162.3,150751300.0,258
94,T93,,Xander Schauffele,96,162.3,105772800.0,181
95,96,,Seamus Power,86,162.4,107547900.0,184
96,T97,,Ricky Barnes,100,162.5,123990100.0,212
97,T97,,Lucas Glover,93,162.5,117002500.0,200
98,T97,,Patton Kizzire,84,162.5,138092600.0,236
99,T97,,Scott Stallings,81,162.5,118760800.0,203
100,T101,,Kevin Chappell,95,162.8,123625900.0,211
101,T101,,Michael Kim,94,162.8,138897700.0,237
102,103,,Bill Haas,92,162.9,97342500.0,166
103,104,,Cameron Smith,86,163.0,115567900.0,197
104,105,,Sam Saunders,76,163.1,110982400.0,189
105,T106,,Robert Garrigus,78,163.2,103408100.0,176
106,T106,,Charles Howell III,86,163.2,103430100.0,176
107,108,,Patrick Rodgers,76,163.3,132857000.0,226
108,109,,David Lingmerth,79,163.4,115888400.0,197
109,110,,Brian Harman,104,163.5,123585700.0,210
110,T111,,Ryan Blaum,100,163.6,139622800.0,237
111,T111,,Bryce Molder,74,163.6,122505900.0,208
112,T111,,Daniel Summerhays,100,163.6,128953900.0,219
113,T114,,Scott Brown,95,163.7,129660300.0,220
114,T114,,Jordan Spieth,85,163.7,80169400.0,136
115,116,,Danny Lee,93,163.8,132108000.0,224
116,T117,,Sergio Garcia,65,164.2,67390800.0,114
117,T117,,Brian Gay,82,164.2,104630100.0,177
118,T119,,Byeong Hun An,77,164.3,105890800.0,179
119,T119,,Steve Wheatcroft,51,164.3,68021500.0,115
120,T121,,Tony Finau,106,164.4,137322000.0,232
121,T121,,Billy Hurley III,80,164.4,120770900.0,204
122,T121,,Zach Johnson,81,164.4,99447000.0,168
123,T121,,Harold Varner III,101,164.4,153893500.0,260
124,125,,J.J. Spaun,92,164.6,122688000.0,207
125,T126,,Mark Hubbard,81,164.8,99678500.0,168
126,T126,,Justin Thomas,86,164.8,88997300.0,150
127,128,,Keegan Bradley,104,164.9,138936300.0,234
128,129,,K.J. Choi,72,165.0,88507200.0,149
129,130,,Jason Dufner,89,165.3,122554800.0,206
130,T131,,Emiliano Grillo,90,165.4,109585500.0,184
131,T131,,Patrick Reed,107,165.4,125631500.0,211
132,133,,Jim Herman,77,165.5,111995900.0,188
133,T134,,Russell Henley,99,165.6,131188400.0,220
134,T134,,Brendan Steele,89,165.6,108485300.0,182
135,T134,,Jimmy Walker,68,165.6,89430000.0,150
136,137,,Jason Kokrak,95,165.8,153379400.0,257
137,138,,Bud Cauley,92,165.9,126649800.0,212
138,T139,,Adam Hadwin,98,166.0,114136600.0,191
139,T139,,Cameron Percy,71,166.0,89658600.0,150
140,T139,,Shawn Stefani,72,166.0,98580700.0,165
141,T139,,Robert Streb,98,166.0,148779900.0,249
142,T139,,Camilo Villegas,76,166.0,112915900.0,189
143,144,,Charley Hoffman,112,166.1,150097000.0,251
144,145,,Chad Campbell,97,166.2,119031700.0,199
145,146,,Kyle Reifers,96,166.3,132284500.0,221
146,147,,Webb Simpson,102,166.4,113248100.0,189
147,T148,,William McGirt,89,166.6,110947700.0,185
148,T148,,Richy Werenski,81,166.6,101388700.0,169
149,150,,Aaron Baddeley,61,166.7,81634200.0,136
150,151,,Matt Kuchar,95,166.8,105107500.0,175
151,152,,Justin Rose,66,166.9,75721700.0,126
152,153,,Russell Knox,75,167.2,99896400.0,166
153,T154,,Jamie Lovemark,98,167.3,127675600.0,212
154,T154,,Ian Poulter,72,167.3,83106000.0,138
155,156,,Tom Hoge,54,167.4,68695400.0,114
156,157,,Bubba Watson,71,167.5,94695300.0,157
157,T158,,Zac Blair,105,167.7,129771200.0,215
158,T158,,Vaughn Taylor,90,167.7,118331500.0,196
159,160,,Sung Kang,104,168.0,147540900.0,244
160,T161,,Roberto Castro,70,168.1,92598600.0,153
161,T161,,John Huh,92,168.1,119853600.0,198
162,T161,,Johnson Wagner,71,168.1,98038600.0,162
163,164,,Kevin Kisner,105,168.2,106549500.0,176
164,165,,Tim Wilkinson,64,168.3,74537100.0,123
165,166,,Gary Woodland,94,168.6,104985100.0,173
166,167,,D.A. Points,68,168.7,106291700.0,175
167,T168,,Søren Kjeldsen,58,168.9,71149900.0,117
168,T168,,Spencer Levin,89,168.9,115528700.0,190
169,170,,Daniel Berger,91,169.0,104014800.0,171
170,T171,,Fabián Gómez,61,169.4,89035400.0,146
171,T171,,Branden Grace,70,169.4,68315400.0,112
172,173,,Louis Oosthuizen,69,169.6,66563100.0,109
173,174,,Chez Reavie,98,169.7,113013700.0,185
174,175,,Wesley Bryan,95,169.9,133307100.0,218
175,176,,Paul Casey,94,170.0,93010200.0,152
176,177,,Rod Pampling,71,170.1,136528000.0,223
177,178,,James Hahn,96,170.3,133657900.0,218
178,179,,Ryan Moore,82,170.4,116529200.0,190
179,T180,,Ryan Armour,63,170.5,82263000.0,134
180,T180,,Kyle Stanley,104,170.5,153452400.0,250
181,182,,Graeme McDowell,56,170.6,91532700.0,149
182,183,,Patrick Cantlay,52,170.9,66457800.0,108
183,184,,Kevin Na,86,171.2,101100400.0,164
184,185,,Luke Donald,50,171.3,78948600.0,128
185,186,,Brian Stuard,93,171.6,118008700.0,191
186,187,,Chris Stroud,67,172.1,87342000.0,141
187,188,,Ben Crane,86,172.4,124153600.0,200
188,189,,Francesco Molinari,75,175.8,93664100.0,148
189,190,,Jim Furyk,54,175.9,67108400.0,106
