,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
155,T156,,Brett Drewitt,57,-0.051
156,T156,,Jim Herman,77,-0.051
157,T158,,Alex Cejka,85,-0.05
158,T158,,Anirban Lahiri,72,-0.05
159,160,,Luke Donald,50,-0.049
160,T161,,Brad Fritsch,56,-0.048
161,T161,,David Hearn,93,-0.048
162,T161,,Kelly Kraft,75,-0.048
163,T164,,Søren Kjeldsen,58,-0.047
164,T164,,Spencer Levin,89,-0.047
165,T164,,Kyle Reifers,96,-0.047
166,T167,,Carl Pettersson,63,-0.046
167,T167,,Michael Thompson,60,-0.046
168,169,,Rafa Cabrera Bello,63,-0.045
169,170,,K.J. Choi,72,-0.044000000000000004
170,171,,Ryo Ishikawa,56,-0.043
171,172,,Greg Chalmers,75,-0.042
172,173,,Jason Kokrak,95,-0.040999999999999995
173,T174,,Ken Duke,77,-0.04
174,T174,,Geoff Ogilvy,80,-0.04
175,176,,Miguel Angel Carballo,63,-0.035
176,177,,Boo Weekley,75,-0.032
177,178,,Patrick Rodgers,76,-0.024
178,T179,,Jason Bohn,75,-0.022000000000000002
179,T179,,D.A. Points,68,-0.022000000000000002
180,181,,Matt Every,76,-0.02
181,T182,,Bryce Molder,74,-0.017
182,T182,,Rod Pampling,71,-0.017
183,T184,,Si Woo Kim,80,-0.015
184,T184,,Hunter Mahan,73,-0.015
185,186,,Ernie Els,52,-0.012
186,187,,Roberto Castro,70,-0.011000000000000001
187,188,,Brett Stegmaier,78,-0.004
188,189,,Andrew Loupe,55,0.009000000000000001
189,190,,Steven Bowditch,59,0.068
