,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,,Jordan Spieth,85,0.963,61.617,64
1,2,,Paul Casey,94,0.875,58.638000000000005,67
2,3,,Francesco Molinari,75,0.8220000000000001,46.843999999999994,57
3,4,,Stewart Cink,93,0.774,59.568000000000005,77
4,5,,Dustin Johnson,77,0.727,41.441,57
5,6,,Justin Thomas,86,0.7240000000000001,44.183,61
6,7,,Hideki Matsuyama,83,0.6920000000000001,38.041,55
7,8,,Kevin Na,86,0.675,41.843999999999994,62
8,9,,Bud Cauley,92,0.606,48.515,80
9,10,,Nick Watney,75,0.585,37.452,64
10,11,,Daniel Berger,91,0.584,39.103,67
11,12,,Gary Woodland,94,0.575,36.793,64
12,13,,Ian Poulter,72,0.573,31.491,55
13,14,,Kyle Stanley,104,0.562,52.849,94
14,15,,Jason Dufner,89,0.556,38.914,70
15,16,,Phil Mickelson,85,0.5529999999999999,38.124,69
16,17,,Jon Rahm,90,0.551,35.278,64
17,18,,Jimmy Walker,68,0.522,25.041999999999998,48
18,19,,Webb Simpson,102,0.511,40.852,80
19,20,,Chad Campbell,97,0.506,43.018,85
20,21,,Ryan Moore,82,0.498,32.346,65
21,22,,Robert Garrigus,78,0.47700000000000004,28.646,60
22,23,,Adam Scott,58,0.47600000000000003,19.021,40
23,24,,Ryan Palmer,61,0.473,22.225,47
24,25,,Patrick Cantlay,52,0.467,21.471,46
25,26,,Wesley Bryan,95,0.46299999999999997,34.747,75
26,27,,Luke List,102,0.44299999999999995,38.082,86
27,28,,Billy Hurley III,80,0.43200000000000005,29.839000000000002,69
28,29,,Graham DeLaet,82,0.42700000000000005,30.344,71
29,30,,Boo Weekley,75,0.425,25.95,61
30,31,,Marc Leishman,94,0.42200000000000004,29.085,69
31,T32,,Byeong Hun An,77,0.42100000000000004,23.156999999999996,55
