,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,,Bud Cauley,92,85.43,129,151,-0.23
1,2,,Chad Campbell,97,85.23,127,149,-0.28
2,3,,Rod Pampling,71,84.82,95,112,-0.27
3,4,,Aaron Baddeley,61,84.21,64,76,-0.3
4,5,,Sean O'Hair,84,83.2,104,125,-0.25
5,6,,Matt Kuchar,95,82.78,125,151,-0.32
6,7,,Brandt Snedeker,53,82.67,62,75,-0.32
7,8,,John Huh,92,82.52,85,103,-0.28
8,9,,Brian Stuard,93,82.4,103,125,-0.17
9,10,,Jason Dufner,89,81.58,155,190,-0.33
10,11,,Francesco Molinari,75,81.44,79,97,-0.39
11,12,,Stewart Cink,93,81.38,118,145,-0.32
12,13,,Tom Hoge,54,81.25,78,96,-0.32
13,14,,Sung Kang,104,81.05,124,153,-0.29
14,15,,Shane Lowry,52,80.88,55,68,-0.2
15,16,,Kevin Na,86,80.85,76,94,-0.22
16,17,,Chris Kirk,89,80.84,135,167,-0.36
17,18,,Spencer Levin,89,80.47,103,128,-0.25
18,19,,Chris Stroud,67,80.41,78,97,-0.26
19,20,,Hudson Swafford,94,80.36,135,168,-0.2
20,21,,Luke Donald,50,80.33,49,61,-0.31
21,22,,Kyle Reifers,96,80.15,109,136,-0.19
22,T23,,Jim Furyk,54,80.0,48,60,-0.25
23,T23,,Cameron Tringale,89,80.0,84,105,-0.21
24,T23,,Jimmy Walker,68,80.0,76,95,-0.29
25,T26,,David Hearn,93,79.87,123,154,-0.22
26,T26,,Michael Kim,94,79.87,127,159,-0.3
27,28,,Adam Hadwin,98,79.86,111,139,-0.33
28,29,,Tim Wilkinson,64,79.75,63,79,-0.33
29,30,,Camilo Villegas,76,79.61,82,103,-0.27
30,31,,Blayne Barber,77,79.59,117,147,-0.32
31,32,,Scott Piercy,70,79.57,74,93,-0.31
32,33,,Ken Duke,77,79.46,89,112,-0.29
33,34,,Rickie Fowler,78,79.44,85,107,-0.28
34,35,,Charles Howell III,86,79.39,104,131,-0.25
35,36,,Ryan Armour,63,79.25,84,106,-0.29
36,37,,Trey Mullinax,88,79.22,122,154,-0.27
37,38,,Kyle Stanley,104,79.1,140,177,-0.3
38,39,,Kevin Kisner,105,79.05,117,148,-0.23
39,40,,Troy Merritt,82,78.95,120,152,-0.28
40,41,,Cameron Smith,86,78.91,116,147,-0.33
41,42,,Ben Crane,86,78.79,78,99,-0.32
42,43,,Adam Scott,58,78.57,55,70,-0.35
43,44,,Scott Stallings,81,78.33,141,180,-0.22
44,45,,J.J. Henry,92,78.29,119,152,-0.16
45,46,,D.A. Points,68,78.22,79,101,-0.18
46,47,,Daniel Berger,91,78.13,100,128,-0.27
47,48,,Jonas Blixt,74,78.1,82,105,-0.17
48,49,,Andres Gonzales,73,78.08,114,146,-0.25
49,50,,Anirban Lahiri,72,77.87,95,122,-0.27
50,51,,Cameron Percy,71,77.86,102,131,-0.34
51,52,,Ben Martin,86,77.78,105,135,-0.31
52,53,,Tyrone Van Aswegen,105,77.7,108,139,-0.22
53,54,,Billy Hurley III,80,77.69,94,121,-0.34
54,55,,Johnson Wagner,71,77.68,87,112,-0.3
55,56,,Vaughn Taylor,90,77.36,123,159,-0.37
56,57,,Pat Perez,93,77.24,95,123,-0.26
57,58,,Sebastián Muñoz,51,77.11,64,83,-0.27
58,59,,Justin Thomas,86,77.05,94,122,-0.4
59,60,,Ryan Blaum,100,76.88,123,160,-0.33
60,61,,K.J. Choi,72,76.79,86,112,-0.23
61,62,,Seamus Power,86,76.71,112,146,-0.29
62,63,,Martin Flores,88,76.65,128,167,-0.23
63,64,,Ryan Moore,82,76.61,95,124,-0.31
64,65,,Emiliano Grillo,90,76.52,88,115,-0.24
65,66,,Brad Fritsch,56,76.47,78,102,-0.15
66,67,,Jordan Spieth,85,76.38,97,127,-0.32
67,68,,Billy Horschel,88,76.33,129,169,-0.26
68,69,,Steven Alker,69,76.19,96,126,-0.27
69,70,,Ryan Palmer,61,76.11,86,113,-0.21
70,T71,,Ricky Barnes,100,76.09,105,138,-0.37
71,T71,,Boo Weekley,75,76.09,105,138,-0.17
72,73,,Xander Schauffele,96,76.05,127,167,-0.35
73,74,,Luke List,102,76.02,130,171,-0.2
74,75,,Brian Harman,104,75.86,132,174,-0.28
75,76,,Russell Henley,99,75.82,116,153,-0.31
76,77,,Dustin Johnson,77,75.8,119,157,-0.26
77,T78,,Derek Fathauer,81,75.78,97,128,-0.33
78,T78,,Patrick Rodgers,76,75.78,97,128,-0.27
79,80,,Peter Malnati,91,75.66,115,152,-0.27
80,81,,Nick Taylor,97,75.57,133,176,-0.23
81,82,,Robert Streb,98,75.51,111,147,-0.22
82,83,,Chez Reavie,98,75.47,120,159,-0.33
83,84,,William McGirt,89,75.36,104,138,-0.18
84,85,,Harold Varner III,101,75.29,128,170,-0.3
85,T86,,Jim Herman,77,75.21,88,117,-0.24
86,T86,,Geoff Ogilvy,80,75.21,88,117,-0.27
87,88,,Seung-Yul Noh,91,75.17,109,145,-0.23
88,89,,Lucas Glover,93,75.16,121,161,-0.32
89,T90,,Jamie Lovemark,98,75.0,126,168,-0.29
90,T90,,C.T. Pan,88,75.0,108,144,-0.25
91,92,,Robert Garrigus,78,74.83,107,143,-0.3
92,93,,Wesley Bryan,95,74.78,86,115,-0.3
93,94,,David Lingmerth,79,74.77,83,111,-0.3
94,95,,Nicholas Lindheim,58,74.73,68,91,-0.18
95,96,,Kevin Streelman,90,74.7,124,166,-0.23
96,97,,Charley Hoffman,112,74.65,159,213,-0.26
97,98,,James Hahn,96,74.56,126,169,-0.25
98,99,,Ian Poulter,72,74.55,82,110,-0.24
99,T100,,Hunter Mahan,73,74.44,99,133,-0.25
100,T100,,Tag Ridings,67,74.44,99,133,-0.28
101,T100,,Daniel Summerhays,100,74.44,99,133,-0.25
102,103,,Branden Grace,70,74.42,64,86,-0.25
103,104,,Louis Oosthuizen,69,74.36,58,78,-0.29
104,105,,Carl Pettersson,63,74.29,78,105,-0.26
105,T106,,Brett Drewitt,57,74.23,72,97,-0.29
106,T106,,Whee Kim,74,74.23,72,97,-0.31
107,108,,Sam Saunders,76,74.19,92,124,-0.32
108,109,,Michael Thompson,60,74.12,63,85,-0.22
109,110,,Bryce Molder,74,74.0,74,100,-0.22
110,111,,Graeme McDowell,56,73.97,54,73,-0.41
111,112,,Jon Rahm,90,73.96,125,169,-0.32
112,113,,Alex Cejka,85,73.91,85,115,-0.34
113,114,,Keegan Bradley,104,73.86,113,153,-0.31
114,115,,J.J. Spaun,92,73.83,110,149,-0.21
115,116,,Webb Simpson,102,73.75,118,160,-0.26
116,117,,Russell Knox,75,73.58,78,106,-0.15
117,118,,Grayson Murray,94,73.37,146,199,-0.26
118,T119,,Kevin Tway,96,73.33,121,165,-0.28
119,T119,,Richy Werenski,81,73.33,99,135,-0.24
120,121,,Bill Haas,92,73.21,82,112,-0.24
121,122,,Hideki Matsuyama,83,73.2,71,97,-0.23
122,123,,Byeong Hun An,77,73.15,79,108,-0.28
123,124,,Zach Johnson,81,73.11,87,119,-0.37
124,125,,J.T. Poston,95,73.03,111,152,-0.25
125,126,,Kelly Kraft,75,73.0,73,100,-0.29
126,127,,Gary Woodland,94,72.88,86,118,-0.33
127,128,,Ryo Ishikawa,56,72.84,59,81,-0.22
128,129,,Retief Goosen,52,72.83,67,92,-0.19
129,130,,Nick Watney,75,72.73,104,143,-0.2
130,131,,Danny Lee,93,72.57,82,113,-0.32
131,132,,Shawn Stefani,72,72.55,74,102,-0.34
132,133,,Ryan Brehm,83,72.46,100,138,-0.21
133,134,,Patrick Cantlay,52,72.34,68,94,-0.25
134,135,,Julián Etulain,68,72.22,91,126,-0.24
135,136,,Bryson DeChambeau,91,72.18,96,133,-0.25
136,137,,Jonathan Randolph,68,72.09,62,86,-0.18
137,138,,Mackenzie Hughes,106,72.04,152,211,-0.28
138,139,,Morgan Hoffmann,92,72.02,121,168,-0.24
139,140,,Mark Anderson,54,71.91,64,89,-0.22
140,141,,Miguel Angel Carballo,63,71.74,66,92,-0.18
