,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,,Luke Donald,50,95.08,58,61,-0.57
1,2,,Tim Wilkinson,64,94.44,68,72,-0.69
2,3,,Cameron Tringale,89,93.64,103,110,-0.72
3,4,,Zac Blair,105,93.5,115,123,-0.58
4,5,,Steven Alker,69,93.22,55,59,-0.64
5,6,,Chris Stroud,67,93.02,80,86,-0.64
6,7,,Lucas Glover,93,92.78,180,194,-0.66
7,8,,Louis Oosthuizen,69,92.5,111,120,-0.67
8,9,,Cameron Smith,86,92.4,158,171,-0.67
9,10,,Jim Furyk,54,92.31,48,52,-0.69
10,11,,Seung-Yul Noh,91,92.22,154,167,-0.63
11,12,,Pat Perez,93,92.18,165,179,-0.64
12,13,,Ken Duke,77,92.08,93,101,-0.55
13,14,,Bryce Molder,74,91.95,80,87,-0.53
14,15,,Mark Hubbard,81,91.8,112,122,-0.66
15,16,,Brian Harman,104,91.67,154,168,-0.65
16,17,,Harris English,84,91.54,119,130,-0.66
17,18,,J.J. Spaun,92,91.33,137,150,-0.61
18,19,,Jordan Spieth,85,91.3,168,184,-0.68
19,20,,Justin Rose,66,91.22,135,148,-0.65
20,21,,Brian Campbell,55,91.14,72,79,-0.6
21,22,,Vaughn Taylor,90,90.98,121,133,-0.59
22,23,,Robert Garrigus,78,90.97,131,144,-0.53
23,24,,Matt Kuchar,95,90.85,139,153,-0.58
24,25,,Rory Sabbatini,71,90.83,109,120,-0.66
25,26,,Spencer Levin,89,90.57,96,106,-0.61
26,27,,Chad Collins,66,90.53,86,95,-0.66
27,T28,,David Hearn,93,90.29,93,103,-0.63
28,T28,,Jim Herman,77,90.29,158,175,-0.52
29,30,,Kyle Stanley,104,90.19,193,214,-0.65
30,31,,Mark Anderson,54,90.14,64,71,-0.63
31,T32,,Fabián Gómez,61,90.08,109,121,-0.61
32,T32,,Boo Weekley,75,90.08,118,131,-0.58
33,34,,Rod Pampling,71,90.06,145,161,-0.54
34,T35,,Andres Gonzales,73,89.86,124,138,-0.61
35,T35,,Troy Merritt,82,89.86,133,148,-0.61
36,37,,K.J. Choi,72,89.77,79,88,-0.62
37,38,,Geoff Ogilvy,80,89.68,113,126,-0.58
38,39,,Aaron Baddeley,61,89.62,95,106,-0.54
39,40,,William McGirt,89,89.61,138,154,-0.63
40,41,,Derek Fathauer,81,89.57,103,115,-0.65
41,T42,,Jason Dufner,89,89.54,137,153,-0.6
42,T42,,Rickie Fowler,78,89.54,137,153,-0.68
43,44,,Morgan Hoffmann,92,89.53,171,191,-0.64
44,45,,Xander Schauffele,96,89.41,152,170,-0.62
45,46,,Tony Finau,106,89.29,275,308,-0.68
46,47,,Bud Cauley,92,89.27,183,205,-0.6
47,48,,J.B. Holmes,83,89.09,147,165,-0.56
48,49,,Justin Thomas,86,89.07,163,183,-0.69
49,50,,Nicholas Lindheim,58,89.04,65,73,-0.71
50,51,,Chez Reavie,98,88.97,121,136,-0.56
51,52,,Robert Streb,98,88.95,169,190,-0.54
52,53,,Webb Simpson,102,88.82,143,161,-0.66
53,54,,Kelly Kraft,75,88.73,126,142,-0.59
54,T55,,Russell Knox,75,88.7,102,115,-0.58
55,T55,,Scott Piercy,70,88.7,102,115,-0.49
56,57,,Charles Howell III,86,88.68,141,159,-0.64
57,58,,Ryan Moore,82,88.64,117,132,-0.78
58,59,,J.T. Poston,95,88.62,148,167,-0.61
59,60,,Steven Bowditch,59,88.61,70,79,-0.46
60,61,,Brooks Koepka,88,88.56,178,201,-0.68
61,62,,Keegan Bradley,104,88.52,185,209,-0.56
62,63,,Dustin Johnson,77,88.46,161,182,-0.66
63,64,,Bryson DeChambeau,91,88.44,153,173,-0.56
64,65,,Billy Horschel,88,88.41,145,164,-0.53
65,66,,Brandon Hagy,85,88.38,175,198,-0.69
66,67,,Luke List,102,88.35,235,266,-0.71
67,68,,Gary Woodland,94,88.33,159,180,-0.7
68,69,,Brandt Snedeker,53,88.3,83,94,-0.55
69,70,,Alex Cejka,85,88.29,98,111,-0.56
70,71,,John Huh,92,88.27,143,162,-0.56
71,72,,Scott Brown,95,88.2,142,161,-0.6
72,73,,Marc Leishman,94,88.14,171,194,-0.73
73,74,,Julián Etulain,68,88.07,96,109,-0.5
74,75,,Kyle Reifers,96,88.06,118,134,-0.63
75,T76,,Tom Hoge,54,88.0,66,75,-0.58
76,T76,,Søren Kjeldsen,58,88.0,44,50,-0.64
77,T76,,Seamus Power,86,88.0,132,150,-0.64
78,79,,Bill Haas,92,87.97,117,133,-0.57
79,80,,Ricky Barnes,100,87.92,131,149,-0.67
80,T81,,C.T. Pan,88,87.88,145,165,-0.52
81,T81,,Charl Schwartzel,63,87.88,116,132,-0.72
82,83,,Charley Hoffman,112,87.83,231,263,-0.65
83,84,,Bubba Watson,71,87.8,144,164,-0.58
84,85,,Adam Hadwin,98,87.79,151,172,-0.58
85,86,,Sebastián Muñoz,51,87.78,79,90,-0.58
86,87,,D.A. Points,68,87.76,86,98,-0.64
87,88,,Patrick Cantlay,52,87.69,114,130,-0.66
88,89,,Ollie Schniederjans,92,87.61,191,218,-0.59
89,T90,,Chris Kirk,89,87.59,127,145,-0.57
90,T90,,Hunter Mahan,73,87.59,120,137,-0.71
91,T92,,Patton Kizzire,84,87.5,112,128,-0.55
92,T92,,Shawn Stefani,72,87.5,119,136,-0.56
93,94,,Johnson Wagner,71,87.37,83,95,-0.58
94,T95,,Martin Laird,83,87.35,145,166,-0.6
95,T95,,Sean O'Hair,84,87.35,145,166,-0.65
96,97,,Sung Kang,104,87.32,186,213,-0.69
97,98,,Sam Saunders,76,87.3,110,126,-0.6
98,T99,,Jamie Lovemark,98,87.27,192,220,-0.68
99,T99,,Jhonattan Vegas,95,87.27,192,220,-0.58
100,101,,Chad Campbell,97,87.25,130,149,-0.62
101,102,,Retief Goosen,52,87.21,75,86,-0.64
102,T103,,Jonas Blixt,74,87.12,115,132,-0.63
103,T103,,Dominic Bozzelli,69,87.12,115,132,-0.59
104,105,,Matt Jones,64,87.1,108,124,-0.62
105,T106,,J.J. Henry,92,87.07,128,147,-0.66
106,T106,,Zach Johnson,81,87.07,101,116,-0.57
107,T106,,Nick Watney,75,87.07,101,116,-0.7
108,T109,,Jon Rahm,90,87.06,175,201,-0.63
109,T109,,Harold Varner III,101,87.06,175,201,-0.57
110,111,,Kevin Chappell,95,87.05,168,193,-0.65
111,112,,Branden Grace,70,87.04,94,108,-0.56
112,113,,Matt Every,76,87.02,114,131,-0.67
113,114,,Hudson Swafford,94,87.01,154,177,-0.63
114,115,,Shane Lowry,52,86.96,80,92,-0.74
115,116,,Kevin Kisner,105,86.9,126,145,-0.63
116,117,,Peter Malnati,91,86.82,112,129,-0.55
117,118,,Kevin Na,86,86.78,105,121,-0.67
118,119,,Miguel Angel Carballo,63,86.73,85,98,-0.69
119,T120,,Anirban Lahiri,72,86.67,130,150,-0.71
120,T120,,Brendan Steele,89,86.67,169,195,-0.62
121,122,,Jason Kokrak,95,86.64,188,217,-0.6
122,123,,Kevin Streelman,90,86.63,149,172,-0.54
123,124,,David Lingmerth,79,86.62,123,142,-0.62
124,125,,Mackenzie Hughes,106,86.61,194,224,-0.69
125,126,,Brian Stuard,93,86.6,84,97,-0.56
126,T127,,Michael Kim,94,86.59,142,164,-0.65
127,T127,,Rick Lamb,54,86.59,71,82,-0.63
128,T127,,Hideki Matsuyama,83,86.59,155,179,-0.68
129,130,,Daniel Summerhays,100,86.56,161,186,-0.66
130,131,,Jason Day,71,86.54,135,156,-0.72
131,132,,Danny Lee,93,86.39,146,169,-0.59
132,T133,,Martin Flores,88,86.36,133,154,-0.62
133,T133,,Grayson Murray,94,86.36,209,242,-0.62
134,135,,Brian Gay,82,86.32,82,95,-0.72
135,136,,Russell Henley,99,86.19,156,181,-0.64
136,137,,Ben Martin,86,86.11,124,144,-0.64
137,T138,,Ryan Palmer,61,85.83,109,127,-0.56
138,T138,,Richy Werenski,81,85.83,109,127,-0.57
139,T140,,Rory McIlroy,51,85.71,102,119,-0.63
140,T140,,Ian Poulter,72,85.71,90,105,-0.71
141,T140,,Steve Wheatcroft,51,85.71,66,77,-0.55
