,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,,Phil Mickelson,85,"13' 2""",1143.5,87,-0.33
1,2,,Jason Day,71,"13' 5""",874.3330000000001,65,-0.31
2,3,,Daniel Berger,91,"13' 8""",984.4169999999999,72,-0.28
3,T4,,Wesley Bryan,95,"13' 11""",1181.917,85,-0.22
4,T4,,Kelly Kraft,75,"13' 11""",944.6669999999999,68,-0.21
5,6,,Matt Every,76,"14' 2""",1047.833,74,-0.07
6,T7,,Bryce Molder,74,"14' 6""",1217.083,84,-0.21
7,T7,,Webb Simpson,102,"14' 6""",1173.417,81,-0.10
8,T7,,Jordan Spieth,85,"14' 6""",1262.833,87,-0.20
9,10,,Scott Piercy,70,"14' 8""",791.5830000000001,54,-0.17
10,T11,,Ryo Ishikawa,56,"14' 9""",516.75,35,-0.03
11,T11,,Rory McIlroy,51,"14' 9""",707.6669999999999,48,-0.17
12,T11,,Kyle Reifers,96,"14' 9""",1252.25,85,-0.12
13,T11,,Brian Stuard,93,"14' 9""",959.5,65,-0.23
14,T15,,Brian Gay,82,"14' 10""",1426.75,96,-0.19
15,T15,,Justin Thomas,86,"14' 10""",1128.333,76,-0.13
16,17,,Ryan Moore,82,"14' 11""",967.0830000000001,65,-0.25
17,T18,,Jim Furyk,54,"15' 0""",779.5830000000001,52,-0.17
18,T18,,Dustin Johnson,77,"15' 0""",1139.667,76,-0.29
19,T18,,Kevin Na,86,"15' 0""",913.25,61,-0.15
20,T21,,Mark Anderson,54,"15' 1""",785.3330000000001,52,-0.17
21,T21,,Roberto Castro,70,"15' 1""",1203.75,80,-0.21
22,T21,,Lucas Glover,93,"15' 1""",1340.5829999999999,89,-0.11
23,T21,,Smylie Kaufman,76,"15' 1""",1119.083,74,-0.32
24,T21,,Steve Wheatcroft,51,"15' 1""",619.5,41,-0.15
25,26,,J.B. Holmes,83,"15' 2""",911.25,60,-0.17
26,27,,Adam Hadwin,98,"15' 3""",1281.25,84,-0.30
27,T28,,Rafa Cabrera Bello,63,"15' 4""",659.1669999999999,43,-0.16
28,T28,,Stewart Cink,93,"15' 4""",1474.1670000000001,96,-0.23
29,T28,,Chris Stroud,67,"15' 4""",736.0,48,-0.15
30,T28,,Vaughn Taylor,90,"15' 4""",1762.8329999999999,115,-0.14
31,T32,,Bud Cauley,92,"15' 7""",1140.167,73,-0.26
32,T32,,Pat Perez,93,"15' 7""",1181.25,76,-0.16
