,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,,Morgan Hoffmann,92,251,Safeway Open,1,18
1,2,,Miguel Angel Carballo,63,233,Shriners Hosp.,2,16
2,3,,Justin Thomas,86,233,WGC-Mexico,3,13
3,4,,Ángel Cabrera,39,220,Shell Houston,4,9
4,5,,Hudson Swafford,94,214,WGC-Bridgestone,2,15
5,6,,Johnson Wagner,71,214,Wyndham Champ,2,5
6,7,,Steven Alker,69,212,Sanderson Farms,4,10
7,8,,Derek Fathauer,81,209,St. Jude,2,5
8,9,,Chez Reavie,98,197,Sony Open,4,17
9,10,,Grayson Murray,94,196,Dell Tech Champ,2,8
10,11,,Kevin Tway,96,195,Dell Tech Champ,1,11
11,12,,Justin Rose,66,194,Genesis Open,4,12
12,13,,Brendan Steele,89,194,Phoenix Open,1,14
13,14,,Greg Chalmers,75,191,Shriners Hosp.,2,5
14,15,,Brian Stuard,93,190,DEAN & DELUCA,4,16
15,16,,Zac Blair,105,190,Wells Fargo,1,8
16,17,,Jason Dufner,89,189,Valspar Champ,1,3
17,18,,Jason Day,71,189,BMW Champ,2,17
18,19,,Charley Hoffman,112,185,BMW Champ,3,4
19,20,,Scott Stallings,81,185,Honda Classic,1,15
20,21,,Ryan Brehm,83,185,Texas Open,2,4
21,22,,Joost Luiten,17,181,PGA Championshi,1,4
22,23,,Chris Kirk,89,181,Dell Tech Champ,4,9
23,24,,Rafa Cabrera Bello,63,181,THE PLAYERS,4,16
24,25,,John Merrick,26,181,Barbasol Champ,4,8
25,26,,Peter Malnati,91,180,RBC Heritage,4,17
26,27,,Jhonattan Vegas,95,180,Honda Classic,4,15
27,29,,Lucas Glover,93,177,Dell Tech Champ,2,16
28,30,,Shawn Stefani,72,176,Shriners Hosp.,1,6
29,32,,Roberto Castro,70,174,Wyndham Champ,4,3
30,33,,Jon Rahm,90,173,Safeway Open,1,11
31,34,,Martin Kaymer,39,173,RBC Heritage,4,8
32,35,,Pat Perez,93,173,TOUR Champ,2,16
33,36,,Ken Duke,77,173,Safeway Open,4,11
34,37,,Ben Crane,86,172,Wyndham Champ,4,16
35,38,,Martin Flores,88,172,Wyndham Champ,4,16
36,39,,Boo Weekley,75,170,Travelers Champ,2,10
37,40,,Kevin Streelman,90,165,Shell Houston,3,17
38,41,,Harold Varner III,101,164,the Memorial,4,8
39,42,,Mark Hubbard,81,163,Travelers Champ,1,10
40,44,,Carl Pettersson,63,162,Sanderson Farms,1,16
41,45,,Hunter Mahan,73,162,Wyndham Champ,1,11
42,46,,Camilo Villegas,76,161,NORTHERN TRUST,1,18
43,47,,Luke Donald,50,161,Honda Classic,2,12
44,48,,Jim Knous,2,160,Phoenix Open,1,18
45,49,,Robert Streb,98,156,PGA Championshi,3,12
46,51,,Kyle Reifers,96,154,Barbasol Champ,2,15
47,52,,Martin Laird,83,154,Arnold Palmer,4,11
48,53,,Sebastián Muñoz,51,153,Farmers Ins.,4,17
49,54,,Retief Goosen,52,152,Barbasol Champ,1,9
50,55,,Rory McIlroy,51,152,WGC-Mexico,2,14
51,56,,Brett Drewitt,57,152,Barbasol Champ,3,3
