,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,,Justin Thomas,86,-.038
1,2,,Jon Rahm,90,-.032
2,3,,James Hahn,96,-.007
3,T4,,Rory Sabbatini,71,E
4,T4,,Webb Simpson,102,E
5,6,,Louis Oosthuizen,69,+.012
6,T7,,Brandon Hagy,85,+.013
7,T7,,Jamie Lovemark,98,+.013
8,9,,Xander Schauffele,96,+.019
9,10,,Branden Grace,70,+.022
10,11,,Tim Wilkinson,64,+.025
11,12,,Luke List,102,+.027
12,13,,Adam Scott,58,+.031
13,14,,Harris English,84,+.032
14,T15,,Michael Kim,94,+.033
15,T15,,Seamus Power,86,+.033
16,17,,Zach Johnson,81,+.036
17,18,,Pat Perez,93,+.038
18,19,,Charley Hoffman,112,+.039
19,T20,,Zac Blair,105,+.042
20,T20,,Martin Flores,88,+.042
21,T22,,Tony Finau,106,+.044
22,T22,,Ryan Palmer,61,+.044
23,24,,Whee Kim,74,+.047
24,25,,Gary Woodland,94,+.048
25,26,,Jordan Spieth,85,+.050
26,T27,,Jim Herman,77,+.053
27,T27,,Jhonattan Vegas,95,+.053
28,29,,Andres Gonzales,73,+.055
29,30,,Jason Day,71,+.057
30,31,,Miguel Angel Carballo,63,+.058
31,32,,Rafa Cabrera Bello,63,+.059
32,33,,Sebastián Muñoz,51,+.061
33,T34,,Kevin Na,86,+.063
34,T34,,Boo Weekley,75,+.063
35,T36,,Marc Leishman,94,+.068
36,T36,,Kevin Streelman,90,+.068
37,T38,,Dustin Johnson,77,+.071
38,T38,,Trey Mullinax,88,+.071
39,T38,,Steve Wheatcroft,51,+.071
40,41,,Ryan Brehm,83,+.072
41,42,,Matt Jones,64,+.079
42,T43,,Kevin Chappell,95,+.081
43,T43,,Jim Furyk,54,+.081
44,T45,,Jason Kokrak,95,+.082
45,T45,,David Lingmerth,79,+.082
46,T45,,Sean O'Hair,84,+.082
47,T48,,Adam Hadwin,98,+.083
48,T48,,Mackenzie Hughes,106,+.083
49,50,,Scott Brown,95,+.085
50,T51,,Lucas Glover,93,+.086
51,T51,,Ollie Schniederjans,92,+.086
52,53,,Graham DeLaet,82,+.087
53,54,,J.B. Holmes,83,+.089
54,55,,Nick Taylor,97,+.090
55,56,,Chez Reavie,98,+.091
56,T57,,Hideki Matsuyama,83,+.092
57,T57,,Nick Watney,75,+.092
58,59,,Kevin Tway,96,+.093
59,60,,Ricky Barnes,100,+.094
60,61,,Fabián Gómez,61,+.095
61,62,,Peter Malnati,91,+.096
62,T63,,Bill Haas,92,+.098
63,T63,,John Huh,92,+.098
64,65,,Dominic Bozzelli,69,+.100
65,66,,Brian Campbell,55,+.101
66,67,,Jason Dufner,89,+.102
67,T68,,Julián Etulain,68,+.103
68,T68,,Troy Merritt,82,+.103
69,T68,,Brendan Steele,89,+.103
70,T68,,Daniel Summerhays,100,+.103
71,T72,,Daniel Berger,91,+.105
72,T72,,Roberto Castro,70,+.105
73,T72,,D.A. Points,68,+.105
74,75,,Aaron Baddeley,61,+.107
75,76,,Stewart Cink,93,+.108
76,77,,Kyle Reifers,96,+.109
77,78,,Hunter Mahan,73,+.110
78,79,,Charles Howell III,86,+.113
79,80,,Bubba Watson,71,+.115
80,81,,Greg Chalmers,75,+.116
81,82,,Patrick Cantlay,52,+.117
82,83,,Ken Duke,77,+.118
83,84,,Ben Martin,86,+.119
84,85,,Cameron Smith,86,+.120
85,T86,,Bud Cauley,92,+.122
86,T86,,Charl Schwartzel,63,+.122
87,T88,,Paul Casey,94,+.123
88,T88,,Luke Donald,50,+.123
89,90,,Seung-Yul Noh,91,+.124
90,91,,Brian Gay,82,+.126
91,92,,Shane Lowry,52,+.127
92,93,,Spencer Levin,89,+.128
93,T94,,Justin Rose,66,+.129
94,T94,,Sam Saunders,76,+.129
