,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,,Rory McIlroy,51,-.151
1,2,,Jordan Spieth,85,-.100
2,3,,Kevin Na,86,-.063
3,4,,Patrick Cantlay,52,-.062
4,5,,Justin Rose,66,-.052
5,6,,Luke List,102,-.038
6,7,,Tag Ridings,67,-.037
7,T8,,Dustin Johnson,77,-.036
8,T8,,Jon Rahm,90,-.036
9,10,,Paul Casey,94,-.019
10,11,,Justin Thomas,86,-.016
11,12,,Cody Gribble,79,-.008
12,T13,,Gonzalo Fernandez-Castaño,63,E
13,T13,,Shane Lowry,52,E
14,15,,Daniel Berger,91,+.012
15,16,,Brandt Snedeker,53,+.015
16,T17,,Sung Kang,104,+.019
17,T17,,Charl Schwartzel,63,+.019
18,19,,Ricky Barnes,100,+.024
19,20,,Tom Hoge,54,+.027
20,T21,,Roberto Castro,70,+.028
21,T21,,Kevin Kisner,105,+.028
22,T21,,Geoff Ogilvy,80,+.028
23,24,,Charley Hoffman,112,+.029
24,25,,Brandon Hagy,85,+.031
25,26,,Fabián Gómez,61,+.033
26,T27,,Jim Herman,77,+.036
27,T27,,Jamie Lovemark,98,+.036
28,T27,,Hideki Matsuyama,83,+.036
29,30,,Andres Gonzales,73,+.039
30,31,,Martin Flores,88,+.040
31,32,,Graham DeLaet,82,+.046
32,T33,,Patrick Reed,107,+.048
33,T33,,Vaughn Taylor,90,+.048
34,T35,,Rod Pampling,71,+.049
35,T35,,Webb Simpson,102,+.049
36,T37,,Mark Anderson,54,+.050
37,T37,,David Lingmerth,79,+.050
38,39,,J.B. Holmes,83,+.051
39,40,,J.T. Poston,95,+.057
40,41,,Steven Alker,69,+.061
41,T42,,Morgan Hoffmann,92,+.062
42,T42,,Charles Howell III,86,+.062
43,44,,Phil Mickelson,85,+.064
44,45,,Camilo Villegas,76,+.065
45,46,,Seamus Power,86,+.067
46,47,,Sean O'Hair,84,+.069
47,48,,Robert Streb,98,+.070
48,T49,,Ryan Brehm,83,+.072
49,T49,,Tony Finau,106,+.072
50,51,,Smylie Kaufman,76,+.073
51,52,,Sergio Garcia,65,+.074
52,T53,,Rickie Fowler,78,+.077
53,T53,,David Hearn,93,+.077
54,55,,Bubba Watson,71,+.078
55,T56,,Cameron Smith,86,+.079
56,T56,,Johnson Wagner,71,+.079
57,T56,,Boo Weekley,75,+.079
58,T59,,Aaron Baddeley,61,+.082
59,T59,,D.A. Points,68,+.082
60,T61,,Jason Kokrak,95,+.083
61,T61,,Jimmy Walker,68,+.083
62,T63,,Bill Haas,92,+.085
63,T63,,William McGirt,89,+.085
64,65,,Stewart Cink,93,+.087
65,66,,Billy Hurley III,80,+.088
66,T67,,Branden Grace,70,+.089
67,T67,,Hunter Mahan,73,+.089
68,T67,,Chris Stroud,67,+.089
69,T70,,James Hahn,96,+.090
70,T70,,J.J. Spaun,92,+.090
71,72,,Rick Lamb,54,+.091
72,73,,Chad Collins,66,+.092
73,T74,,Trey Mullinax,88,+.094
74,T74,,Cameron Tringale,89,+.094
75,76,,K.J. Choi,72,+.095
76,T77,,C.T. Pan,88,+.096
77,T77,,Xander Schauffele,96,+.096
78,T79,,Rory Sabbatini,71,+.099
79,T79,,Hudson Swafford,94,+.099
80,81,,Brett Stegmaier,78,+.100
81,T82,,John Huh,92,+.101
82,T82,,Brooks Koepka,88,+.101
83,T84,,Bud Cauley,92,+.102
84,T84,,Harris English,84,+.102
85,T84,,Nicholas Lindheim,58,+.102
86,T87,,Robert Garrigus,78,+.106
87,T87,,Søren Kjeldsen,58,+.106
88,89,,Jhonattan Vegas,95,+.107
89,90,,Martin Laird,83,+.108
90,91,,Chez Reavie,98,+.109
91,92,,Jason Dufner,89,+.110
92,93,,Matt Kuchar,95,+.117
93,T94,,Chad Campbell,97,+.120
94,T94,,Sam Saunders,76,+.120
95,T96,,Ryan Blaum,100,+.121
96,T96,,Tyrone Van Aswegen,105,+.121
97,98,,Byeong Hun An,77,+.122
98,T99,,Luke Donald,50,+.123
99,T99,,Adam Hadwin,98,+.123
100,T99,,Danny Lee,93,+.123
101,T99,,Gary Woodland,94,+.123
102,103,,Ian Poulter,72,+.125
103,T104,,Lucas Glover,93,+.126
104,T104,,Emiliano Grillo,90,+.126
105,T104,,Matt Jones,64,+.126
106,T104,,Anirban Lahiri,72,+.126
107,T104,,Seung-Yul Noh,91,+.126
108,T104,,Harold Varner III,101,+.126
109,T110,,Ryan Armour,63,+.127
110,T110,,Michael Kim,94,+.127
111,T110,,Nick Watney,75,+.127
112,113,,Julián Etulain,68,+.128
113,114,,Scott Brown,95,+.129
114,115,,Francesco Molinari,75,+.133
115,T116,,Mark Hubbard,81,+.135
116,T116,,Kyle Stanley,104,+.135
117,T116,,Brendan Steele,89,+.135
118,119,,Zac Blair,105,+.139
119,T120,,Alex Cejka,85,+.142
120,T120,,Patrick Rodgers,76,+.142
121,T122,,Grayson Murray,94,+.146
122,T122,,Ollie Schniederjans,92,+.146
123,124,,Patton Kizzire,84,+.147
124,125,,Marc Leishman,94,+.149
125,126,,J.J. Henry,92,+.150
126,T127,,Wesley Bryan,95,+.152
127,T127,,Brian Campbell,55,+.152
128,T127,,Peter Malnati,91,+.152
129,130,,Troy Merritt,82,+.153
130,131,,Greg Chalmers,75,+.157
131,132,,Tim Wilkinson,64,+.159
132,T133,,Retief Goosen,52,+.160
133,T133,,Whee Kim,74,+.160
134,T133,,Louis Oosthuizen,69,+.160
135,T133,,Scott Piercy,70,+.160
136,T133,,Nick Taylor,97,+.160
137,T138,,Brian Gay,82,+.162
138,T138,,Cameron Percy,71,+.162
139,140,,Jason Bohn,75,+.163
140,141,,Russell Henley,99,+.164
141,142,,Kevin Chappell,95,+.167
142,143,,Ben Crane,86,+.168
143,T144,,Shawn Stefani,72,+.170
144,T144,,Michael Thompson,60,+.170
145,146,,Bryson DeChambeau,91,+.171
146,T147,,Brad Fritsch,56,+.172
147,T147,,Bryce Molder,74,+.172
