,Approach_225-250_yards_RTP_RANK THIS WEEK,Approach_225-250_yards_RTP_RANK LAST WEEK,Approach_225-250_yards_RTP_PLAYER NAME,Approach_225-250_yards_RTP_ROUNDS,Approach_225-250_yards_RTP_AVG RTP
0,1,,Shane Lowry,52,-.517
1,2,,Retief Goosen,52,-.500
2,T3,,Matt Every,76,-.459
3,T3,,Fabián Gómez,61,-.459
4,5,,Ernie Els,52,-.448
5,6,,Hunter Mahan,73,-.439
6,7,,Seamus Power,86,-.424
7,8,,Trey Mullinax,88,-.421
8,T9,,Mark Anderson,54,-.417
9,T9,,Brian Campbell,55,-.417
10,T9,,Brandon Hagy,85,-.417
11,12,,Steven Alker,69,-.394
12,13,,Tony Finau,106,-.388
13,14,,Marc Leishman,94,-.383
14,15,,Ian Poulter,72,-.378
15,16,,Tag Ridings,67,-.370
16,17,,Ken Duke,77,-.364
17,18,,Chad Collins,66,-.361
18,19,,Rick Lamb,54,-.360
19,20,,Russell Henley,99,-.356
20,21,,Hideki Matsuyama,83,-.353
21,22,,Martin Flores,88,-.351
22,23,,Nick Watney,75,-.350
23,24,,Brendan Steele,89,-.348
24,T25,,C.T. Pan,88,-.347
25,T25,,Kevin Tway,96,-.347
26,27,,Graham DeLaet,82,-.345
27,T28,,Ricky Barnes,100,-.341
28,T28,,Mark Hubbard,81,-.341
29,30,,Jon Rahm,90,-.338
30,31,,Kyle Stanley,104,-.337
31,T32,,Jonas Blixt,74,-.333
32,T32,,Ryan Brehm,83,-.333
33,T32,,Cameron Tringale,89,-.333
34,35,,Keegan Bradley,104,-.329
35,36,,Peter Malnati,91,-.321
36,37,,Tom Hoge,54,-.320
37,38,,Luke List,102,-.317
38,39,,Ollie Schniederjans,92,-.314
39,40,,Matt Jones,64,-.313
40,41,,Lucas Glover,93,-.311
41,42,,J.T. Poston,95,-.310
42,T43,,John Huh,92,-.308
43,T43,,Seung-Yul Noh,91,-.308
44,T43,,Carl Pettersson,63,-.308
45,46,,Dustin Johnson,77,-.306
46,47,,Mackenzie Hughes,106,-.298
47,48,,Cameron Smith,86,-.296
48,T49,,Gonzalo Fernandez-Castaño,63,-.292
49,T49,,Sam Saunders,76,-.292
50,51,,Ryan Palmer,61,-.290
51,52,,Cameron Percy,71,-.289
52,T53,,Charley Hoffman,112,-.282
53,T53,,Smylie Kaufman,76,-.282
54,55,,Rickie Fowler,78,-.279
55,56,,Brian Harman,104,-.278
56,57,,Miguel Angel Carballo,63,-.276
57,58,,Spencer Levin,89,-.275
58,T59,,Jim Herman,77,-.273
59,T59,,Daniel Summerhays,100,-.273
60,T59,,Boo Weekley,75,-.273
61,62,,Cody Gribble,79,-.269
62,T63,,Patrick Cantlay,52,-.262
63,T63,,Phil Mickelson,85,-.262
64,T63,,Charl Schwartzel,63,-.262
65,66,,Andres Gonzales,73,-.258
66,67,,Tyrone Van Aswegen,105,-.255
67,T68,,Justin Rose,66,-.250
68,T68,,Rory Sabbatini,71,-.250
69,T68,,Nick Taylor,97,-.250
70,71,,Daniel Berger,91,-.246
71,T72,,Ben Crane,86,-.245
72,T72,,Kyle Reifers,96,-.245
73,T74,,Harris English,84,-.244
74,T74,,Rory McIlroy,51,-.244
75,76,,J.B. Holmes,83,-.238
76,77,,Morgan Hoffmann,92,-.237
77,78,,Justin Thomas,86,-.236
78,79,,Grayson Murray,94,-.232
79,80,,Shawn Stefani,72,-.231
80,81,,Kevin Streelman,90,-.230
81,T82,,Sebastián Muñoz,51,-.222
82,T82,,Jonathan Randolph,68,-.222
83,T82,,Jordan Spieth,85,-.222
84,85,,Martin Laird,83,-.218
85,86,,Patrick Reed,107,-.211
86,87,,Brooks Koepka,88,-.204
87,T88,,Dominic Bozzelli,69,-.200
88,T88,,K.J. Choi,72,-.200
89,T88,,Billy Hurley III,80,-.200
90,T88,,J.J. Spaun,92,-.200
91,T88,,Michael Thompson,60,-.200
92,T88,,Steve Wheatcroft,51,-.200
93,T94,,J.J. Henry,92,-.196
94,T94,,Patton Kizzire,84,-.196
95,T94,,David Lingmerth,79,-.196
96,97,,Chris Stroud,67,-.194
97,98,,Julián Etulain,68,-.192
98,T99,,Jason Dufner,89,-.190
99,T99,,Michael Kim,94,-.190
100,101,,Kevin Kisner,105,-.189
101,102,,Graeme McDowell,56,-.188
102,T103,,Kelly Kraft,75,-.186
103,T103,,Jhonattan Vegas,95,-.186
104,T105,,Stewart Cink,93,-.182
105,T105,,Russell Knox,75,-.182
106,107,,Troy Merritt,82,-.179
107,108,,D.A. Points,68,-.178
108,109,,Danny Lee,93,-.177
109,110,,Chad Campbell,97,-.176
110,T111,,Bill Haas,92,-.175
111,T111,,Francesco Molinari,75,-.175
112,113,,Bud Cauley,92,-.172
113,114,,Brian Gay,82,-.167
114,T115,,Blayne Barber,77,-.163
115,T115,,Derek Fathauer,81,-.163
116,117,,Sergio Garcia,65,-.162
117,118,,Scott Piercy,70,-.161
118,119,,Alex Cejka,85,-.160
119,120,,Pat Perez,93,-.158
120,121,,Matt Kuchar,95,-.156
121,122,,Ben Martin,86,-.155
122,T123,,Jason Day,71,-.154
123,T123,,Whee Kim,74,-.154
124,T123,,Patrick Rodgers,76,-.154
125,T123,,Xander Schauffele,96,-.154
126,127,,Ryo Ishikawa,56,-.150
127,128,,Robert Garrigus,78,-.146
128,T129,,Rafa Cabrera Bello,63,-.143
129,T129,,Brad Fritsch,56,-.143
130,T129,,Gary Woodland,94,-.143
131,132,,Vaughn Taylor,90,-.138
132,T133,,William McGirt,89,-.136
133,T133,,Hudson Swafford,94,-.136
134,135,,Adam Scott,58,-.135
135,T136,,Charles Howell III,86,-.130
136,T136,,Scott Stallings,81,-.130
137,138,,Richy Werenski,81,-.128
138,139,,Ryan Armour,63,-.125
139,140,,Emiliano Grillo,90,-.123
140,141,,Kevin Chappell,95,-.119
141,142,,Paul Casey,94,-.118
142,T143,,Ryan Blaum,100,-.116
143,T143,,Sung Kang,104,-.116
144,T143,,Webb Simpson,102,-.116
145,146,,Adam Hadwin,98,-.113
146,147,,Rod Pampling,71,-.111
147,T148,,Wesley Bryan,95,-.108
148,T148,,Johnson Wagner,71,-.108
149,150,,Brett Drewitt,57,-.107
150,T151,,Chez Reavie,98,-.106
151,T151,,Robert Streb,98,-.106
152,153,,Chris Kirk,89,-.104
153,T154,,James Hahn,96,-.100
154,T154,,Billy Horschel,88,-.100
155,T154,,Camilo Villegas,76,-.100
156,157,,Ryan Moore,82,-.097
157,158,,Sean O'Hair,84,-.094
158,159,,Jamie Lovemark,98,-.075
159,160,,Bryce Molder,74,-.067
160,161,,Harold Varner III,101,-.063
161,162,,Byeong Hun An,77,-.061
162,163,,Louis Oosthuizen,69,-.043
163,164,,Brian Stuard,93,-.042
164,165,,David Hearn,93,-.040
165,166,,Bryson DeChambeau,91,-.039
166,167,,Greg Chalmers,75,-.038
167,T168,,Scott Brown,95,-.032
168,T168,,Andrew Loupe,55,-.032
169,170,,Brandt Snedeker,53,-.030
170,171,,Si Woo Kim,80,-.028
171,172,,Brett Stegmaier,78,-.026
172,173,,Kevin Na,86,-.022
173,174,,Jimmy Walker,68,-.021
174,175,,Jason Kokrak,95,-.017
175,T176,,Zach Johnson,81,E
176,T176,,Nicholas Lindheim,58,E
177,178,,Anirban Lahiri,72,+.019
178,179,,Bubba Watson,71,+.024
179,180,,Tim Wilkinson,64,+.029
180,181,,Jason Bohn,75,+.032
181,182,,Zac Blair,105,+.034
182,183,,Steven Bowditch,59,+.037
183,184,,Branden Grace,70,+.056
184,185,,Geoff Ogilvy,80,+.070
185,186,,Luke Donald,50,+.097
186,187,,Aaron Baddeley,61,+.103
187,188,,Jim Furyk,54,+.111
188,189,,Søren Kjeldsen,58,+.133
189,190,,Roberto Castro,70,+.143
