,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,,Brooks Koepka,88,73.5,172,62,-104,-3
1,2,,Tony Finau,106,72.97,251,93,-155,+10
2,T3,,Jhonattan Vegas,95,71.81,186,73,-95,+3
3,T3,,Gary Woodland,94,71.81,163,64,-92,E
4,5,,Luke List,102,71.03,228,93,-145,-13
5,6,,Sergio Garcia,65,68.49,100,46,-50,-3
6,7,,Rory McIlroy,51,68.15,92,43,-55,E
7,8,,Marc Leishman,94,67.8,160,76,-110,-2
8,9,,Ryan Palmer,61,67.72,107,51,-47,+2
9,10,,Jon Rahm,90,67.35,165,80,-92,-18
10,11,,Hideki Matsuyama,83,67.27,148,72,-94,-8
11,12,,Jason Kokrak,95,66.78,193,96,-91,+15
12,13,,Bubba Watson,71,66.67,128,64,-67,E
13,14,,Justin Thomas,86,65.8,152,79,-92,-9
14,15,,Ryan Brehm,83,65.37,134,71,-77,+5
15,16,,Jamie Lovemark,98,65.29,190,101,-117,-2
16,17,,Grayson Murray,94,64.91,209,113,-104,+11
17,18,,Charl Schwartzel,63,64.37,112,62,-76,+2
18,19,,Charley Hoffman,112,64.35,222,123,-131,-8
19,20,,Jason Day,71,64.22,131,73,-85,+4
20,21,,Robert Garrigus,78,64.08,132,74,-58,-6
21,22,,Smylie Kaufman,76,64.04,146,82,-67,-10
22,23,,Dustin Johnson,77,63.88,145,82,-88,-18
23,24,,Kevin Tway,96,63.84,173,98,-107,-7
24,25,,Justin Rose,66,63.4,123,71,-77,-1
25,26,,Kevin Chappell,95,63.22,165,96,-90,-4
26,27,,Brandon Hagy,85,63.14,149,87,-107,-1
27,28,,Patrick Cantlay,52,62.84,115,68,-67,-10
28,29,,Xander Schauffele,96,62.66,146,87,-74,-10
29,30,,Jordan Spieth,85,62.45,148,89,-89,-7
30,31,,Trey Mullinax,88,62.28,142,86,-80,+9
31,32,,Sung Kang,104,62.21,186,113,-98,-17
32,33,,J.B. Holmes,83,62.14,128,78,-70,-7
33,34,,Anirban Lahiri,72,61.68,132,82,-81,+6
34,35,,Rickie Fowler,78,61.57,133,83,-80,-8
35,36,,Patrick Reed,107,61.44,188,118,-93,-17
36,37,,Hunter Mahan,73,60.59,123,80,-67,+1
37,38,,Shane Lowry,52,60.45,81,53,-51,-1
38,39,,Keegan Bradley,104,60.0,195,130,-93,+5
39,40,,Rick Lamb,54,59.84,76,51,-35,-7
40,41,,Daniel Berger,91,59.52,150,102,-75,-13
41,42,,Brendan Steele,89,59.48,160,109,-89,E
42,43,,Paul Casey,94,59.43,145,99,-73,-11
43,44,,Andres Gonzales,73,59.3,118,81,-70,+4
44,45,,Kyle Stanley,104,59.27,195,134,-114,-20
45,46,,Dominic Bozzelli,69,59.07,114,79,-47,-13
46,T47,,Andrew Loupe,55,58.93,99,69,-56,+20
47,T47,,Rory Sabbatini,71,58.93,99,69,-53,-8
48,49,,Adam Scott,58,58.78,87,61,-37,-12
49,T50,,Bud Cauley,92,58.7,172,121,-88,-6
50,T50,,Sebastián Muñoz,51,58.7,81,57,-39,+4
51,52,,Byeong Hun An,77,58.33,126,90,-58,-2
52,53,,J.T. Poston,95,57.94,146,106,-78,-10
53,54,,Danny Lee,93,57.79,152,111,-66,+5
54,55,,Seamus Power,86,57.63,136,100,-76,-17
55,56,,Jim Herman,77,57.54,145,107,-70,-10
56,57,,Lucas Glover,93,57.41,182,135,-105,-7
57,58,,Graham DeLaet,82,57.36,148,110,-81,-2
58,59,,Harold Varner III,101,57.33,172,128,-81,-5
59,60,,Matt Jones,64,57.3,102,76,-61,+4
60,61,,Rod Pampling,71,56.91,140,106,-54,-10
61,62,,Hudson Swafford,94,56.88,153,116,-83,-10
62,63,,Francesco Molinari,75,56.62,124,95,-59,-8
63,64,,Bryson DeChambeau,91,56.57,142,109,-72,-4
64,65,,Ollie Schniederjans,92,56.25,162,126,-98,-6
65,66,,William McGirt,89,56.1,138,108,-67,+1
66,67,,C.T. Pan,88,55.78,140,111,-64,-4
67,68,,Sean O'Hair,84,55.73,141,112,-84,-13
68,69,,Louis Oosthuizen,69,55.62,99,79,-63,-8
69,70,,Jimmy Walker,68,55.56,100,80,-61,+5
70,71,,Boo Weekley,75,55.35,119,96,-58,-7
71,72,,Russell Knox,75,55.0,99,81,-43,-10
72,73,,Cameron Percy,71,54.92,106,87,-48,+1
73,74,,Russell Henley,99,54.86,158,130,-91,-13
74,75,,Daniel Summerhays,100,54.77,155,128,-91,+3
75,76,,Brandt Snedeker,53,54.61,77,64,-41,-4
76,77,,Nick Taylor,97,54.49,164,137,-87,-30
77,78,,Mark Hubbard,81,54.46,110,92,-68,+4
78,79,,Seung-Yul Noh,91,54.34,144,121,-86,+5
79,80,,Matt Every,76,54.33,113,95,-65,-8
80,81,,Martin Flores,88,54.3,120,101,-67,+2
81,82,,Emiliano Grillo,90,54.24,128,108,-54,-3
82,83,,Retief Goosen,52,54.17,78,66,-35,+8
83,84,,Ryo Ishikawa,56,54.14,85,72,-33,+12
84,85,,Jonathan Randolph,68,53.89,90,77,-45,+1
85,86,,Mackenzie Hughes,106,53.85,196,168,-113,-27
86,87,,Tag Ridings,67,53.76,93,80,-53,+10
87,88,,Cody Gribble,79,53.61,141,122,-82,+14
88,89,,Patrick Rodgers,76,53.57,120,104,-54,+4
89,90,,Morgan Hoffmann,92,53.52,152,132,-80,-20
90,91,,Scott Piercy,70,53.49,92,80,-44,-6
91,92,,Shawn Stefani,72,53.27,114,100,-56,-11
92,93,,Robert Streb,98,53.26,155,136,-75,+1
93,94,,Kevin Streelman,90,53.15,152,134,-67,-5
94,95,,Adam Hadwin,98,53.0,150,133,-73,-18
95,96,,Ben Martin,86,52.85,130,116,-66,-6
96,97,,Phil Mickelson,85,52.73,135,121,-85,-22
97,T98,,Fabián Gómez,61,52.63,100,90,-53,-9
