,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,,Martin Flores,88,155.5,442936800.0,791
1,2,,Miguel Angel Carballo,63,155.9,272847600.0,486
2,T3,,Andrew Loupe,55,156.0,287608700.0,512
3,T3,,Scott Stallings,81,156.0,437383000.0,779
4,5,,Nicholas Lindheim,58,156.1,271359000.0,483
5,6,,Trey Mullinax,88,156.2,418318600.0,744
6,7,,Blayne Barber,77,156.4,418324400.0,743
7,8,,Brandon Hagy,85,156.5,429231500.0,762
8,9,,Rick Lamb,54,156.6,241312600.0,428
9,10,,Matt Jones,64,156.8,327460200.0,580
10,T11,,Tag Ridings,67,156.9,317417600.0,562
11,T11,,Nick Watney,75,156.9,421327000.0,746
12,T13,,Tom Hoge,54,157.7,245824400.0,433
13,T13,,Kevin Tway,96,157.7,471826400.0,831
14,15,,Brad Fritsch,56,158.0,255965700.0,450
15,16,,Brett Drewitt,57,158.2,279063800.0,490
16,17,,Dustin Johnson,77,158.3,370345100.0,650
17,T18,,Mark Anderson,54,158.4,280645600.0,492
18,T18,,Peter Malnati,91,158.4,472750700.0,829
19,T20,,Brian Campbell,55,158.6,260860500.0,457
20,T20,,Matt Every,76,158.6,352299500.0,617
21,T20,,Richy Werenski,81,158.6,408835600.0,716
22,23,,Dominic Bozzelli,69,158.7,339350400.0,594
23,T24,,Steven Bowditch,59,158.8,284607900.0,498
24,T24,,Andres Gonzales,73,158.8,370494300.0,648
25,26,,Morgan Hoffmann,92,158.9,527417700.0,922
26,T27,,Grayson Murray,94,159.1,510395400.0,891
27,T27,,Brett Stegmaier,78,159.1,365475300.0,638
28,29,,Steven Alker,69,159.2,336959100.0,588
29,30,,Smylie Kaufman,76,159.3,399018400.0,696
30,31,,Retief Goosen,52,159.5,267549400.0,466
31,32,,Ryan Armour,63,159.6,332713000.0,579
32,33,,Rory Sabbatini,71,159.7,332976200.0,579
33,T34,,Ryan Brehm,83,159.8,393001500.0,683
34,T34,,Brian Gay,82,159.8,470126700.0,817
35,36,,Roberto Castro,70,159.9,356308400.0,619
36,37,,Hunter Mahan,73,160.0,391071400.0,679
37,38,,Cameron Percy,71,160.1,372891800.0,647
38,39,,Greg Chalmers,75,160.2,442993600.0,768
39,40,,Julián Etulain,68,160.4,337882200.0,585
40,T41,,Jon Rahm,90,160.7,408889200.0,707
41,T41,,Michael Thompson,60,160.7,293831900.0,508
42,T43,,Seung-Yul Noh,91,160.8,487409700.0,842
43,T43,,Patrick Rodgers,76,160.8,430780500.0,744
44,45,,J.J. Spaun,92,160.9,482433800.0,833
45,46,,Ollie Schniederjans,92,161.0,522860600.0,902
46,T47,,K.J. Choi,72,161.1,372805300.0,643
47,T47,,Carl Pettersson,63,161.1,328177800.0,566
48,49,,Ryan Palmer,61,161.2,317953900.0,548
49,T50,,Luke Donald,50,161.3,294329800.0,507
50,T50,,Gonzalo Fernandez-Castaño,63,161.3,301973900.0,520
51,T50,,Geoff Ogilvy,80,161.3,461552300.0,795
52,T53,,Ernie Els,52,161.4,215630600.0,371
53,T53,,Mackenzie Hughes,106,161.4,624216300.0,1074
54,T53,,Shane Lowry,52,161.4,214404400.0,369
55,T53,,Shawn Stefani,72,161.4,406165900.0,699
56,T57,,Harris English,84,161.5,448745300.0,772
57,T57,,Jonathan Randolph,68,161.5,305161900.0,525
58,T57,,Hudson Swafford,94,161.5,509366800.0,876
59,60,,J.T. Poston,95,161.6,466047000.0,801
60,T61,,J.B. Holmes,83,161.7,356947000.0,613
61,T61,,Charles Howell III,86,161.7,470454200.0,808
62,T61,,Kevin Streelman,90,161.7,535513100.0,920
63,T61,,Jimmy Walker,68,161.7,304420000.0,523
64,T65,,Jason Dufner,89,161.8,447979700.0,769
65,T65,,J.J. Henry,92,161.8,527736200.0,906
66,T67,,Kevin Chappell,95,161.9,430250500.0,738
67,T67,,Lucas Glover,93,161.9,568136000.0,975
68,T67,,Bryce Molder,74,161.9,432455900.0,742
69,T67,,Steve Wheatcroft,51,161.9,273415200.0,469
70,T71,,Whee Kim,74,162.1,389796000.0,668
71,T71,,Johnson Wagner,71,162.1,384670000.0,659
72,T73,,Luke List,102,162.2,536689200.0,919
73,T73,,Scott Piercy,70,162.2,286116600.0,490
74,T73,,Harold Varner III,101,162.2,562487800.0,963
75,T73,,Boo Weekley,75,162.2,402988100.0,690
76,T77,,Brian Harman,104,162.3,552178200.0,945
77,T77,,Charley Hoffman,112,162.3,568641400.0,973
78,T77,,Troy Merritt,82,162.3,452356700.0,774
79,T77,,Kyle Reifers,96,162.3,514027100.0,880
80,T77,,Cameron Tringale,89,162.3,429977400.0,736
81,T82,,Derek Fathauer,81,162.5,398952300.0,682
82,T82,,James Hahn,96,162.5,555825200.0,950
83,T82,,Jordan Spieth,85,162.5,414255900.0,708
84,T82,,Tyrone Van Aswegen,105,162.5,542211600.0,927
85,T86,,Chris Kirk,89,162.6,463128600.0,791
86,T86,,Jason Kokrak,95,162.6,505273900.0,863
87,T88,,Stewart Cink,93,162.7,506069500.0,864
88,T88,,Robert Garrigus,78,162.7,381880200.0,652
89,T88,,Seamus Power,86,162.7,455206300.0,777
90,T91,,Cody Gribble,79,162.8,444126200.0,758
91,T91,,Nick Taylor,97,162.8,568064700.0,969
92,T93,,Ricky Barnes,100,162.9,529495200.0,903
93,T93,,David Hearn,93,162.9,496855000.0,847
94,T93,,Anirban Lahiri,72,162.9,370641900.0,632
95,T93,,Brandt Snedeker,53,162.9,255173700.0,435
96,T93,,Chris Stroud,67,162.9,317817700.0,542
97,T98,,Jonas Blixt,74,163.0,391326400.0,667
98,T98,,Vaughn Taylor,90,163.0,511066100.0,871
99,T98,,Justin Thomas,86,163.0,380820000.0,649
100,T101,,Sung Kang,104,163.1,532531400.0,907
101,T101,,Brian Stuard,93,163.1,461507000.0,786
102,T103,,Tony Finau,106,163.3,590832100.0,1005
103,T103,,Si Woo Kim,80,163.3,362683600.0,617
104,T103,,Jamie Lovemark,98,163.3,493935000.0,840
105,T103,,Phil Mickelson,85,163.3,453843200.0,772
106,T107,,David Lingmerth,79,163.4,420603200.0,715
107,T107,,Ben Martin,86,163.4,468282600.0,796
108,T109,,Chad Campbell,97,163.5,609078000.0,1035
109,T109,,Ryo Ishikawa,56,163.5,290720900.0,494
110,T109,,Zach Johnson,81,163.5,431537300.0,733
111,T109,,Patton Kizzire,84,163.5,460172100.0,782
112,T109,,Chez Reavie,98,163.5,548144600.0,931
113,T109,,Camilo Villegas,76,163.5,404267600.0,687
114,T115,,Billy Horschel,88,163.6,524037700.0,890
115,T115,,Brendan Steele,89,163.6,442375000.0,751
116,T117,,Ken Duke,77,163.7,407805600.0,692
117,T117,,Fabián Gómez,61,163.7,343057300.0,582
118,T117,,Sebastián Muñoz,51,163.7,245705800.0,417
119,T117,,Sam Saunders,76,163.7,388989500.0,660
120,T121,,Ryan Blaum,100,163.8,551357000.0,935
121,T121,,Billy Hurley III,80,163.8,458074500.0,777
122,T123,,Patrick Reed,107,163.9,537617600.0,911
123,T123,,Daniel Summerhays,100,163.9,525813700.0,891
124,T125,,Graham DeLaet,82,164.0,477637200.0,809
125,T125,,Michael Kim,94,164.0,559850100.0,948
126,T125,,Kevin Kisner,105,164.0,504104000.0,854
127,T125,,Sean O'Hair,84,164.0,448647200.0,760
128,T125,,Robert Streb,98,164.0,568415700.0,963
129,130,,Matt Kuchar,95,164.2,512368400.0,867
130,T131,,Jason Bohn,75,164.3,436407900.0,738
131,T131,,Justin Rose,66,164.3,334231500.0,565
132,T131,,Cameron Smith,86,164.3,457179000.0,773
133,T134,,Zac Blair,105,164.4,572341000.0,967
134,T134,,Russell Knox,75,164.4,339085500.0,573
135,T134,,Webb Simpson,102,164.4,550338800.0,930
136,T137,,Brooks Koepka,88,164.5,385033200.0,650
