,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,,Luke List,102,34.47,81,235,-84,84 Under
1,2,,Harris English,84,33.04,38,115,-35,35 Under
2,3,,Brandon Hagy,85,32.68,50,153,-54,54 Under
3,4,,Brendan Steele,89,32.5,52,160,-51,51 Under
4,5,,Nick Watney,75,31.13,33,106,-35,35 Under
5,6,,Ollie Schniederjans,92,30.91,51,165,-52,52 Under
6,7,,Retief Goosen,52,30.77,24,78,-24,24 Under
7,8,,Jason Kokrak,95,30.61,60,196,-54,54 Under
8,9,,Graham DeLaet,82,30.41,45,148,-51,51 Under
9,10,,Derek Fathauer,81,30.3,30,99,-30,30 Under
10,11,,Shane Lowry,52,29.63,24,81,-25,25 Under
11,T12,,Camilo Villegas,76,29.41,25,85,-23,23 Under
12,T12,,Boo Weekley,75,29.41,35,119,-33,33 Under
13,14,,Tony Finau,106,29.39,77,262,-84,84 Under
14,T15,,Mark Anderson,54,29.03,18,62,-18,18 Under
15,T15,,Tag Ridings,67,29.03,27,93,-25,25 Under
16,17,,Bubba Watson,71,29.01,38,131,-40,40 Under
17,18,,Hudson Swafford,94,28.57,44,154,-43,43 Under
18,19,,Ryan Moore,82,28.33,34,120,-35,35 Under
19,20,,Mark Hubbard,81,28.18,31,110,-34,34 Under
20,21,,J.J. Spaun,92,28.13,36,128,-39,39 Under
21,T22,,Charley Hoffman,112,28.0,63,225,-61,61 Under
22,T22,,Andrew Loupe,55,28.0,28,100,-34,34 Under
23,24,,Dustin Johnson,77,27.89,41,147,-45,45 Under
24,T25,,Miguel Angel Carballo,63,27.78,20,72,-26,26 Under
25,T25,,David Hearn,93,27.78,25,90,-25,25 Under
26,27,,Webb Simpson,102,27.74,38,137,-42,42 Under
27,28,,Jim Furyk,54,27.66,13,47,-14,14 Under
28,29,,Rory Sabbatini,71,27.45,28,102,-30,30 Under
29,30,,J.B. Holmes,83,27.27,36,132,-38,38 Under
30,T31,,Scott Piercy,70,27.17,25,92,-27,27 Under
31,T31,,Harold Varner III,101,27.17,47,173,-44,44 Under
32,33,,Phil Mickelson,85,27.01,37,137,-40,40 Under
33,34,,Geoff Ogilvy,80,27.0,27,100,-27,27 Under
34,35,,Justin Rose,66,26.98,34,126,-36,36 Under
35,36,,Jon Rahm,90,26.95,45,167,-44,44 Under
36,37,,Michael Thompson,60,26.92,14,52,-17,17 Under
37,38,,Lucas Glover,93,26.78,49,183,-51,51 Under
38,39,,Brad Fritsch,56,26.56,17,64,-17,17 Under
39,40,,Richy Werenski,81,26.47,27,102,-30,30 Under
40,41,,Robert Garrigus,78,26.32,35,133,-32,32 Under
41,42,,Ryan Brehm,83,26.24,37,141,-40,40 Under
42,43,,Michael Kim,94,26.17,39,149,-37,37 Under
43,44,,Gary Woodland,94,26.06,43,165,-40,40 Under
44,45,,Brett Stegmaier,78,26.0,26,100,-30,30 Under
45,46,,Jason Dufner,89,25.98,33,127,-34,34 Under
46,47,,K.J. Choi,72,25.97,20,77,-20,20 Under
47,48,,Wesley Bryan,95,25.96,27,104,-33,33 Under
48,49,,Sebastián Muñoz,51,25.93,21,81,-19,19 Under
49,50,,Chad Campbell,97,25.78,33,128,-29,29 Under
50,51,,Cameron Tringale,89,25.77,25,97,-27,27 Under
51,52,,Jordan Spieth,85,25.68,38,148,-34,34 Under
52,53,,Billy Horschel,88,25.53,36,141,-36,36 Under
53,54,,Justin Thomas,86,25.48,40,157,-45,45 Under
54,T55,,Matt Every,76,25.44,29,114,-29,29 Under
55,T55,,Scott Stallings,81,25.44,29,114,-28,28 Under
56,57,,Jhonattan Vegas,95,25.4,48,189,-46,46 Under
57,58,,Stewart Cink,93,25.35,36,142,-42,42 Under
58,59,,Cameron Smith,86,25.34,37,146,-43,43 Under
59,60,,Louis Oosthuizen,69,25.25,25,99,-30,30 Under
60,61,,Ben Martin,86,25.19,33,131,-32,32 Under
61,62,,Hideki Matsuyama,83,25.0,38,152,-40,40 Under
62,63,,Xander Schauffele,96,24.67,37,150,-37,37 Under
63,64,,Charles Howell III,86,24.62,32,130,-32,32 Under
64,65,,Sung Kang,104,24.6,46,187,-49,49 Under
65,T66,,Ricky Barnes,100,24.59,30,122,-36,36 Under
66,T66,,Martin Flores,88,24.59,30,122,-35,35 Under
67,68,,Marc Leishman,94,24.22,39,161,-41,41 Under
68,69,,James Hahn,96,24.07,39,162,-42,42 Under
69,70,,Kevin Na,86,24.04,25,104,-23,23 Under
70,71,,Anirban Lahiri,72,23.88,32,134,-35,35 Under
71,72,,Adam Scott,58,23.86,21,88,-19,19 Under
72,73,,Ryan Palmer,61,23.85,26,109,-19,19 Under
73,74,,Jamie Lovemark,98,23.83,46,193,-50,50 Under
74,75,,Kevin Chappell,95,23.67,40,169,-37,37 Under
75,76,,Sam Saunders,76,23.58,25,106,-21,21 Under
76,77,,Keegan Bradley,104,23.47,46,196,-49,49 Under
77,78,,Brian Stuard,93,23.46,19,81,-17,17 Under
78,79,,Emiliano Grillo,90,23.44,30,128,-26,26 Under
79,80,,Kevin Streelman,90,23.38,36,154,-33,33 Under
80,81,,Pat Perez,93,23.36,32,137,-33,33 Under
81,82,,Kyle Reifers,96,23.33,28,120,-31,31 Under
82,83,,Chad Collins,66,23.29,17,73,-18,18 Under
83,84,,Tyrone Van Aswegen,105,23.28,27,116,-24,24 Under
84,85,,Daniel Summerhays,100,23.23,36,155,-35,35 Under
85,86,,Tom Hoge,54,23.19,16,69,-16,16 Under
86,87,,Nick Taylor,97,23.17,38,164,-38,38 Under
87,T88,,Kevin Kisner,105,22.95,28,122,-28,28 Under
88,T88,,Tim Wilkinson,64,22.95,14,61,-15,15 Under
89,90,,Ryan Armour,63,22.92,11,48,-12,12 Under
90,91,,Brooks Koepka,88,22.91,41,179,-43,43 Under
91,T92,,Jim Herman,77,22.76,33,145,-30,30 Under
92,T92,,Trey Mullinax,88,22.76,33,145,-35,35 Under
93,94,,Jason Day,71,22.73,30,132,-36,36 Under
94,95,,J.J. Henry,92,22.66,29,128,-32,32 Under
95,96,,Carl Pettersson,63,22.54,16,71,-18,18 Under
96,97,,Kevin Tway,96,22.47,40,178,-42,42 Under
97,98,,Smylie Kaufman,76,22.45,33,147,-35,35 Under
98,99,,Bryson DeChambeau,91,22.38,32,143,-33,33 Under
99,T100,,Russell Knox,75,22.22,22,99,-22,22 Under
100,T100,,Sean O'Hair,84,22.22,32,144,-31,31 Under
101,102,,Russell Henley,99,22.15,35,158,-36,36 Under
102,103,,Charl Schwartzel,63,22.12,25,113,-28,28 Under
103,104,,Bud Cauley,92,22.09,38,172,-38,38 Under
104,105,,Martin Laird,83,22.06,30,136,-33,33 Under
105,106,,Patton Kizzire,84,22.03,26,118,-22,22 Under
106,107,,Jimmy Walker,68,22.0,22,100,-22,22 Under
107,108,,Andres Gonzales,73,21.85,26,119,-27,27 Under
