,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,,Jon Rahm,90,-.047
1,2,,Jordan Spieth,85,-.036
2,3,,Rory McIlroy,51,-.031
3,4,,Luke List,102,-.010
4,5,,Kevin Na,86,E
5,6,,Dustin Johnson,77,+.005
6,T7,,Webb Simpson,102,+.009
7,T7,,Justin Thomas,86,+.009
8,9,,Shane Lowry,52,+.011
9,10,,Branden Grace,70,+.014
10,T11,,Brandon Hagy,85,+.023
11,T11,,Jamie Lovemark,98,+.023
12,13,,David Lingmerth,79,+.027
13,14,,Sean O'Hair,84,+.033
14,T15,,Patrick Cantlay,52,+.035
15,T15,,James Hahn,96,+.035
16,17,,Charley Hoffman,112,+.037
17,18,,Rory Sabbatini,71,+.038
18,19,,Seamus Power,86,+.039
19,T20,,Andres Gonzales,73,+.040
20,T20,,Charl Schwartzel,63,+.040
21,22,,Jason Day,71,+.042
22,23,,Hideki Matsuyama,83,+.044
23,24,,Justin Rose,66,+.048
24,25,,Xander Schauffele,96,+.054
25,T26,,Paul Casey,94,+.057
26,T26,,Jhonattan Vegas,95,+.057
27,T28,,Daniel Berger,91,+.058
28,T28,,Roberto Castro,70,+.058
29,T28,,Graham DeLaet,82,+.058
30,T28,,Martin Flores,88,+.058
31,T32,,Jim Herman,77,+.060
32,T32,,Boo Weekley,75,+.060
33,34,,Harris English,84,+.061
34,35,,Tag Ridings,67,+.063
35,T36,,Mark Anderson,54,+.066
36,T36,,Ricky Barnes,100,+.066
37,38,,Geoff Ogilvy,80,+.072
38,T39,,J.B. Holmes,83,+.074
39,T39,,Michael Kim,94,+.074
40,41,,Jason Kokrak,95,+.075
41,T42,,Tony Finau,106,+.076
42,T42,,Kevin Kisner,105,+.076
43,T44,,Louis Oosthuizen,69,+.077
44,T44,,Gary Woodland,94,+.077
45,T46,,Rickie Fowler,78,+.078
46,T46,,Adam Hadwin,98,+.078
47,T48,,Stewart Cink,93,+.079
48,T48,,Marc Leishman,94,+.079
49,50,,Trey Mullinax,88,+.081
50,51,,Tim Wilkinson,64,+.082
51,T52,,Brian Campbell,55,+.083
52,T52,,D.A. Points,68,+.083
53,54,,Bill Haas,92,+.084
54,55,,Ryan Brehm,83,+.086
55,56,,Charles Howell III,86,+.088
56,T57,,Jason Dufner,89,+.089
57,T57,,Bubba Watson,71,+.089
58,T59,,Julián Etulain,68,+.090
59,T59,,Sung Kang,104,+.090
60,T59,,Chez Reavie,98,+.090
61,62,,Lucas Glover,93,+.091
62,T63,,Zac Blair,105,+.094
63,T63,,Matt Jones,64,+.094
64,65,,Rafa Cabrera Bello,63,+.095
65,66,,Gonzalo Fernandez-Castaño,63,+.096
66,T67,,Kevin Chappell,95,+.099
67,T67,,Ian Poulter,72,+.099
68,69,,Hudson Swafford,94,+.101
69,T70,,Bud Cauley,92,+.103
70,T70,,Hunter Mahan,73,+.103
71,72,,Pat Perez,93,+.104
72,73,,Kevin Streelman,90,+.105
73,74,,Adam Scott,58,+.106
74,75,,Ryan Armour,63,+.107
75,T76,,Patrick Reed,107,+.109
76,T76,,Ollie Schniederjans,92,+.109
77,T76,,Vaughn Taylor,90,+.109
78,79,,Grayson Murray,94,+.110
79,80,,J.T. Poston,95,+.111
80,81,,John Huh,92,+.112
81,T82,,Whee Kim,74,+.113
82,T82,,Danny Lee,93,+.113
83,T84,,Zach Johnson,81,+.116
84,T84,,Patrick Rodgers,76,+.116
85,T84,,Robert Streb,98,+.116
86,T84,,Harold Varner III,101,+.116
87,T84,,Nick Watney,75,+.116
88,T89,,Steven Alker,69,+.117
89,T89,,Brooks Koepka,88,+.117
90,T91,,Fabián Gómez,61,+.118
91,T91,,Rod Pampling,71,+.118
92,T91,,Steve Wheatcroft,51,+.118
93,94,,Mackenzie Hughes,106,+.119
94,95,,Seung-Yul Noh,91,+.121
95,96,,Cody Gribble,79,+.122
96,T97,,Dominic Bozzelli,69,+.123
97,T97,,Jim Furyk,54,+.123
98,T97,,Kyle Stanley,104,+.123
99,T100,,Alex Cejka,85,+.124
100,T100,,Sebastián Muñoz,51,+.124
