,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,,Brett Drewitt,57,158.5,4365489.0,765
1,2,,Blayne Barber,77,158.6,6776817.0,1187
2,3,,Tag Ridings,67,158.7,5090197.0,891
3,4,,Brian Campbell,55,159.1,4169719.0,728
4,T5,,Martin Flores,88,159.3,6865747.0,1197
5,T5,,Scott Stallings,81,159.3,6973144.0,1216
6,T7,,Nicholas Lindheim,58,159.5,4490995.0,782
7,T7,,Peter Malnati,91,159.5,7460571.0,1299
8,T9,,Mark Anderson,54,159.6,4309955.0,750
9,T9,,Miguel Angel Carballo,63,159.6,4406673.0,767
10,11,,Steven Alker,69,160.0,5222867.0,907
11,12,,Rick Lamb,54,160.3,3894193.0,675
12,13,,Nick Watney,75,160.4,6588348.0,1141
13,14,,Trey Mullinax,88,160.8,6824049.0,1179
14,15,,Steven Bowditch,59,161.0,4614753.0,796
15,16,,Brad Fritsch,56,161.1,4355891.0,751
16,T17,,Greg Chalmers,75,161.2,7009118.0,1208
17,T17,,Matt Every,76,161.2,6275030.0,1081
18,T17,,Brandon Hagy,85,161.2,7139737.0,1230
19,T17,,Dustin Johnson,77,161.2,5897112.0,1016
20,T17,,Smylie Kaufman,76,161.2,6454779.0,1112
21,22,,Ryan Armour,63,161.3,5086411.0,876
22,23,,Scott Piercy,70,161.4,4858527.0,836
23,24,,Roberto Castro,70,161.5,5384735.0,926
24,T25,,Ryan Brehm,83,161.6,6313995.0,1085
25,T25,,Gonzalo Fernandez-Castaño,63,161.6,4573641.0,786
26,T25,,Tom Hoge,54,161.6,4031101.0,693
27,T25,,Andrew Loupe,55,161.6,4870011.0,837
28,T25,,Bryce Molder,74,161.6,6630080.0,1140
29,30,,Brian Gay,82,161.7,7161508.0,1230
30,31,,Morgan Hoffmann,92,162.1,8514216.0,1459
31,T32,,Matt Jones,64,162.2,5324065.0,912
32,T32,,Carl Pettersson,63,162.2,5394713.0,924
33,T34,,Grayson Murray,94,162.3,8818393.0,1509
34,T34,,Michael Thompson,60,162.3,4603360.0,788
35,36,,Andres Gonzales,73,162.4,5941311.0,1016
36,T37,,Whee Kim,74,162.5,6062419.0,1036
37,T37,,Kevin Tway,96,162.5,7750433.0,1325
38,T39,,Dominic Bozzelli,69,162.6,5714512.0,976
39,T39,,Ken Duke,77,162.6,6229631.0,1064
40,T39,,Julián Etulain,68,162.6,5304479.0,906
41,T39,,Richy Werenski,81,162.6,6390553.0,1092
42,T43,,Rory Sabbatini,71,162.7,5528681.0,944
43,T43,,Brett Stegmaier,78,162.7,6031575.0,1030
44,45,,K.J. Choi,72,162.8,5655716.0,965
45,T46,,Ernie Els,52,162.9,3430449.0,585
46,T46,,Retief Goosen,52,162.9,4268413.0,728
47,T48,,Chris Kirk,89,163.1,7303766.0,1244
48,T48,,Cameron Percy,71,163.1,5761452.0,981
49,T50,,Jason Bohn,75,163.2,6461385.0,1100
50,T50,,Derek Fathauer,81,163.2,6650363.0,1132
51,T50,,Patrick Rodgers,76,163.2,6901378.0,1175
52,T50,,Ollie Schniederjans,92,163.2,8497072.0,1446
53,T50,,Tyrone Van Aswegen,105,163.2,8401484.0,1430
54,T55,,Stewart Cink,93,163.5,8103282.0,1377
55,T55,,J.B. Holmes,83,163.5,5954880.0,1012
56,T55,,Troy Merritt,82,163.5,7122875.0,1210
57,T55,,Sebastián Muñoz,51,163.5,4060538.0,690
58,T59,,Jason Dufner,89,163.6,7373625.0,1252
59,T59,,Patton Kizzire,84,163.6,7534717.0,1279
60,T59,,Geoff Ogilvy,80,163.6,7019922.0,1192
61,T59,,Boo Weekley,75,163.6,6426484.0,1091
62,T63,,Chad Collins,66,163.8,5678523.0,963
63,T63,,Ryan Palmer,61,163.8,4929215.0,836
64,T65,,Billy Hurley III,80,163.9,7256901.0,1230
65,T65,,Camilo Villegas,76,163.9,6542784.0,1109
66,T67,,J.T. Poston,95,164.0,7472219.0,1266
67,T67,,Hudson Swafford,94,164.0,8004753.0,1356
68,T69,,Robert Garrigus,78,164.1,6293459.0,1065
69,T69,,David Hearn,93,164.1,7478355.0,1266
70,T69,,Charles Howell III,86,164.1,7189005.0,1217
