,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,,Dustin Johnson,77,"37' 4""",99977,223,8331.417,+4.00
1,2,,David Lingmerth,79,"39' 1""",102757,219,8563.083,+14.00
2,3,,Boo Weekley,75,"39' 7""",79721,168,6643.4169999999995,+12.00
3,4,,Jordan Spieth,85,"39' 10""",110005,230,9167.083,-5.00
4,5,,Harris English,84,"39' 11""",153675,321,12806.25,+22.00
5,6,,Jon Rahm,90,"40' 0""",113263,236,9438.583,-8.00
6,7,,Nick Watney,75,"40' 1""",118260,246,9855.0,+27.00
7,8,,Scott Stallings,81,"40' 2""",132092,274,11007.667,+53.00
8,9,,Bud Cauley,92,"40' 6""",134088,276,11174.0,+31.00
9,10,,Luke List,102,"40' 8""",167013,342,13917.75,-1.00
10,11,,Webb Simpson,102,"40' 10""",117612,240,9801.0,+6.00
11,12,,Justin Thomas,86,"40' 11""",126769,258,10564.083,-7.00
12,13,,Bubba Watson,71,"41' 2""",91887,186,7657.25,+18.00
13,14,,Rory McIlroy,51,"41' 3""",58412,118,4867.667,+2.00
14,T15,,Mark Anderson,54,"41' 5""",85537,172,7128.0830000000005,+16.00
15,T15,,Aaron Baddeley,61,"41' 5""",97986,197,8165.5,+19.00
16,17,,Ryan Palmer,61,"41' 6""",96161,193,8013.4169999999995,+25.00
17,T18,,Ken Duke,77,"41' 8""",95497,191,7958.0830000000005,+29.00
18,T18,,Martin Flores,88,"41' 8""",158501,317,13208.417,+13.00
19,T18,,Phil Mickelson,85,"41' 8""",143969,288,11997.417,+38.00
20,21,,Miguel Angel Carballo,63,"41' 9""",89138,178,7428.1669999999995,+31.00
21,T22,,Jason Dufner,89,"41' 11""",123219,245,10268.25,+26.00
22,T22,,Francesco Molinari,75,"41' 11""",79031,157,6585.9169999999995,+26.00
23,24,,Rory Sabbatini,71,"42' 0""",91294,181,7607.8330000000005,+7.00
24,T25,,Roberto Castro,70,"42' 1""",79800,158,6650.0,+11.00
25,T25,,Morgan Hoffmann,92,"42' 1""",153433,304,12786.083,+39.00
26,T25,,Andrew Loupe,55,"42' 1""",118189,234,9849.083,+38.00
27,T25,,Jimmy Walker,68,"42' 1""",98539,195,8211.583,+32.00
28,T29,,Jim Herman,77,"42' 2""",95149,188,7929.0830000000005,+8.00
29,T29,,Brandt Snedeker,53,"42' 2""",64717,128,5393.0830000000005,+16.00
30,31,,Ryan Armour,63,"42' 3""",73587,145,6132.25,+20.00
31,T32,,Graham DeLaet,82,"42' 4""",113680,224,9473.333,+15.00
32,T32,,Bill Haas,92,"42' 4""",127576,251,10631.333,+23.00
33,34,,Hideki Matsuyama,83,"42' 5""",108369,213,9030.75,+15.00
34,T35,,Danny Lee,93,"42' 6""",132496,260,11041.333,+38.00
35,T35,,Jhonattan Vegas,95,"42' 6""",148490,291,12374.167,+23.00
36,T37,,Matt Kuchar,95,"42' 7""",110792,217,9232.667,+29.00
37,T37,,Charl Schwartzel,63,"42' 7""",100118,196,8343.167,+13.00
38,T39,,Pat Perez,93,"42' 8""",136172,266,11347.667,+25.00
39,T39,,Xander Schauffele,96,"42' 8""",138314,270,11526.167,+14.00
40,T41,,Jason Bohn,75,"42' 9""",118970,232,9914.167,+38.00
41,T41,,Billy Horschel,88,"42' 9""",150810,294,12567.5,+46.00
42,T41,,Trey Mullinax,88,"42' 9""",162186,316,13515.5,+26.00
43,T41,,Kevin Na,86,"42' 9""",115015,224,9584.583,E
44,T41,,Justin Rose,66,"42' 9""",97013,189,8084.4169999999995,+7.00
45,46,,J.T. Poston,95,"42' 10""",150040,292,12503.333,+30.00
46,T47,,Luke Donald,50,"42' 11""",75195,146,6266.25,+18.00
47,T47,,Retief Goosen,52,"42' 11""",84474,164,7039.5,+28.00
48,T47,,Ryan Moore,82,"42' 11""",96306,187,8025.5,+37.00
49,T47,,Louis Oosthuizen,69,"42' 11""",81861,159,6821.75,+13.00
50,T51,,Steven Alker,69,"43' 0""",73263,142,6105.25,+18.00
51,T51,,Mark Hubbard,81,"43' 0""",123220,239,10268.333,+38.00
52,T51,,Geoff Ogilvy,80,"43' 0""",123277,239,10273.083,+21.00
53,54,,Jonathan Randolph,68,"43' 1""",88388,171,7365.6669999999995,+31.00
54,55,,Peter Malnati,91,"43' 2""",130087,251,10840.583,+30.00
55,T56,,Greg Chalmers,75,"43' 3""",132823,256,11068.583,+35.00
56,T56,,Shane Lowry,52,"43' 3""",52452,101,4371.0,+7.00
57,T56,,Chez Reavie,98,"43' 3""",109414,211,9117.833,+21.00
58,T59,,Chad Collins,66,"43' 4""",111354,214,9279.5,+30.00
59,T59,,Brandon Hagy,85,"43' 4""",165467,318,13788.917,+7.00
60,T59,,Brendan Steele,89,"43' 4""",119513,230,9959.417,+27.00
61,T59,,Kevin Tway,96,"43' 4""",172698,332,14391.5,+44.00
62,T63,,Jason Day,71,"43' 5""",116669,224,9722.417,+25.00
63,T63,,Tom Hoge,54,"43' 5""",86409,166,7200.75,+24.00
64,T63,,Scott Piercy,70,"43' 5""",98446,189,8203.833,+33.00
65,T63,,Johnson Wagner,71,"43' 5""",106184,204,8848.667,+28.00
66,67,,D.A. Points,68,"43' 6""",96092,184,8007.6669999999995,+17.00
67,T68,,Lucas Glover,93,"43' 8""",135680,259,11306.667,+27.00
68,T68,,Zach Johnson,81,"43' 8""",97397,186,8116.4169999999995,+24.00
69,70,,Anirban Lahiri,72,"43' 9""",109146,208,9095.5,+32.00
70,T71,,Charley Hoffman,112,"43' 10""",180018,342,15001.5,+12.00
71,T71,,Ollie Schniederjans,92,"43' 10""",195489,372,16290.75,+44.00
72,T73,,Ryan Brehm,83,"43' 11""",153403,291,12783.583,+21.00
73,T73,,Chris Kirk,89,"43' 11""",127641,242,10636.75,+48.00
74,T75,,Brett Drewitt,57,"44' 0""",94575,179,7881.25,+34.00
75,T75,,Emiliano Grillo,90,"44' 0""",103562,196,8630.167,+26.00
76,T75,,Billy Hurley III,80,"44' 0""",132540,251,11045.0,+30.00
77,T75,,Ben Martin,86,"44' 0""",112481,213,9373.417,+34.00
78,T79,,Sean O'Hair,84,"44' 1""",127506,241,10625.5,+18.00
79,T79,,Tim Wilkinson,64,"44' 1""",85679,162,7139.9169999999995,+15.00
80,T81,,Brad Fritsch,56,"44' 2""",96486,182,8040.5,+32.00
81,T81,,James Hahn,96,"44' 2""",137812,260,11484.333,+10.00
