,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,,Bryce Molder,74,158.0,108046200.0,190
1,2,,Ken Duke,77,159.1,108840500.0,190
2,3,,Ryan Armour,63,159.6,93665100.0,163
3,4,,Brett Drewitt,57,161.4,80167900.0,138
4,5,,Roberto Castro,70,161.6,89566500.0,154
5,T6,,Steven Alker,69,163.4,102368600.0,174
6,T6,,Scott Piercy,70,163.4,109394600.0,186
7,T6,,Camilo Villegas,76,163.4,137094900.0,233
8,9,,Billy Hurley III,80,163.8,146844700.0,249
9,10,,Greg Chalmers,75,164.4,133786400.0,226
10,11,,Blayne Barber,77,164.7,150020400.0,253
11,T12,,Jason Bohn,75,165.0,102765700.0,173
12,T12,,Vaughn Taylor,90,165.0,165696100.0,279
13,14,,Patton Kizzire,84,165.2,155207000.0,261
14,15,,Peter Malnati,91,165.5,157290100.0,264
15,16,,Brian Campbell,55,165.6,88843600.0,149
16,17,,Sam Saunders,76,165.9,141507000.0,237
17,T18,,Alex Cejka,85,166.1,113021700.0,189
18,T18,,Branden Grace,70,166.1,83703400.0,140
19,T18,,Chris Kirk,89,166.1,148926700.0,249
20,T21,,Brian Gay,82,166.4,141394000.0,236
21,T21,,Tim Wilkinson,64,166.4,93425100.0,156
22,23,,Sebastián Muñoz,51,167.0,93200100.0,155
23,24,,Carl Pettersson,63,167.1,99281700.0,165
24,25,,Jason Dufner,89,167.3,166828000.0,277
25,26,,K.J. Choi,72,167.4,104259100.0,173
26,27,,Ryan Blaum,100,167.5,174849600.0,290
27,T28,,Whee Kim,74,167.6,115233600.0,191
28,T28,,Scott Stallings,81,167.6,141170600.0,234
29,30,,Graeme McDowell,56,167.7,108674100.0,180
30,31,,Chad Collins,66,168.0,107023600.0,177
31,32,,Wesley Bryan,95,168.1,163378700.0,270
32,T33,,Mark Anderson,54,168.2,82975300.0,137
33,T33,,Stewart Cink,93,168.2,186533700.0,308
34,T33,,Jim Furyk,54,168.2,75083200.0,124
35,T36,,Tag Ridings,67,168.3,113293900.0,187
36,T36,,Johnson Wagner,71,168.3,113323200.0,187
37,38,,Xander Schauffele,96,168.4,161280000.0,266
38,39,,Tom Hoge,54,168.6,88590300.0,146
39,T40,,Ben Crane,86,168.8,134898400.0,222
40,T40,,Robert Garrigus,78,168.8,144057600.0,237
41,T40,,Russell Knox,75,168.8,114254100.0,188
42,43,,David Lingmerth,79,169.0,148491600.0,244
43,T44,,Nicholas Lindheim,58,169.1,91931000.0,151
44,T44,,Brian Stuard,93,169.1,132733600.0,218
45,T46,,Derek Fathauer,81,169.2,143781200.0,236
46,T46,,Gonzalo Fernandez-Castaño,63,169.2,88928400.0,146
47,48,,Zach Johnson,81,169.5,140359600.0,230
48,49,,Matt Kuchar,95,169.6,161752800.0,265
49,50,,Luke Donald,50,169.8,81293000.0,133
50,T51,,Spencer Levin,89,169.9,122969200.0,201
51,T51,,Troy Merritt,82,169.9,148644300.0,243
52,T53,,Zac Blair,105,170.4,161308500.0,263
53,T53,,Chad Campbell,97,170.4,173644200.0,283
54,T55,,Fabián Gómez,61,170.6,107507100.0,175
55,T55,,Tyrone Van Aswegen,105,170.6,162154800.0,264
56,57,,David Hearn,93,170.7,135172500.0,220
57,58,,Cameron Smith,86,170.8,174650700.0,284
58,T59,,Smylie Kaufman,76,170.9,143353300.0,233
59,T59,,Phil Mickelson,85,170.9,168558400.0,274
60,61,,Julián Etulain,68,171.0,105887500.0,172
61,62,,Kevin Kisner,105,171.3,168998900.0,274
62,T63,,Patrick Rodgers,76,171.4,126500300.0,205
63,T63,,Nick Watney,75,171.4,131429700.0,213
64,65,,Cameron Percy,71,171.5,113594800.0,184
65,66,,Ernie Els,52,171.6,63614900.0,103
66,67,,Bubba Watson,71,171.7,114964700.0,186
67,68,,Harold Varner III,101,171.8,189919900.0,307
68,T69,,Ricky Barnes,100,171.9,157167400.0,254
69,T69,,Ryan Brehm,83,171.9,136149000.0,220
70,T69,,Chez Reavie,98,171.9,179493700.0,290
71,T72,,Matt Every,76,172.0,138698700.0,224
72,T72,,Ollie Schniederjans,92,172.0,193852200.0,313
73,T72,,Michael Thompson,60,172.0,84809000.0,137
74,75,,Martin Flores,88,172.2,138887200.0,224
75,76,,Rory Sabbatini,71,172.3,131486900.0,212
76,77,,J.B. Holmes,83,172.5,138512100.0,223
77,T78,,Dustin Johnson,77,172.6,152840800.0,246
78,T78,,Chris Stroud,67,172.6,105605600.0,170
79,T80,,Kyle Reifers,96,172.8,135575800.0,218
80,T80,,Shawn Stefani,72,172.8,125647400.0,202
81,T82,,Charles Howell III,86,172.9,145016200.0,233
82,T82,,Richy Werenski,81,172.9,128831000.0,207
83,84,,Bryson DeChambeau,91,173.0,162547000.0,261
84,85,,Rick Lamb,54,173.1,82886700.0,133
85,86,,Adam Scott,58,173.2,91678800.0,147
86,87,,Morgan Hoffmann,92,173.5,186096800.0,298
87,T88,,Daniel Berger,91,173.7,167567700.0,268
88,T88,,Boo Weekley,75,173.7,130679000.0,209
89,T90,,Steven Bowditch,59,173.8,68215900.0,109
90,T90,,Seamus Power,86,173.8,160776400.0,257
91,T90,,Steve Wheatcroft,51,173.8,79478500.0,127
92,93,,J.T. Poston,95,173.9,168399400.0,269
93,94,,Michael Kim,94,174.2,193129000.0,308
94,T95,,Brian Harman,104,174.3,189535500.0,302
95,T95,,Si Woo Kim,80,174.3,109828200.0,175
96,T97,,Andres Gonzales,73,174.4,133074100.0,212
97,T97,,Billy Horschel,88,174.4,172680100.0,275
98,99,,Brad Fritsch,56,174.5,91722600.0,146
99,T100,,Aaron Baddeley,61,174.7,99986800.0,159
100,T100,,Søren Kjeldsen,58,174.7,75485900.0,120
101,T100,,Ben Martin,86,174.7,160417200.0,255
102,103,,Ryan Palmer,61,175.3,95905400.0,152
103,104,,Brandt Snedeker,53,175.5,93508900.0,148
104,105,,Adam Hadwin,98,175.7,170749400.0,270
105,106,,Jason Day,71,175.8,148059500.0,234
106,107,,Hudson Swafford,94,176.1,171844400.0,271
107,T108,,Dominic Bozzelli,69,176.2,125605100.0,198
108,T108,,Russell Henley,99,176.2,208721800.0,329
109,110,,Robert Streb,98,176.3,184049600.0,290
110,T111,,Kelly Kraft,75,176.4,139742400.0,220
111,T111,,Trey Mullinax,88,176.4,152437900.0,240
112,T113,,Rafa Cabrera Bello,63,176.5,91517200.0,144
113,T113,,Geoff Ogilvy,80,176.5,135305500.0,213
114,T115,,Brandon Hagy,85,176.6,167163800.0,263
115,T115,,Martin Laird,83,176.6,156996400.0,247
116,T115,,Rod Pampling,71,176.6,132866600.0,209
117,T118,,Grayson Murray,94,176.7,216919200.0,341
118,T118,,C.T. Pan,88,176.7,145675100.0,229
119,T118,,Jordan Spieth,85,176.7,189584800.0,298
120,T118,,Justin Thomas,86,176.7,181255200.0,285
121,122,,Graham DeLaet,82,176.9,168796900.0,265
122,T123,,Jon Rahm,90,177.0,180956600.0,284
123,T123,,Webb Simpson,102,177.0,193660200.0,304
124,T123,,Brett Stegmaier,78,177.0,118499600.0,186
125,126,,Francesco Molinari,75,177.2,144809300.0,227
126,127,,Nick Taylor,97,177.3,178092100.0,279
127,128,,Seung-Yul Noh,91,177.4,176281200.0,276
128,129,,Patrick Reed,107,177.5,195563000.0,306
129,T130,,Miguel Angel Carballo,63,177.6,86976500.0,136
130,T130,,Pat Perez,93,177.6,166197000.0,260
131,T130,,Kyle Stanley,104,177.6,240425600.0,376
132,133,,Retief Goosen,52,178.1,88485400.0,138
133,T134,,Jonas Blixt,74,178.2,127637500.0,199
134,T134,,Keegan Bradley,104,178.2,212337300.0,331
135,T134,,Emiliano Grillo,90,178.2,144968700.0,226
136,137,,Bud Cauley,92,178.3,180983500.0,282
137,T138,,Jim Herman,77,178.5,150975700.0,235
138,T138,,Sung Kang,104,178.5,197223700.0,307
139,140,,Scott Brown,95,178.6,174282800.0,271
140,T141,,Paul Casey,94,179.0,170136400.0,264
141,T141,,Sean O'Hair,84,179.0,168202900.0,261
142,T143,,Byeong Hun An,77,179.1,128299100.0,199
143,T143,,Kevin Streelman,90,179.1,164408600.0,255
144,T145,,Harris English,84,179.4,158211300.0,245
145,T145,,James Hahn,96,179.4,179541700.0,278
146,T145,,Brendan Steele,89,179.4,168566100.0,261
147,T148,,Anirban Lahiri,72,179.6,142882700.0,221
148,T148,,Louis Oosthuizen,69,179.6,109260500.0,169
149,T150,,Ryo Ishikawa,56,179.8,84794800.0,131
150,T150,,Ryan Moore,82,179.8,150208300.0,232
151,152,,D.A. Points,68,180.0,121807600.0,188
152,153,,Bill Haas,92,180.1,150417700.0,232
153,154,,Danny Lee,93,180.2,182313500.0,281
154,155,,Kevin Na,86,180.4,164339900.0,253
155,156,,William McGirt,89,180.6,148904600.0,229
156,T157,,Ian Poulter,72,180.7,122961500.0,189
157,T157,,Cameron Tringale,89,180.7,145716500.0,224
158,159,,Mackenzie Hughes,106,181.1,232769900.0,357
159,160,,Matt Jones,64,181.2,119342000.0,183
160,161,,J.J. Spaun,92,181.4,158660300.0,243
161,162,,J.J. Henry,92,181.5,145705900.0,223
162,163,,Lucas Glover,93,181.6,207218800.0,317
163,164,,John Huh,92,181.7,162239700.0,248
164,165,,Sergio Garcia,65,181.8,103398000.0,158
165,166,,Jimmy Walker,68,181.9,119860600.0,183
166,167,,Kevin Tway,96,182.0,181466000.0,277
167,168,,Mark Hubbard,81,182.1,122589500.0,187
168,169,,Jamie Lovemark,98,182.2,194764900.0,297
169,T170,,Patrick Cantlay,52,182.3,115495300.0,176
170,T170,,Kevin Chappell,95,182.3,170669000.0,260
171,172,,Charley Hoffman,112,182.7,235451800.0,358
172,173,,Gary Woodland,94,182.8,164513100.0,250
173,174,,Hunter Mahan,73,183.0,125159300.0,190
174,175,,Rickie Fowler,78,183.2,174066800.0,264
175,T176,,Jason Kokrak,95,183.3,188740900.0,286
176,T176,,Shane Lowry,52,183.3,93023600.0,141
177,178,,Daniel Summerhays,100,184.0,181463900.0,274
178,179,,Jhonattan Vegas,95,184.3,165848300.0,250
179,180,,Jonathan Randolph,68,184.7,107060700.0,161
180,181,,Cody Gribble,79,185.0,169206900.0,254
181,T182,,Marc Leishman,94,186.0,182172200.0,272
182,T182,,Hideki Matsuyama,83,186.0,154707200.0,231
183,184,,Tony Finau,106,186.5,257133800.0,383
184,185,,Luke List,102,186.8,238742600.0,355
185,186,,Rory McIlroy,51,187.1,88902900.0,132
186,187,,Andrew Loupe,55,187.4,99863300.0,148
187,188,,Brooks Koepka,88,188.1,185532800.0,274
188,189,,Justin Rose,66,189.5,144600300.0,212
189,190,,Charl Schwartzel,63,196.2,122191800.0,173
