,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,,Kyle Stanley,104,67.31,941,1398,-0.18
1,2,,Cameron Percy,71,67.13,537,800,-0.16
2,3,,Dustin Johnson,77,67.1,520,775,-0.21
3,4,,Martin Flores,88,66.95,638,953,-0.16
4,5,,Ryan Armour,63,66.62,515,773,-0.18
5,6,,Chad Campbell,97,66.49,867,1304,-0.16
6,7,,Billy Horschel,88,66.47,779,1172,-0.18
7,8,,Graham DeLaet,82,66.44,699,1052,-0.18
8,9,,J.J. Henry,92,66.28,749,1130,-0.11
9,10,,Lucas Glover,93,66.23,806,1217,-0.18
10,11,,Paul Casey,94,65.72,648,986,-0.2
11,12,,William McGirt,89,65.64,659,1004,-0.15
12,13,,Gary Woodland,94,65.47,601,918,-0.15
13,14,,Jon Rahm,90,65.46,561,857,-0.19
14,15,,Blayne Barber,77,65.45,644,984,-0.19
15,16,,Sergio Garcia,65,65.29,380,582,-0.14
16,17,,Hudson Swafford,94,65.25,721,1105,-0.17
17,18,,Johnson Wagner,71,65.18,554,850,-0.16
18,19,,Robert Garrigus,78,65.09,563,865,-0.21
19,20,,Russell Henley,99,65.04,787,1210,-0.21
20,21,,Stewart Cink,93,65.0,717,1103,-0.21
21,22,,Jordan Spieth,85,64.94,578,890,-0.26
22,23,,Boo Weekley,75,64.8,580,895,-0.13
23,24,,Shane Lowry,52,64.68,315,487,-0.19
24,25,,Patrick Cantlay,52,64.54,424,657,-0.18
25,26,,Tony Finau,106,64.53,795,1232,-0.18
26,27,,Rickie Fowler,78,64.5,547,848,-0.23
27,28,,Hideki Matsuyama,83,64.37,486,755,-0.17
28,29,,Luke List,102,64.36,762,1184,-0.16
29,30,,Xander Schauffele,96,64.35,648,1007,-0.19
30,31,,Keegan Bradley,104,64.22,813,1266,-0.19
31,32,,Jason Dufner,89,64.11,661,1031,-0.21
32,33,,Nick Watney,75,64.09,598,933,-0.15
33,34,,Francesco Molinari,75,64.07,526,821,-0.19
34,35,,Sean O'Hair,84,63.95,619,968,-0.17
35,36,,Andres Gonzales,73,63.89,522,817,-0.17
36,37,,Chez Reavie,98,63.87,762,1193,-0.23
37,38,,C.T. Pan,88,63.84,701,1098,-0.15
38,39,,Bill Haas,92,63.8,654,1025,-0.17
39,40,,Justin Rose,66,63.79,458,718,-0.19
40,T41,,Emiliano Grillo,90,63.68,598,939,-0.17
41,T41,,Scott Stallings,81,63.68,633,994,-0.17
42,43,,Matt Kuchar,95,63.56,682,1073,-0.17
43,44,,Bud Cauley,92,63.52,733,1154,-0.16
