,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,,Michael Thompson,60,"26' 8""",26.666999999999998,1,-1
1,2,,Jason Bohn,75,"31' 1""",31.083000000000002,1,-1
2,3,,Russell Knox,75,"37' 9""",37.75,1,E
3,4,,Wesley Bryan,95,"45' 3""",135.833,3,-2
4,5,,Richy Werenski,81,"47' 5""",47.417,1,-1
5,6,,Brad Fritsch,56,"48' 0""",48.0,1,E
6,7,,Shane Lowry,52,"49' 1""",49.083,1,E
7,8,,Justin Thomas,86,"51' 2""",153.5,3,-3
8,9,,Robert Garrigus,78,"51' 11""",103.833,2,-1
9,10,,Sebastián Muñoz,51,"55' 0""",109.917,2,-2
10,11,,Pat Perez,93,"55' 4""",110.667,2,-2
11,12,,Ben Martin,86,"55' 9""",55.75,1,-1
12,13,,Brooks Koepka,88,"59' 5""",178.25,3,-2
13,14,,Emiliano Grillo,90,"60' 1""",120.083,2,+1
14,15,,Brandon Hagy,85,"60' 3""",120.5,2,-2
15,16,,J.B. Holmes,83,"61' 5""",184.167,3,-2
16,17,,Kelly Kraft,75,"63' 1""",189.25,3,-2
17,18,,Tom Hoge,54,"63' 2""",189.5,3,-2
18,19,,Steven Bowditch,59,"65' 6""",65.5,1,E
19,20,,Tim Wilkinson,64,"65' 9""",131.417,2,-1
20,21,,Jhonattan Vegas,95,"69' 10""",209.5,3,-2
21,22,,Paul Casey,94,"70' 6""",211.417,3,-1
22,23,,Lucas Glover,93,"70' 7""",211.75,3,-3
23,24,,Derek Fathauer,81,"71' 11""",71.917,1,+3
24,25,,Vaughn Taylor,90,"73' 6""",73.5,1,-1
25,26,,Camilo Villegas,76,"73' 8""",73.667,1,E
26,T27,,Byeong Hun An,77,"74' 1""",148.083,2,E
27,T27,,Ryan Moore,82,"74' 1""",370.5,5,-1
28,29,,Graham DeLaet,82,"74' 5""",148.75,2,E
29,T30,,Sergio Garcia,65,"75' 2""",376.0,5,-4
30,T30,,Mackenzie Hughes,106,"75' 2""",225.5,3,-2
31,32,,Jonathan Randolph,68,"75' 6""",226.5,3,-2
32,33,,Jim Herman,77,"76' 4""",305.33299999999997,4,-3
33,34,,Brendan Steele,89,"76' 5""",305.75,4,-1
34,35,,Matt Jones,64,"76' 8""",459.833,6,-2
35,36,,Daniel Berger,91,"76' 9""",307.0,4,-3
36,37,,J.T. Poston,95,"77' 5""",232.333,3,-2
37,T38,,Ryan Brehm,83,"77' 11""",233.667,3,-2
38,T38,,Bryson DeChambeau,91,"77' 11""",467.25,6,-1
39,40,,Jim Furyk,54,"78' 0""",78.0,1,-1
40,41,,Kevin Tway,96,"78' 5""",235.25,3,-2
