,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,,Brandon Hagy,26,244.5,1346735.0,153
1,2,,Tag Ridings,20,245.7,822684.0,93
2,3,,Blayne Barber,25,247.0,889111.0,100
3,T4,,Ryan Armour,20,248.0,428529.0,48
4,T4,,Ernie Els,20,248.0,419547.0,47
5,6,,Trey Mullinax,28,248.1,1295041.0,145
6,7,,Dustin Johnson,20,249.7,1321337.0,147
7,8,,James Hahn,28,249.8,1456870.0,162
8,9,,Jason Day,20,249.9,1187732.0,132
9,10,,Graham DeLaet,25,250.1,1332474.0,148
10,11,,K.J. Choi,25,250.5,694493.0,77
11,12,,Camilo Villegas,25,250.6,766905.0,85
12,13,,Hudson Swafford,28,250.7,1390156.0,154
13,14,,Nick Watney,23,250.8,956969.0,106
14,15,,Shane Lowry,16,251.4,732992.0,81
15,16,,Ollie Schniederjans,28,251.6,1494753.0,165
16,T17,,Ian Poulter,20,251.7,842734.0,93
17,T17,,Patrick Rodgers,27,251.7,1114729.0,123
18,19,,Harris English,27,251.8,1042604.0,115
19,T20,,Smylie Kaufman,26,252.1,1333934.0,147
20,T20,,Nicholas Lindheim,21,252.1,517288.0,57
21,T22,,Matt Every,30,252.3,1035352.0,114
22,T22,,Boo Weekley,27,252.3,1080739.0,119
23,24,,Gary Woodland,26,252.6,1500164.0,165
24,T25,,Robert Garrigus,26,252.8,1210639.0,133
25,T25,,Richy Werenski,26,252.8,928221.0,102
26,27,,Andrew Loupe,21,252.9,910501.0,100
27,T28,,Jason Dufner,24,253.1,1157273.0,127
28,T28,,Ryan Palmer,20,253.1,993147.0,109
29,30,,Rick Lamb,19,253.2,692717.0,76
30,T31,,Anirban Lahiri,22,253.3,1221765.0,134
31,T31,,Harold Varner III,31,253.3,1577537.0,173
32,T33,,Steven Alker,23,253.5,474471.0,52
33,T33,,Grayson Murray,30,253.5,1944187.0,213
34,T33,,Seung-Yul Noh,31,253.5,1313974.0,144
35,36,,Tyrone Van Aswegen,32,253.7,1059353.0,116
36,T37,,Ryan Brehm,25,253.8,1288265.0,141
37,T37,,Jason Kokrak,28,253.8,1791039.0,196
38,T37,,Cameron Tringale,28,253.8,886351.0,97
39,40,,Steven Bowditch,27,253.9,575802.0,63
40,T41,,Pat Perez,26,254.0,1252517.0,137
41,T41,,Carl Pettersson,27,254.0,649238.0,71
42,T43,,Brian Campbell,20,254.1,622081.0,68
43,T43,,Tom Hoge,17,254.1,631144.0,69
44,T43,,Mark Hubbard,27,254.1,1006265.0,110
45,T46,,Brett Drewitt,19,254.2,585759.0,64
46,T46,,Russell Knox,24,254.2,905805.0,99
47,T46,,Luke List,31,254.2,2150615.0,235
48,49,,Stewart Cink,26,254.3,1299743.0,142
49,50,,Keegan Bradley,29,254.4,1795132.0,196
50,T51,,Chad Campbell,29,254.6,1173006.0,128
51,T51,,Lucas Glover,26,254.6,1677078.0,183
52,T51,,Kevin Kisner,28,254.6,1118391.0,122
53,T54,,Ricky Barnes,31,254.7,1118779.0,122
54,T54,,Brian Gay,25,254.7,696848.0,76
55,T56,,Martin Flores,27,254.8,1118879.0,122
56,T56,,Ben Martin,27,254.8,1201736.0,131
57,T58,,Patrick Cantlay,13,255.0,1055600.0,115
58,T58,,Steve Wheatcroft,17,255.0,651816.0,71
59,60,,David Lingmerth,23,255.1,1074419.0,117
60,T61,,Seamus Power,25,255.2,1267799.0,138
61,T61,,Sam Saunders,24,255.2,973965.0,106
62,T61,,Scott Stallings,27,255.2,1047457.0,114
63,64,,Peter Malnati,29,255.3,882219.0,96
64,65,,Billy Horschel,28,255.4,1296216.0,141
65,T66,,Alex Cejka,28,255.5,929068.0,101
66,T66,,Retief Goosen,19,255.5,717309.0,78
67,T68,,David Hearn,29,255.6,828026.0,90
68,T68,,Patton Kizzire,28,255.6,1085617.0,118
69,T70,,Fabián Gómez,21,255.7,920566.0,100
70,T70,,Andres Gonzales,24,255.7,1095626.0,119
71,72,,J.T. Poston,28,255.8,1344564.0,146
72,T73,,Charley Hoffman,31,256.0,2073518.0,225
73,T73,,Graeme McDowell,17,256.0,599124.0,65
74,T73,,Sebastián Muñoz,17,256.0,746475.0,81
75,T73,,Rory Sabbatini,23,256.0,940078.0,102
76,77,,Mark Anderson,20,256.1,571646.0,62
77,78,,Hunter Mahan,26,256.2,1143787.0,124
78,T79,,Derek Fathauer,27,256.3,913528.0,99
79,T79,,Brad Fritsch,18,256.3,590477.0,64
80,T81,,Brian Harman,30,256.4,1356612.0,147
