,Approach__200_yards_RTP_Score_RANK THIS WEEK,Approach__200_yards_RTP_Score_RANK LAST WEEK,Approach__200_yards_RTP_Score_PLAYER NAME,Approach__200_yards_RTP_Score_ROUNDS,Approach__200_yards_RTP_Score_AVG RTP
0,1,,Shane Lowry,52,-0.322
1,2,,Nick Watney,75,-0.27899999999999997
2,3,,Matt Jones,64,-0.27
3,4,,Marc Leishman,94,-0.255
4,5,,Dustin Johnson,77,-0.252
5,6,,Kevin Tway,96,-0.25
6,7,,Cameron Tringale,89,-0.245
7,T8,,Smylie Kaufman,76,-0.243
8,T8,,Luke List,102,-0.243
9,T10,,Brad Fritsch,56,-0.23800000000000002
10,T10,,Ryan Palmer,61,-0.23800000000000002
11,T12,,Grayson Murray,94,-0.23199999999999998
12,T12,,Jon Rahm,90,-0.23199999999999998
13,14,,Hideki Matsuyama,83,-0.23
14,15,,Daniel Summerhays,100,-0.22899999999999998
15,16,,Justin Rose,66,-0.22699999999999998
16,17,,Rickie Fowler,78,-0.226
17,18,,Ryan Brehm,83,-0.22399999999999998
18,19,,Ricky Barnes,100,-0.222
19,20,,Lucas Glover,93,-0.221
20,21,,Seamus Power,86,-0.21899999999999997
21,22,,Jonas Blixt,74,-0.217
22,23,,Cameron Smith,86,-0.21600000000000003
23,24,,Gary Woodland,94,-0.214
24,25,,Charley Hoffman,112,-0.209
25,26,,Phil Mickelson,85,-0.20800000000000002
26,T27,,Troy Merritt,82,-0.20600000000000002
27,T27,,Boo Weekley,75,-0.20600000000000002
28,29,,Kevin Streelman,90,-0.204
29,30,,Brendan Steele,89,-0.201
30,31,,Mackenzie Hughes,106,-0.2
31,T32,,Bill Haas,92,-0.196
32,T32,,Peter Malnati,91,-0.196
33,34,,Keegan Bradley,104,-0.195
34,35,,Tony Finau,106,-0.193
35,T36,,Stewart Cink,93,-0.192
36,T36,,J.J. Spaun,92,-0.192
37,38,,Tag Ridings,67,-0.191
38,T39,,Brandon Hagy,85,-0.18899999999999997
39,T39,,Danny Lee,93,-0.18899999999999997
40,T39,,Seung-Yul Noh,91,-0.18899999999999997
41,T39,,J.T. Poston,95,-0.18899999999999997
42,T43,,Sergio Garcia,65,-0.188
43,T43,,C.T. Pan,88,-0.188
44,T43,,Jordan Spieth,85,-0.188
45,46,,Francesco Molinari,75,-0.187
46,47,,Brian Campbell,55,-0.18600000000000003
47,48,,Graham DeLaet,82,-0.185
48,T49,,Rick Lamb,54,-0.184
49,T49,,Kyle Stanley,104,-0.184
50,T49,,Hudson Swafford,94,-0.184
51,52,,Mark Hubbard,81,-0.183
52,T53,,Jason Day,71,-0.182
53,T53,,Derek Fathauer,81,-0.182
54,55,,Cody Gribble,79,-0.18100000000000002
55,T56,,Martin Flores,88,-0.179
56,T56,,Shawn Stefani,72,-0.179
57,T56,,Tyrone Van Aswegen,105,-0.179
58,59,,Chad Campbell,97,-0.177
59,60,,Russell Henley,99,-0.17600000000000002
60,61,,Jhonattan Vegas,95,-0.175
61,T62,,Brooks Koepka,88,-0.174
62,T62,,Adam Scott,58,-0.174
63,T64,,Bud Cauley,92,-0.17
64,T64,,Scott Piercy,70,-0.17
65,T64,,Xander Schauffele,96,-0.17
66,T67,,Chad Collins,66,-0.16899999999999998
67,T67,,Webb Simpson,102,-0.16899999999999998
68,69,,Morgan Hoffmann,92,-0.168
69,T70,,Hunter Mahan,73,-0.16699999999999998
70,T70,,Patrick Reed,107,-0.16699999999999998
71,T70,,Michael Thompson,60,-0.16699999999999998
72,T73,,Alex Cejka,85,-0.166
73,T73,,Cameron Percy,71,-0.166
74,75,,Rory Sabbatini,71,-0.165
75,T76,,Brian Harman,104,-0.16399999999999998
76,T76,,J.B. Holmes,83,-0.16399999999999998
77,T78,,Patrick Cantlay,52,-0.163
78,T78,,Sam Saunders,76,-0.163
79,T80,,Steven Alker,69,-0.162
80,T80,,Miguel Angel Carballo,63,-0.162
81,T82,,Martin Laird,83,-0.161
82,T82,,Jimmy Walker,68,-0.161
83,84,,Andrew Loupe,55,-0.16
