,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Tiger Woods,20,113
1,2,2,David Duval,19,186
2,3,3,Phil Mickelson,23,219
3,4,4,Steve Flesch,32,265
4,5,5,Ernie Els,20,286
5,6,6,Sergio Garcia,16,307
6,7,7,Steve Lowery,30,315
7,8,8,Nick Price,18,321
8,9,9,Greg Chalmers,28,327
9,10,10,Davis Love III,25,339
10,11,11,Robert Allenby,26,368
11,12,12,Kirk Triplett,28,371
12,13,13,Paul Azinger,20,384
13,14,14,Kenny Perry,20,385
14,15,15,Fred Couples,19,394
15,16,16,Paul Stankowski,22,398
16,17,17,Mike Weir,28,399
17,18,18,Chris DiMarco,33,404
18,T19,T19,Stuart Appleby,24,406
19,T19,T19,Hal Sutton,25,406
20,21,21,Vijay Singh,26,407
21,22,22,Stewart Cink,27,411
22,23,23,Bill Glasson,27,417
23,24,24,Chris Perry,31,424
24,25,25,Mark Calcavecchia,28,427
25,26,26,David Toms,31,435
26,27,27,Scott Verplank,28,450
27,28,28,Jesper Parnevik,20,460
28,29,29,Grant Waite,26,461
29,30,30,Kevin Sutherland,27,475
30,31,31,Skip Kendall,32,477
31,32,32,Scott Hoch,29,481
32,33,33,Bob May,26,502
33,34,34,David Peoples,28,513
34,T35,T35,Lee Janzen,27,515
35,T35,T35,Justin Leonard,28,515
36,T37,T37,John Huston,23,517
37,T37,T37,Jeff Sluman,32,517
38,39,39,Jim Furyk,25,518
39,40,40,Carl Paulson,33,519
40,41,41,Franklin Langham,28,527
41,42,42,Scott Dunlap,30,530
42,43,43,Rocco Mediate,24,535
43,44,44,Loren Roberts,24,546
44,45,45,Tim Herron,28,548
45,46,46,Jerry Kelly,32,553
46,T47,T47,Harrison Frazar,24,554
47,T47,T47,Scott McCarron,30,554
48,49,49,Frank Lickliter II,31,558
49,50,50,Jonathan Kaye,34,567
50,51,51,Jay Williamson,32,577
51,52,52,Jeff Maggert,27,587
52,53,53,Glen Day,28,593
53,54,54,Brent Geiberger,24,595
54,55,55,Carlos Franco,24,599
55,56,56,Robert Damron,28,601
56,T57,T57,Brandel Chamblee,21,608
57,T57,T57,Blaine McCallister,30,608
58,T57,T57,Rory Sabbatini,26,608
59,60,60,Tom Lehman,21,617
60,61,61,Greg Kraft,29,626
61,62,62,Stephen Ames,31,627
62,63,63,Fred Funk,32,639
63,64,64,Brad Faxon,29,644
64,65,65,Brian Henninger,29,660
65,66,66,Joel Edwards,29,663
66,67,67,Robert Gamez,26,671
67,68,68,Brad Elder,34,688
68,T69,T69,Craig Barlow,31,696
69,T69,T69,Chris Riley,28,696
70,71,71,Andrew Magee,26,699
71,72,72,Shaun Micheel,31,701
72,73,73,Edward Fryatt,32,706
73,74,74,Duffy Waldorf,23,717
74,T75,T75,Joe Durant,28,720
75,T75,T75,Craig Parry,22,720
76,77,77,Olin Browne,31,722
77,78,78,Brett Quigley,21,723
78,79,79,Larry Mize,21,729
79,80,80,Tom Scherrer,33,739
80,81,81,Len Mattiace,31,740
81,82,82,Jim McGovern,18,743
82,83,83,Tom Byrum,27,747
83,84,84,Woody Austin,32,748
84,T85,T85,Bob Burns,29,749
85,T85,T85,J.P. Hayes,26,749
86,87,87,Notah Begay III,24,752
87,88,88,Cameron Beckman,26,754
88,89,89,Joe Ogilvie,30,757
89,90,90,Bob Tway,30,763
90,91,91,Tom Pernice Jr.,32,769
91,92,92,Jay Don Blake,29,771
92,T93,T93,Michael Clark II,28,773
93,T93,T93,Brian Gay,33,773
94,95,95,Dan Forsman,27,774
95,96,96,Billy Mayfair,29,775
96,97,97,Paul Goydos,30,777
97,T98,T98,Mathew Goggin,32,780
98,T98,T98,Mike Reid,23,780
99,100,100,Dudley Hart,24,781
100,101,101,Jean Van de Velde,22,787
101,102,102,Craig Stadler,21,789
102,103,103,Russ Cochran,25,796
103,104,104,Brandt Jobe,32,799
104,105,105,J.L. Lewis,30,804
105,106,106,Jim Carter,30,807
106,107,107,David Sutherland,32,810
107,108,108,Steve Elkington,17,823
108,T109,T109,Doug Barron,27,836
109,T109,T109,Steve Jones,21,836
110,T111,T111,Gabriel Hjertstedt,29,837
111,T111,T111,Peter Jacobsen,22,837
112,113,113,Michael Bradley,26,838
113,114,114,Barry Cheesman,35,848
114,115,115,Mark Brooks,29,857
115,116,116,Esteban Toledo,35,862
116,117,117,John Cook,28,866
117,118,118,Sean Murphy,35,876
118,T119,T119,Doug Dunakey,27,888
119,T119,T119,Steve Gotsche,32,888
120,T119,T119,Glen Hnatiuk,30,888
121,T122,T122,Billy Andrade,31,891
122,T122,T122,Shigeki Maruyama,26,891
123,T122,T122,Joey Sindelar,30,891
124,125,125,Frank Nobilo,28,896
125,126,126,Ronnie Black,28,899
126,127,127,K.J. Choi,30,904
127,128,128,Mike Sposa,26,907
128,129,129,Dennis Paulson,26,910
129,130,130,Casey Martin,29,916
130,131,131,Pete Jordan,31,921
131,132,132,Bradley Hughes,33,931
132,133,133,Mark Wiebe,28,935
133,134,134,Bob Estes,21,938
134,135,135,Brian Watts,29,941
135,T136,T136,Jeff Gove,31,949
136,T136,T136,David Morland IV,31,949
137,T138,T138,Fulton Allem,25,960
138,T138,T138,Tommy Armour III,30,960
139,140,140,Jimmy Green,27,965
140,141,141,Steve Pate,28,966
141,142,142,Ted Tryba,37,971
142,143,143,Steve Stricker,21,973
143,144,144,Mike Springer,31,985
144,145,145,Matt Gogel,30,989
145,146,146,John Daly,26,992
146,147,147,Bob Friend,32,994
147,148,148,Rich Beem,29,995
148,T149,T149,Perry Moss,21,998
149,T149,T149,Tom Purtzer,21,998
150,151,151,Neal Lancaster,31,1001
151,152,152,Craig Perks,28,1011
152,153,153,Tommy Tolles,20,1012
153,154,154,Kelly Gibson,30,1013
154,155,155,Paul Curry,25,1016
155,T156,T156,Mike Brisky,31,1017
156,T156,T156,Robin Freeman,32,1017
157,158,158,John Maginnes,32,1023
158,159,159,"Dave Stockton, Jr.",31,1024
159,160,160,Joe Ozaki,18,1026
160,161,161,Rick Fehr,24,1028
161,162,162,Jerry Smith,32,1029
162,163,163,Charles Raulerson,32,1042
163,164,164,Ben Bates,35,1046
164,165,165,Jason Buha,29,1058
165,166,166,Gary Nicklaus,30,1066
166,167,167,Corey Pavin,25,1074
167,168,168,Scott Gump,36,1085
168,169,169,Bart Bryant,25,1086
169,170,170,Brad Fabel,30,1091
170,171,171,Nick Faldo,15,1093
171,172,172,Bobby Cochran,30,1101
172,173,173,Jason Caron,29,1116
173,174,174,John Rollins,27,1132
174,175,175,Bob Heintz,34,1142
175,176,176,Trevor Dodds,29,1146
176,177,177,Aaron Bengoechea,29,1149
177,178,178,Craig Spence,31,1154
178,179,179,Jay Delsing,33,1160
179,180,180,Jay Haas,26,1164
180,181,181,Mark O'Meara,19,1178
181,182,182,Keith Nolan,23,1183
182,183,183,Kevin Wentworth,31,1186
183,184,184,Eric Booker,31,1187
184,185,185,Omar Uresti,34,1197
185,186,186,David Frost,25,1203
186,187,187,Emlyn Aubrey,26,1211
187,188,188,P.H. Horgan III,25,1217
188,189,189,Dicky Pride,35,1225
189,190,190,Ryan Howison,30,1234
190,191,191,Chip Beck,21,1263
191,192,192,Mike Hulbert,34,1277
192,193,193,Craig Bowden,25,1361
193,194,194,Nolan Henke,32,1366
194,195,195,Steve Hart,30,1386
