,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,20,1487.5
1,2,2,Phil Mickelson,23,548.125
2,3,3,David Duval,19,420.0
3,4,4,Loren Roberts,24,343.0
4,5,5,Tom Lehman,21,340.0
5,6,6,Hal Sutton,25,338.0
6,7,7,John Huston,23,297.5
7,8,8,Davis Love III,25,290.0
8,9,9,Kirk Triplett,28,261.666
9,10,10,David Toms,31,255.0
10,11,11,Jim Furyk,25,247.875
11,12,12,Stewart Cink,27,244.125
12,13,13,Franklin Langham,28,232.5
13,T14,T14,Notah Begay III,24,225.0
14,T14,T14,Steve Lowery,30,225.0
15,16,16,Bob May,26,217.5
16,17,17,Chris DiMarco,33,202.5
17,18,18,Steve Flesch,32,197.25
18,19,19,Mark Calcavecchia,28,195.375
19,20,20,Justin Leonard,28,195.0
20,21,21,Paul Azinger,20,164.667
21,22,22,Scott Verplank,28,163.5
22,23,23,Tom Scherrer,33,162.5
23,24,24,Rocco Mediate,24,150.0
24,25,25,Brad Faxon,29,147.5
25,26,26,Duffy Waldorf,23,145.0
26,27,27,Chris Perry,31,139.0
27,28,28,Fred Couples,19,135.0
28,29,29,Dudley Hart,24,127.5
29,30,30,Jonathan Kaye,34,122.5
30,31,31,Jeff Maggert,27,120.5
31,32,32,Kenny Perry,20,116.0
32,33,33,Frank Lickliter II,31,113.625
33,34,34,Scott Hoch,29,110.0
34,35,35,Russ Cochran,25,105.0
35,36,36,Michael Clark II,28,102.5
36,37,37,Carl Paulson,33,97.5
37,38,38,Skip Kendall,32,88.0
38,39,39,Blaine McCallister,30,83.5
39,40,40,Chris Riley,28,82.5
40,41,41,J.P. Hayes,26,81.25
41,42,42,Harrison Frazar,24,77.5
42,43,43,Billy Andrade,31,76.25
43,T44,T44,Jim Carter,30,75.0
44,T44,T44,Dennis Paulson,26,75.0
45,46,46,Fred Funk,32,70.0
46,47,47,Len Mattiace,31,69.75
47,48,48,Scott Dunlap,30,64.167
48,T49,T49,Joel Edwards,29,62.5
49,T49,T49,Pete Jordan,31,62.5
50,51,51,Andrew Magee,26,61.25
51,52,52,Joe Durant,28,60.0
52,T53,T53,Mark Brooks,29,57.5
53,T53,T53,Matt Gogel,30,57.5
54,T53,T53,Greg Kraft,29,57.5
55,56,56,Jerry Kelly,32,55.5
56,T57,T57,Woody Austin,32,55.0
57,T57,T57,Doug Dunakey,27,55.0
58,59,59,Joe Ogilvie,30,53.5
