,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,22627
1,2,2,Brandt Snedeker,15040
2,3,3,Phil Mickelson,14938
3,4,4,Matt Kuchar,14928
4,5,5,Jason Dufner,10832
5,6,6,Keegan Bradley,10731
6,7,7,Steve Stricker,10431
7,8,8,Bill Haas,10354
8,9,9,Hunter Mahan,10022
9,10,10,Zach Johnson,9185
10,11,11,Webb Simpson,9174
11,12,12,Dustin Johnson,8788
12,13,13,Jim Furyk,8686
13,14,14,Bubba Watson,8170
14,15,15,Billy Horschel,6988
15,16,16,Kevin Streelman,6894
16,17,17,Rickie Fowler,6634
17,18,18,D.A. Points,6557
18,19,19,Nick Watney,6532
19,20,20,Scott Piercy,6444
20,21,21,Boo Weekley,6170
21,22,22,Jordan Spieth,6080
22,23,23,John Huh,5709
23,24,24,Harris English,5548
24,25,25,Robert Garrigus,5541
25,26,26,Jimmy Walker,5522
26,27,27,Ryan Moore,5487
27,28,28,Kyle Stanley,5384
28,29,29,Charles Howell III,5265
29,30,30,Bo Van Pelt,5197
30,31,31,Michael Thompson,5093
31,32,32,Ken Duke,4923
32,33,33,John Merrick,4855
33,34,34,Ryan Palmer,4592
34,35,35,Scott Stallings,4536
35,36,36,Chris Kirk,4518
36,37,37,Charley Hoffman,4424
37,38,38,Roberto Castro,4321
38,39,39,Matt Every,4284
39,40,40,Gary Woodland,4210
40,41,41,Patrick Reed,4200
41,42,42,Chris Stroud,4147
42,43,43,John Rollins,4144
43,44,44,Ben Crane,4113
44,45,45,Mark Wilson,4105
45,46,46,Kevin Stadler,4071
46,47,47,Kevin Chappell,4053
47,48,48,Russell Henley,3950
48,49,49,Johnson Wagner,3842
49,50,50,Josh Teater,3836
50,51,51,Bryce Molder,3836
51,52,52,Brian Gay,3805
52,53,53,Daniel Summerhays,3558
53,54,54,Ben Curtis,3260
54,55,55,Jason Kokrak,3236
55,56,56,Cameron Tringale,3235
56,57,57,Charlie Beljan,3206
57,58,58,Jeff Overton,3153
58,59,59,Kevin Na,3121
59,60,60,David Toms,3113
60,61,61,William McGirt,3069
61,62,62,Bud Cauley,3066
62,63,63,"Ted Potter, Jr.",3043
63,64,64,Pat Perez,3014
64,65,65,Brendan Steele,3006
65,66,66,Brian Harman,2966
66,67,67,Tommy Gainey,2837
67,68,68,J.J. Henry,2822
68,69,69,Jeff Maggert,2738
69,70,70,Derek Ernst,2682
70,71,71,Martin Flores,2647
71,72,72,Jonathan Byrd,2638
72,73,73,Bob Estes,2594
73,74,74,Stewart Cink,2583
74,75,75,Scott Brown,2503
75,76,76,Justin Leonard,2447
76,77,77,James Driscoll,2435
77,78,78,Richard Lee,2389
78,79,79,Jerry Kelly,2365
79,80,80,Jason Bohn,2318
80,81,81,Luke Guthrie,2268
81,82,82,Dicky Pride,2250
82,83,83,George McNeill,2150
83,84,84,Brian Stuard,2064
84,85,85,Chad Campbell,1967
85,86,86,Ricky Barnes,1938
86,87,87,Tom Gillis,1929
87,88,88,Chez Reavie,1895
88,89,89,Nicholas Thompson,1894
89,90,90,Morgan Hoffmann,1795
90,91,91,Sean O'Hair,1762
91,92,92,James Hahn,1707
92,93,93,Troy Matteson,1705
93,94,94,Erik Compton,1663
94,95,95,Lucas Glover,1627
95,96,96,Spencer Levin,1603
96,97,97,Davis Love III,1597
97,98,98,Justin Hicks,1497
98,99,99,Tim Herron,1453
99,100,100,David Mathis,1437
100,101,101,John Mallinger,1421
101,102,102,Brendon Todd,1421
102,103,103,Vaughn Taylor,1394
103,104,104,Woody Austin,1309
104,105,105,Blake Adams,1285
105,106,106,D.J. Trahan,1280
106,107,107,Scott Langley,1264
107,108,108,Colt Knost,1242
108,109,109,Bobby Gates,1234
109,110,110,J.B. Holmes,1210
110,111,111,Will Claxton,1194
111,112,112,Billy Mayfair,1110
112,113,113,Jim Herman,1104
113,114,114,Justin Bolli,1090
114,115,115,Shawn Stefani,1050
115,116,116,Bill Lunde,1036
116,117,117,Casey Wittenberg,1014
117,118,118,Brandt Jobe,1008
118,119,119,Tim Petrovic,985
119,120,120,Robert Streb,910
120,121,121,Tag Ridings,882
121,122,122,Troy Kelly,852
122,123,123,Cameron Beckman,850
123,124,124,Ben Kohles,849
124,125,125,Chris DiMarco,841
125,126,126,Heath Slocum,827
126,127,127,Harrison Frazar,752
127,128,128,Briny Baird,730
128,129,129,Steve LeBrun,706
129,130,130,Kris Blanks,693
130,131,131,Doug LaBelle II,690
131,132,132,Fred Couples,625
132,133,133,John Daly,576
133,134,134,Matt Bettencourt,557
134,135,135,Aaron Watkins,554
135,136,136,Andres Gonzales,529
136,137,137,Luke List,529
137,138,138,Joe Durant,508
138,139,139,Kevin Sutherland,469
139,140,140,Tom Pernice Jr.,457
140,141,141,Michael Bradley,451
141,142,142,Glen Day,412
142,143,143,Darron Stiles,390
143,144,144,Steve Marino,383
144,145,145,Chris Couch,345
145,146,146,Paul Goydos,331
146,147,147,Lee Janzen,326
147,148,148,Derek Lamely,324
148,149,149,Joey Snyder III,311
149,150,150,Joe Ogilvie,272
150,151,151,Lee Williams,268
151,152,152,Rocco Mediate,262
152,153,153,Todd Hamilton,250
153,154,154,Chris Riley,242
154,155,155,Duffy Waldorf,240
155,156,156,Billy Andrade,228
156,157,157,Paul Stankowski,216
157,158,158,Rich Beem,209
158,159,159,Garrett Willis,204
159,160,160,Kenny Perry,182
160,161,161,Steve Flesch,175
161,162,162,Marc Turnesa,168
162,163,163,"Wes Short, Jr.",166
163,164,164,Scott Verplank,157
164,165,165,Andrew Svoboda,154
165,166,166,Frank Lickliter II,149
166,167,167,Scott McCarron,146
167,168,168,Paul Haley II,146
168,169,169,Michael Allen,142
169,170,170,Mark Calcavecchia,134
170,171,171,Will MacKenzie,127
171,172,172,Hank Kuehne,122
172,173,173,Michael Letzig,120
173,174,174,Eric Meierdierks,116
174,175,175,Shaun Micheel,114
175,176,176,Jeff Gove,107
176,177,177,Tom Lehman,100
177,178,178,Joe Affrunti,99
178,179,179,Neal Lancaster,96
179,180,180,Marco Dawson,93
180,181,181,Skip Kendall,90
181,182,182,Tom Watson,86
182,183,183,David Duval,83
183,184,184,Kent Jones,80
184,185,185,Robert Gamez,73
185,186,186,Bart Bryant,61
186,187,187,Corey Pavin,59
187,188,188,Brett Wetterich,51
188,189,189,Ted Purdy,50
189,190,190,Fred Funk,45
190,191,191,Willie Wood,42
191,192,192,Dean Wilson,42
192,193,193,Mark O'Meara,40
193,194,194,Russ Cochran,38
194,195,195,Anthony Kim,34
195,196,196,Brett Quigley,32
196,197,197,Robert Damron,31
197,198,198,Omar Uresti,29
198,199,199,Carl Paulson,27
199,200,200,Jason Gore,27
200,201,201,Craig Barlow,27
201,202,202,Guy Boros,21
202,203,203,J.P. Hayes,18
203,204,204,Len Mattiace,17
204,205,205,Gene Sauers,13
205,T206,T206,Eric Axley,7
206,T206,T206,Mark Brooks,7
207,T206,T206,Steve Lowery,7
208,209,209,Kirk Triplett,7
