,Scoring_Rating_RANK THIS WEEK,Scoring_Rating_RANK LAST WEEK,Scoring_Rating_PLAYER NAME,Scoring_Rating_EVENTS,Scoring_Rating_RATING
0,1,1,Woody Austin,1,9.1
1,2,2,Danny Lee,1,9.0
2,3,3,Shane Bertsch,1,8.9
3,3,3,Miguel Angel Jiménez,1,8.9
4,5,5,Steve Stricker,9,8.8
5,6,6,Billy Andrade,1,8.7
6,6,6,Richard Sterne,2,8.7
7,8,8,Patrick Rodgers,1,8.6
8,8,8,Henrik Stenson,10,8.6
9,8,8,Tiger Woods,11,8.6
10,11,11,Patrick Cantlay,1,8.5
11,11,11,Glen Day,2,8.5
12,11,11,Freddie Jacobson,10,8.5
13,11,11,Hideki Matsuyama,3,8.5
14,11,11,Phil Mickelson,14,8.5
15,11,11,John Peterson,2,8.5
16,11,11,Justin Rose,11,8.5
17,11,11,Marcel Siem,4,8.5
18,11,11,Jordan Spieth,16,8.5
19,11,11,Aaron Watkins,2,8.5
20,21,21,Keegan Bradley,17,8.4
21,21,21,Bud Cauley,8,8.4
22,21,21,Sergio Garcia,11,8.4
23,21,21,Scott Jamieson,1,8.4
24,21,21,Alex Noren,1,8.4
25,21,21,"Ted Potter, Jr.",10,8.4
26,21,21,Chris Riley,1,8.4
27,21,21,Charl Schwartzel,13,8.4
28,21,21,Brandt Snedeker,13,8.4
29,21,21,Brendon Todd,6,8.4
30,31,31,Luke Donald,11,8.3
31,31,31,Jim Furyk,16,8.3
32,31,31,Robert Garrigus,10,8.3
33,31,31,Bill Haas,16,8.3
34,31,31,Peter Hanson,6,8.3
35,31,31,Dustin Johnson,11,8.3
36,31,31,Matt Jones,15,8.3
37,31,31,Chris Kirk,19,8.3
38,31,31,Peter Lonard,1,8.3
39,31,31,Bill Lunde,3,8.3
40,31,31,Hunter Mahan,15,8.3
41,31,31,Billy Mayfair,2,8.3
42,31,31,Webb Simpson,17,8.3
43,31,31,Jimmy Walker,18,8.3
44,31,31,Chris Williams,1,8.3
45,46,46,Aaron Baddeley,10,8.2
46,46,46,Todd Baek,1,8.2
47,46,46,Stewart Cink,11,8.2
48,46,46,Tim Clark,8,8.2
49,46,46,Franklin Corpening,1,8.2
50,46,46,Brian Davis,17,8.2
51,46,46,Graham DeLaet,19,8.2
52,46,46,James Driscoll,12,8.2
53,46,46,Bob Estes,15,8.2
54,46,46,Matt Every,15,8.2
55,46,46,Rickie Fowler,13,8.2
56,46,46,Retief Goosen,5,8.2
57,46,46,Jim Herman,7,8.2
58,46,46,Charles Howell III,18,8.2
59,46,46,Zach Johnson,16,8.2
