,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Tiger Woods,12,254.94400000000002,3059.333
1,2,2,Phil Mickelson,17,127.40899999999999,2165.95
2,3,3,Matt Kuchar,19,120.671,2292.75
3,4,4,Brandt Snedeker,19,116.756,2218.357
4,5,5,Adam Scott,12,112.22,1346.6429999999998
5,6,6,Steve Stricker,10,111.729,1117.286
6,7,7,Justin Rose,13,111.286,1446.713
7,8,8,Henrik Stenson,14,101.85700000000001,1426.0
8,9,9,Jordan Spieth,19,75.582,1436.056
9,10,10,Jason Day,17,75.513,1283.726
10,11,11,Graeme McDowell,13,72.362,940.706
11,12,12,Bill Haas,21,71.671,1505.0829999999999
12,13,13,Jason Dufner,18,69.764,1255.75
13,14,14,Dustin Johnson,18,68.086,1225.55
14,15,15,Billy Horschel,22,67.57,1486.5339999999999
15,16,16,Keegan Bradley,21,67.425,1415.9160000000002
16,17,17,Kevin Streelman,21,63.46,1332.6689999999999
17,18,18,Rory McIlroy,13,59.784,777.19
18,19,19,Jim Furyk,18,58.721000000000004,1056.98
19,20,20,Charl Schwartzel,15,58.067,871.0
20,21,21,Boo Weekley,23,58.053999999999995,1335.253
21,22,22,Webb Simpson,21,56.586999999999996,1188.333
22,23,23,Luke Donald,13,54.42,707.456
23,24,24,Zach Johnson,21,54.318999999999996,1140.7060000000001
24,25,25,Lee Westwood,16,53.507,856.11
25,26,26,Sergio Garcia,13,52.622,684.087
26,27,27,Hunter Mahan,21,52.41,1100.603
27,28,28,Russell Henley,21,49.882,1047.52
28,29,29,Ian Poulter,13,49.615,645.0
29,30,30,Harris English,23,49.321000000000005,1134.373
30,31,31,Jimmy Walker,21,47.427,995.9760000000001
31,32,32,Patrick Reed,23,46.181000000000004,1062.16
32,33,33,Bubba Watson,18,46.097,829.75
33,34,34,Ángel Cabrera,18,45.903,826.247
34,35,35,John Merrick,20,45.433,908.6669999999999
35,36,36,Michael Thompson,19,43.581,828.04
36,37,37,Jonas Blixt,21,43.43600000000001,912.16
37,38,38,Charles Howell III,23,43.29600000000001,995.812
38,39,39,D.A. Points,24,43.254,1038.1
39,40,40,Rickie Fowler,19,43.246,821.68
40,41,41,Chris Kirk,21,43.048,904.0
41,42,42,Martin Laird,19,42.604,809.47
42,43,43,Bernhard Langer,1,41.5,41.5
43,44,44,Woody Austin,8,40.75,326.0
44,45,45,Ryan Palmer,20,40.025,800.5
45,46,46,Matt Jones,21,39.81,836.003
46,47,47,Charley Hoffman,20,39.67,793.39
47,48,48,Tim Clark,18,39.069,703.25
48,49,49,Graham DeLaet,22,38.93,856.4630000000001
49,50,50,Freddie Jacobson,17,38.75,658.75
50,51,51,David Lingmerth,21,38.393,806.25
51,52,52,David Lynn,19,37.684,716.0
52,53,53,Scott Piercy,21,36.793,772.65
53,54,54,Sangmoon Bae,23,36.415,837.55
54,55,55,Ken Duke,25,36.08,902.0
55,56,56,Ernie Els,16,35.685,570.967
56,57,57,Brian Gay,21,35.45,744.44
57,58,58,Chris Stroud,23,34.787,800.097
58,59,59,Fred Couples,4,34.575,138.3
59,60,60,Ryan Moore,19,34.364000000000004,652.9169999999999
60,61,61,Scott Stallings,24,34.016999999999996,816.4
61,62,62,Roberto Castro,25,32.914,822.846
62,63,63,Kevin Chappell,21,32.816,689.132
63,64,64,Bob Estes,16,32.656,522.5
64,65,65,Marc Leishman,20,32.415,648.299
65,66,66,David Hearn,23,31.659000000000002,728.16
66,67,67,John Rollins,22,31.625999999999998,695.78
67,68,68,Martin Kaymer,15,31.6,474.0
68,69,69,Derek Ernst,19,31.447,597.5
69,70,70,Gary Woodland,22,31.05,683.09
70,71,71,Josh Teater,22,30.979,681.54
71,72,72,Scott Brown,19,30.97,588.43
72,73,73,K.J. Choi,22,30.265,665.8330000000001
73,74,74,Nick Watney,22,30.118000000000002,662.596
74,75,75,Kyle Stanley,22,30.074,661.6260000000001
75,76,76,Robert Garrigus,20,30.065,601.29
76,77,77,Cameron Tringale,22,29.705,653.5
77,78,78,Brendon de Jonge,26,29.589000000000002,769.306
78,79,79,Brendon Todd,10,29.25,292.5
79,80,80,Jerry Kelly,20,28.975,579.5
80,81,81,Stewart Cink,20,28.389,567.77
81,T82,T82,Peter Lonard,1,27.5,27.5
82,T82,T82,Paul Stankowski,1,27.5,27.5
83,84,84,Geoff Ogilvy,18,27.305999999999997,491.5
84,85,85,Pat Perez,20,27.219,544.387
85,86,86,Bo Van Pelt,20,27.076,541.523
86,87,87,Russ Cochran,1,26.5,26.5
