,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Tiger Woods,16,188
1,2,2,Steve Stricker,13,192
2,3,3,Jordan Spieth,23,249
3,4,4,Keegan Bradley,25,277
4,5,5,Henrik Stenson,18,345
5,6,6,Justin Rose,17,350
6,7,7,Kevin Stadler,25,356
7,8,8,Billy Horschel,26,374
8,9,9,Sergio Garcia,17,377
9,10,10,Adam Scott,16,390
10,11,11,Brandt Snedeker,23,396
11,12,12,Charley Hoffman,23,413
12,13,13,Matt Jones,24,418
13,T14,T14,Jason Day,21,420
14,T14,T14,Brendon de Jonge,30,420
15,16,16,Chris Kirk,24,427
16,17,17,Webb Simpson,25,428
17,18,18,Phil Mickelson,21,430
18,19,19,Camilo Villegas,23,457
19,20,20,Matt Kuchar,23,460
20,21,21,Rory Sabbatini,27,464
21,22,22,Jimmy Walker,24,465
22,23,23,Graham DeLaet,26,468
23,24,24,Harris English,26,469
24,25,25,Charles Howell III,26,475
25,T26,T26,Rickie Fowler,22,476
26,T26,T26,Rory McIlroy,16,476
27,28,28,Charl Schwartzel,19,483
28,29,29,Brad Fritsch,24,500
29,30,30,Dustin Johnson,22,504
30,31,31,Roberto Castro,29,505
31,32,32,Jim Furyk,22,510
32,33,33,Bubba Watson,21,512
33,34,34,Cameron Tringale,24,514
34,35,35,Boo Weekley,27,515
35,36,36,Gary Woodland,26,521
36,37,37,Jason Kokrak,25,523
37,38,38,Hunter Mahan,25,524
38,39,39,Morgan Hoffmann,20,525
39,40,40,Patrick Reed,26,533
40,41,41,Ryan Palmer,22,539
41,42,42,Bill Haas,25,540
42,43,43,Russell Henley,24,543
43,44,44,Matt Every,28,545
44,45,45,Martin Flores,25,546
45,46,46,Kevin Chappell,24,549
46,47,47,Jason Dufner,22,556
47,48,48,Nicholas Thompson,29,560
48,49,49,John Rollins,24,562
49,50,50,Zach Johnson,24,573
50,51,51,Robert Garrigus,22,575
51,52,52,Bryce Molder,24,587
52,53,53,Doug LaBelle II,23,591
53,54,54,Kevin Streelman,25,598
54,T55,T55,Brian Davis,28,606
55,T55,T55,Pat Perez,22,606
56,57,57,James Hahn,26,617
57,58,58,Daniel Summerhays,26,624
58,59,59,Bob Estes,18,628
59,60,60,Nick Watney,26,631
60,61,61,Jim Herman,19,634
61,62,62,Chez Reavie,22,640
62,63,63,Luke Donald,17,642
63,64,64,Jerry Kelly,22,646
64,65,65,Greg Chalmers,25,650
65,66,66,David Toms,16,652
66,67,67,D.H. Lee,22,655
67,68,68,Jason Bohn,23,660
68,69,69,Vaughn Taylor,16,662
69,70,70,John Huh,28,663
70,71,71,Peter Hanson,15,666
71,72,72,Josh Teater,24,669
72,73,73,George McNeill,21,671
73,74,74,Andres Romero,21,672
74,75,75,Charlie Wi,23,676
75,76,76,K.J. Choi,24,678
76,77,77,David Lingmerth,23,680
77,78,78,Ryan Moore,22,681
78,79,79,John Merrick,23,685
79,80,80,Scott Stallings,27,686
80,81,81,Stewart Cink,22,687
81,82,82,William McGirt,24,696
82,83,83,Cameron Percy,21,699
83,84,84,Lee Westwood,19,708
84,85,85,Tag Ridings,24,711
85,86,86,James Driscoll,23,713
86,87,87,Richard Lee,24,716
87,88,88,Brendan Steele,26,720
88,89,89,Henrik Norlander,22,725
89,90,90,"Ted Potter, Jr.",22,726
90,T91,T91,Justin Leonard,24,727
91,T91,T91,Chris Stroud,26,727
92,93,93,Jeff Overton,24,731
93,94,94,Stuart Appleby,25,733
94,T95,T95,Sangmoon Bae,26,738
95,T95,T95,Brandt Jobe,19,738
96,97,97,Ernie Els,19,739
97,98,98,Brian Stuard,25,753
98,99,99,Aaron Baddeley,24,755
99,100,100,Freddie Jacobson,19,757
100,101,101,D.J. Trahan,16,758
101,102,102,David Hearn,26,762
102,103,103,Justin Hicks,25,765
103,104,104,Chad Campbell,25,766
104,105,105,Steven Bowditch,22,767
105,106,106,Ian Poulter,16,776
106,107,107,Erik Compton,24,780
107,108,108,Tim Clark,20,786
108,109,109,Shawn Stefani,21,787
109,T110,T110,Luke List,24,790
110,T110,T110,Scott Piercy,24,790
111,112,112,Jeff Maggert,21,793
112,113,113,Fabián Gómez,23,798
113,114,114,Ben Crane,21,799
114,115,115,Steve LeBrun,21,800
115,T116,T116,Greg Owen,24,811
116,T116,T116,Bo Van Pelt,22,811
117,118,118,Mark Wilson,19,813
118,119,119,Robert Streb,25,814
119,120,120,Martin Kaymer,17,816
120,121,121,Martin Laird,21,817
121,122,122,Kyle Stanley,24,835
122,123,123,Brian Gay,24,839
123,124,124,Scott Brown,21,843
124,125,125,Graeme McDowell,16,847
125,126,126,Nicolas Colsaerts,17,849
126,127,127,Brian Harman,29,853
127,128,128,Carl Pettersson,24,854
128,129,129,Marc Leishman,23,857
129,130,130,Lucas Glover,23,858
130,131,131,Bud Cauley,24,860
131,132,132,Darron Stiles,20,862
132,133,133,J.J. Henry,26,863
133,134,134,Ken Duke,28,868
134,135,135,D.A. Points,28,870
135,136,136,Andrew Svoboda,18,873
136,137,137,Stephen Ames,19,874
137,138,138,Jin Park,20,877
138,139,139,Michael Thompson,22,881
139,140,140,Ben Kohles,25,890
140,T141,T141,Troy Matteson,24,896
141,T141,T141,Eric Meierdierks,19,896
142,143,143,Vijay Singh,19,904
143,144,144,Robert Karlsson,18,905
144,145,145,Colt Knost,25,908
145,146,146,David Lynn,22,917
146,147,147,Luke Guthrie,27,918
147,148,148,Scott Gardiner,23,922
148,149,149,Ricky Barnes,26,923
149,150,150,Ryo Ishikawa,23,926
150,151,151,Charlie Beljan,24,933
151,152,152,John Senden,25,938
152,153,153,Dicky Pride,23,940
153,154,154,Tom Gillis,22,942
154,155,155,Ángel Cabrera,21,947
155,156,156,Rod Pampling,16,954
156,157,157,Aaron Watkins,19,960
157,158,158,Tommy Gainey,28,973
158,159,159,Jonas Blixt,24,974
159,160,160,Seung-Yul Noh,25,975
160,161,161,Scott Langley,27,983
161,162,162,Alistair Presnell,23,987
162,163,163,Lee Williams,22,1002
163,T164,T164,Padraig Harrington,17,1006
164,T164,T164,Sean O'Hair,22,1006
165,T164,T164,Y.E. Yang,19,1006
166,167,167,Mike Weir,22,1013
167,168,168,Tim Herron,15,1020
168,T169,T169,Will Claxton,24,1066
169,T169,T169,Trevor Immelman,24,1066
170,171,171,Derek Ernst,21,1088
171,172,172,Robert Allenby,24,1097
172,173,173,Justin Bolli,23,1104
173,174,174,David Mathis,24,1108
174,175,175,Casey Wittenberg,27,1110
175,176,176,Geoff Ogilvy,19,1146
176,177,177,Johnson Wagner,24,1167
177,178,178,Michael Bradley,21,1180
178,179,179,Bobby Gates,20,1198
179,180,180,Ben Curtis,20,1216
