,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Phil Mickelson,4,2172.0
1,2,2,Jason Dufner,4,1883.1989999999998
2,3,3,Jim Furyk,4,921.04
3,4,4,Tiger Woods,4,676.623
4,5,5,Brandt Snedeker,4,551.697
5,6,6,Zach Johnson,4,496.827
6,7,7,Hunter Mahan,4,483.288
7,8,8,Matt Kuchar,4,462.226
8,9,9,Steve Stricker,3,432.712
9,10,10,David Toms,3,404.6
10,11,11,Scott Piercy,4,322.32
11,12,12,John Huh,4,307.591
12,13,13,Rickie Fowler,4,293.697
13,14,14,Billy Horschel,3,291.406
14,15,15,Keegan Bradley,4,206.53
15,16,16,Bo Van Pelt,4,201.14
16,17,17,Fred Couples,2,184.851
17,18,18,Boo Weekley,3,152.863
18,19,19,Kevin Streelman,4,150.039
19,20,20,Bill Haas,4,148.67
20,21,21,Nick Watney,4,145.6
21,22,22,Roberto Castro,1,132.786
22,23,23,Michael Thompson,4,131.04
23,24,24,Webb Simpson,4,125.081
24,25,25,Justin Leonard,1,121.381
25,26,26,Stewart Cink,4,112.913
26,27,27,Harris English,2,110.743
27,28,28,Bubba Watson,4,105.977
28,29,29,Robert Garrigus,4,90.75
29,30,30,Ryan Moore,4,88.15100000000001
30,31,31,D.A. Points,4,60.0
31,32,32,Josh Teater,3,57.306999999999995
32,33,33,Charley Hoffman,2,56.961000000000006
33,T34,T34,Kevin Chappell,2,47.246
34,T34,T34,Edward Loar,1,47.246
35,36,36,Scott Stallings,3,40.346
36,37,37,Bud Cauley,1,39.251
37,T38,T38,Jerry Kelly,1,37.324
38,T38,T38,Scott Langley,1,37.324
39,40,40,John Peterson,2,35.725
40,41,41,Ken Duke,2,35.385
41,42,42,Ben Curtis,3,34.435
42,43,43,Brian Gay,2,32.0
43,44,44,J.J. Henry,1,28.0
44,45,45,Jordan Spieth,3,24.641
45,46,46,Matt Bettencourt,1,23.445999999999998
46,47,47,Nicholas Thompson,1,21.485
47,48,48,Lucas Glover,4,20.8
48,49,49,Shawn Stefani,1,20.111
49,T50,T50,Tom Lehman,1,20.077
50,T50,T50,Mark O'Meara,2,20.077
51,T50,T50,Johnson Wagner,1,20.077
52,T53,T53,Luke Guthrie,3,18.875
53,T53,T53,John Merrick,2,18.875
54,T53,T53,Ryan Palmer,2,18.875
55,T56,T56,Jim Herman,1,17.965
56,T56,T56,Kevin Sutherland,1,17.965
57,58,58,Kevin Na,1,17.92
58,T59,T59,Todd Hamilton,1,17.864
59,T59,T59,Russell Henley,4,17.864
60,61,61,Kyle Stanley,3,16.523
61,62,62,Chris Kirk,1,16.3
62,63,63,Tommy Gainey,1,15.7
63,64,64,Gary Woodland,1,14.6
