,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Tiger Woods,42,12.84,539.18,-244.58,442.45,USA
1,2,2.0,Adam Scott,40,9.27,370.86,-182.39,292.54,AUS
2,3,3.0,Phil Mickelson,48,8.51,408.59,-168.12,346.85,USA
3,4,4.0,Henrik Stenson,52,8.15,423.58,-68.22,380.78,SWE
4,5,5.0,Justin Rose,52,7.54,392.1,-223.94,281.16,ENG
5,6,6.0,Rory McIlroy,47,7.31,343.44,-368.73,90.85,NIR
6,7,7.0,Steve Stricker,40,6.72,268.61,-148.75,226.75,USA
7,8,8.0,Matt Kuchar,51,6.58,335.41,-181.46,290.53,USA
8,9,9.0,Brandt Snedeker,51,6.2,316.31,-196.14,240.39,USA
9,10,10.0,Jason Dufner,52,5.93,308.32,-172.18,210.65,USA
10,11,11.0,Zach Johnson,52,5.4,280.69,-136.32,204.66,USA
11,12,12.0,Graeme McDowell,52,5.33,277.37,-165.79,189.89,NIR
12,13,13.0,Jim Furyk,50,5.09,254.46,-121.7,177.06,USA
13,14,14.0,Luke Donald,49,5.08,248.99,-299.78,109.03,ENG
14,15,15.0,Keegan Bradley,52,4.97,258.24,-180.05,178.95,USA
15,16,16.0,Jason Day,44,4.89,215.19,-118.9,207.02,AUS
16,17,17.0,Sergio Garcia,50,4.49,224.34,-161.91,154.26,ESP
17,18,18.0,Lee Westwood,52,4.44,230.62,-216.64,133.55,ENG
18,19,19.0,Charl Schwartzel,52,4.43,230.59,-164.37,143.96,RSA
19,20,21.0,Jordan Spieth,40,4.34,173.53,-10.39,178.81,USA
20,21,22.0,Dustin Johnson,46,4.32,198.82,-158.44,148.04,USA
21,22,20.0,Ian Poulter,48,4.32,207.46,-146.81,99.38,ENG
22,23,23.0,Ernie Els,52,4.2,218.3,-135.63,131.19,RSA
23,24,24.0,Webb Simpson,51,4.12,210.23,-195.47,149.32,USA
24,25,25.0,Bubba Watson,46,3.97,182.5,-168.49,91.56,USA
25,26,26.0,Hunter Mahan,52,3.95,205.44,-155.73,160.81,USA
26,27,27.0,Nick Watney,52,3.88,201.87,-151.89,118.4,USA
27,28,28.0,Bill Haas,52,3.84,199.89,-129.72,166.38,USA
28,29,29.0,Louis Oosthuizen,52,3.79,197.32,-193.39,70.0,RSA
29,30,30.0,Hideki Matsuyama,40,3.56,142.46,-33.67,124.45,JPN
30,31,31.0,Matteo Manassero,52,3.01,156.26,-85.45,107.02,ITA
31,32,32.0,Graham DeLaet,50,2.95,147.71,-29.2,136.63,CAN
32,33,33.0,Rickie Fowler,50,2.86,143.03,-126.7,97.89,USA
33,34,34.0,Jonas Blixt,52,2.85,147.95,-53.67,112.87,SWE
34,35,35.0,Billy Horschel,52,2.84,147.86,-35.99,155.88,USA
35,36,36.0,Kevin Streelman,52,2.83,147.21,-50.45,156.05,USA
36,37,37.0,Martin Kaymer,52,2.77,143.94,-133.03,86.52,GER
37,38,38.0,Branden Grace,52,2.73,142.07,-103.0,82.6,RSA
