,Putting_Rating_RANK THIS WEEK,Putting_Rating_RANK LAST WEEK,Putting_Rating_PLAYER NAME,Putting_Rating_EVENTS,Putting_Rating_RATING
0,1,1,Kevin Kisner,1,9.3
1,2,2,Kelly Kraft,2,8.9
2,T3,T3,Shane Bertsch,1,8.8
3,T3,T3,Kevin Na,2,8.8
4,T3,T3,Justin Thomas,1,8.8
5,T6,T6,Woody Austin,1,8.6
6,T6,T6,Aaron Baddeley,10,8.6
7,T6,T6,Danny Lee,1,8.6
8,T6,T6,Jesper Parnevik,2,8.6
9,T10,T10,Chris DiMarco,4,8.5
10,T10,T10,Peter Hanson,6,8.5
11,T10,T10,Miguel Angel Jiménez,1,8.5
12,T10,T10,Skip Kendall,1,8.5
13,T10,T10,Phil Mickelson,14,8.5
14,T15,T15,Stephen Ames,6,8.4
15,T15,T15,Ryan Blaum,1,8.4
16,T15,T15,Rickie Fowler,13,8.4
17,T15,T15,J.B. Holmes,1,8.4
18,T15,T15,Michael Kim,1,8.4
19,T15,T15,Billy Mayfair,2,8.4
20,T15,T15,Chris Riley,1,8.4
21,T15,T15,Steve Stricker,9,8.4
22,T23,T23,Todd Baek,1,8.3
23,T23,T23,Bart Bryant,1,8.3
24,T23,T23,Gonzalo Fernandez-Castaño,4,8.3
25,T23,T23,Retief Goosen,5,8.3
26,T23,T23,Chris Kirk,19,8.3
27,T23,T23,"Wes Short, Jr.",3,8.3
28,T23,T23,Brandt Snedeker,13,8.3
29,T23,T23,Joey Snyder III,2,8.3
30,T23,T23,Jordan Spieth,16,8.3
31,T23,T23,Toru Taniguchi,1,8.3
32,T33,T33,Matt Bettencourt,3,8.2
33,T33,T33,Jonas Blixt,12,8.2
34,T33,T33,Steven Bowditch,11,8.2
35,T33,T33,Patrick Cantlay,1,8.2
36,T33,T33,Ben Crane,8,8.2
37,T33,T33,Brian Davis,17,8.2
38,T33,T33,Brian Gay,15,8.2
39,T33,T33,David Hearn,14,8.2
40,T33,T33,Freddie Jacobson,10,8.2
41,T33,T33,David Lingmerth,10,8.2
42,T33,T33,Bryce Molder,16,8.2
43,T33,T33,"Ted Potter, Jr.",10,8.2
44,T33,T33,Andres Romero,8,8.2
45,T33,T33,Webb Simpson,17,8.2
46,T33,T33,Scott Stallings,11,8.2
47,T33,T33,Mike Weir,6,8.2
48,T33,T33,Steve Wheatcroft,1,8.2
49,T33,T33,Chris Williams,1,8.2
50,T33,T33,Thaworn Wiratchant,1,8.2
51,T52,T52,Jason Bohn,12,8.1
52,T52,T52,Greg Chalmers,13,8.1
53,T52,T52,Tim Clark,8,8.1
54,T52,T52,Glen Day,2,8.1
55,T52,T52,Luke Donald,11,8.1
56,T52,T52,James Driscoll,12,8.1
57,T52,T52,Zack Fischer,1,8.1
58,T52,T52,Bobby Gates,3,8.1
59,T52,T52,Brian Harman,13,8.1
60,T52,T52,Ryuji Imada,1,8.1
61,T52,T52,Jeff Klauk,3,8.1
62,T52,T52,Justin Leonard,17,8.1
63,T52,T52,Michael Letzig,4,8.1
64,T52,T52,Hideki Matsuyama,3,8.1
65,T52,T52,Patrick Reed,13,8.1
66,T52,T52,Patrick Rodgers,1,8.1
67,T52,T52,Sam Saunders,1,8.1
68,T52,T52,Roger Sloan,1,8.1
69,T52,T52,Aaron Watkins,2,8.1
70,T52,T52,Charlie Wi,13,8.1
71,T52,T52,Tiger Woods,11,8.1
72,T73,T73,Bud Cauley,8,8.0
73,T73,T73,Marco Dawson,1,8.0
74,T73,T73,Ken Duke,13,8.0
75,T73,T73,Bob Estes,15,8.0
76,T73,T73,Tommy Gainey,12,8.0
77,T73,T73,Sergio Garcia,11,8.0
78,T73,T73,Nathan Green,4,8.0
79,T73,T73,Paul Haley II,3,8.0
80,T73,T73,Charles Howell III,18,8.0
81,T73,T73,Matt Jones,15,8.0
82,T73,T73,Colt Knost,8,8.0
83,T73,T73,Matt Kuchar,18,8.0
84,T73,T73,Matteo Manassero,4,8.0
85,T73,T73,William McGirt,13,8.0
86,T73,T73,Rory McIlroy,10,8.0
87,T73,T73,Ryan Palmer,16,8.0
88,T73,T73,Ian Poulter,9,8.0
89,T73,T73,Alistair Presnell,6,8.0
90,T73,T73,Jonathan Randolph,1,8.0
91,T73,T73,Shawn Stefani,9,8.0
92,T73,T73,Chris Stroud,16,8.0
93,T73,T73,Daniel Summerhays,15,8.0
94,T73,T73,Brendon Todd,6,8.0
95,T73,T73,Casey Wittenberg,8,8.0
96,T97,T97,Billy Andrade,1,7.9
97,T97,T97,Keegan Bradley,17,7.9
98,T97,T97,Jason Day,16,7.9
99,T97,T97,James Hahn,12,7.9
100,T97,T97,Morgan Hoffmann,10,7.9
101,T97,T97,Jason Kokrak,13,7.9
102,T97,T97,Doug LaBelle II,12,7.9
103,T97,T97,Bill Lunde,3,7.9
104,T97,T97,John Mallinger,6,7.9
105,T97,T97,Jeff Overton,16,7.9
106,T97,T97,Tim Petrovic,5,7.9
107,T97,T97,Brett Rumford,1,7.9
108,T97,T97,Richard Sterne,2,7.9
109,T97,T97,Vaughn Taylor,7,7.9
110,T97,T97,Josh Teater,13,7.9
111,T97,T97,Camilo Villegas,14,7.9
112,T97,T97,Jimmy Walker,18,7.9
113,T97,T97,Y.E. Yang,7,7.9
114,T115,T115,Stuart Appleby,18,7.8
115,T115,T115,Sangmoon Bae,15,7.8
116,T115,T115,Scott Brown,10,7.8
117,T115,T115,George Coetzee,6,7.8
118,T115,T115,Ben Curtis,8,7.8
119,T115,T115,Ernie Els,10,7.8
120,T115,T115,Harris English,19,7.8
121,T115,T115,Matt Every,15,7.8
122,T115,T115,Tim Herron,7,7.8
123,T115,T115,Billy Horschel,21,7.8
124,T115,T115,Zach Johnson,16,7.8
125,T115,T115,Paul Lawrie,2,7.8
126,T115,T115,D.H. Lee,10,7.8
127,T115,T115,Richard Lee,16,7.8
128,T115,T115,Luke List,7,7.8
129,T115,T115,Peter Lonard,1,7.8
130,T115,T115,Ken Looper,2,7.8
131,T115,T115,David Lynn,11,7.8
132,T115,T115,Graeme McDowell,7,7.8
133,T115,T115,Francesco Molinari,3,7.8
134,T115,T115,Geoff Ogilvy,7,7.8
135,T115,T115,Pat Perez,13,7.8
136,T115,T115,John Peterson,2,7.8
137,T115,T115,D.A. Points,13,7.8
138,T115,T115,Rory Sabbatini,14,7.8
139,T115,T115,Charl Schwartzel,13,7.8
140,T115,T115,Nate Smith,1,7.8
141,T115,T115,Robert Streb,10,7.8
142,T115,T115,David Toms,6,7.8
143,T115,T115,Cameron Tringale,16,7.8
144,T115,T115,Marc Turnesa,1,7.8
145,T115,T115,Scott Verplank,4,7.8
146,T147,T147,Cameron Beckman,2,7.7
147,T147,T147,Russ Cochran,1,7.7
148,T147,T147,Erik Compton,11,7.7
149,T147,T147,Franklin Corpening,1,7.7
150,T147,T147,John Daly,3,7.7
151,T147,T147,Martin Flores,15,7.7
152,T147,T147,Jim Furyk,16,7.7
153,T147,T147,Tom Gillis,11,7.7
154,T147,T147,Fabián Gómez,8,7.7
155,T147,T147,Luke Guthrie,12,7.7
156,T147,T147,Bill Haas,16,7.7
157,T147,T147,Padraig Harrington,7,7.7
158,T147,T147,Russell Henley,15,7.7
159,T147,T147,Dustin Johnson,11,7.7
160,T147,T147,Jerry Kelly,14,7.7
161,T147,T147,Marc Leishman,14,7.7
162,T147,T147,Steve Marino,5,7.7
163,T147,T147,George McNeill,13,7.7
164,T147,T147,Ryan Moore,12,7.7
165,T147,T147,Rod Pampling,5,7.7
166,T147,T147,Carl Pettersson,15,7.7
167,T147,T147,Dicky Pride,9,7.7
168,T147,T147,Alexandre Rocha,1,7.7
169,T147,T147,John Rollins,13,7.7
170,T147,T147,Marcel Siem,4,7.7
171,T147,T147,Henrik Stenson,10,7.7
172,T147,T147,Darron Stiles,5,7.7
173,T147,T147,Kevin Streelman,16,7.7
174,T147,T147,Brian Stuard,11,7.7
175,T147,T147,Michael Thompson,9,7.7
176,T147,T147,Bo Van Pelt,11,7.7
177,T147,T147,Lee Williams,7,7.7
178,T147,T147,Gary Woodland,18,7.7
179,T180,T180,Robert Allenby,5,7.6
180,T180,T180,Charlie Beljan,7,7.6
181,T180,T180,Jonathan Byrd,3,7.6
182,T180,T180,K.J. Choi,14,7.6
183,T180,T180,Gary Christian,2,7.6
184,T180,T180,Fred Couples,2,7.6
185,T180,T180,Jamie Donaldson,3,7.6
186,T180,T180,Derek Ernst,7,7.6
187,T180,T180,Robert Garrigus,10,7.6
188,T180,T180,Lucas Glover,9,7.6
189,T180,T180,Hunter Haas,3,7.6
190,T180,T180,Scott Harrington,1,7.6
191,T180,T180,Charley Hoffman,17,7.6
192,T180,T180,Scott Jamieson,1,7.6
193,T180,T180,Scott Langley,10,7.6
194,T180,T180,Shane Lowry,2,7.6
195,T180,T180,Hunter Mahan,15,7.6
196,T180,T180,Troy Matteson,8,7.6
197,T180,T180,John Merrick,15,7.6
198,T180,T180,Jin Park,5,7.6
199,T180,T180,Cameron Percy,12,7.6
200,T180,T180,Scott Piercy,13,7.6
201,T180,T180,Tag Ridings,9,7.6
