,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Tiger Woods,12,3059,5.0,7.0,,
1,2,2,Matt Kuchar,19,2293,2.0,7.0,766.0,
2,3,3,Brandt Snedeker,19,2218,2.0,8.0,841.0,
3,4,4,Phil Mickelson,17,2166,2.0,6.0,893.0,
4,5,5,Bill Haas,21,1505,1.0,9.0,1554.0,
5,6,6,Billy Horschel,22,1487,1.0,7.0,1572.0,
6,7,7,Justin Rose,13,1447,1.0,5.0,1612.0,
7,8,8,Jordan Spieth,19,1436,1.0,7.0,1623.0,
8,9,9,Henrik Stenson,14,1426,,6.0,1633.0,
9,10,10,Keegan Bradley,21,1416,,7.0,1643.0,
10,11,11,Adam Scott,12,1347,1.0,5.0,1712.0,
11,12,12,Boo Weekley,23,1335,1.0,4.0,1724.0,
12,13,13,Kevin Streelman,21,1333,1.0,5.0,1726.0,
13,14,14,Jason Day,17,1284,,6.0,1775.0,
14,15,15,Jason Dufner,18,1256,1.0,3.0,1803.0,
15,16,16,Dustin Johnson,18,1226,1.0,5.0,1833.0,
16,17,17,Webb Simpson,21,1188,,4.0,1871.0,
17,18,18,Zach Johnson,21,1141,,6.0,1918.0,
18,19,19,Harris English,23,1134,1.0,4.0,1925.0,
19,20,20,Steve Stricker,10,1117,,5.0,1942.0,
20,21,21,Hunter Mahan,21,1101,,4.0,1958.0,
21,22,22,Patrick Reed,23,1062,1.0,5.0,1997.0,
22,23,23,Jim Furyk,18,1057,,5.0,2002.0,
23,24,24,Russell Henley,21,1048,1.0,3.0,2011.0,
24,25,25,D.A. Points,24,1038,1.0,2.0,2021.0,
25,26,26,Jimmy Walker,21,996,,5.0,2063.0,
26,27,27,Charles Howell III,23,996,,5.0,2063.0,
27,28,28,Graeme McDowell,13,941,1.0,4.0,2118.0,
28,29,29,Jonas Blixt,21,912,1.0,2.0,2147.0,
29,30,30,John Merrick,20,909,1.0,2.0,2150.0,
30,31,31,Chris Kirk,21,904,,3.0,2155.0,
31,32,32,Ken Duke,25,902,1.0,2.0,2157.0,
32,33,33,Charl Schwartzel,15,871,,4.0,2188.0,
33,34,34,Graham DeLaet,22,856,,5.0,2203.0,
34,35,35,Lee Westwood,16,856,,6.0,2203.0,
35,36,36,Sangmoon Bae,23,838,1.0,2.0,2221.0,
36,37,37,Matt Jones,21,836,,4.0,2223.0,
37,38,38,Bubba Watson,18,830,,3.0,2229.0,
38,39,39,Michael Thompson,19,828,1.0,3.0,2231.0,
39,40,40,Ángel Cabrera,18,826,,2.0,2233.0,
40,41,41,Roberto Castro,25,823,,2.0,2236.0,
41,42,42,Rickie Fowler,19,822,,4.0,2237.0,
42,43,43,Scott Stallings,24,816,,4.0,2243.0,
43,44,44,Martin Laird,19,809,1.0,2.0,2250.0,
44,45,45,David Lingmerth,21,806,,3.0,2253.0,
45,46,46,Ryan Palmer,20,801,,4.0,2258.0,
46,47,47,Chris Stroud,23,800,,4.0,2259.0,
47,48,48,Charley Hoffman,20,793,,5.0,2266.0,
48,49,49,Rory McIlroy,13,777,,5.0,2282.0,
49,50,50,Scott Piercy,21,773,,4.0,2286.0,
50,51,51,Brendon de Jonge,26,769,,3.0,2290.0,
51,52,52,Brian Gay,21,744,1.0,1.0,2315.0,
52,53,53,David Hearn,23,728,,2.0,2331.0,
53,54,54,David Lynn,19,716,,2.0,2343.0,
54,55,55,Luke Donald,13,707,,4.0,2352.0,
55,56,56,Tim Clark,18,703,,3.0,2356.0,
56,57,57,John Rollins,22,696,,2.0,2363.0,
57,58,58,Kevin Chappell,21,689,,3.0,2370.0,
58,59,59,Sergio Garcia,13,684,,4.0,2375.0,
59,60,60,Gary Woodland,22,683,1.0,1.0,2376.0,
60,61,61,Josh Teater,22,682,,3.0,2377.0,
61,62,62,K.J. Choi,22,666,,2.0,2393.0,
62,63,63,Nick Watney,22,663,,2.0,2396.0,
63,64,64,Kyle Stanley,22,662,,3.0,2397.0,
64,65,65,John Huh,25,661,,2.0,2398.0,
65,66,66,Freddie Jacobson,17,659,,3.0,2400.0,
66,67,67,Cameron Tringale,22,654,,1.0,2405.0,
