,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Henrik Stenson,18,53.03,5303,10000,2.0,2.0
1,2,2,Steve Stricker,13,44.17,3313,7500,,3.0
2,3,3,Zach Johnson,24,41.87,3140,7500,1.0,2.0
3,4,4,Adam Scott,16,30.53,3053,10000,1.0,1.0
4,5,5,Graham DeLaet,26,23.7,2370,10000,,2.0
5,6,6,Jordan Spieth,23,23.33,2333,10000,,2.0
6,7,7,Nick Watney,26,23.08,2308,10000,,2.0
7,8,8,Jim Furyk,22,19.38,1938,10000,,2.0
8,9,9,Justin Rose,17,18.95,1895,10000,,2.0
9,10,10,Gary Woodland,26,15.85,1585,10000,,1.0
10,11,11,Tiger Woods,16,15.35,1535,10000,,1.0
11,12,12,Sergio Garcia,17,13.55,1355,10000,,2.0
12,13,13,Jason Day,21,13.41,1341,10000,,1.0
13,14,14,Webb Simpson,25,13.2,1320,10000,,1.0
14,15,15,Hunter Mahan,25,13.16,1316,10000,,1.0
15,16,16,Matt Kuchar,23,12.6,1260,10000,,1.0
16,17,17,Roberto Castro,29,12.3,1230,10000,,2.0
17,18,18,Kevin Stadler,25,11.53,865,7500,,1.0
18,19,19,Brendon de Jonge,30,11.28,1128,10000,,1.0
19,20,20,Luke Donald,17,11.1,1110,10000,,1.0
20,21,21,Phil Mickelson,21,10.86,1086,10000,,1.0
21,22,22,Charl Schwartzel,19,10.58,1058,10000,,1.0
22,23,23,Keegan Bradley,25,10.35,1035,10000,,
23,24,24,Jason Dufner,22,9.8,980,10000,,2.0
24,25,25,Daniel Summerhays,26,9.5,713,7500,,
25,26,26,Rory Sabbatini,27,9.03,678,7500,,
26,27,27,John Huh,28,8.23,618,7500,,
27,28,28,Brian Davis,28,8.03,603,7500,,1.0
28,29,29,Kevin Streelman,25,7.95,795,10000,,
29,30,30,Dustin Johnson,22,7.93,793,10000,,1.0
30,31,31,Matt Jones,24,7.77,583,7500,,1.0
31,32,32,Brandt Snedeker,23,7.6,760,10000,,1.0
32,33,33,D.A. Points,28,7.48,748,10000,,1.0
33,34,34,Matt Every,28,7.37,553,7500,,1.0
34,35,35,Kevin Chappell,24,7.3,548,7500,,
35,36,36,Bubba Watson,21,7.13,535,7500,,
36,37,37,Ryan Moore,22,7.09,532,7500,,
37,38,38,Billy Horschel,26,6.97,697,10000,,1.0
38,39,39,Rickie Fowler,22,6.83,513,7500,,1.0
39,40,40,Chris Kirk,24,6.6,495,7500,,
40,41,41,Jason Kokrak,25,6.56,492,7500,,1.0
41,T42,T42,Bill Haas,25,6.5,650,10000,,
42,T42,T42,David Lynn,22,6.5,488,7500,,
