,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Gonzalo Fernandez-Castaño,12,403,127.0
1,2,2,Hideki Matsuyama,7,384,48.0
2,3,3,Thorbjørn Olesen,11,307,84.0
3,4,4,Richard Sterne,7,276,186.0
4,5,5,Francesco Molinari,9,244,89.0
5,6,6,Miguel Angel Jiménez,3,227,120.0
6,7,7,Marcel Siem,9,221,53.0
7,8,8,Shane Lowry,9,188,89.0
8,9,9,Peter Tomasulo,10,186,
9,10,10,Paul Lawrie,7,184,77.0
10,11,11,Jamie Donaldson,10,164,84.0
11,12,12,Chris Wood,5,145,141.0
12,13,13,Rafa Cabrera Bello,5,143,54.0
13,14,14,George Coetzee,11,135,39.0
14,15,15,Matteo Manassero,9,128,87.0
15,16,16,John Peterson,6,128,
16,17,17,Branden Grace,12,126,47.0
17,18,18,Stephen Gallacher,5,120,64.0
18,19,19,Jeff Klauk,8,115,
19,20,20,Alex Noren,5,97,97.0
20,21,21,Patrick Cantlay,7,96,
21,22,22,Marcus Fraser,6,93,57.0
22,23,23,Scott Jamieson,3,88,48.0
23,24,24,Danny Willett,2,84,
24,25,25,Thongchai Jaidee,4,77,23.0
25,26,26,Kyle Reifers,4,76,
26,27,27,Kiradech Aphibarnrat,3,74,30.0
27,28,28,Ken Looper,2,65,
28,29,29,Marc Warren,2,62,
29,T30,T30,Shane Bertsch,1,59,
30,T30,T30,Danny Lee,1,59,
31,32,32,Peter Uihlein,4,58,
32,33,33,Eduardo De La Riva,1,56,
33,34,34,Franklin Corpening,1,56,
34,35,35,Richie Ramsay,4,54,44.0
35,36,36,Blayne Barber,3,52,
36,37,37,Darren Clarke,3,49,
37,38,38,Thomas Bjørn,4,47,23.0
38,T39,T39,Mathew Goggin,1,47,
39,T39,T39,Kelly Kraft,2,47,
40,T39,T39,Steve Wheatcroft,1,47,
41,42,42,Chris Williams,5,44,
42,43,43,Steven Tiley,1,43,
43,T44,T44,Morten Orum Madsen,1,42,
44,T44,T44,John Parry,1,42,
45,46,46,Todd Baek,1,38,
46,47,47,Edward Loar,2,35,
47,48,48,Oliver Fisher,1,34,
48,49,49,Jonathan Randolph,1,31,
49,50,50,Hunter Haas,5,28,
50,51,51,Jeremiah Wooding,1,28,
51,52,52,Jon Curran,3,25,
52,T53,T53,Ryan Blaum,3,23,
53,T53,T53,Scott Harrington,1,23,
54,T55,T55,Steven Alker,2,23,
55,T55,T55,Mark Brown,1,23,
56,T55,T55,Hiroyuki Fujita,5,23,23.0
57,T55,T55,Shingo Katayama,1,23,
58,T55,T55,Bio Kim,1,23,
59,60,60,John Kimbell,1,21,
60,61,61,Nate Smith,1,18,
61,62,62,Sam Saunders,1,17,
62,63,63,Thaworn Wiratchant,3,16,16.0
63,T64,T64,Mark Anderson,1,16,
64,T64,T64,Hideto Tanihara,1,16,
65,66,66,Roger Sloan,1,15,
66,67,67,Mike Hendry,1,13,13.0
67,68,68,Thomas Aiken,2,12,
68,69,69,Matt Weibring,1,9,
69,70,70,Sebastián Vázquez,1,8,
70,71,71,Brett Rumford,3,8,8.0
71,T72,T72,Peter Hedblom,1,6,
72,T72,T72,David Howell,1,6,
73,74,74,Mikko Ilonen,3,5,4.0
74,T75,T75,Grégory Bourdy,1,4,
75,T75,T75,Satoshi Kodaira,2,4,4.0
76,T75,T75,Bernd Wiesberger,2,4,
77,78,78,Kevin Kisner,1,4,
78,79,79,Zack Fischer,4,3,
79,80,80,David Branshaw,1,2,
80,81,81,Brooks Koepka,2,1,
81,82,82,Toru Taniguchi,2,1,1.0
82,83,83,Gareth Wright,1,1,
83,T84,T84,Simon Khan,1,1,
84,T84,T84,Jaco Van Zyl,3,1,1.0
85,86,86,Andrew Johnson,1,1,
86,87,87,Daniel Popovic,1,1,1.0
87,T88,T88,Shiv Kapur,1,1,
88,T88,T88,K.T. Kim,1,1,
89,T90,T90,Rafael Campos,1,1,
90,T90,T90,Rod Perry,3,1,
91,92,92,Michael Block,1,1,
92,93,93,Peter Senior,1,1,
93,94,94,Brad Adamonis,2,1,
