,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
0,T1,T1,Woody Austin,1,8.5
1,T1,T1,Blayne Barber,1,8.5
2,T1,T1,David Branshaw,1,8.5
3,4,4,Billy Andrade,1,8.4
4,T5,T5,Chris Riley,1,8.3
5,T5,T5,Hideto Tanihara,1,8.3
6,7,7,Kent Jones,1,8.1
7,T8,T8,Glen Day,2,8.0
8,T8,T8,Ross Fisher,7,8.0
9,T8,T8,Heath Slocum,4,8.0
10,T11,T11,Joe Durant,2,7.9
11,T11,T11,Jim Furyk,16,7.9
12,T13,T13,Cameron Beckman,2,7.8
13,T13,T13,John Kimbell,1,7.8
14,T13,T13,Kenny Perry,2,7.8
15,T13,T13,Chez Reavie,14,7.8
16,T13,T13,Richard Sterne,2,7.8
17,T18,T18,Miguel Angel Jiménez,1,7.7
18,T18,T18,Russell Knox,5,7.7
19,T18,T18,Peter Lonard,1,7.7
20,T18,T18,Jeff Maggert,11,7.7
21,T18,T18,Justin Rose,11,7.7
22,T18,T18,Joey Snyder III,2,7.7
23,T18,T18,Darron Stiles,5,7.7
24,T18,T18,Tom Watson,1,7.7
25,T18,T18,Mark Wilson,8,7.7
26,T27,T27,K.J. Choi,14,7.6
27,T27,T27,Gary Christian,2,7.6
28,T27,T27,Justin Hicks,14,7.6
29,T27,T27,John Rollins,13,7.6
30,T27,T27,Sam Saunders,1,7.6
31,T27,T27,Peter Tomasulo,7,7.6
32,T33,T33,Bud Cauley,8,7.5
33,T33,T33,Tim Clark,8,7.5
34,T33,T33,Zach Johnson,16,7.5
35,T33,T33,Michael Kim,1,7.5
36,T33,T33,Hideki Matsuyama,3,7.5
37,T33,T33,Kevin Stadler,14,7.5
38,T33,T33,Steve Stricker,9,7.5
39,T33,T33,Brian Stuard,11,7.5
40,T41,T41,Jason Bohn,12,7.4
41,T41,T41,Patrick Cantlay,1,7.4
42,T41,T41,Graham DeLaet,19,7.4
43,T41,T41,Ken Duke,13,7.4
44,T41,T41,Francesco Molinari,3,7.4
45,T41,T41,Nick O'Hern,6,7.4
46,T41,T41,Nicholas Thompson,18,7.4
47,T41,T41,David Toms,6,7.4
48,T41,T41,Bo Van Pelt,11,7.4
49,T41,T41,Tiger Woods,11,7.4
50,T51,T51,Brendon de Jonge,23,7.3
51,T51,T51,Jerry Kelly,14,7.3
52,T51,T51,Ben Kohles,10,7.3
53,T51,T51,Shane Lowry,2,7.3
54,T51,T51,Alex Noren,1,7.3
55,T51,T51,Ryan Palmer,16,7.3
56,T51,T51,Paul Stankowski,1,7.3
57,T51,T51,Kyle Stanley,10,7.3
58,T51,T51,Henrik Stenson,10,7.3
59,T51,T51,Kevin Streelman,16,7.3
60,T51,T51,Nick Watney,17,7.3
61,T51,T51,Boo Weekley,20,7.3
62,T51,T51,Lee Westwood,13,7.3
63,T64,T64,Arjun Atwal,2,7.2
64,T64,T64,Roberto Castro,17,7.2
65,T64,T64,Kevin Chappell,14,7.2
66,T64,T64,James Hahn,12,7.2
67,T64,T64,Jim Herman,7,7.2
68,T64,T64,Brandt Jobe,11,7.2
69,T64,T64,Chris Kirk,19,7.2
70,T64,T64,Davis Love III,6,7.2
71,T64,T64,Billy Mayfair,2,7.2
72,T64,T64,Ryan Moore,12,7.2
73,T64,T64,Rory Sabbatini,14,7.2
74,T64,T64,Charl Schwartzel,13,7.2
75,T64,T64,"Wes Short, Jr.",3,7.2
76,T64,T64,Vijay Singh,9,7.2
77,T64,T64,Brandt Snedeker,13,7.2
78,T64,T64,Jordan Spieth,16,7.2
79,T64,T64,Andre Stolz,1,7.2
80,T64,T64,Brendon Todd,6,7.2
81,T64,T64,Marc Turnesa,1,7.2
82,T64,T64,Jeremiah Wooding,1,7.2
83,T84,T84,Ricky Barnes,9,7.1
84,T84,T84,Stewart Cink,11,7.1
85,T84,T84,Brian Davis,17,7.1
86,T84,T84,Jason Dufner,14,7.1
87,T84,T84,Bob Estes,15,7.1
88,T84,T84,Brad Fritsch,14,7.1
89,T84,T84,Robert Gamez,1,7.1
90,T84,T84,Scott Gardiner,7,7.1
91,T84,T84,Robert Garrigus,10,7.1
92,T84,T84,Russell Henley,15,7.1
93,T84,T84,John Huh,14,7.1
94,T84,T84,Dustin Johnson,11,7.1
95,T84,T84,Matt Jones,15,7.1
96,T84,T84,Martin Kaymer,9,7.1
97,T84,T84,Steve LeBrun,9,7.1
98,T84,T84,Graeme McDowell,7,7.1
99,T84,T84,George McNeill,13,7.1
100,T84,T84,Louis Oosthuizen,4,7.1
101,T84,T84,Greg Owen,12,7.1
102,T84,T84,"Ted Potter, Jr.",10,7.1
103,T84,T84,Patrick Rodgers,1,7.1
104,T84,T84,Adam Scott,11,7.1
105,T84,T84,Webb Simpson,17,7.1
106,T84,T84,Scott Stallings,11,7.1
107,T84,T84,Vaughn Taylor,7,7.1
108,T109,T109,Mark Anderson,1,7.0
109,T109,T109,Todd Baek,1,7.0
110,T109,T109,Shane Bertsch,1,7.0
111,T109,T109,Will Claxton,7,7.0
112,T109,T109,Retief Goosen,5,7.0
113,T109,T109,Bill Haas,16,7.0
114,T109,T109,Robert Karlsson,6,7.0
115,T109,T109,Matt Kuchar,18,7.0
116,T109,T109,David Lingmerth,10,7.0
117,T109,T109,John Merrick,15,7.0
118,T109,T109,John Peterson,2,7.0
119,T109,T109,Dicky Pride,9,7.0
120,T109,T109,Tag Ridings,9,7.0
121,T109,T109,Nate Smith,1,7.0
122,T109,T109,Camilo Villegas,14,7.0
123,T109,T109,Dean Wilson,1,7.0
124,T109,T109,Y.E. Yang,7,7.0
125,T126,T126,Keegan Bradley,17,6.9
126,T126,T126,Chad Campbell,13,6.9
127,T126,T126,Russ Cochran,1,6.9
128,T126,T126,Nicolas Colsaerts,6,6.9
129,T126,T126,Ernie Els,10,6.9
130,T126,T126,Rickie Fowler,13,6.9
131,T126,T126,Stephen Gallacher,2,6.9
132,T126,T126,Sergio Garcia,11,6.9
133,T126,T126,Lucas Glover,9,6.9
134,T126,T126,Paul Haley II,3,6.9
135,T126,T126,J.J. Henry,15,6.9
136,T126,T126,Ryo Ishikawa,9,6.9
137,T126,T126,Freddie Jacobson,10,6.9
138,T126,T126,Skip Kendall,1,6.9
139,T126,T126,D.H. Lee,10,6.9
