,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Henrik Stenson,18,10000000
1,2,2,Tiger Woods,16,3000000
2,3,3,Steve Stricker,13,2000000
3,4,4,Adam Scott,16,1500000
4,5,5,Zach Johnson,24,1000000
5,6,6,Matt Kuchar,23,800000
6,7,7,Jordan Spieth,23,700000
7,8,8,Graham DeLaet,26,600000
8,9,9,Phil Mickelson,21,550000
9,10,10,Justin Rose,17,500000
10,11,11,Webb Simpson,25,300000
11,12,12,Brandt Snedeker,23,290000
12,13,13,Dustin Johnson,22,280000
13,14,14,Jim Furyk,22,270000
14,15,15,Nick Watney,26,250000
15,16,16,Billy Horschel,26,245000
16,17,17,Jason Day,21,240000
17,18,18,Keegan Bradley,25,235000
18,19,19,Jason Dufner,22,230000
19,20,20,Hunter Mahan,25,225000
20,21,21,Roberto Castro,29,220000
21,22,22,Sergio Garcia,17,215000
22,23,23,Gary Woodland,26,210000
23,24,24,Bill Haas,25,205000
24,25,25,Kevin Streelman,25,200000
25,26,26,Brendon de Jonge,30,195000
26,27,27,Charl Schwartzel,19,190000
27,28,28,Luke Donald,17,185000
28,29,29,Boo Weekley,27,180000
29,30,30,D.A. Points,28,175000
30,31,31,Harris English,26,165000
31,32,32,Matt Jones,24,155000
32,33,33,Kevin Stadler,25,150000
33,34,34,Chris Kirk,24,145000
34,35,35,Charles Howell III,26,142000
35,36,36,Jimmy Walker,24,140000
36,37,37,Bubba Watson,21,138000
37,38,38,Rickie Fowler,22,137000
38,39,39,John Merrick,23,136000
39,40,40,Daniel Summerhays,26,135000
40,41,41,Lee Westwood,19,134000
41,42,42,John Huh,28,133000
42,43,43,Chris Stroud,26,132000
43,44,44,Russell Henley,24,131000
44,45,45,Kevin Chappell,24,130000
45,46,46,Rory Sabbatini,27,129000
46,47,47,Brian Davis,28,128000
47,48,48,David Lynn,22,127000
48,49,49,Scott Piercy,24,126000
49,50,50,Rory McIlroy,16,125000
50,51,51,Ryan Moore,22,120000
51,52,52,Jonas Blixt,24,115000
52,53,53,Ian Poulter,16,114000
53,54,54,Patrick Reed,26,113000
54,55,55,Graeme McDowell,16,110000
55,56,56,David Hearn,26,110000
56,57,57,Brian Gay,24,110000
57,58,58,Matt Every,28,110000
58,59,59,Marc Leishman,23,110000
59,60,60,Nicholas Thompson,29,110000
60,61,61,Charley Hoffman,23,110000
61,62,62,Jason Kokrak,25,110000
62,63,63,Scott Stallings,27,110000
63,64,64,Bryce Molder,24,110000
64,65,65,Ángel Cabrera,21,110000
65,66,66,Michael Thompson,22,110000
66,67,67,Ken Duke,28,110000
67,68,68,Ernie Els,19,110000
68,69,69,Sangmoon Bae,26,110000
69,70,70,Brendan Steele,26,110000
70,71,71,Ryan Palmer,22,80000
71,72,72,Freddie Jacobson,19,80000
72,73,73,K.J. Choi,24,80000
73,74,74,Martin Laird,21,80000
74,75,75,David Lingmerth,23,80000
75,76,76,Stewart Cink,22,80000
76,77,77,Kyle Stanley,24,80000
77,78,78,Josh Teater,24,80000
78,79,79,Cameron Tringale,24,80000
79,80,80,Tim Clark,20,80000
80,81,81,John Rollins,24,75000
81,82,82,Camilo Villegas,23,75000
82,83,83,Bob Estes,18,75000
83,84,84,Martin Kaymer,17,75000
84,85,85,Jerry Kelly,22,75000
85,86,86,Justin Leonard,24,75000
86,87,87,Martin Flores,25,75000
87,88,88,Scott Brown,21,75000
88,89,89,Bo Van Pelt,22,75000
89,90,90,Luke Guthrie,27,75000
90,91,91,Robert Garrigus,22,75000
91,92,92,Brian Stuard,25,75000
92,93,93,Derek Ernst,21,75000
93,94,94,Brian Harman,29,75000
94,95,95,Stuart Appleby,25,75000
95,96,96,Richard Lee,24,75000
96,97,97,Greg Chalmers,25,75000
97,98,98,Pat Perez,22,75000
98,99,99,Erik Compton,24,75000
99,100,100,William McGirt,24,75000
100,101,101,Aaron Baddeley,24,70000
101,102,102,George McNeill,21,70000
102,103,103,James Driscoll,23,70000
103,104,104,Geoff Ogilvy,19,70000
104,105,105,"Ted Potter, Jr.",22,70000
105,106,106,J.J. Henry,26,70000
106,107,107,Carl Pettersson,24,70000
107,108,108,Jeff Overton,24,70000
108,109,109,John Senden,25,70000
109,110,110,James Hahn,26,70000
110,111,111,Mark Wilson,19,70000
111,112,112,Charlie Beljan,24,70000
112,113,113,Jason Bohn,23,70000
113,114,114,Lucas Glover,23,70000
114,115,115,Jeff Maggert,21,70000
115,116,116,Justin Hicks,25,70000
116,117,117,Morgan Hoffmann,20,70000
117,118,118,Chez Reavie,22,70000
118,119,119,D.H. Lee,22,70000
119,120,120,Andres Romero,21,70000
120,121,121,Johnson Wagner,24,70000
121,122,122,Scott Langley,27,70000
122,123,123,Charlie Wi,23,70000
123,124,124,Steven Bowditch,22,70000
124,125,125,Ben Crane,21,70000
125,126,126,Robert Streb,25,32000
126,127,127,Peter Hanson,15,32000
127,128,128,Nicolas Colsaerts,17,32000
128,129,129,Brad Fritsch,24,32000
129,130,130,Padraig Harrington,17,32000
130,131,131,Bud Cauley,24,32000
131,132,132,Ricky Barnes,26,32000
132,133,133,Fabián Gómez,23,32000
133,134,134,Greg Owen,24,32000
134,135,135,Shawn Stefani,21,32000
135,136,136,Chad Campbell,25,32000
136,137,137,Woody Austin,8,32000
137,138,138,David Toms,16,32000
138,139,139,Jim Herman,19,32000
139,140,140,Tommy Gainey,28,32000
140,141,141,Ryo Ishikawa,23,32000
141,142,142,Tag Ridings,24,32000
142,143,143,Trevor Immelman,24,32000
143,144,144,Dicky Pride,23,32000
144,145,145,Brendon Todd,10,32000
145,146,146,Vijay Singh,19,32000
146,147,147,Doug LaBelle II,23,32000
147,148,148,Ben Kohles,25,32000
148,149,149,Brandt Jobe,19,32000
149,150,150,Justin Bolli,23,32000
