,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Henrik Stenson,6,4184727
1,2,2,Zach Johnson,6,2478617
2,3,3,Tiger Woods,6,2394320
3,4,4,Jason Dufner,6,2257600
4,5,5,Steve Stricker,5,2133786
5,6,6,Adam Scott,6,2092764
6,7,7,Jim Furyk,6,2049600
7,8,8,Jordan Spieth,6,1821000
8,9,9,Gary Woodland,6,1361320
9,10,10,Nick Watney,7,1341700
10,11,11,Keegan Bradley,6,1285867
11,12,12,Graham DeLaet,5,1257600
12,13,13,Justin Rose,6,1113838
13,14,14,Patrick Reed,4,987520
14,15,15,Jason Day,6,956892
15,16,16,Webb Simpson,7,880314
16,17,17,Sergio Garcia,7,793317
17,18,18,Roberto Castro,6,771019
18,19,19,Matt Kuchar,6,758900
19,20,20,Hunter Mahan,5,696467
20,21,21,Luke Donald,6,679950
21,22,22,Dustin Johnson,6,664620
22,23,23,Phil Mickelson,6,634983
23,24,24,Brendon de Jonge,6,615068
24,25,25,Rory Sabbatini,5,604548
25,26,26,Charl Schwartzel,6,578067
26,27,27,Bill Haas,7,573267
27,28,28,Scott Piercy,5,545457
28,29,29,John Huh,5,537000
29,30,30,Matt Jones,5,497650
30,31,31,D.A. Points,6,493350
31,32,32,Brandt Snedeker,7,488177
32,33,33,Jonas Blixt,5,485781
33,34,34,Kevin Streelman,6,482402
34,35,35,Matt Every,5,451370
35,36,36,Billy Horschel,6,441660
36,37,37,Boo Weekley,7,425726
37,38,38,Rickie Fowler,5,415133
38,39,39,Rory McIlroy,5,411857
39,40,40,Kevin Stadler,6,399207
40,41,41,David Toms,3,387650
41,42,42,Brian Harman,4,379400
42,43,43,Brendan Steele,5,378040
43,44,44,Miguel Angel Jiménez,2,370167
44,45,45,Ian Poulter,5,337564
45,46,46,Ryan Moore,5,334600
46,47,47,Bubba Watson,5,318020
47,48,48,Marc Leishman,4,305426
48,49,49,David Lynn,6,300675
49,50,50,Brian Davis,4,290267
50,51,51,Martin Kaymer,5,282045
51,52,52,Hideki Matsuyama,3,269733
52,T53,T53,Jonathan Byrd,2,264000
53,T53,T53,Andres Romero,3,264000
54,55,55,Daniel Summerhays,4,263200
55,56,56,John Merrick,5,249773
56,57,57,Jason Kokrak,5,248304
57,58,58,Kevin Chappell,5,236202
58,59,59,Graeme McDowell,5,233112
59,60,60,Ernie Els,6,229670
60,61,61,Lee Westwood,5,228301
61,62,62,Chris Kirk,5,219418
62,63,63,Chris Wood,2,205000
63,64,64,Jimmy Walker,5,194320
64,65,65,Bryce Molder,5,194314
65,66,66,Bob Estes,3,192207
66,67,67,Harris English,5,191777
67,68,68,Michael Thompson,5,191384
68,69,69,Robert Garrigus,4,175350
69,70,70,Andres Gonzales,2,153700
70,71,71,Richard Sterne,2,145750
71,72,72,Brian Gay,5,139180
72,73,73,Marc Warren,1,132786
73,74,74,Nicholas Thompson,4,131532
74,75,75,David Hearn,4,127395
75,76,76,David Mathis,2,124918
76,77,77,Chris Stroud,5,124313
77,78,78,Russell Henley,5,123420
78,79,79,Jim Herman,2,122960
79,80,80,Kiradech Aphibarnrat,2,120250
80,81,81,Dicky Pride,2,114000
81,82,82,Charley Hoffman,4,113570
82,83,83,Paul Casey,3,112071
83,84,84,Stuart Appleby,4,110075
84,85,85,Peter Hanson,3,106571
85,86,86,Ángel Cabrera,5,104404
86,87,87,Martin Flores,3,100470
87,88,88,Bo Van Pelt,4,99264
88,89,89,Chris DiMarco,2,99177
89,90,90,Brendon Todd,2,98810
90,91,91,Seung-Yul Noh,2,96750
91,92,92,Camilo Villegas,4,96288
92,93,93,Francesco Molinari,2,96071
93,94,94,Charles Howell III,5,95098
94,95,95,Jamie Donaldson,2,93000
95,96,96,Ryo Ishikawa,3,89310
96,97,97,K.J. Choi,4,86175
97,98,98,Charlie Wi,3,83448
98,99,99,Henrik Norlander,2,82150
99,T100,T100,Thorbjørn Olesen,2,81000
100,T100,T100,Johnson Wagner,3,81000
101,102,102,Sangmoon Bae,6,79452
102,103,103,Will Claxton,2,78764
103,104,104,Ken Duke,5,75820
104,105,105,Paul Lawrie,2,73500
105,106,106,Richard Lee,4,73440
106,107,107,Stephen Gallacher,2,73200
107,108,108,Scott Stallings,4,71580
108,109,109,Tommy Gainey,3,70677
109,110,110,Stewart Cink,4,69490
110,111,111,Shane Lowry,2,69300
111,112,112,Martin Laird,4,68520
112,113,113,Gonzalo Fernandez-Castaño,2,64500
113,114,114,John Senden,3,64334
114,115,115,Ricky Barnes,2,63897
115,116,116,Matteo Manassero,2,63625
116,117,117,Greg Chalmers,4,60677
117,118,118,Carl Pettersson,4,60320
118,119,119,Josh Teater,5,58235
119,120,120,Brandt Jobe,2,58000
120,T121,T121,Charlie Beljan,3,57417
121,T121,T121,Jin Park,2,57417
122,123,123,Tim Clark,4,55960
123,124,124,Scott Langley,3,53320
124,125,125,Richie Ramsay,2,53000
125,126,126,Jeff Overton,2,48824
126,T127,T127,Rafa Cabrera Bello,1,48500
127,T127,T127,Scott Jamieson,1,48500
128,T129,T129,Nicolas Colsaerts,2,47250
129,T129,T129,Derek Ernst,5,47250
130,131,131,Russell Knox,1,46500
131,132,132,Brett Rumford,2,44250
132,133,133,J.J. Henry,4,42855
133,T134,T134,Branden Grace,2,42800
134,T134,T134,Mikko Ilonen,2,42800
135,T134,T134,Satoshi Kodaira,1,42800
136,137,137,Toru Taniguchi,1,41750
137,138,138,Jaco Van Zyl,2,41500
138,139,139,Daniel Popovic,1,41250
139,140,140,Geoff Ogilvy,3,39060
140,141,141,Freddie Jacobson,3,36800
141,142,142,George McNeill,2,36408
142,T143,T143,Brad Fritsch,2,36200
143,T143,T143,John Rollins,4,36200
144,145,145,Justin Leonard,3,35682
145,146,146,Ryan Palmer,3,35435
146,147,147,Cameron Tringale,3,34000
147,148,148,Trevor Immelman,2,33960
148,149,149,Jerry Kelly,3,32953
149,150,150,Robert Karlsson,2,32350
150,T151,T151,Steven Bowditch,3,32264
151,T151,T151,Paul Haley II,2,32264
152,T151,T151,Alistair Presnell,2,32264
153,154,154,Robert Streb,2,31000
154,155,155,Brian Stuard,4,30720
155,156,156,Colt Knost,2,29364
156,T157,T157,Woody Austin,3,28800
157,T157,T157,James Hahn,3,28800
158,T157,T157,Mark Wilson,3,28800
159,160,160,Danny Willett,1,28000
160,T161,T161,Aaron Baddeley,3,24960
161,T161,T161,Erik Compton,3,24960
162,163,163,Tom Gillis,2,23148
163,164,164,Andrew Svoboda,2,22260
164,T165,T165,Michael Bradley,2,21750
165,T165,T165,Glen Day,1,21750
166,T165,T165,Justin Hicks,3,21750
167,T165,T165,Rod Pampling,2,21750
168,T165,T165,Peter Tomasulo,1,21750
169,170,170,Steve LeBrun,2,19658
170,171,171,Kyle Stanley,3,19480
171,T172,T172,Marcus Fraser,2,18875
172,T172,T172,Luke Guthrie,3,18875
173,T172,T172,Thongchai Jaidee,1,18875
174,175,175,Scott Brown,3,17120
175,T176,T176,Justin Bolli,2,16980
176,T176,T176,Ben Kohles,2,16980
177,T176,T176,Davis Love III,3,16980
178,T176,T176,"Ted Potter, Jr.",3,16980
