,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Hideki Matsuyama,7,336
1,2,2,Gonzalo Fernandez-Castaño,12,276
2,3,3,Thorbjørn Olesen,11,223
3,4,4,Peter Tomasulo,10,186
4,5,5,Marcel Siem,9,168
5,6,6,Francesco Molinari,9,155
6,7,7,John Peterson,6,128
7,8,8,Jeff Klauk,8,115
8,9,9,Paul Lawrie,7,107
9,10,10,Miguel Angel Jiménez,3,107
10,11,11,Shane Lowry,9,99
11,12,12,George Coetzee,11,97
12,13,13,Patrick Cantlay,7,96
13,14,14,Richard Sterne,7,90
14,15,15,Rafa Cabrera Bello,5,89
15,16,16,Danny Willett,2,84
16,17,17,Jamie Donaldson,10,80
17,18,18,Branden Grace,12,79
18,19,19,Kyle Reifers,4,76
19,20,20,Ken Looper,2,65
20,21,21,Marc Warren,2,62
21,T22,T22,Shane Bertsch,1,59
22,T22,T22,Danny Lee,1,59
23,24,24,Peter Uihlein,4,58
24,T25,T25,Eduardo De La Riva,1,56
25,T25,T25,Stephen Gallacher,5,56
26,27,27,Franklin Corpening,1,56
27,28,28,Thongchai Jaidee,4,54
28,29,29,Blayne Barber,3,52
29,30,30,Darren Clarke,3,49
30,T31,T31,Mathew Goggin,1,47
31,T31,T31,Kelly Kraft,2,47
32,T31,T31,Steve Wheatcroft,1,47
33,34,34,Kiradech Aphibarnrat,3,45
34,35,35,Chris Williams,5,44
35,36,36,Steven Tiley,1,43
36,T37,T37,Morten Orum Madsen,1,42
37,T37,T37,John Parry,1,42
38,39,39,Matteo Manassero,9,41
39,40,40,Scott Jamieson,3,41
40,41,41,Todd Baek,1,38
41,42,42,Marcus Fraser,6,36
42,43,43,Edward Loar,2,35
43,44,44,Oliver Fisher,1,34
44,45,45,Jonathan Randolph,1,31
45,46,46,Hunter Haas,5,28
46,47,47,Jeremiah Wooding,1,28
47,48,48,Thomas Bjørn,4,25
48,49,49,Jon Curran,3,25
49,T50,T50,Ryan Blaum,3,23
50,T50,T50,Scott Harrington,1,23
51,T52,T52,Steven Alker,2,23
52,T52,T52,Mark Brown,1,23
53,T52,T52,Shingo Katayama,1,23
54,T52,T52,Bio Kim,1,23
55,56,56,John Kimbell,1,21
56,57,57,Nate Smith,1,18
57,58,58,Sam Saunders,1,17
58,T59,T59,Mark Anderson,1,16
59,T59,T59,Hideto Tanihara,1,16
60,61,61,Roger Sloan,1,15
61,62,62,Thomas Aiken,2,12
62,63,63,Richie Ramsay,4,11
63,64,64,Matt Weibring,1,9
64,65,65,Sebastián Vázquez,1,8
65,T66,T66,Peter Hedblom,1,6
66,T66,T66,David Howell,1,6
67,T68,T68,Grégory Bourdy,1,4
68,T68,T68,Bernd Wiesberger,2,4
69,T68,T68,Chris Wood,5,4
70,71,71,Kevin Kisner,1,4
71,72,72,Zack Fischer,4,3
72,73,73,David Branshaw,1,2
73,74,74,Brooks Koepka,2,1
74,75,75,Gareth Wright,1,1
75,76,76,Simon Khan,1,1
76,77,77,Andrew Johnson,1,1
77,T78,T78,Shiv Kapur,1,1
78,T78,T78,K.T. Kim,1,1
79,T80,T80,Rafael Campos,1,1
80,T80,T80,Rod Perry,3,1
81,82,82,Michael Block,1,1
82,T83,T83,Mikko Ilonen,3,1
83,T83,T83,Peter Senior,1,1
84,85,85,Brad Adamonis,2,1
