,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,John Daly,71,301.4,41590,138
1,2,2,Tiger Woods,82,298.0,42917,144
2,T3,T3,Davis Love III,98,288.7,50808,176
3,T3,T3,Phil Mickelson,85,288.7,43888,152
4,5,5,Scott McCarron,100,288.5,56543,196
5,6,6,Casey Martin,90,288.3,50745,176
6,7,7,Harrison Frazar,72,287.3,40220,140
7,8,8,Stuart Appleby,86,286.4,44105,154
8,9,9,Mathew Goggin,91,286.3,50955,178
9,10,10,Robert Allenby,98,285.8,51437,180
10,11,11,Rory Sabbatini,85,285.5,47110,165
11,12,12,Tim Herron,96,285.0,52439,184
12,13,13,Fred Couples,71,284.7,37577,132
13,14,14,Carl Paulson,105,284.6,58629,206
14,T15,T15,Kelly Gibson,84,284.3,46625,164
15,T15,T15,Dennis Paulson,82,284.3,43779,154
16,17,17,Barry Cheesman,96,284.1,52835,186
17,18,18,David Duval,73,283.5,35437,125
18,T19,T19,Paul Stankowski,77,283.4,41377,146
19,T19,T19,Duffy Waldorf,80,283.4,42512,150
20,21,21,Kenny Perry,76,282.8,42992,152
21,22,22,Michael Clark II,84,282.1,45134,160
22,23,23,Brandt Jobe,91,281.7,49581,176
23,24,24,Craig Barlow,98,281.3,54013,192
24,25,25,Aaron Bengoechea,75,281.2,40777,145
25,26,26,Shigeki Maruyama,88,281.1,45534,162
26,27,27,Bill Glasson,93,280.8,52220,186
27,28,28,Tommy Armour III,91,280.3,49898,178
28,29,29,Cameron Beckman,81,280.1,45369,162
29,30,30,Vijay Singh,97,279.9,48989,175
30,31,31,Mark Calcavecchia,99,279.7,48952,175
31,32,32,Steve Flesch,123,279.2,65329,234
32,33,33,Grant Waite,85,279.0,47436,170
33,T34,T34,Robert Damron,93,278.9,50757,182
34,T34,T34,J.L. Lewis,104,278.9,56892,204
35,T34,T34,Tom Purtzer,58,278.9,31239,112
36,37,37,Doug Dunakey,83,278.7,44593,160
37,38,38,Ernie Els,74,278.4,35631,128
38,T39,T39,Sergio Garcia,59,278.3,26720,96
39,T39,T39,Andrew Magee,78,278.3,40630,146
40,41,41,Steve Jones,75,278.2,37278,134
41,42,42,Greg Chalmers,96,278.1,51167,184
42,43,43,David Peoples,99,278.0,55042,198
43,44,44,Bob Heintz,87,277.9,47240,170
44,T45,T45,Rich Beem,84,277.8,45010,162
45,T45,T45,Stewart Cink,98,277.8,50568,182
46,47,47,Charles Raulerson,98,277.7,54428,196
47,T48,T48,Bob Burns,91,277.6,49418,178
48,T48,T48,Chris DiMarco,118,277.6,62177,224
49,T50,T50,Paul Azinger,73,277.5,37743,136
50,T50,T50,John Rollins,72,277.5,39957,144
51,T52,T52,Steve Lowery,107,277.1,57635,208
52,T52,T52,Shaun Micheel,94,277.1,50431,182
53,54,54,Joe Ogilvie,95,277.0,50412,182
54,55,55,Steve Stricker,63,276.8,32665,118
55,56,56,Brad Elder,110,276.6,60846,220
56,T57,T57,Bob May,95,276.4,48101,174
57,T57,T57,Brett Quigley,63,276.4,34829,126
58,T57,T57,Craig Stadler,70,276.4,36486,132
59,T57,T57,Ted Tryba,112,276.4,60253,218
60,61,61,Edward Fryatt,101,276.2,53585,194
61,62,62,Jean Van de Velde,70,276.0,34773,126
62,T63,T63,Peter Jacobsen,65,275.8,35858,130
