,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Fred Funk,110,79.75,1189,1491
1,2,2,Joe Durant,94,79.57,1040,1307
2,3,3,Scott Verplank,106,78.76,1146,1455
3,4,4,Loren Roberts,87,78.75,904,1148
4,5,5,Larry Mize,71,77.96,750,962
5,6,6,Olin Browne,103,77.28,1068,1382
6,7,7,Scott Gump,108,77.24,1130,1463
7,8,8,Glen Hnatiuk,94,76.67,963,1256
8,9,9,Pete Jordan,102,76.43,1086,1421
9,10,10,Nick Faldo,51,76.36,478,626
10,11,11,Tom Byrum,91,76.33,948,1242
11,12,12,Craig Parry,73,75.61,685,906
12,13,13,John Maginnes,99,75.33,1038,1378
13,14,14,Jim Furyk,98,75.18,960,1277
14,15,15,Mike Reid,76,75.15,756,1006
15,16,16,Jeff Maggert,86,75.07,819,1091
16,17,17,Brian Gay,101,74.95,1032,1377
17,18,18,Bart Bryant,73,74.83,761,1017
18,19,19,Jerry Smith,104,74.36,1047,1408
19,T20,T20,Blaine McCallister,104,74.26,1076,1449
20,T20,T20,Rocco Mediate,79,74.26,750,1010
21,22,22,Billy Mayfair,93,74.25,911,1227
22,23,23,Frank Lickliter II,107,74.11,1082,1460
23,24,24,Chris Perry,109,73.92,1060,1434
24,25,25,Esteban Toledo,113,73.74,1140,1546
25,26,26,Sergio Garcia,59,73.62,494,671
26,27,27,Fulton Allem,77,73.56,768,1044
27,28,28,P.H. Horgan III,65,73.48,665,905
28,29,29,John Cook,90,73.41,900,1226
29,30,30,Hal Sutton,93,73.36,895,1220
30,31,31,Scott Dunlap,106,73.26,1063,1451
31,32,32,Bob Friend,96,73.03,934,1279
32,33,33,Paul Goydos,99,72.9,987,1354
33,34,34,Corey Pavin,74,72.6,726,1000
34,35,35,Kirk Triplett,101,72.46,942,1300
35,36,36,Craig Bowden,54,72.38,545,753
36,37,37,Nick Price,63,72.26,607,840
37,38,38,Glen Day,93,72.2,930,1288
38,39,39,Steve Lowery,107,72.09,1046,1451
39,40,40,David Duval,73,72.06,637,884
40,41,41,Frank Nobilo,98,72.02,955,1326
41,42,42,Joel Edwards,99,71.85,993,1382
42,43,43,Jay Williamson,105,71.83,1020,1420
43,44,44,Robert Gamez,76,71.77,760,1059
44,T45,T45,Mike Brisky,89,71.61,855,1194
45,T45,T45,Justin Leonard,98,71.61,888,1240
46,T47,T47,Scott Hoch,108,71.57,1037,1449
47,T47,T47,Skip Kendall,114,71.57,1115,1558
48,49,49,Mark Brooks,91,71.48,857,1199
49,50,50,Jonathan Kaye,115,71.46,1119,1566
50,51,51,Ernie Els,74,71.44,643,900
51,52,52,Tom Lehman,71,71.4,649,909
52,53,53,Mark Wiebe,95,71.28,911,1278
53,54,54,Tiger Woods,82,71.22,720,1011
54,55,55,Mark Calcavecchia,99,71.09,873,1228
55,56,56,David Toms,113,71.05,1043,1468
56,57,57,Keith Nolan,57,71.0,563,793
57,58,58,Brent Geiberger,79,70.94,747,1053
58,59,59,Jay Don Blake,95,70.92,922,1300
59,60,60,Harrison Frazar,72,70.9,692,976
60,61,61,Dudley Hart,74,70.88,701,989
61,62,62,Paul Curry,64,70.72,628,888
62,63,63,Jimmy Green,85,70.66,819,1159
63,64,64,Lee Janzen,92,70.59,876,1241
64,65,65,Robert Allenby,98,70.45,887,1259
65,66,66,Jesper Parnevik,71,70.41,633,899
66,67,67,Steve Hart,72,70.36,686,975
67,68,68,Steve Pate,97,70.29,861,1225
68,69,69,Brandel Chamblee,72,70.26,685,975
69,70,70,Len Mattiace,107,70.13,1047,1493
70,71,71,Steve Elkington,59,70.09,532,759
71,72,72,Omar Uresti,94,70.08,916,1307
72,73,73,Peter Jacobsen,65,70.07,632,902
73,74,74,Bob Estes,68,70.06,578,825
74,75,75,Greg Kraft,106,70.01,1032,1474
75,76,76,Notah Begay III,82,69.97,727,1039
76,77,77,Woody Austin,104,69.87,981,1404
77,78,78,Carl Paulson,105,69.83,1002,1435
78,79,79,Brad Faxon,98,69.77,937,1343
79,80,80,Bradley Hughes,93,69.75,876,1256
80,81,81,Joe Ozaki,55,69.71,497,713
81,82,82,Jay Haas,80,69.66,744,1068
82,83,83,Brian Henninger,93,69.63,869,1248
83,84,84,Mike Weir,102,69.61,898,1290
84,85,85,Sean Murphy,102,69.56,969,1393
85,86,86,Edward Fryatt,101,69.54,943,1356
86,87,87,David Sutherland,109,69.46,1010,1454
87,88,88,Bill Glasson,93,69.42,899,1295
88,89,89,K.J. Choi,92,69.41,860,1239
89,90,90,Brad Elder,110,69.26,1061,1532
90,91,91,David Peoples,99,69.25,955,1379
91,92,92,Greg Chalmers,96,69.23,891,1287
92,93,93,Stephen Ames,99,69.21,917,1325
93,94,94,Steve Flesch,123,69.19,1132,1636
94,95,95,Franklin Langham,95,69.01,875,1268
95,96,96,Kenny Perry,76,68.88,726,1054
96,97,97,Jeff Sluman,113,68.85,1030,1496
97,98,98,Jerry Kelly,111,68.78,1062,1544
98,99,99,Chris Riley,98,68.68,899,1309
99,100,100,Michael Clark II,84,68.67,767,1117
100,101,101,Brad Fabel,88,68.58,838,1222
101,102,102,Jeff Gove,86,68.5,783,1143
102,103,103,Grant Waite,85,68.42,808,1181
103,104,104,John Huston,81,68.35,743,1087
104,105,105,Bob May,95,68.34,829,1213
105,106,106,Chris DiMarco,118,68.25,1066,1562
106,107,107,Gabriel Hjertstedt,86,68.24,793,1162
107,108,108,Tom Scherrer,104,68.23,943,1382
108,109,109,Dicky Pride,98,68.04,892,1311
109,110,110,Robert Damron,93,68.01,861,1266
110,111,111,Jason Buha,82,67.98,777,1143
111,112,112,Vijay Singh,97,67.94,839,1235
112,113,113,Rich Beem,84,67.81,769,1134
113,114,114,Mathew Goggin,91,67.61,837,1238
114,115,115,Dan Forsman,88,67.54,826,1223
115,116,116,Tommy Armour III,91,67.53,836,1238
116,117,117,J.P. Hayes,91,67.5,837,1240
117,118,118,Brian Watts,89,67.38,824,1223
118,119,119,Jim Carter,96,67.21,863,1284
119,120,120,Kevin Sutherland,98,67.2,883,1314
120,121,121,"Dave Stockton, Jr.",89,67.19,813,1210
121,122,122,Doug Barron,85,67.11,765,1140
122,123,123,Tom Purtzer,58,67.05,523,780
123,124,124,Tom Pernice Jr.,98,66.99,899,1342
124,125,125,Bob Burns,91,66.91,829,1239
125,126,126,Shaun Micheel,94,66.88,848,1268
126,127,127,Phil Mickelson,85,66.85,710,1062
127,128,128,Ben Bates,107,66.8,966,1446
128,129,129,Joe Ogilvie,95,66.77,846,1267
129,130,130,Steve Jones,75,66.74,624,935
130,131,131,Steve Gotsche,91,66.64,827,1241
131,132,132,David Morland IV,88,66.58,797,1197
132,133,133,Joey Sindelar,88,66.5,776,1167
133,134,134,Nolan Henke,79,66.49,732,1101
134,135,135,Jim McGovern,55,66.17,489,739
135,136,136,Davis Love III,98,66.1,813,1230
136,137,137,Ronnie Black,82,65.85,725,1101
137,138,138,Matt Gogel,86,65.84,769,1168
138,139,139,Ted Tryba,112,65.79,1004,1526
139,140,140,Kelly Gibson,84,65.5,746,1139
140,141,141,Craig Barlow,98,65.47,876,1338
141,142,142,Ryan Howison,83,65.42,736,1125
142,143,143,Neal Lancaster,99,65.36,864,1322
143,144,144,Bob Tway,91,65.21,791,1213
144,145,145,Andrew Magee,78,65.19,661,1014
145,146,146,David Frost,65,65.01,537,826
146,147,147,Robin Freeman,98,64.96,886,1364
147,148,148,Paul Azinger,73,64.88,617,951
148,149,149,Doug Dunakey,83,64.84,723,1115
149,150,150,Paul Stankowski,77,64.61,659,1020
150,151,151,Charles Raulerson,98,64.47,880,1365
151,152,152,Casey Martin,90,64.46,789,1224
152,153,153,Tim Herron,96,64.34,828,1287
153,154,154,Jay Delsing,97,64.3,832,1294
154,155,155,Craig Perks,82,64.27,732,1139
155,156,156,Russ Cochran,71,64.16,632,985
156,157,157,Shigeki Maruyama,88,63.93,725,1134
157,158,158,Jean Van de Velde,70,63.9,563,881
158,159,159,Duffy Waldorf,80,63.85,673,1054
159,160,160,Cameron Beckman,81,63.68,717,1126
160,161,161,J.L. Lewis,104,63.6,907,1426
161,162,162,Emlyn Aubrey,68,63.49,567,893
162,163,163,Gary Nicklaus,84,63.46,726,1144
163,164,164,Stewart Cink,98,63.44,807,1272
164,165,165,Mike Sposa,73,63.05,640,1015
165,166,166,Stuart Appleby,86,63.03,682,1082
166,167,167,Perry Moss,53,62.82,463,737
167,168,168,Brandt Jobe,91,62.81,770,1226
168,169,169,Bobby Cochran,78,62.8,665,1059
169,170,170,Jason Caron,77,62.68,655,1045
170,171,171,Chip Beck,51,62.48,428,685
171,172,172,Billy Andrade,89,62.29,745,1196
172,173,173,John Rollins,72,62.24,623,1001
173,174,174,Craig Stadler,70,61.87,568,918
174,175,175,Brett Quigley,63,61.8,542,877
175,176,176,Craig Spence,89,61.49,728,1184
176,177,177,Eric Booker,87,61.43,728,1185
177,178,178,Rory Sabbatini,85,61.03,708,1160
178,179,179,Dennis Paulson,82,60.89,654,1074
179,180,180,Scott McCarron,100,60.83,831,1366
180,181,181,Aaron Bengoechea,75,60.77,618,1017
181,182,182,Mike Springer,83,60.69,684,1127
182,183,183,Fred Couples,71,60.46,555,918
183,184,184,Mark O'Meara,61,59.89,427,713
184,185,185,Rick Fehr,73,59.66,590,989
185,186,186,Barry Cheesman,96,59.61,772,1295
186,187,187,Carlos Franco,85,59.41,682,1148
187,188,188,Trevor Dodds,86,58.62,687,1172
188,189,189,Michael Bradley,73,57.83,587,1015
189,190,190,John Daly,71,57.51,555,965
190,191,191,Steve Stricker,63,57.13,469,821
191,192,192,Bob Heintz,87,57.01,675,1184
192,193,193,Kevin Wentworth,83,55.13,613,1112
193,194,194,Mike Hulbert,82,54.68,608,1112
194,195,195,Tommy Tolles,60,52.76,440,834
