,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Tiger Woods,20,56,2,54
1,2,2,David Duval,19,58,18,40
2,3,3,Sergio Garcia,16,65,39,26
3,4,4,Harrison Frazar,24,67,7,60
4,5,5,Robert Allenby,26,75,10,65
5,6,6,Mark Calcavecchia,28,86,31,55
6,7,7,Ernie Els,20,89,38,51
7,8,8,Steve Lowery,30,91,52,39
8,9,9,Carl Paulson,33,92,14,78
9,10,10,Hal Sutton,25,97,67,30
10,11,11,Chris Perry,31,99,75,24
11,12,12,Jay Williamson,32,106,63,43
12,13,13,Rocco Mediate,24,108,88,20
13,14,14,Scott Dunlap,30,109,78,31
14,15,15,Joel Edwards,29,110,68,42
15,16,16,Bill Glasson,27,115,27,88
16,17,17,Kenny Perry,20,117,21,96
17,18,18,Joe Durant,28,118,116,2
18,T19,T19,Jonathan Kaye,34,121,71,50
19,T19,T19,Jeff Maggert,27,121,105,16
20,21,21,Michael Clark II,28,122,22,100
21,22,22,Mathew Goggin,32,123,9,114
22,23,23,David Toms,31,124,68,56
23,24,24,Kirk Triplett,28,125,90,35
24,25,25,Steve Flesch,32,126,32,94
25,26,26,Phil Mickelson,23,130,3,127
26,T27,T27,Greg Chalmers,28,134,42,92
27,T27,T27,Craig Parry,22,134,122,12
28,T27,T27,David Peoples,28,134,43,91
29,T27,T27,Nick Price,18,134,97,37
30,T31,T31,Peter Jacobsen,22,136,63,73
31,T31,T31,Grant Waite,26,136,33,103
32,33,33,Davis Love III,25,139,3,136
33,34,34,Vijay Singh,26,142,30,112
34,T35,T35,Tommy Armour III,30,144,28,116
35,T35,T35,Robert Damron,28,144,34,110
36,T35,T35,Brent Geiberger,24,144,86,58
37,T38,T38,Brad Elder,34,146,56,90
38,T38,T38,Scott Verplank,28,146,143,3
39,T40,T40,Edward Fryatt,32,147,61,86
40,T40,T40,Lee Janzen,27,147,83,64
41,T42,T42,Jim Furyk,25,150,136,14
42,T42,T42,Justin Leonard,28,150,105,45
43,44,44,Steve Elkington,17,152,81,71
44,45,45,Chris DiMarco,33,154,48,106
45,T46,T46,Kelly Gibson,30,155,15,140
46,T46,T46,Tom Lehman,21,155,103,52
47,T48,T48,Nick Faldo,15,157,147,10
48,T48,T48,Tom Purtzer,21,157,34,123
49,T50,T50,Woody Austin,32,158,81,77
50,T50,T50,Rich Beem,29,158,45,113
