,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Tiger Woods,82,2,1,1
1,2,2,David Duval,73,11,2,9
2,3,3,Chris Perry,109,15,11,4
3,T4,T4,Joe Durant,94,20,18,2
4,T4,T4,Kenny Perry,76,20,17,3
5,6,6,Hal Sutton,93,25,10,15
6,T7,T7,Scott Dunlap,106,33,14,19
7,T7,T7,Steve Flesch,123,33,25,8
8,9,9,David Toms,113,34,23,11
9,10,10,Mark Calcavecchia,99,37,6,31
10,T11,T11,Vijay Singh,97,40,34,6
11,T11,T11,Kirk Triplett,101,40,24,16
12,T13,T13,Joel Edwards,99,41,15,26
13,T13,T13,David Peoples,99,41,27,14
14,15,15,Mathew Goggin,91,43,22,21
15,16,16,Steve Lowery,107,51,8,43
16,17,17,Bill Glasson,93,52,16,36
17,18,18,Scott Verplank,106,55,38,17
18,19,19,Tom Lehman,71,56,46,10
19,20,20,Jeff Maggert,86,59,19,40
20,T21,T21,Greg Chalmers,96,61,27,34
21,T21,T21,Davis Love III,98,61,33,28
22,23,23,Grant Waite,85,63,31,32
23,24,24,Kelly Gibson,84,66,46,20
24,25,25,Rocco Mediate,79,67,13,54
25,T26,T26,Chris DiMarco,118,68,45,23
26,T26,T26,Bob May,95,68,55,13
27,T26,T26,Carl Paulson,105,68,9,59
28,29,29,Phil Mickelson,85,69,26,43
29,30,30,Nick Price,63,73,27,46
30,31,31,Robert Allenby,98,74,5,69
31,32,32,Steve Elkington,59,78,44,34
32,33,33,Blaine McCallister,104,79,54,25
33,34,34,Brandel Chamblee,72,83,62,21
34,35,35,John Cook,90,84,72,12
35,36,36,Fred Funk,110,86,58,28
36,37,37,Jim Furyk,98,87,42,45
37,38,38,Ernie Els,74,90,7,83
38,39,39,Dudley Hart,74,92,69,23
39,40,40,Justin Leonard,98,94,42,52
40,41,41,Duffy Waldorf,80,96,78,18
41,42,42,Tom Purtzer,58,98,48,50
42,T43,T43,Olin Browne,103,99,62,37
43,T43,T43,Harrison Frazar,72,99,4,95
44,45,45,Craig Parry,73,101,27,74
45,46,46,Glen Hnatiuk,94,102,95,7
46,47,47,Brent Geiberger,79,103,35,68
47,48,48,Robert Gamez,76,110,68,42
48,49,49,Scott Hoch,108,111,78,33
49,50,50,Lee Janzen,92,112,40,72
50,51,51,Fred Couples,71,114,109,5
51,52,52,Peter Jacobsen,65,116,31,85
52,T53,T53,Stephen Ames,99,118,69,49
53,T53,T53,Jonathan Kaye,115,118,19,99
54,T55,T55,Casey Martin,90,120,50,70
55,T55,T55,Jay Williamson,105,120,12,108
56,57,57,Brad Elder,110,125,38,87
57,T58,T58,Tommy Armour III,91,128,35,93
58,T58,T58,K.J. Choi,92,128,55,73
59,T60,T60,Paul Stankowski,77,129,66,63
60,T60,T60,David Sutherland,109,129,77,52
61,T62,T62,Tom Byrum,91,130,59,71
62,T62,T62,Billy Mayfair,93,130,74,56
63,64,64,Skip Kendall,114,133,72,61
64,65,65,Woody Austin,104,134,50,84
65,66,66,Tim Herron,96,137,60,77
66,67,67,Shaun Micheel,94,138,78,60
67,68,68,Craig Barlow,98,140,60,80
68,69,69,Frank Nobilo,98,144,65,79
69,T70,T70,Rich Beem,84,146,50,96
70,T70,T70,Frank Lickliter II,107,146,55,91
71,T72,T72,J.L. Lewis,104,147,106,41
72,T72,T72,Jesper Parnevik,71,147,53,94
73,T74,T74,Tom Scherrer,104,148,100,48
74,T74,T74,Mike Weir,102,148,109,39
75,76,76,Franklin Langham,95,151,90,61
76,77,77,Stewart Cink,98,152,125,27
77,78,78,Michael Clark II,84,153,21,132
78,T79,T79,Edward Fryatt,101,156,40,116
79,T79,T79,Jerry Kelly,111,156,78,78
80,81,81,Brandt Jobe,91,164,97,67
81,82,82,Kevin Sutherland,98,166,128,38
82,83,83,Cameron Beckman,81,168,92,76
83,84,84,Notah Begay III,82,170,66,104
84,T85,T85,Scott Gump,108,173,92,81
85,T85,T85,Bradley Hughes,93,173,109,64
86,87,87,John Huston,81,177,95,82
87,T88,T88,Glen Day,93,179,90,89
88,T88,T88,Sergio Garcia,59,179,3,176
89,T88,T88,Mike Reid,76,179,125,54
90,91,91,Len Mattiace,107,181,64,117
91,92,92,Stuart Appleby,86,182,76,106
92,93,93,Andrew Magee,78,183,85,98
93,94,94,Greg Kraft,106,188,141,47
94,95,95,Jason Buha,82,189,87,102
95,96,96,Robert Damron,93,190,35,155
96,97,97,Jeff Gove,86,192,100,92
97,98,98,Doug Dunakey,83,194,87,107
98,99,99,Bob Burns,91,196,74,122
99,100,100,Loren Roberts,87,197,109,88
100,101,101,Pete Jordan,102,198,97,101
101,102,102,Joey Sindelar,88,202,144,58
102,T103,T103,Jerry Smith,104,204,102,102
103,T103,T103,Bob Tway,91,204,174,30
104,105,105,Nick Faldo,51,205,48,157
105,106,106,Russ Cochran,71,206,140,66
106,T107,T107,Brian Henninger,93,215,118,97
107,T107,T107,Steve Pate,97,215,106,109
108,109,109,Larry Mize,71,216,78,138
109,T110,T110,Brian Gay,101,218,89,129
110,T110,T110,Joe Ogilvie,95,218,83,135
111,T112,T112,Jeff Sluman,113,219,168,51
112,T112,T112,Esteban Toledo,113,219,129,90
113,114,114,Bart Bryant,73,221,102,119
114,T115,T115,Fulton Allem,77,224,106,118
115,T115,T115,Shigeki Maruyama,88,224,83,141
116,T115,T115,Mark Wiebe,95,224,102,122
117,118,118,Paul Azinger,73,225,115,110
118,119,119,Doug Barron,85,233,169,64
119,T120,T120,Barry Cheesman,96,240,121,119
120,T120,T120,Dan Forsman,88,240,166,74
121,T120,T120,Perry Moss,53,240,183,57
122,123,123,Ben Bates,107,242,130,112
