,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
0,1,1,J.B. Holmes,57,50.98,52.0,102,-0.33
1,2,2,Gary Woodland,93,38.89,63.0,162,-0.40
2,3,3,Bubba Watson,85,37.31,50.0,134,-0.46
3,4,4,Robert Garrigus,83,37.01,57.0,154,-0.32
4,5,5,Dustin Johnson,72,33.9,40.0,118,-0.15
5,6,6,Jhonattan Vegas,84,29.49,46.0,156,-0.33
6,7,7,Steven Bowditch,86,28.05,46.0,164,-0.33
7,8,8,Scott Piercy,78,26.43,37.0,140,-0.46
8,9,9,Jason Day,76,23.77,29.0,122,-0.24
9,10,10,Kyle Stanley,98,23.26,40.0,172,-0.48
10,11,11,Ángel Cabrera,50,22.37,17.0,76,-0.35
11,12,12,Tag Ridings,87,21.6,35.0,162,-0.54
12,13,13,Adam Scott,60,21.43,21.0,98,-0.33
13,14,14,Will Strickler,51,21.28,20.0,94,-0.10
14,15,15,Scott Stallings,84,21.15,33.0,156,-0.30
15,16,16,Alex Prugh,82,19.87,31.0,156,-0.29
16,17,17,Jim Herman,69,19.67,24.0,122,-0.42
17,18,18,Josh Teater,104,19.39,38.0,196,-0.42
18,T19,T19,Keegan Bradley,91,18.39,32.0,174,-0.25
19,T19,T19,Troy Matteson,91,18.39,32.0,174,-0.31
20,21,21,Rickie Fowler,84,17.61,25.0,142,-0.36
21,22,22,Davis Love III,70,17.5,21.0,120,-0.29
22,23,23,Robert Karlsson,61,17.35,17.0,98,-0.12
23,24,24,Zack Miller,86,17.07,28.0,164,-0.43
24,25,25,Harrison Frazar,58,17.0,17.0,100,-0.18
25,26,26,Michael Putnam,67,16.95,20.0,118,E
26,27,27,Phil Mickelson,79,16.92,22.0,130,-0.18
27,28,28,James Driscoll,71,16.15,21.0,130,-0.38
28,29,29,Scott Gutschewski,67,16.1,19.0,118,-0.26
29,30,30,Charley Hoffman,93,15.85,26.0,164,-0.54
30,T31,T31,Martin Laird,77,15.44,21.0,136,-0.43
31,T31,T31,Ryan Palmer,82,15.44,21.0,136,-0.33
32,33,33,D.J. Trahan,91,15.38,28.0,182,-0.18
33,34,34,Sergio Garcia,61,15.31,15.0,98,E
