,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,J.B. Holmes,57,314.8,11645.8,37,348.1,287.0
1,2,2,Bubba Watson,85,300.7,12929.3,43,337.2,264.1
2,3,3,Robert Garrigus,83,297.9,13703.2,46,333.6,233.8
3,4,4,Dustin Johnson,72,296.7,11571.6,39,327.8,251.4
4,5,5,Gary Woodland,93,296.4,12448.6,42,333.5,253.2
5,6,6,Jhonattan Vegas,84,294.9,15630.0,53,319.5,253.2
6,7,7,Tag Ridings,87,294.8,14741.5,50,327.7,255.9
7,8,8,Phil Mickelson,79,293.9,10581.8,36,334.3,259.4
8,9,9,Jason Day,76,289.9,10148.2,35,316.8,251.6
9,10,10,Charley Hoffman,93,289.2,19087.2,66,332.7,254.7
10,T11,T11,Keegan Bradley,91,289.0,17053.5,59,327.7,248.6
11,T11,T11,Will Strickler,51,289.0,9247.2,32,313.9,259.1
12,13,13,Ángel Cabrera,50,288.7,6639.2,23,322.5,251.4
13,14,14,Martin Laird,77,288.5,14713.4,51,328.7,257.6
14,15,15,Kyle Stanley,98,287.9,16696.1,58,341.9,248.8
15,16,16,Robert Karlsson,61,287.4,10344.9,36,316.0,246.5
16,17,17,Josh Teater,104,287.3,16375.6,57,325.7,251.7
17,18,18,Chris Couch,73,286.9,11763.9,41,309.9,260.1
18,19,19,Scott Piercy,78,286.8,13478.5,47,313.9,250.1
19,20,20,Zack Miller,86,286.2,12305.9,43,326.5,246.4
20,21,21,Padraig Harrington,60,285.4,9134.0,32,310.4,260.7
21,22,22,Ryan Palmer,82,285.3,13692.1,48,312.2,256.1
22,23,23,Scott Stallings,84,285.1,16819.0,59,322.3,233.4
23,24,24,Steven Bowditch,86,284.8,15664.2,55,317.9,250.0
24,25,25,Davis Love III,70,284.6,9392.3,33,312.1,249.0
25,T26,T26,Harrison Frazar,58,283.9,9369.7,33,316.2,252.1
26,T26,T26,Bill Haas,93,283.9,17035.2,60,313.6,250.2
27,T26,T26,Marc Leishman,87,283.9,17036.8,60,306.8,256.3
28,29,29,Charl Schwartzel,58,283.6,9075.3,32,314.3,254.1
29,30,30,Rickie Fowler,84,283.3,15580.1,55,313.9,240.9
30,31,31,Derek Lamely,65,283.1,11039.2,39,306.1,252.6
31,32,32,Troy Matteson,91,282.8,16118.5,57,312.6,238.3
32,33,33,Adam Scott,60,282.7,12154.8,43,315.8,240.4
33,34,34,Michael Putnam,67,282.6,10456.0,37,313.9,258.0
34,35,35,Jimmy Walker,79,282.3,12137.9,43,310.4,242.5
35,36,36,Aaron Baddeley,77,281.7,13521.8,48,318.4,242.4
36,T37,T37,George McNeill,69,281.5,12665.9,45,313.3,246.8
37,T37,T37,Bo Van Pelt,92,281.5,17454.5,62,316.9,249.8
38,T39,T39,Joseph Bramlett,73,281.2,12652.0,45,309.0,249.2
39,T39,T39,Alex Prugh,82,281.2,14901.0,53,305.9,220.9
40,41,41,Nick Watney,80,280.8,15163.2,54,314.1,244.2
41,42,42,John Rollins,85,280.0,17362.5,62,322.4,247.2
42,43,43,Andres Romero,77,279.9,14834.1,53,312.0,235.3
43,44,44,Tommy Gainey,104,279.8,20429.0,73,303.9,233.5
44,T45,T45,Steve Marino,76,279.6,15098.4,54,311.0,248.7
45,T45,T45,D.J. Trahan,91,279.6,16496.9,59,311.1,243.0
46,47,47,Stewart Cink,72,279.4,10336.0,37,317.5,245.0
47,48,48,Vijay Singh,79,279.1,18140.7,65,306.3,246.9
48,49,49,David Duval,67,279.0,12275.8,44,300.9,253.4
49,T50,T50,Anthony Kim,72,278.6,12536.1,45,311.8,228.5
50,T50,T50,Bio Kim,71,278.6,11142.7,40,305.2,239.2
51,52,52,Bobby Gates,82,278.0,12508.1,45,313.8,228.6
52,53,53,Kevin Stadler,88,277.8,15279.6,55,307.0,246.1
53,54,54,Hunter Mahan,92,277.6,17767.7,64,318.4,247.4
54,T55,T55,Sergio Garcia,61,277.3,8597.7,31,314.6,234.9
55,T55,T55,Retief Goosen,50,277.3,8041.9,29,308.5,255.9
56,57,57,Brandt Jobe,100,277.0,16617.5,60,310.8,239.1
57,58,58,Chris Kirk,87,276.7,17155.7,62,299.6,238.8
58,T59,T59,Brendan Steele,89,276.6,18533.4,67,305.1,241.7
59,T59,T59,Camilo Villegas,69,276.6,11063.1,40,308.3,229.3
60,61,61,Lucas Glover,74,276.5,12719.6,46,308.1,245.3
61,T62,T62,Jim Renner,65,276.4,12163.1,44,310.4,240.3
62,T62,T62,John Senden,94,276.4,19626.3,71,300.1,251.6
63,64,64,Jonathan Byrd,83,276.3,14090.5,51,300.3,236.7
64,T65,T65,Billy Horschel,75,276.1,14082.0,51,291.8,252.2
65,T65,T65,Bill Lunde,92,276.1,17944.8,65,298.9,247.8
66,67,67,Kevin Chappell,78,275.9,14622.4,53,310.7,241.4
67,68,68,Webb Simpson,98,275.8,19858.7,72,307.0,241.3
68,69,69,James Driscoll,71,275.5,12123.8,44,304.5,239.7
69,70,70,David Hearn,88,275.3,16791.2,61,300.3,233.6
70,71,71,Ernie Els,71,275.1,12379.6,45,304.1,245.0
71,72,72,Ben Martin,74,275.0,10998.7,40,297.4,242.5
72,73,73,Rory Sabbatini,85,274.9,11820.4,43,304.9,240.1
73,T74,T74,Jim Herman,69,274.8,11268.5,41,300.4,236.6
74,T74,T74,Michael Thompson,79,274.8,11541.3,42,294.4,255.1
75,76,76,Matt Jones,71,274.5,12352.3,45,303.6,249.5
76,77,77,Sean O'Hair,71,274.2,10419.3,38,311.8,247.4
77,T78,T78,Blake Adams,116,274.0,18904.5,69,299.4,243.7
78,T78,T78,Scott Gutschewski,67,274.0,11234.8,41,309.4,251.8
79,T78,T78,Geoff Ogilvy,69,274.0,12603.0,46,309.8,240.2
80,T81,T81,Joe Ogilvie,75,273.7,12315.5,45,296.7,238.4
81,T81,T81,Jeff Overton,92,273.7,16698.5,61,307.5,233.9
82,T83,T83,Sung Kang,63,273.6,9575.7,35,302.2,248.5
83,T83,T83,Justin Rose,79,273.6,15868.4,58,310.4,244.7
84,85,85,Robert Allenby,84,273.1,17204.0,63,295.0,241.9
85,T86,T86,Pat Perez,76,273.0,15289.7,56,297.4,239.9
86,T86,T86,Brandt Snedeker,85,273.0,16108.7,59,297.3,243.0
87,88,88,Chez Reavie,92,272.9,17190.0,63,290.4,243.3
88,89,89,Cameron Tringale,110,272.8,21825.8,80,295.9,245.3
89,90,90,Roland Thatcher,67,272.7,12270.7,45,295.5,235.8
90,91,91,Trevor Immelman,84,272.6,10905.9,40,295.0,229.9
91,T92,T92,Charles Howell III,108,272.3,18790.5,69,293.8,244.1
92,T92,T92,Y.E. Yang,63,272.3,9531.6,35,315.9,246.8
93,94,94,Kevin Streelman,90,272.2,15241.0,56,303.0,251.4
94,95,95,Chris Stroud,88,272.1,16327.1,60,298.2,232.3
95,96,96,Matt Bettencourt,84,271.5,16562.5,61,306.1,236.0
96,97,97,D.J. Brigman,67,271.3,10037.3,37,301.9,244.3
97,98,98,Tim Herron,85,271.1,14913.2,55,300.3,236.4
98,99,99,Chad Campbell,99,270.8,16517.4,61,294.7,233.1
99,100,100,Ryan Moore,79,270.5,13793.6,51,288.7,240.8
100,101,101,John Merrick,71,270.3,13243.8,49,291.4,228.6
101,102,102,Jarrod Lyle,83,270.2,14590.5,54,295.7,242.8
102,T103,T103,Andres Gonzales,60,269.9,9447.7,35,297.0,247.3
103,T103,T103,Boo Weekley,66,269.9,11874.1,44,297.9,241.6
104,105,105,Fabián Gómez,84,269.8,12142.2,45,291.7,240.2
105,106,106,Carl Pettersson,95,269.7,20494.6,76,292.9,240.1
106,107,107,Steve Stricker,70,269.5,14553.1,54,306.6,243.5
107,108,108,Scott McCarron,65,269.2,11576.5,43,292.7,236.3
108,T109,T109,Stuart Appleby,65,269.1,11033.3,41,292.1,222.9
109,T109,T109,Woody Austin,59,269.1,9687.9,36,295.0,247.0
110,T109,T109,J.J. Henry,96,269.1,18834.2,70,292.1,233.8
111,112,112,Martin Piller,63,268.8,10483.3,39,289.6,237.1
112,113,113,Ricky Barnes,78,268.6,12353.3,46,296.1,232.2
113,114,114,Lee Janzen,62,268.5,11275.4,42,288.6,238.1
114,115,115,Michael Bradley,74,268.4,13420.9,50,290.7,241.5
115,116,116,Mark Wilson,89,268.1,19038.4,71,295.4,227.9
116,117,117,Troy Merritt,63,268.0,11524.7,43,289.3,242.4
117,T118,T118,Luke Donald,73,267.9,10446.8,39,287.0,241.5
118,T118,T118,William McGirt,103,267.9,20356.9,76,289.6,228.5
119,120,120,Graeme McDowell,50,267.7,8566.9,32,295.3,228.2
120,121,121,Alexandre Rocha,65,267.4,9091.4,34,286.6,232.7
121,122,122,Kevin Na,84,267.3,11760.5,44,296.6,237.2
122,T123,T123,Brendon de Jonge,105,266.9,21349.4,80,298.2,239.3
