,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Boo Weekley,66,5,4,1
1,2,2,John Senden,94,13,8,5
2,3,3,Brandt Jobe,100,17,3,14
3,4,4,John Rollins,85,18,2,16
4,5,5,Bill Haas,93,22,11,11
5,6,6,John Merrick,71,25,1,24
6,T7,T7,Briny Baird,60,32,17,15
7,T7,T7,Webb Simpson,98,32,24,8
8,9,9,Chez Reavie,92,33,7,26
9,T10,T10,Joe Durant,71,34,31,3
10,T10,T10,J.J. Henry,96,34,16,18
11,12,12,Gary Woodland,93,35,23,12
12,13,13,Adam Scott,60,37,5,32
13,14,14,Bo Van Pelt,92,43,9,34
14,15,15,Bubba Watson,85,44,35,9
15,T16,T16,Kyle Stanley,98,48,18,30
16,T16,T16,D.J. Trahan,91,48,31,17
17,18,18,Heath Slocum,89,53,51,2
18,19,19,Chad Campbell,99,55,51,4
19,20,20,Dustin Johnson,72,57,30,27
20,21,21,Kevin Stadler,88,61,28,33
21,22,22,Josh Teater,104,63,10,53
22,23,23,Billy Horschel,75,65,18,47
23,T24,T24,Davis Love III,70,68,40,28
24,T24,T24,Billy Mayfair,94,68,45,23
25,T26,T26,Charley Hoffman,93,77,20,57
26,T26,T26,Hunter Mahan,92,77,55,22
27,28,28,Justin Rose,79,78,68,10
28,29,29,David Hearn,88,79,58,21
29,30,30,Jason Bohn,74,83,41,42
30,31,31,Nick Watney,80,85,31,54
31,32,32,Martin Laird,77,87,26,61
32,33,33,Brian Davis,105,88,48,40
33,34,34,David Toms,78,90,84,6
34,35,35,Steve Elkington,50,94,28,66
35,T36,T36,Woody Austin,59,95,41,54
36,T36,T36,Keegan Bradley,91,95,12,83
37,T38,T38,Jim Herman,69,96,60,36
38,T38,T38,Rod Pampling,72,96,12,84
39,40,40,Charl Schwartzel,58,100,21,79
40,41,41,Graeme McDowell,50,101,26,75
41,42,42,Aron Price,58,106,60,46
42,43,43,Cameron Tringale,110,107,65,42
43,44,44,Charles Howell III,108,109,90,19
