,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,J.B. Holmes,57,66.84,201238.7,301083
1,2,2,Dustin Johnson,72,65.96,229446.3,347873
2,3,3,Robert Garrigus,83,65.84,290203.6,440795
3,4,4,Bubba Watson,85,65.74,249062.9,378880
4,5,5,Steven Bowditch,86,64.98,321454.2,494662
5,6,6,Gary Woodland,93,64.83,289460.6,446470
6,7,7,Jhonattan Vegas,84,64.72,288561.6,445855
7,8,8,Tag Ridings,87,64.43,301972.4,468718
8,T9,T9,Harrison Frazar,58,64.24,170964.6,266145
9,T9,T9,Josh Teater,104,64.24,373759.2,581843
10,11,11,Charley Hoffman,93,64.17,303394.7,472784
11,12,12,Ángel Cabrera,50,64.16,143121.7,223071
12,13,13,D.J. Trahan,91,64.15,335932.7,523665
13,T14,T14,Martin Laird,77,64.1,252208.8,393482
14,T14,T14,Scott Piercy,78,64.1,257910.7,402328
15,T16,T16,Alex Prugh,82,64.09,289269.3,451331
16,T16,T16,Kyle Stanley,98,64.09,324775.2,506783
17,T16,T16,Nick Watney,80,64.09,252091.7,393343
18,19,19,Adam Scott,60,64.03,184535.2,288204
19,T20,T20,Scott Stallings,84,64.02,281120.2,439129
20,T20,T20,Will Strickler,51,64.02,175171.9,273640
21,22,22,Jeff Overton,92,63.74,294900.4,462656
22,23,23,Phil Mickelson,79,63.71,237861.1,373334
23,24,24,Troy Matteson,91,63.68,328092.1,515217
24,25,25,Bo Van Pelt,92,63.64,286457.5,450111
25,T26,T26,Jason Day,76,63.58,239025.0,375935
26,T26,T26,Rickie Fowler,84,63.58,267463.7,420701
27,28,28,Davis Love III,70,63.52,209171.9,329280
28,29,29,Ryan Palmer,82,63.48,243110.3,382960
29,30,30,Keegan Bradley,91,63.46,311037.5,490104
30,T31,T31,Sergio Garcia,61,63.44,181552.0,286201
31,T31,T31,Bill Haas,93,63.44,291851.0,460044
32,T33,T33,John Rollins,85,63.4,288656.2,455275
33,T33,T33,Boo Weekley,66,63.4,228825.2,360950
34,35,35,Jim Herman,69,63.39,230645.1,363844
35,36,36,Aaron Baddeley,77,63.38,250199.4,394758
36,37,37,Kevin Chappell,78,63.32,244413.5,386027
37,38,38,Andres Romero,77,63.29,272122.5,429995
38,T39,T39,Tommy Gainey,104,63.25,363528.2,574750
39,T39,T39,Anthony Kim,72,63.25,234067.4,370081
40,41,41,Chris Couch,73,63.24,271260.3,428943
41,42,42,Webb Simpson,98,63.22,331800.6,524867
42,43,43,James Driscoll,71,63.19,244459.9,386851
43,44,44,Jim Renner,65,63.16,213777.3,338444
44,45,45,Michael Putnam,67,63.08,211297.4,334962
45,46,46,Bio Kim,71,63.0,231297.6,367142
46,47,47,Tom Gillis,55,62.96,198159.4,314749
47,48,48,Derek Lamely,65,62.89,232420.0,369544
48,49,49,Charles Howell III,108,62.88,364290.7,579357
49,50,50,Joe Ogilvie,75,62.87,242277.4,385338
50,T51,T51,Steve Marino,76,62.83,247471.5,393896
51,T51,T51,Vijay Singh,79,62.83,286769.0,456440
52,53,53,John Merrick,71,62.76,237883.0,379030
53,T54,T54,Chris Kirk,87,62.75,306249.0,488017
54,T54,T54,Zack Miller,86,62.75,298406.4,475511
55,T54,T54,Martin Piller,63,62.75,207161.5,330124
56,57,57,Cameron Tringale,110,62.74,385497.5,614424
57,58,58,Marc Leishman,87,62.7,318985.7,508735
58,59,59,Kevin Stadler,88,62.68,289849.3,462430
59,60,60,Robert Karlsson,61,62.66,180121.3,287464
60,61,61,Chris Stroud,88,62.63,308456.6,492518
61,62,62,Carl Pettersson,95,62.62,357365.8,570735
62,63,63,Bill Lunde,92,62.6,306034.1,488853
63,64,64,Jimmy Walker,79,62.58,302269.5,483030
64,65,65,Joseph Bramlett,73,62.55,242649.1,387946
65,T66,T66,Sean O'Hair,71,62.53,236425.2,378124
66,T66,T66,Kevin Streelman,90,62.53,279313.1,446709
67,68,68,Hunter Mahan,92,62.52,304214.9,486601
68,69,69,Scott Gutschewski,67,62.5,219752.3,351631
69,70,70,Brandt Jobe,100,62.49,322459.2,516007
70,71,71,Padraig Harrington,60,62.46,178349.4,285527
71,72,72,George McNeill,69,62.42,229416.8,367539
72,73,73,Sung Kang,63,62.41,202991.9,325243
73,74,74,Rory Sabbatini,85,62.39,241816.3,387580
74,75,75,Billy Horschel,75,62.36,245429.1,393544
75,76,76,Bobby Gates,82,62.35,265592.7,425963
76,77,77,Matt Bettencourt,84,62.33,303725.4,487303
77,78,78,David Duval,67,62.31,229684.1,368629
78,79,79,Ricky Barnes,78,62.3,251478.3,403665
79,80,80,Jonathan Byrd,83,62.29,286071.9,459246
80,81,81,Roland Thatcher,67,62.25,240615.3,386519
81,T82,T82,David Hearn,88,62.22,298710.7,480058
82,T82,T82,Brendan Steele,89,62.22,304820.8,489939
83,84,84,Andres Gonzales,60,62.2,181853.5,292347
84,85,85,Pat Perez,76,62.18,276714.9,444987
85,T86,T86,Robert Allenby,84,62.17,277667.5,446591
86,T86,T86,Tim Herron,85,62.17,303438.4,488108
87,T86,T86,Michael Thompson,79,62.17,271990.7,437466
88,89,89,Rod Pampling,72,62.16,236299.6,380125
89,T90,T90,Blake Adams,116,62.15,413907.2,665973
90,T90,T90,Matt Jones,71,62.15,253168.7,407356
91,92,92,Ernie Els,71,62.06,234042.4,377125
92,93,93,William McGirt,103,62.03,360280.2,580857
93,T94,T94,Michael Bradley,74,62.02,229945.0,370746
94,T94,T94,Ben Martin,74,62.02,256875.5,414172
95,96,96,Lucas Glover,74,62.0,239810.5,386790
96,97,97,Graeme McDowell,50,61.96,146112.5,235799
97,98,98,Brandt Snedeker,85,61.95,262394.1,423549
98,99,99,John Senden,94,61.94,320668.9,517672
99,100,100,Charl Schwartzel,58,61.92,158982.0,256752
100,101,101,Geoff Ogilvy,69,61.88,211915.0,342458
101,102,102,Scott McCarron,65,61.86,211591.4,342073
102,103,103,Alexandre Rocha,65,61.85,191872.4,310234
103,104,104,Chez Reavie,92,61.84,323384.5,522968
104,105,105,Camilo Villegas,69,61.83,224262.9,362735
105,106,106,J.J. Henry,96,61.79,309325.5,500583
106,107,107,Jason Dufner,78,61.78,253370.3,410090
107,T108,T108,Briny Baird,60,61.69,191622.0,310610
108,T108,T108,Ben Crane,76,61.69,242221.4,392671
109,110,110,Ryan Moore,79,61.67,234977.3,381022
110,111,111,Chad Campbell,99,61.66,338826.6,549547
111,112,112,Freddie Jacobson,92,61.62,273768.2,444289
112,113,113,Matt Kuchar,94,61.6,278250.0,451696
113,T114,T114,Spencer Levin,113,61.59,365757.2,593895
114,T114,T114,Troy Merritt,63,61.59,222679.8,361557
115,116,116,Lee Janzen,62,61.58,194202.5,315388
116,117,117,Y.E. Yang,63,61.55,165546.7,268954
117,T118,T118,Hunter Haas,96,61.51,331613.3,539140
