,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,T1,T1,Jim Furyk,87,3.6,35,975,+0.200
1,T1,T1,Zach Johnson,79,3.6,32,891,+0.156
2,T1,T1,Johnson Wagner,81,3.6,35,973,+0.229
3,T4,T4,Briny Baird,60,3.8,26,680,+0.423
4,T4,T4,Boo Weekley,66,3.8,30,792,+0.467
5,6,6,Joe Durant,71,3.9,34,883,+0.382
6,T7,T7,Jerry Kelly,85,4.0,38,944,+0.368
7,T7,T7,Rocco Mediate,53,4.0,27,671,+0.519
8,T7,T7,Heath Slocum,89,4.0,41,1032,+0.244
9,T7,T7,Garrett Willis,71,4.0,35,886,+0.714
10,T11,T11,Brian Davis,105,4.1,52,1271,+0.192
11,T11,T11,Justin Hicks,60,4.1,25,613,+0.640
12,T11,T11,Billy Mayfair,94,4.1,48,1181,+0.125
13,T11,T11,Aron Price,58,4.1,28,678,+0.143
14,T11,T11,Gary Woodland,93,4.1,39,952,+0.154
15,16,16,Dean Wilson,62,4.2,33,781,+0.212
16,17,17,Fabián Gómez,84,4.3,41,946,+0.512
17,18,18,Jason Bohn,74,4.5,42,936,+0.071
18,T19,T19,Robert Allenby,84,4.6,45,970,+0.511
19,T19,T19,Nick O'Hern,89,4.6,49,1055,+0.265
20,T19,T19,Tag Ridings,87,4.6,47,1019,+0.149
21,T22,T22,Tom Gillis,55,4.7,33,699,+0.485
22,T22,T22,Scott McCarron,65,4.7,35,749,+0.229
23,T22,T22,Y.E. Yang,63,4.7,27,578,+0.148
24,T25,T25,Chris Couch,73,4.8,45,928,+0.178
25,T25,T25,Sung Kang,63,4.8,34,705,+0.235
26,T25,T25,Zack Miller,86,4.8,49,1027,+0.347
27,T25,T25,Paul Stankowski,78,4.8,43,896,+0.140
28,T29,T29,Stephen Ames,69,4.9,41,834,+0.366
29,T29,T29,Robert Garrigus,83,4.9,46,944,+0.283
30,T29,T29,Nathan Green,81,4.9,48,972,+0.208
31,T29,T29,Adam Scott,60,4.9,31,630,+0.097
32,T33,T33,Steven Bowditch,86,5.1,54,1059,+0.019
33,T33,T33,Ben Curtis,66,5.1,44,865,+0.318
34,T33,T33,Bobby Gates,82,5.1,47,916,+0.489
35,T33,T33,Brian Gay,90,5.1,52,1023,+0.096
36,T33,T33,Justin Leonard,82,5.1,52,1021,+0.346
37,T33,T33,Ryan Moore,79,5.1,42,830,+0.286
38,T33,T33,Brandt Snedeker,85,5.1,47,930,+0.532
39,T40,T40,Woody Austin,59,5.2,36,690,+0.250
40,T40,T40,Lee Janzen,62,5.2,36,691,+0.222
41,T40,T40,Spencer Levin,113,5.2,68,1301,+0.176
42,T43,T43,Brandt Jobe,100,5.3,59,1121,+0.288
43,T43,T43,Dustin Johnson,72,5.3,40,749,+0.275
44,T43,T43,George McNeill,69,5.3,42,796,+0.214
45,T43,T43,John Rollins,85,5.3,52,990,+0.135
46,T43,T43,John Senden,94,5.3,59,1119,+0.254
47,T48,T48,Jason Dufner,78,5.4,49,902,+0.041
48,T48,T48,Paul Goydos,81,5.4,56,1028,+0.321
49,T48,T48,Richard Johnson,64,5.4,41,753,+0.122
50,T48,T48,Robert Karlsson,61,5.4,33,612,+0.242
51,T48,T48,Colt Knost,80,5.4,50,931,+0.480
52,T48,T48,Graeme McDowell,50,5.4,28,516,+0.393
53,T48,T48,Bryce Molder,82,5.4,53,977,+0.170
54,T48,T48,Geoff Ogilvy,69,5.4,40,745,+0.200
55,T48,T48,Vaughn Taylor,89,5.4,62,1149,+0.258
56,T48,T48,David Toms,78,5.4,44,819,+0.023
57,T58,T58,Jonathan Byrd,83,5.5,55,998,+0.182
58,T58,T58,Lucas Glover,74,5.5,46,844,+0.087
59,T58,T58,Billy Horschel,75,5.5,47,861,+0.191
60,T58,T58,David Mathis,83,5.5,54,973,+0.204
61,T58,T58,Pat Perez,76,5.5,53,967,+0.283
62,T58,T58,Chris Riley,76,5.5,52,942,+0.327
63,T58,T58,Steve Stricker,70,5.5,41,740,+0.073
64,T58,T58,Jhonattan Vegas,84,5.5,53,955,+0.151
65,T58,T58,Bubba Watson,85,5.5,44,806,+0.227
66,T67,T67,Retief Goosen,50,5.6,31,549,-0.065
67,T67,T67,Bill Lunde,92,5.6,60,1068,+0.233
68,T67,T67,Kevin Na,84,5.6,52,929,-0.077
69,T67,T67,Scott Piercy,78,5.6,48,864,+0.146
70,T67,T67,D.A. Points,89,5.6,57,1025,+0.246
71,T67,T67,Chez Reavie,92,5.6,64,1141,+0.250
72,T67,T67,Kevin Streelman,90,5.6,55,988,+0.218
73,T67,T67,Charlie Wi,83,5.6,59,1061,+0.373
74,T75,T75,Shane Bertsch,62,5.7,41,722,+0.341
75,T75,T75,Luke Donald,73,5.7,41,719,-0.024
76,T75,T75,Steve Flesch,88,5.7,62,1079,+0.290
77,T75,T75,Bill Haas,93,5.7,57,998,+0.228
78,T75,T75,J.J. Henry,96,5.7,63,1096,+0.349
79,T75,T75,Ryuji Imada,83,5.7,60,1055,+0.117
80,T75,T75,Kevin Kisner,70,5.7,45,789,+0.289
81,T75,T75,Troy Merritt,63,5.7,45,783,+0.400
82,T75,T75,Carl Pettersson,95,5.7,71,1248,+0.239
83,T75,T75,D.J. Trahan,91,5.7,64,1131,+0.203
84,T75,T75,Marc Turnesa,54,5.7,36,632,+0.306
