,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Steve Elkington,50,8.06,47,583,+0.09
1,2,2,Brian Davis,105,8.58,109,1271,+0.12
2,3,3,Joe Durant,71,8.83,78,883,+0.28
3,4,4,David Toms,78,9.16,75,819,+0.07
4,5,5,John Rollins,85,9.19,91,990,E
5,6,6,Bryce Molder,82,9.31,91,977,+0.04
6,7,7,Brian Gay,90,9.58,98,1023,+0.03
7,8,8,John Merrick,71,9.83,82,834,+0.18
8,9,9,Ben Crane,76,9.84,85,864,+0.02
9,10,10,Jason Dufner,78,9.87,89,902,+0.09
10,11,11,Blake Adams,116,9.9,144,1454,+0.13
11,12,12,Heath Slocum,89,9.98,103,1032,+0.14
12,13,13,Jerry Kelly,85,10.06,95,944,+0.07
13,14,14,Kevin Streelman,90,10.12,100,988,+0.08
14,15,15,Aron Price,58,10.32,70,678,+0.24
15,16,16,Mark Wilson,89,10.54,102,968,+0.15
16,17,17,Josh Teater,104,10.85,138,1272,+0.13
17,18,18,Rocco Mediate,53,10.88,73,671,+0.23
18,19,19,Chris DiMarco,93,10.92,124,1136,+0.10
19,20,20,Chris Riley,76,10.93,103,942,+0.21
20,T21,T21,Charles Howell III,108,11.0,137,1245,-0.09
21,T21,T21,Zach Johnson,79,11.0,98,891,+0.09
22,23,23,David Hearn,88,11.02,116,1053,+0.09
23,24,24,Nick O'Hern,89,11.09,117,1055,+0.15
24,T25,T25,Chad Campbell,99,11.18,134,1199,+0.14
25,T25,T25,Brendan Steele,89,11.18,119,1064,+0.13
26,27,27,David Mathis,83,11.2,109,973,+0.15
27,28,28,Chris Couch,73,11.21,104,928,-0.04
28,29,29,Greg Chalmers,88,11.22,122,1087,+0.08
29,30,30,Brandt Jobe,100,11.24,126,1121,+0.10
30,31,31,Scott Stallings,84,11.3,107,947,+0.11
31,32,32,Kris Blanks,92,11.32,129,1140,+0.12
32,33,33,Kent Jones,76,11.43,106,927,+0.18
33,34,34,Briny Baird,60,11.47,78,680,+0.05
34,35,35,Daniel Summerhays,75,11.48,104,906,+0.16
35,36,36,Boo Weekley,66,11.49,91,792,+0.16
36,37,37,Billy Mayfair,94,11.52,136,1181,+0.09
37,38,38,Matt McQuillan,59,11.54,77,667,+0.21
38,T39,T39,George McNeill,69,11.56,92,796,+0.12
39,T39,T39,Ian Poulter,52,11.56,63,545,+0.11
40,41,41,Ben Martin,74,11.58,104,898,+0.17
41,42,42,Troy Merritt,63,11.62,91,783,+0.11
42,43,43,Kyle Stanley,98,11.65,128,1099,+0.08
43,44,44,Rod Pampling,72,11.74,98,835,+0.14
44,45,45,Marc Turnesa,54,11.87,75,632,+0.08
45,46,46,John Senden,94,11.89,133,1119,+0.10
46,47,47,Sung Kang,63,11.91,84,705,+0.13
47,48,48,Alex Cejka,59,11.96,77,644,+0.05
48,49,49,Andres Gonzales,60,12.04,76,631,+0.17
49,T50,T50,Shane Bertsch,62,12.05,87,722,+0.08
50,T50,T50,Michael Thompson,79,12.05,114,946,+0.06
51,52,52,Chez Reavie,92,12.09,138,1141,+0.12
52,53,53,Stephen Ames,69,12.11,101,834,+0.07
53,54,54,Kevin Chappell,78,12.14,102,840,+0.18
54,55,55,Marc Leishman,87,12.29,134,1090,+0.04
55,56,56,Charlie Wi,83,12.35,131,1061,+0.16
56,57,57,Ben Curtis,66,12.37,107,865,+0.10
57,58,58,Adam Scott,60,12.38,78,630,+0.08
58,59,59,Woody Austin,59,12.46,86,690,+0.16
59,60,60,Bio Kim,71,12.47,97,778,+0.05
60,61,61,Justin Rose,79,12.53,110,878,+0.04
61,62,62,Will Strickler,51,12.56,74,589,+0.19
62,63,63,Graeme McDowell,50,12.6,65,516,+0.11
63,64,64,Justin Leonard,82,12.63,129,1021,+0.16
64,65,65,Jim Furyk,87,12.72,124,975,+0.20
65,66,66,Colt Knost,80,12.78,119,931,+0.19
66,67,67,Bill Lunde,92,12.83,137,1068,+0.13
67,68,68,Cameron Tringale,110,12.85,172,1339,+0.09
68,69,69,Tim Petrovic,88,12.87,136,1057,+0.16
69,70,70,Camilo Villegas,69,12.88,101,784,+0.05
70,71,71,Justin Hicks,60,12.89,79,613,+0.22
71,72,72,Chris Stroud,88,12.92,139,1076,+0.06
72,73,73,Bo Van Pelt,92,12.94,128,989,+0.03
73,T74,T74,Brendon de Jonge,105,12.95,165,1274,+0.06
74,T74,T74,J.P. Hayes,56,12.95,86,664,+0.05
75,T74,T74,Charley Hoffman,93,12.95,132,1019,+0.09
76,77,77,Joseph Bramlett,73,13.07,109,834,+0.08
77,78,78,Hunter Mahan,92,13.11,139,1060,+0.04
78,T79,T79,Paul Goydos,81,13.13,135,1028,+0.09
79,T79,T79,Pat Perez,76,13.13,127,967,+0.06
80,81,81,Zack Miller,86,13.15,135,1027,+0.16
81,82,82,Freddie Jacobson,92,13.18,128,971,+0.13
82,83,83,Alexandre Rocha,65,13.32,91,683,+0.19
83,T84,T84,Rich Beem,53,13.33,84,630,+0.19
84,T84,T84,Hunter Haas,96,13.33,157,1178,+0.13
85,T84,T84,Troy Matteson,91,13.33,148,1110,+0.09
86,87,87,Jeff Overton,92,13.42,135,1006,+0.18
87,88,88,Jarrod Lyle,83,13.45,133,989,+0.21
88,89,89,Charl Schwartzel,58,13.49,75,556,+0.16
89,90,90,Fabián Gómez,84,13.53,128,946,+0.12
90,T91,T91,D.A. Points,89,13.56,139,1025,+0.21
91,T91,T91,Jim Renner,65,13.56,99,730,+0.21
92,93,93,Johnson Wagner,81,13.57,132,973,+0.14
93,94,94,Tom Gillis,55,13.73,96,699,+0.15
94,95,95,Nate Smith,66,13.74,101,735,+0.24
95,96,96,K.J. Choi,77,13.79,111,805,+0.10
96,T97,T97,Trevor Immelman,84,13.88,128,922,-0.03
97,T97,T97,Rory Sabbatini,85,13.88,116,836,+0.15
98,99,99,Vijay Singh,79,13.92,137,984,E
99,100,100,J.J. Henry,96,13.96,153,1096,+0.08
100,101,101,Robert Allenby,84,14.02,136,970,+0.04
101,102,102,Geoff Ogilvy,69,14.09,105,745,+0.07
102,103,103,Martin Laird,77,14.18,120,846,E
103,104,104,Luke Donald,73,14.19,102,719,+0.06
104,105,105,Michael Connell,76,14.24,143,1004,+0.10
105,106,106,Steve Marino,76,14.25,122,856,-0.01
106,107,107,Rickie Fowler,84,14.32,131,915,-0.07
107,108,108,Chris Kirk,87,14.34,152,1060,+0.03
108,109,109,Scott Piercy,78,14.35,124,864,+0.08
109,110,110,Billy Horschel,75,14.4,124,861,+0.11
110,111,111,Ernie Els,71,14.44,119,824,+0.10
111,112,112,Sergio Garcia,61,14.52,90,620,+0.06
112,113,113,Retief Goosen,50,14.57,80,549,+0.18
113,114,114,Ryan Moore,79,14.58,121,830,+0.12
114,115,115,Tommy Gainey,104,14.65,184,1256,+0.03
115,T116,T116,Ryuji Imada,83,14.69,155,1055,+0.03
116,T116,T116,Dustin Johnson,72,14.69,110,749,+0.10
117,118,118,Ryan Palmer,82,14.71,120,816,-0.02
118,119,119,Matt Kuchar,94,14.73,146,991,+0.03
119,120,120,Cameron Beckman,71,14.74,129,875,+0.05
120,T121,T121,Aaron Baddeley,77,14.76,125,847,-0.11
121,T121,T121,Bubba Watson,85,14.76,119,806,+0.06
122,123,123,Tim Herron,85,14.78,157,1062,+0.11
123,124,124,Nathan Green,81,14.81,144,972,+0.09
124,T125,T125,Jonathan Byrd,83,14.83,148,998,E
125,T125,T125,Steve Flesch,88,14.83,160,1079,+0.22
126,127,127,D.J. Trahan,91,14.94,169,1131,+0.08
127,128,128,William McGirt,103,14.95,190,1271,+0.04
128,129,129,Stewart Cink,72,14.97,106,708,-0.02
129,130,130,Carl Pettersson,95,14.98,187,1248,+0.07
130,131,131,Tag Ridings,87,15.01,153,1019,+0.10
131,132,132,Vaughn Taylor,89,15.06,173,1149,+0.13
132,133,133,Bobby Gates,82,15.07,138,916,+0.25
133,134,134,Andres Romero,77,15.11,141,933,+0.12
134,135,135,Davis Love III,70,15.14,109,720,-0.01
135,136,136,D.J. Brigman,67,15.19,115,757,+0.10
136,137,137,Scott Gutschewski,67,15.22,116,762,+0.27
137,138,138,Dean Wilson,62,15.24,119,781,+0.19
138,139,139,Nick Watney,80,15.25,131,859,+0.01
139,T140,T140,Richard Johnson,64,15.27,115,753,+0.13
140,T140,T140,Brandt Snedeker,85,15.27,142,930,E
141,142,142,Jason Bohn,74,15.28,143,936,+0.11
142,T143,T143,Bill Haas,93,15.33,153,998,+0.05
143,T143,T143,Webb Simpson,98,15.33,176,1148,+0.05
144,145,145,Garrett Willis,71,15.35,136,886,+0.18
145,146,146,Matt Jones,71,15.37,134,872,+0.07
146,147,147,James Driscoll,71,15.55,130,836,+0.04
147,148,148,Scott McCarron,65,15.62,117,749,+0.05
148,149,149,Lee Janzen,62,15.63,108,691,+0.24
149,150,150,Jim Herman,69,15.66,124,792,+0.07
150,151,151,Spencer Levin,113,15.68,204,1301,+0.07
151,152,152,Roland Thatcher,67,15.75,132,838,+0.10
152,153,153,Kevin Kisner,70,15.84,125,789,+0.19
153,T154,T154,Matt Bettencourt,84,15.89,168,1057,+0.15
154,T154,T154,Robert Garrigus,83,15.89,150,944,+0.02
155,156,156,Shaun Micheel,77,15.91,141,886,+0.04
156,T157,T157,Kevin Stadler,88,15.95,160,1003,+0.20
157,T157,T157,Steve Stricker,70,15.95,118,740,-0.08
158,159,159,Ricky Barnes,78,16.12,142,881,+0.08
159,160,160,Lucas Glover,74,16.23,137,844,+0.12
160,T161,T161,Keegan Bradley,91,16.26,172,1058,+0.27
161,T161,T161,Y.E. Yang,63,16.26,94,578,+0.03
162,163,163,Martin Piller,63,16.27,116,713,+0.28
163,164,164,Sean O'Hair,71,16.37,136,831,+0.10
164,165,165,Stuart Appleby,65,16.38,135,824,+0.21
165,166,166,Phil Mickelson,79,16.44,132,803,-0.01
166,167,167,Alex Prugh,82,16.55,161,973,+0.29
167,168,168,Jason Day,76,16.67,136,816,+0.04
168,169,169,Joe Ogilvie,75,16.75,141,842,+0.13
169,170,170,J.B. Holmes,57,17.08,109,638,-0.06
170,171,171,Gary Woodland,93,17.12,163,952,+0.09
171,172,172,Jimmy Walker,79,17.24,179,1038,+0.20
172,173,173,Michael Bradley,74,17.27,139,805,+0.10
173,174,174,Kevin Na,84,17.76,165,929,+0.01
174,175,175,Paul Stankowski,78,17.86,160,896,+0.02
175,176,176,Michael Putnam,67,17.98,130,723,+0.11
