,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,J.B. Holmes,57,125.25,5135.18,41,128.48,122.11
1,2,2,Bubba Watson,85,124.55,6974.67,56,128.29,121.67
2,3,3,Gary Woodland,93,124.34,6590.07,53,127.95,117.28
3,4,4,Jhonattan Vegas,84,122.2,7820.55,64,126.13,115.29
4,5,5,Dustin Johnson,72,122.13,5740.18,47,125.71,118.63
5,6,6,Robert Garrigus,83,121.89,6338.26,52,125.33,114.38
6,7,7,Zack Miller,86,120.78,6401.49,53,125.76,115.04
7,T8,T8,Chris Couch,73,120.33,6016.74,50,124.49,115.14
8,T8,T8,Tag Ridings,87,120.33,7340.3,61,124.48,116.98
9,10,10,Ángel Cabrera,50,119.72,3472.02,29,122.53,116.86
10,11,11,Sergio Garcia,61,119.43,5135.51,43,124.01,115.82
11,12,12,Scott Stallings,84,119.25,7989.42,67,122.94,114.59
12,13,13,Aaron Baddeley,77,119.14,6791.07,57,122.4,114.63
13,14,14,Kyle Stanley,98,118.81,8316.93,70,126.67,115.32
14,15,15,Bio Kim,71,118.61,5693.5,48,123.83,103.66
15,16,16,Phil Mickelson,79,118.48,6042.7,51,122.97,115.22
16,17,17,James Driscoll,71,118.47,6397.38,54,123.13,110.68
17,18,18,Will Strickler,51,118.42,4026.2,34,122.67,109.49
18,19,19,Trevor Immelman,84,118.4,6512.12,55,121.09,112.13
19,20,20,Steven Bowditch,86,118.11,7677.28,65,122.44,107.39
20,21,21,Charley Hoffman,93,118.1,8739.75,74,123.59,114.73
21,22,22,Nick Watney,80,118.01,7552.5,64,123.37,109.18
22,23,23,Jimmy Walker,79,117.8,6714.58,57,121.74,107.06
23,24,24,Robert Karlsson,61,117.69,4825.42,41,121.18,111.95
24,25,25,Martin Laird,77,117.65,7059.17,60,122.0,110.87
25,26,26,Ricky Barnes,78,117.54,6699.83,57,123.89,113.25
26,27,27,Keegan Bradley,91,117.49,7519.6,64,121.37,109.02
27,28,28,Adam Scott,60,117.26,5511.4,47,120.08,113.93
28,29,29,Bill Haas,93,117.18,7968.05,68,119.71,108.62
29,30,30,Jason Day,76,117.02,5500.12,47,120.72,110.67
30,31,31,Derek Lamely,65,116.98,5263.94,45,120.85,111.76
31,32,32,George McNeill,69,116.82,6191.42,53,120.38,113.16
32,33,33,Charl Schwartzel,58,116.67,4083.43,35,120.69,112.59
33,34,34,John Senden,94,116.59,9210.38,79,122.84,108.14
34,35,35,Bobby Gates,82,116.55,6527.0,56,121.62,101.2
35,36,36,Troy Matteson,91,116.52,8389.24,72,119.66,113.0
36,37,37,Lucas Glover,74,116.5,6640.61,57,120.25,110.14
37,38,38,Charles Howell III,108,116.46,9782.28,84,120.24,113.31
38,39,39,Matt Jones,71,116.25,6044.86,52,120.25,108.4
39,40,40,Marc Leishman,87,116.2,8714.86,75,119.96,112.07
40,41,41,Andres Romero,77,116.02,7425.52,64,122.22,110.66
41,T42,T42,Davis Love III,70,115.89,4519.68,39,119.76,110.37
42,T42,T42,Scott Piercy,78,115.89,6026.38,52,120.15,111.74
43,44,44,Sean O'Hair,71,115.87,5214.15,45,122.04,111.44
44,45,45,D.J. Trahan,91,115.81,8686.09,75,121.02,108.4
45,46,46,Josh Teater,104,115.75,7870.82,68,119.01,109.34
46,47,47,Michael Putnam,67,115.73,5323.67,46,119.76,112.35
47,T48,T48,Harrison Frazar,58,115.71,4512.88,39,119.87,107.7
48,T48,T48,Alex Prugh,82,115.71,7058.12,61,118.28,112.7
49,50,50,Jim Herman,69,115.6,5317.67,46,119.29,109.64
50,51,51,Scott Gutschewski,67,115.45,5079.99,44,119.1,109.17
51,52,52,Joseph Bramlett,73,115.36,5768.17,50,120.14,110.59
52,53,53,Brandt Jobe,100,115.29,7955.03,69,119.62,110.19
53,54,54,David Duval,67,115.22,5645.88,49,117.9,112.33
54,55,55,Pat Perez,76,115.2,7027.13,61,119.69,108.5
55,56,56,Padraig Harrington,60,115.15,4375.57,38,118.07,110.86
56,57,57,Kevin Streelman,90,115.06,7133.55,62,119.2,111.02
57,58,58,Retief Goosen,50,114.98,4369.35,38,117.9,111.6
58,T59,T59,Stewart Cink,72,114.91,5285.71,46,118.26,109.6
59,T59,T59,Boo Weekley,66,114.91,5630.56,49,119.64,111.38
60,61,61,Justin Rose,79,114.89,7353.19,64,119.98,111.39
61,62,62,Ryan Palmer,82,114.87,7007.05,61,119.89,103.71
62,63,63,Anthony Kim,72,114.85,6891.28,60,118.41,111.4
63,64,64,Jonathan Byrd,83,114.84,7809.19,68,119.26,108.47
64,65,65,Blake Adams,116,114.75,9065.4,79,118.48,108.54
65,T66,T66,Kevin Chappell,78,114.65,6306.0,55,118.04,110.83
66,T66,T66,Cameron Tringale,110,114.65,9974.98,87,118.63,109.33
67,68,68,Rickie Fowler,84,114.53,7444.16,65,119.67,107.53
68,69,69,John Rollins,85,114.5,8014.95,70,118.3,106.05
69,70,70,Brendon de Jonge,105,114.45,10071.62,88,119.71,108.65
70,71,71,Nathan Green,81,114.29,6286.01,55,118.28,107.38
71,72,72,Stuart Appleby,65,114.24,6740.39,59,117.87,110.98
72,73,73,Scott McCarron,65,114.18,5366.38,47,117.41,110.97
73,74,74,Michael Bradley,74,114.14,6163.44,54,117.09,110.01
74,T75,T75,Tom Gillis,55,114.11,5591.34,49,117.65,106.76
75,T75,T75,Steve Marino,76,114.11,7417.4,65,117.58,110.65
76,77,77,Matt Bettencourt,84,114.05,7869.4,69,117.15,110.93
77,T78,T78,Tommy Gainey,104,113.92,9455.3,83,117.69,103.64
