,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Joe Durant,71,0.79,7,883,+0.43
1,2,2,K.J. Choi,77,0.87,7,805,+0.29
2,3,3,Nick O'Hern,89,0.95,10,1055,+0.50
3,4,4,Heath Slocum,89,1.07,11,1032,+0.91
4,T5,T5,John Merrick,71,1.08,9,834,+0.44
5,T5,T5,Charl Schwartzel,58,1.08,6,556,-0.17
6,7,7,Jerry Kelly,85,1.17,11,944,+0.73
7,8,8,Billy Mayfair,94,1.19,14,1181,+0.71
8,9,9,Rod Pampling,72,1.2,10,835,+0.50
9,10,10,David Toms,78,1.22,10,819,+0.90
10,11,11,Zach Johnson,79,1.23,11,891,+0.55
11,12,12,Brian Davis,105,1.26,16,1271,+0.63
12,13,13,Matt Kuchar,94,1.31,13,991,+0.08
13,14,14,Brian Gay,90,1.37,14,1023,+1.50
14,15,15,David Hearn,88,1.42,15,1053,+0.53
15,16,16,Jim Furyk,87,1.44,14,975,+0.14
16,17,17,Steve Stricker,70,1.49,11,740,+0.36
17,18,18,Matt McQuillan,59,1.5,10,667,+0.70
18,T19,T19,Spencer Levin,113,1.54,20,1301,+0.75
19,T19,T19,David Mathis,83,1.54,15,973,+1.07
20,21,21,Chez Reavie,92,1.58,18,1141,+0.44
21,22,22,Bill Haas,93,1.6,16,998,+0.13
22,T23,T23,Aron Price,58,1.62,11,678,+0.55
23,T23,T23,Kevin Streelman,90,1.62,16,988,+0.44
24,25,25,J.J. Henry,96,1.64,18,1096,+0.56
25,26,26,Greg Chalmers,88,1.66,18,1087,+0.50
26,27,27,Bo Van Pelt,92,1.72,17,989,+0.35
27,T28,T28,Shane Bertsch,62,1.8,13,722,+0.54
28,T28,T28,Keegan Bradley,91,1.8,19,1058,+0.58
29,T30,T30,Ben Curtis,66,1.85,16,865,+1.00
30,T30,T30,Chris DiMarco,93,1.85,21,1136,+1.14
31,T30,T30,Paul Goydos,81,1.85,19,1028,+0.68
32,33,33,Steve Marino,76,1.87,16,856,+0.13
33,34,34,Lee Janzen,62,1.88,13,691,+0.69
34,35,35,Chris Riley,76,1.91,18,942,+0.94
35,36,36,Garrett Willis,71,1.92,17,886,+0.76
36,37,37,Vijay Singh,79,1.93,19,984,+0.32
37,T38,T38,Luke Donald,73,1.95,14,719,+0.21
38,T38,T38,Johnson Wagner,81,1.95,19,973,+0.63
39,T40,T40,Kent Jones,76,2.05,19,927,+0.68
40,T40,T40,Ryan Moore,79,2.05,17,830,+0.29
41,42,42,Marc Turnesa,54,2.06,13,632,+0.85
42,43,43,Rocco Mediate,53,2.09,14,671,+1.14
43,T44,T44,Stephen Ames,69,2.16,18,834,+0.89
44,T44,T44,Justin Rose,79,2.16,19,878,+0.58
45,46,46,William McGirt,103,2.2,28,1271,+0.71
46,47,47,Jason Dufner,78,2.22,20,902,+0.20
47,T48,T48,Colt Knost,80,2.26,21,931,+0.57
48,T48,T48,George McNeill,69,2.26,18,796,+0.50
49,T48,T48,Webb Simpson,98,2.26,26,1148,-0.04
50,51,51,Carl Pettersson,95,2.32,29,1248,+0.69
51,52,52,Graeme McDowell,50,2.33,12,516,+0.50
52,T53,T53,Blake Adams,116,2.34,34,1454,+0.62
53,T53,T53,D.A. Points,89,2.34,24,1025,+0.67
54,T55,T55,Briny Baird,60,2.35,16,680,+0.63
55,T55,T55,Jason Bohn,74,2.35,22,936,+0.91
56,T55,T55,Bryce Molder,82,2.35,23,977,+0.70
57,58,58,Charlie Wi,83,2.36,25,1061,+0.32
58,59,59,Jonathan Byrd,83,2.4,24,998,+0.58
59,60,60,Kevin Kisner,70,2.41,19,789,+0.79
60,T61,T61,Ernie Els,71,2.43,20,824,+0.45
61,T61,T61,Dean Wilson,62,2.43,19,781,+1.42
62,63,63,Woody Austin,59,2.46,17,690,+0.41
63,T64,T64,Aaron Baddeley,77,2.48,21,847,E
64,T64,T64,Pat Perez,76,2.48,24,967,+0.46
65,T64,T64,D.J. Trahan,91,2.48,28,1131,+0.43
66,T64,T64,Mark Wilson,89,2.48,24,968,+0.54
67,68,68,John Rollins,85,2.53,25,990,+0.72
68,69,69,Scott McCarron,65,2.54,19,749,+0.84
69,70,70,Retief Goosen,50,2.55,14,549,+0.36
70,71,71,Jason Day,76,2.57,21,816,+0.81
71,72,72,Brandt Snedeker,85,2.58,24,930,+0.58
72,73,73,John Senden,94,2.59,29,1119,+0.38
73,74,74,Joe Ogilvie,75,2.61,22,842,+0.64
74,75,75,Rory Sabbatini,85,2.63,22,836,+0.45
75,T76,T76,Fabián Gómez,84,2.64,25,946,+0.84
76,T76,T76,Justin Leonard,82,2.64,27,1021,+0.63
77,T76,T76,Hunter Mahan,92,2.64,28,1060,+0.50
78,79,79,Ben Crane,76,2.66,23,864,+0.26
79,80,80,Brendon de Jonge,105,2.67,34,1274,+0.41
80,81,81,Robert Allenby,84,2.68,26,970,+0.50
81,82,82,Sung Kang,63,2.7,19,705,+0.84
82,83,83,Trevor Immelman,84,2.71,25,922,+0.32
83,84,84,Charles Howell III,108,2.73,34,1245,+0.56
84,T85,T85,Cameron Beckman,71,2.74,24,875,+0.54
85,T85,T85,Jim Renner,65,2.74,20,730,+1.05
86,87,87,Joseph Bramlett,73,2.76,23,834,+0.35
87,T88,T88,Justin Hicks,60,2.77,17,613,+1.00
88,T88,T88,Brandt Jobe,100,2.77,31,1121,+0.74
89,T88,T88,Y.E. Yang,63,2.77,16,578,+0.56
90,T91,T91,Jim Herman,69,2.78,22,792,+0.50
91,T91,T91,Robert Karlsson,61,2.78,17,612,+0.47
92,T91,T91,Alexandre Rocha,65,2.78,19,683,+0.74
93,T91,T91,Boo Weekley,66,2.78,22,792,+1.05
94,T95,T95,Richard Johnson,64,2.79,21,753,+1.00
95,T95,T95,Nick Watney,80,2.79,24,859,+0.38
96,T97,T97,Kris Blanks,92,2.81,32,1140,+0.28
97,T97,T97,Troy Merritt,63,2.81,22,783,+0.77
98,99,99,J.P. Hayes,56,2.86,19,664,+0.37
99,T100,T100,Freddie Jacobson,92,2.88,28,971,+0.21
100,T100,T100,Jeff Overton,92,2.88,29,1006,+0.38
101,T100,T100,Chris Stroud,88,2.88,31,1076,+0.39
102,103,103,Scott Piercy,78,2.89,25,864,+0.56
103,104,104,Sergio Garcia,61,2.9,18,620,+0.39
104,T105,T105,Brendan Steele,89,2.91,31,1064,+0.65
105,T105,T105,Cameron Tringale,110,2.91,39,1339,+0.41
106,T107,T107,Steve Elkington,50,2.92,17,583,+0.47
107,T107,T107,Tim Herron,85,2.92,31,1062,+0.68
108,T109,T109,Ian Poulter,52,2.94,16,545,+0.38
109,T109,T109,Gary Woodland,93,2.94,28,952,+0.43
110,T111,T111,Alex Cejka,59,2.95,19,644,+0.47
111,T111,T111,Geoff Ogilvy,69,2.95,22,745,+0.86
112,113,113,Hunter Haas,96,2.97,35,1178,+0.46
113,114,114,Michael Connell,76,2.99,30,1004,+0.67
114,115,115,Jhonattan Vegas,84,3.04,29,955,+0.21
115,116,116,Daniel Summerhays,75,3.09,28,906,+1.21
116,117,117,Stewart Cink,72,3.11,22,708,+0.32
117,T118,T118,Ben Martin,74,3.12,28,898,+0.86
118,T118,T118,Tim Petrovic,88,3.12,33,1057,+0.67
119,120,120,Steve Flesch,88,3.15,34,1079,+0.74
120,121,121,Alex Prugh,82,3.19,31,973,+0.97
121,122,122,Lucas Glover,74,3.2,27,844,+0.56
122,T123,T123,Ryuji Imada,83,3.22,34,1055,+0.56
123,T123,T123,Roland Thatcher,67,3.22,27,838,+0.74
124,T125,T125,Chris Couch,73,3.23,30,928,+0.27
125,T125,T125,Kevin Na,84,3.23,30,929,+0.47
126,127,127,Jarrod Lyle,83,3.24,32,989,+0.44
127,T128,T128,Stuart Appleby,65,3.28,27,824,+0.89
128,T128,T128,Bobby Gates,82,3.28,30,916,+0.57
129,T128,T128,Kyle Stanley,98,3.28,36,1099,+0.47
130,T131,T131,Tom Gillis,55,3.29,23,699,+0.91
131,T131,T131,Kevin Stadler,88,3.29,33,1003,+0.67
132,133,133,Camilo Villegas,69,3.32,26,784,+0.81
133,T134,T134,Harrison Frazar,58,3.37,19,563,+0.42
134,T134,T134,Billy Horschel,75,3.37,29,861,+0.52
135,136,136,Chris Kirk,87,3.4,36,1060,+0.61
136,T137,T137,Arjun Atwal,91,3.43,39,1138,+0.74
137,T137,T137,Martin Laird,77,3.43,29,846,+0.24
138,139,139,Kevin Chappell,78,3.45,29,840,+0.76
139,T140,T140,Bill Lunde,92,3.46,37,1068,+0.62
140,T140,T140,Michael Putnam,67,3.46,25,723,+0.60
141,T140,T140,Josh Teater,104,3.46,44,1272,+0.25
142,T143,T143,Dustin Johnson,72,3.47,26,749,+0.85
143,T143,T143,Jimmy Walker,79,3.47,36,1038,+0.56
144,T143,T143,Bubba Watson,85,3.47,28,806,+0.18
145,T146,T146,Scott Stallings,84,3.48,33,947,+0.64
146,T146,T146,Vaughn Taylor,89,3.48,40,1149,+0.90
147,148,148,Michael Thompson,79,3.49,33,946,+0.55
148,T149,T149,Chad Campbell,99,3.5,42,1199,+0.45
149,T149,T149,Rickie Fowler,84,3.5,32,915,+0.34
150,151,151,Charley Hoffman,93,3.63,37,1019,+0.70
151,T152,T152,Andres Gonzales,60,3.65,23,631,+0.91
152,T152,T152,Adam Scott,60,3.65,23,630,+0.22
153,T154,T154,Scott Gutschewski,67,3.67,28,762,+0.86
154,T154,T154,Marc Leishman,87,3.67,40,1090,+0.55
