,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
158,T158,T158,Robert Karlsson,61,372,The Barclays,3,2,781
159,T158,10,James Driscoll,71,372,John Deere Classic,1,2,669
160,T158,T158,Tag Ridings,87,372,Valero Texas Open,2,10,770
161,T158,T64,Sean O'Hair,71,372,World Golf Championships-Bridgestone Invitational,3,16,36
162,T158,14,Robert Garrigus,83,372,The Heritage,3,5,12
163,T158,14,Robert Garrigus,83,372,HP Byron Nelson Championship,3,10,19
164,T158,T97,Scott Gutschewski,67,372,Reno-Tahoe Open,2,8,660
165,T158,T158,Louis Oosthuizen,46,372,World Golf Championships-Bridgestone Invitational,3,8,36
166,T158,T158,Martin Laird,77,372,The Open Championship,1,2,778
167,T158,T33,Jason Day,76,372,HP Byron Nelson Championship,4,1,19
168,T158,T158,Blake Adams,116,372,HP Byron Nelson Championship,2,1,19
169,T158,T101,Tommy Gainey,104,372,John Deere Classic,2,2,669
170,T158,T101,Alex Prugh,82,372,HP Byron Nelson Championship,2,1,19
171,T158,T22,Zack Miller,86,372,HP Byron Nelson Championship,2,3,19
172,T158,T158,Joseph Bramlett,73,372,Reno-Tahoe Open,2,18,660
173,T174,T136,Todd Hamilton,32,371,Wyndham Championship,1,18,752
174,T174,T174,Bob May,6,371,Reno-Tahoe Open,4,1,660
175,T174,T158,Robert Karlsson,61,371,The Honda Classic,2,4,734
176,T174,T174,John Rollins,85,371,HP Byron Nelson Championship,3,3,19
177,T174,T119,Brett Wetterich,28,371,HP Byron Nelson Championship,4,3,19
178,T174,10,James Driscoll,71,371,Reno-Tahoe Open,2,8,660
179,T174,T174,K.J. Choi,77,371,World Golf Championships-Bridgestone Invitational,3,8,36
180,T174,T3,J.B. Holmes,57,371,Shell Houston Open,4,18,729
181,T174,T174,Anthony Kim,72,371,Hyundai Tournament of Champions,4,6,656
182,T174,T22,Kyle Stanley,98,371,John Deere Classic,2,2,669
183,T174,T33,Scott Stallings,84,371,HP Byron Nelson Championship,2,1,19
184,T174,5,Gary Woodland,93,371,The Honda Classic,3,4,734
185,T174,T22,Zack Miller,86,371,HP Byron Nelson Championship,3,12,19
186,T174,T22,Zack Miller,86,371,John Deere Classic,1,2,669
187,T188,T188,John Daly,49,370,Wyndham Championship,2,18,752
188,T188,T101,Brandt Jobe,100,370,Valero Texas Open,4,15,770
189,T188,T38,Charley Hoffman,93,370,Hyundai Tournament of Champions,2,6,656
190,T188,T64,Sean O'Hair,71,370,World Golf Championships-Bridgestone Invitational,3,8,36
191,T188,14,Robert Garrigus,83,370,Hyundai Tournament of Champions,2,6,656
192,T188,14,Robert Garrigus,83,370,Reno-Tahoe Open,1,18,660
193,T188,T97,Bill Haas,93,370,Crowne Plaza Invitational at Colonial,4,7,21
194,T188,T188,Jhonattan Vegas,84,370,John Deere Classic,1,2,669
195,T188,T3,J.B. Holmes,57,370,AT&T Pebble Beach National Pro-Am,4,10,5
196,T188,T158,Martin Laird,77,370,World Golf Championships-Bridgestone Invitational,3,16,36
197,T188,T33,Scott Stallings,84,370,John Deere Classic,3,10,669
198,T188,1,Dustin Johnson,72,370,TOUR Championship by Coca-Cola,3,9,688
199,T188,5,Gary Woodland,93,370,HP Byron Nelson Championship,3,3,19
