,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Dustin Johnson,72,0.912,49.233999999999995,54
1,2,2,Bubba Watson,85,0.898,52.996,59
2,3,3,Adam Scott,60,0.7929999999999999,35.67,45
3,4,4,Gary Woodland,93,0.742,51.943999999999996,70
4,5,5,J.B. Holmes,57,0.726,34.107,47
5,T6,T6,Keegan Bradley,91,0.6829999999999999,52.628,77
6,T6,T6,Boo Weekley,66,0.6829999999999999,38.913000000000004,57
7,8,8,Robert Garrigus,83,0.662,45.673,69
8,9,9,John Rollins,85,0.647,46.6,72
9,10,10,Josh Teater,104,0.632,58.14,92
10,11,11,Bill Haas,93,0.628,45.233000000000004,72
11,12,12,Chris Couch,73,0.606,41.19,68
12,13,13,Bo Van Pelt,92,0.586,41.586999999999996,71
13,14,14,D.J. Trahan,91,0.565,46.857,83
14,15,15,Nick Watney,80,0.5429999999999999,33.683,62
15,16,16,Sergio Garcia,61,0.528,23.756,45
16,17,17,Kyle Stanley,98,0.516,41.309,80
17,18,18,Jason Dufner,78,0.515,33.484,65
18,19,19,Jhonattan Vegas,84,0.507,35.477,70
19,20,20,Martin Laird,77,0.499,30.912,62
20,21,21,John Senden,94,0.496,40.17,81
21,22,22,Charl Schwartzel,58,0.49,19.594,40
22,23,23,Brandt Jobe,100,0.478,38.718,81
23,24,24,Webb Simpson,98,0.47600000000000003,39.509,83
24,25,25,Robert Allenby,84,0.462,32.334,70
25,26,26,Charley Hoffman,93,0.45299999999999996,33.55,74
26,27,27,Scott Stallings,84,0.44299999999999995,30.584,69
27,28,28,Kevin Streelman,90,0.442,31.384,71
28,29,29,Jeff Overton,92,0.402,29.349,73
29,30,30,Rickie Fowler,84,0.384,25.346,66
30,31,31,Joe Durant,71,0.382,24.43,64
31,32,32,Chez Reavie,92,0.381,31.265,82
32,33,33,Hunter Mahan,92,0.371,28.186999999999998,76
33,34,34,Steve Marino,76,0.364,22.572,62
34,35,35,Steven Bowditch,86,0.33899999999999997,26.412,78
35,T36,T36,John Merrick,71,0.319,19.156,60
36,T36,T36,Pat Perez,76,0.319,22.296999999999997,70
37,38,38,Vijay Singh,79,0.315,22.664,72
38,39,39,Billy Horschel,75,0.31,19.222,62
39,40,40,Matt Kuchar,94,0.304,21.601999999999997,71
40,41,41,Graeme McDowell,50,0.301,11.137,37
41,42,42,Troy Matteson,91,0.295,23.892,81
42,43,43,Lucas Glover,74,0.27,16.459,61
43,44,44,Harrison Frazar,58,0.259,10.898,42
44,T45,T45,Tommy Gainey,104,0.245,22.276999999999997,91
45,T45,T45,Davis Love III,70,0.245,12.745,52
46,47,47,Jim Herman,69,0.244,13.933,57
47,48,48,Blake Adams,116,0.24100000000000002,25.271,105
48,49,49,J.J. Henry,96,0.239,18.867,79
49,50,50,Brian Davis,105,0.226,20.826999999999998,92
50,51,51,Rory Sabbatini,85,0.218,13.275,61
51,T52,T52,Ángel Cabrera,50,0.217,7.587999999999999,35
52,T52,T52,David Hearn,88,0.217,16.462,76
53,54,54,Billy Mayfair,94,0.213,18.122,85
54,T55,T55,Jason Day,76,0.204,12.064,59
55,T55,T55,Alex Prugh,82,0.204,14.507,71
56,57,57,Justin Hicks,60,0.20199999999999999,8.905,44
57,T58,T58,Scott Piercy,78,0.201,12.640999999999998,63
58,T58,T58,Andres Romero,77,0.201,13.67,68
59,60,60,Rod Pampling,72,0.193,11.607999999999999,60
60,61,61,Heath Slocum,89,0.192,14.203,74
61,62,62,Aaron Baddeley,77,0.19,11.751,62
62,63,63,Justin Rose,79,0.18600000000000003,11.704,63
63,64,64,Scott McCarron,65,0.18100000000000002,9.777000000000001,54
64,65,65,Charles Howell III,108,0.168,15.295,91
65,66,66,David Toms,78,0.166,9.795,59
66,67,67,Jim Renner,65,0.162,8.562000000000001,53
67,68,68,Ryan Moore,79,0.158,9.453,60
68,69,69,Bill Lunde,92,0.156,11.978,77
69,70,70,Cameron Tringale,110,0.154,14.929,97
70,71,71,Y.E. Yang,63,0.152,6.379,42
71,T72,T72,Kevin Chappell,78,0.14,8.555,61
