,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,J.B. Holmes,57,"135' 4""",5547',41,"167' 8""","106' 4"""
1,2,2,Will Strickler,51,"117' 0""","3861' 3""",33,"158' 11""","90' 6"""
2,3,3,Keegan Bradley,91,"116' 4""","6978' 2""",60,"148' 0""","84' 2"""
3,4,4,Davis Love III,70,"115' 1""","4373' 9""",38,"154' 1""","82' 5"""
4,5,5,Ángel Cabrera,50,"114' 2""","2854' 5""",25,"159' 4""","50' 11"""
5,T6,T6,Zack Miller,86,"113' 4""","5666' 6""",50,"169' 8""","66' 5"""
6,T6,T6,Ryan Palmer,82,"113' 4""","6234' 2""",55,"141' 5""","83' 7"""
7,T6,T6,Josh Teater,104,"113' 4""","7254' 8""",64,"154' 10""","81' 7"""
8,9,9,Phil Mickelson,79,"112' 9""",5186',46,"151' 5""","70' 0"""
9,10,10,Rickie Fowler,84,"112' 5""","6744' 9""",60,"174' 10""","60' 5"""
10,11,11,Billy Mayfair,94,"112' 0""","8289' 2""",74,"132' 1""","87' 6"""
11,12,12,Mark Wilson,89,"111' 1""","8221' 9""",74,"130' 11""","91' 2"""
12,13,13,Alex Prugh,82,"110' 5""","6623' 1""",60,"133' 10""","65' 4"""
13,14,14,Vijay Singh,79,"109' 10""","7467' 9""",68,"145' 5""","63' 7"""
14,T15,T15,Harrison Frazar,58,"109' 8""","4057' 2""",37,"155' 0""","72' 7"""
15,T15,T15,Padraig Harrington,60,"109' 8""","4059' 1""",37,"150' 1""","72' 11"""
16,17,17,Jason Day,76,"109' 4""","5030' 3""",46,"152' 2""","78' 2"""
17,18,18,Marc Leishman,87,"109' 2""","7640' 0""",70,"174' 6""","68' 1"""
18,19,19,Roland Thatcher,67,"108' 9""","5219' 2""",48,"164' 10""","74' 10"""
19,T20,T20,Kyle Stanley,98,"108' 3""","7255' 0""",67,"162' 10""","61' 1"""
20,T20,T20,Jhonattan Vegas,84,"108' 3""","6387' 9""",59,"168' 7""","78' 11"""
21,22,22,Steve Marino,76,"108' 2""","6272' 2""",58,"151' 8""","66' 4"""
22,23,23,Charley Hoffman,93,"107' 8""","7533' 9""",70,"145' 6""","67' 8"""
23,24,24,Robert Garrigus,83,"107' 7""","5270' 1""",49,"168' 1""","58' 6"""
24,25,25,John Rollins,85,"107' 4""","7297' 7""",68,"156' 11""","67' 6"""
25,26,26,Scott Piercy,78,"107' 0""","5455' 2""",51,"138' 1""","73' 11"""
26,27,27,Kevin Stadler,88,"106' 10""","6197' 0""",58,"144' 1""","76' 11"""
27,28,28,David Hearn,88,"106' 6""",6921',65,"146' 11""","84' 0"""
28,29,29,Derek Lamely,65,"106' 4""","4467' 1""",42,"158' 10""","57' 10"""
29,30,30,Paul Stankowski,78,"105' 6""","5275' 6""",50,"149' 10""","63' 8"""
30,31,31,Michael Putnam,67,"105' 5""",4321',41,"139' 11""","79' 5"""
31,32,32,Retief Goosen,50,"105' 4""","3580' 2""",34,"151' 5""","62' 1"""
32,33,33,Andres Romero,77,"104' 9""","6179' 2""",59,"142' 10""","46' 8"""
33,34,34,Tag Ridings,87,"104' 7""","5750' 6""",55,"154' 0""","67' 5"""
34,35,35,Tommy Gainey,104,"104' 4""","8346' 4""",80,"134' 2""","68' 1"""
35,36,36,Dustin Johnson,72,"104' 0""","4574' 2""",44,"143' 4""","73' 6"""
36,37,37,Ben Crane,76,"103' 9""","6017' 6""",58,"128' 7""","81' 1"""
37,38,38,Jonathan Byrd,83,"103' 6""","6418' 0""",62,"154' 6""","58' 2"""
38,T39,T39,Chris Couch,73,"103' 4""","4651' 3""",45,"128' 4""","78' 4"""
39,T39,T39,Robert Karlsson,61,"103' 4""","4133' 7""",40,"145' 6""","60' 7"""
40,41,41,Billy Horschel,75,"103' 2""",5778',56,"137' 11""","66' 5"""
41,42,42,Steven Bowditch,86,"103' 1""","6290' 2""",61,"137' 11""","55' 0"""
