,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,1,Scott Stallings,28,36.4,133,365,2.41
1,2,2,Charles Howell III,30,36.5,176,482,-0.4
2,3,3,Brian Davis,30,36.8,124,337,1.37
3,4,4,Marc Leishman,27,37.0,170,460,1.35
4,5,5,Bryce Molder,27,37.3,110,295,1.45
5,T6,T6,George McNeill,21,37.8,113,299,1.77
6,T6,T6,John Rollins,27,37.8,111,294,0.36
7,8,8,Bio Kim,25,38.3,129,337,2.25
8,9,9,Zack Miller,30,38.6,156,404,2.12
9,10,10,Greg Chalmers,28,39.3,152,387,1.45
10,11,11,Kevin Streelman,26,39.6,130,328,1.46
11,T12,T12,Jason Dufner,23,39.8,119,299,0.92
12,T12,T12,David Toms,23,39.8,94,236,1.28
13,14,14,Scott Piercy,23,40.1,134,334,1.12
14,T15,T15,Kyle Stanley,28,40.4,164,406,1.71
15,T15,T15,Marc Turnesa,20,40.4,92,228,1.41
16,17,17,John Merrick,21,40.5,100,247,2.7
17,18,18,David Hearn,26,40.9,144,352,1.11
18,T19,T19,Blake Adams,34,41.0,191,466,1.94
19,T19,T19,Daniel Summerhays,29,41.0,135,329,2.74
20,21,21,Justin Rose,23,41.6,124,298,1.69
21,22,22,Josh Teater,31,41.7,186,446,1.61
22,T23,T23,Kevin Chappell,26,42.4,139,328,2.16
23,T23,T23,Sung Kang,21,42.4,104,245,2.21
24,25,25,Jarrod Lyle,29,42.7,163,382,2.09
25,T26,T26,Steve Elkington,17,42.9,73,170,1.78
26,T26,T26,Matt McQuillan,21,42.9,93,217,2.58
27,28,28,Ben Martin,25,43.1,128,297,3.2
28,29,29,Troy Merritt,23,43.2,118,273,1.95
29,30,30,Charl Schwartzel,15,43.3,87,201,1.84
30,T31,T31,Robert Garrigus,26,43.4,171,394,0.88
31,T31,T31,Camilo Villegas,25,43.4,135,311,1.48
32,33,33,Brandt Jobe,28,43.7,160,366,1.81
33,T34,T34,Aaron Baddeley,22,43.9,152,346,-0.26
34,T34,T34,Kris Blanks,29,43.9,170,387,2.65
35,36,36,Troy Matteson,28,44.0,187,425,1.55
36,T37,T37,Rocco Mediate,23,44.2,88,199,3.18
37,T37,T37,Jim Renner,22,44.2,125,283,2.8
38,T37,T37,Michael Thompson,25,44.2,151,342,1.46
39,40,40,Jeff Overton,26,44.3,168,379,2.14
40,41,41,Chris Stroud,28,44.5,179,402,1.06
41,T42,T42,Chad Campbell,29,44.6,174,390,2.18
42,T42,T42,Rory Sabbatini,24,44.6,150,336,1.4
43,44,44,Chris DiMarco,31,44.8,160,357,2.31
44,45,45,Ben Crane,23,44.9,119,265,0.84
45,T46,T46,Brian Gay,26,45.0,122,271,1.48
46,T46,T46,Boo Weekley,23,45.0,113,251,2.92
47,48,48,Charlie Wi,25,45.1,171,379,2.16
48,T49,T49,Fabián Gómez,26,45.6,151,331,2.38
49,T49,T49,Justin Leonard,26,45.6,154,338,2.4
50,51,51,Charley Hoffman,27,45.7,168,368,2.32
51,T52,T52,Joseph Bramlett,25,45.8,140,306,1.21
52,T52,T52,Tim Petrovic,29,45.8,157,343,2.04
53,T54,T54,Andres Gonzales,21,45.9,100,218,2.3
54,T54,T54,Mark Wilson,26,45.9,136,296,2.06
55,56,56,Chris Kirk,28,46.0,201,437,1.64
56,57,57,Martin Laird,23,46.1,143,310,0.77
57,58,58,Retief Goosen,16,46.2,96,208,1.25
58,T59,T59,Jerry Kelly,26,46.3,112,242,1.88
59,T59,T59,D.J. Trahan,30,46.3,189,408,1.32
60,61,61,Stewart Cink,22,46.4,129,278,0.39
61,T62,T62,Tag Ridings,28,46.5,190,409,2.32
62,T62,T62,Will Strickler,19,46.5,107,230,2.34
63,T64,T64,Jason Day,21,46.6,152,326,1.25
64,T64,T64,Dustin Johnson,21,46.6,135,290,2.3
65,66,66,Jimmy Walker,24,46.8,210,449,2.43
66,T67,T67,Freddie Jacobson,25,46.9,167,356,1.92
67,T67,T67,Brendan Steele,27,46.9,167,356,1.98
68,T67,T67,Bo Van Pelt,27,46.9,158,337,0.89
69,T70,T70,Nathan Green,26,47.0,173,368,1.68
70,T70,T70,Heath Slocum,29,47.0,117,249,1.45
71,T72,T72,Joe Durant,25,47.1,97,206,2.89
72,T72,T72,David Mathis,25,47.1,140,297,2.36
73,T72,T72,Billy Mayfair,29,47.1,156,331,1.22
74,75,75,Matt Jones,25,47.2,170,360,1.12
75,76,76,Sergio Garcia,16,47.3,113,239,0.88
76,T77,T77,Alex Cejka,21,47.4,99,209,1.31
77,T77,T77,Trevor Immelman,25,47.4,164,346,0.37
78,79,79,Kent Jones,25,47.5,141,297,2.55
79,T80,T80,Kevin Kisner,24,47.6,139,292,2.23
80,T80,T80,Pat Perez,24,47.6,158,332,1.33
81,T80,T80,Aron Price,18,47.6,89,187,2.47
82,T80,T80,Cameron Tringale,32,47.6,233,489,1.46
83,T84,T84,Briny Baird,19,47.7,94,197,1.7
84,T84,T84,Shane Bertsch,20,47.7,104,218,1.73
85,T84,T84,Hunter Haas,30,47.7,194,407,1.03
86,T84,T84,J.B. Holmes,16,47.7,134,281,0.22
87,T88,T88,Bobby Gates,29,47.8,164,343,3.23
88,T88,T88,Tom Gillis,19,47.8,119,249,2.94
89,T88,T88,Tim Herron,28,47.8,211,441,1.85
90,T88,T88,Bill Lunde,28,47.8,188,393,2.23
91,T92,T92,Chris Couch,21,47.9,139,290,0.86
92,T92,T92,Rickie Fowler,24,47.9,175,365,0.51
93,94,94,Vijay Singh,25,48.0,183,381,0.77
94,T95,T95,K.J. Choi,22,48.3,139,288,1.15
95,T95,T95,Hunter Mahan,25,48.3,172,356,1.34
96,T97,T97,Jonathan Byrd,26,48.4,177,366,0.68
97,T97,T97,John Senden,26,48.4,169,349,1.48
98,99,99,Stephen Ames,22,48.5,129,266,1.86
99,T100,T100,Geoff Ogilvy,21,48.7,132,271,1.36
100,T100,T100,Bubba Watson,22,48.7,149,306,0.81
101,T102,T102,Colt Knost,27,48.8,146,299,3.01
102,T102,T102,William McGirt,32,48.8,230,471,0.91
103,T102,T102,D.A. Points,26,48.8,165,338,2.3
104,T105,T105,D.J. Brigman,23,48.9,155,317,2.32
105,T105,T105,Zach Johnson,23,48.9,114,233,1.58
106,T105,T105,Ian Poulter,16,48.9,87,178,2.07
107,108,108,Brendon de Jonge,30,49.1,211,430,1.0
108,T109,T109,Michael Putnam,21,49.2,149,303,1.88
109,T109,T109,Alexandre Rocha,22,49.2,122,248,2.54
110,T111,T111,Steve Marino,23,49.3,151,306,0.46
111,T111,T111,Chez Reavie,27,49.3,176,357,1.48
112,T111,T111,Nate Smith,24,49.3,136,276,2.28
113,114,114,Ryuji Imada,29,49.4,197,399,1.27
114,T115,T115,Rich Beem,21,49.5,105,212,3.14
115,T115,T115,Ernie Els,21,49.5,150,303,2.0
116,T115,T115,Tommy Gainey,34,49.5,237,479,1.81
117,118,118,Jim Herman,22,49.7,157,316,1.53
118,119,119,Robert Allenby,25,49.8,158,317,1.33
119,120,120,Ryan Palmer,24,49.9,173,347,1.16
120,121,121,J.P. Hayes,19,50.0,112,224,0.98
121,T122,T122,James Driscoll,24,50.1,169,337,1.12
122,T122,T122,Jhonattan Vegas,25,50.1,195,389,1.13
123,T124,T124,Scott Gutschewski,23,50.3,149,296,3.49
124,T124,T124,Johnson Wagner,25,50.3,154,306,1.95
125,126,126,Jim Furyk,26,50.4,139,276,2.16
126,127,127,Shaun Micheel,27,50.5,185,366,1.14
127,128,128,Chris Riley,25,50.6,135,267,2.89
128,129,129,Stuart Appleby,24,50.8,169,333,2.78
129,T130,T130,Nick O'Hern,29,50.9,142,279,2.25
130,T130,T130,Nick Watney,22,50.9,171,336,0.94
131,132,132,Gary Woodland,25,51.0,186,365,1.4
132,T133,T133,Cameron Beckman,25,51.3,164,320,1.22
133,T133,T133,J.J. Henry,28,51.3,174,339,1.49
134,135,135,Ryan Moore,22,51.4,146,284,1.85
135,136,136,Matt Bettencourt,30,51.6,223,432,2.29
136,T137,T137,Ricky Barnes,23,51.8,176,340,1.53
137,T137,T137,Carl Pettersson,27,51.8,230,444,1.74
138,T139,T139,Woody Austin,18,51.9,110,212,2.09
139,T139,T139,Sean O'Hair,24,51.9,179,345,1.9
140,T141,T141,Steve Flesch,27,52.0,213,410,2.91
141,T141,T141,Justin Hicks,23,52.0,92,177,3.91
142,T141,T141,Martin Piller,23,52.0,157,302,2.99
143,144,144,Graeme McDowell,16,52.3,80,153,2.38
144,145,145,Matt Kuchar,24,52.4,176,336,0.45
145,146,146,Rod Pampling,21,53.0,134,253,1.34
146,T147,T147,Keegan Bradley,28,53.1,207,390,3.04
147,T147,T147,Adam Scott,18,53.1,104,196,1.63
148,149,149,Joe Ogilvie,24,53.2,177,333,2.03
149,150,150,Roland Thatcher,22,53.4,167,313,1.56
150,T151,T151,Robert Karlsson,18,53.6,133,248,1.88
151,T151,T151,Alex Prugh,29,53.6,209,390,3.49
152,T153,T153,Harrison Frazar,19,53.8,133,247,2.18
153,T153,T153,Paul Goydos,25,53.8,164,305,1.89
154,155,155,Steve Stricker,19,53.9,132,245,0.53
155,156,156,Phil Mickelson,21,54.0,189,350,0.85
156,157,157,Kevin Na,26,54.2,202,373,0.79
157,158,158,Spencer Levin,31,54.4,245,450,1.14
