,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,T1,T1,Arjun Atwal,91,1.485,108.39399999999999,73,1.5,1.469
1,T1,T1,Shane Bertsch,62,1.485,65.34,44,1.485,1.485
2,T1,T1,Jason Bohn,74,1.485,96.49700000000001,65,1.485,1.4669999999999999
3,T1,T1,Steve Elkington,50,1.485,51.968999999999994,35,1.4869999999999999,1.4809999999999999
4,T1,T1,Harrison Frazar,58,1.485,57.898,39,1.485,1.475
5,T1,T1,Jim Herman,69,1.485,68.31,46,1.485,1.485
6,T1,T1,Martin Laird,77,1.485,89.07,60,1.485,1.465
7,T1,T1,Matt McQuillan,59,1.485,54.931999999999995,37,1.5,1.463
8,T1,T1,Nick O'Hern,89,1.485,90.59,61,1.49,1.485
9,T1,T1,Joe Ogilvie,75,1.485,77.235,52,1.5,1.485
10,T1,T1,Carl Pettersson,95,1.485,124.72,84,1.485,1.473
11,T1,T1,David Toms,78,1.485,86.13,58,1.485,1.485
12,T1,T1,Garrett Willis,71,1.485,68.31,46,1.485,1.485
13,T14,T14,Robert Allenby,84,1.484,96.473,65,1.485,1.455
14,T14,T14,Rich Beem,53,1.484,62.328,42,1.485,1.449
15,T14,T14,D.J. Brigman,67,1.484,66.801,45,1.495,1.455
16,T14,T14,Jason Dufner,78,1.484,91.993,62,1.5,1.455
17,T14,T14,Tommy Gainey,104,1.484,123.181,83,1.485,1.463
18,T14,T14,Robert Garrigus,83,1.484,77.186,52,1.485,1.4609999999999999
19,T14,T14,Andres Gonzales,60,1.484,60.851000000000006,41,1.485,1.4509999999999998
20,T14,T14,Padraig Harrington,60,1.484,56.394,38,1.485,1.463
