,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Joe Durant,71,75.65,727,961
1,2,2,Heath Slocum,89,74.92,923,1232
2,3,3,Jerry Kelly,85,73.3,818,1116
3,4,4,Brian Gay,90,72.77,871,1197
4,5,5,Ben Curtis,66,71.91,663,922
5,6,6,David Toms,78,71.82,739,1029
6,7,7,Nick O'Hern,89,71.67,850,1186
7,8,8,Zach Johnson,79,71.06,776,1092
8,9,9,Billy Mayfair,94,70.41,885,1257
9,10,10,Brian Davis,105,70.33,1029,1463
10,11,11,Aron Price,58,70.29,511,727
11,12,12,Chris Riley,76,70.19,704,1003
12,13,13,Justin Hicks,60,69.88,508,727
13,14,14,Steve Elkington,50,69.58,485,697
14,15,15,Paul Goydos,81,69.0,779,1129
15,16,16,Rocco Mediate,53,68.91,512,743
16,17,17,Briny Baird,60,68.74,519,755
17,18,18,Jim Furyk,87,68.0,818,1203
18,19,19,Garrett Willis,71,67.85,652,961
19,20,20,Mark Wilson,89,67.63,819,1211
20,21,21,Jason Bohn,74,67.48,664,984
21,22,22,Stephen Ames,69,67.44,611,906
22,23,23,Johnson Wagner,81,67.35,724,1075
23,24,24,Chez Reavie,92,67.32,863,1282
24,25,25,John Merrick,71,67.31,593,881
25,26,26,Ben Crane,76,67.06,688,1026
26,27,27,Shane Bertsch,62,67.05,525,783
27,28,28,John Rollins,85,66.84,772,1155
28,T29,T29,David Mathis,83,66.82,719,1076
29,T29,T29,John Senden,94,66.82,876,1311
30,31,31,Boo Weekley,66,66.74,578,866
31,32,32,Rod Pampling,72,66.7,597,895
32,33,33,Chris DiMarco,93,66.67,828,1242
33,34,34,Bryce Molder,82,66.46,741,1115
34,35,35,D.A. Points,89,66.45,826,1243
35,36,36,J.J. Henry,96,66.43,851,1281
36,37,37,Alex Cejka,59,66.42,544,819
37,38,38,Graeme McDowell,50,66.31,439,662
38,39,39,Billy Horschel,75,66.22,637,962
39,40,40,Woody Austin,59,66.21,488,737
40,41,41,Kent Jones,76,66.13,654,989
41,42,42,Colt Knost,80,66.02,682,1033
42,43,43,Brandt Jobe,100,65.87,882,1339
43,44,44,Jason Dufner,78,65.81,714,1085
44,T45,T45,Blake Adams,116,65.79,1027,1561
45,T45,T45,Michael Connell,76,65.79,698,1061
46,47,47,Justin Leonard,82,65.29,745,1141
47,48,48,Dean Wilson,62,65.27,562,861
48,49,49,Chris Couch,73,64.96,660,1016
49,50,50,Brendan Steele,89,64.83,787,1214
50,51,51,Ian Poulter,52,64.76,465,718
51,52,52,Matt Kuchar,94,64.75,799,1234
52,53,53,Tim Petrovic,88,64.73,758,1171
53,54,54,Scott McCarron,65,64.63,550,851
54,55,55,Matt McQuillan,59,64.45,495,768
55,56,56,J.P. Hayes,56,64.36,484,752
56,57,57,Luke Donald,73,64.29,603,938
57,58,58,Vaughn Taylor,89,64.22,797,1241
58,59,59,Tom Gillis,55,64.11,493,769
59,60,60,Brendon de Jonge,105,64.04,901,1407
60,61,61,Brandt Snedeker,85,64.02,758,1184
61,62,62,Adam Scott,60,63.98,531,830
62,63,63,Rich Beem,53,63.87,472,739
63,64,64,Hunter Haas,96,63.76,818,1283
64,65,65,Kevin Streelman,90,63.72,801,1257
65,66,66,Pat Perez,76,63.64,674,1059
66,T67,T67,Bill Haas,93,63.59,819,1288
67,T67,T67,Bo Van Pelt,92,63.59,800,1258
68,69,69,Spencer Levin,113,63.53,965,1519
69,70,70,Richard Johnson,64,63.46,514,810
70,71,71,Ben Martin,74,63.43,621,979
71,72,72,David Hearn,88,63.36,709,1119
